Date,Season,Balachaur,Saroya,Banga,Aur,Nawanshahr,Balachaur_Trend,Balachaur_SMA,Balachaur_EWMA,Balachaur_DES,Balachaur_TES,Balachaur_ARIMA,Saroya_Trend,Saroya_SMA,Saroya_EWMA,Saroya_DES,Saroya_TES,Saroya_ARIMA,Banga_Trend,Banga_SMA,Banga_EWMA,Banga_DES,Banga_TES,Banga_ARIMA,Aur_Trend,Aur_SMA,Aur_EWMA,Aur_DES,Aur_TES,Aur_ARIMA,Nawanshahr_Trend,Nawanshahr_SMA,Nawanshahr_EWMA,Nawanshahr_DES,Nawanshahr_TES,Nawanshahr_ARIMA
1996-02-29,POMRB,14.893333333333333,21.245,4.859999999999999,8.34,8.54,,,14.893333333333333,15.066721464681574,15.05301586533471,0.0,,,21.245,22.379230349704994,20.54866978282026,0.0,,,4.859999999999999,4.811175765807737,4.701954535330257,0.0,,,8.34,8.19561643505387,8.292640107682475,0.0,,,8.54,7.316284293379856,7.193216077350324,0.0
1996-05-31,PREMON,16.72,21.09,6.3450000000000015,8.62,9.415,,,15.623999999999999,15.777994681051844,15.641493533833064,14.89331272357954,,,21.183,22.272373552721792,24.212749556317657,21.24466909393694,,,5.454000000000001,5.031089200862086,6.17104638832575,4.859966383014259,,,8.452,8.287810834696133,8.570598462269153,2.5576288271382124e-05,,,8.89,7.340906614567418,7.1816105572245785,8.539986607546162
1996-08-31,MONSOON,14.14,21.16,2.6500000000000004,7.5150000000000015,7.965,15.154166666666667,,15.0304,15.147784375627305,15.422498035250593,15.899510146848217,21.094375,,21.1738,22.187415811904735,22.682946055710726,21.166170077353268,4.644375000000001,,4.332400000000001,4.1631520658862184,3.502734349641191,5.739195483055752,8.091875,,8.077200000000001,7.9764524250810505,7.973433512941507,4.6037665463052156e-05,8.593124999999999,,8.52,7.3656117860272925,6.869816982224174,9.047896181829577
1996-11-30,POMKH,14.773333333333332,20.55,4.6850000000000005,7.99,8.415,14.889583333333333,15.131666666666666,14.927573333333333,15.031712921240167,14.666451505626684,15.130055782959746,22.06,21.01125,20.92428,22.036462666913877,21.626479696123877,21.16401144115994,4.580625,4.635000000000001,4.473440000000001,4.093579325748981,3.527678770690118,4.165068875841147,7.9731250000000005,8.11625,8.04232,7.929054198502394,7.939119934081488,5.223301268129517e-05,8.474375,8.583749999999998,8.477999999999998,7.3904001045586165,7.6058018901595705,8.495207156456772
1997-02-28,POMRB,15.073333333333332,21.91,4.9350000000000005,8.145,8.615,14.617083333333333,15.176666666666666,14.985877333333333,15.085163757553069,15.121806848577732,14.884093144927313,22.883125,21.1775,21.318568,22.074463137062125,20.032841955370667,20.994791849089022,4.7056249999999995,4.6537500000000005,4.658064000000001,4.139199800658126,5.403687089854502,4.758929953320164,7.8725000000000005,8.067499999999999,8.083392,7.950564622592191,8.993220764253577,8.340046790858713,8.355625,8.6025,8.532799999999998,7.41527184761955,7.311477042733462,8.546371374729599
1997-05-31,PREMON,14.423333333333336,28.15,5.76,7.865,8.39,14.515,14.6025,14.760859733333334,14.851657341798585,16.142574078498978,15.546466455431908,23.72,22.942499999999995,24.0511408,22.889667171425284,23.878335653416766,21.209328868226635,4.44875,4.507499999999999,5.0988384,4.444634473549842,6.754108289297432,5.603832130967335,7.64625,7.87875,7.9960352,7.871049586331479,9.009465728338704,8.537269687176037,8.131874999999999,8.34625,8.475679999999999,7.440227291946445,7.299871522606522,8.590980917252663
1997-08-31,MONSOON,14.256666666666668,20.685,4.234999999999999,7.465,8.04,14.323333333333332,14.631666666666664,14.559182506666668,14.644862590664776,14.268876118901716,14.287175974962569,24.444374999999997,22.823749999999997,22.704684479999997,22.669353371607556,23.484556909916098,22.663322757356237,3.9656249999999997,4.903749999999999,4.7533030400000005,4.25924790969074,3.3803292625593144,3.567713823664317,7.381875,7.866250000000001,7.783621119999999,7.683113227991236,7.7785128195527955,7.2168500979039525,7.858125,8.364999999999998,8.301407999999999,7.465266718045094,6.988077947574537,8.521943490910084
1997-11-30,POMKH,13.839999999999998,27.72,1.045,6.23,6.55,14.185416666666667,14.398333333333332,14.271509503999999,14.351914877926207,14.365785838091355,14.479831193858079,24.16,24.616249999999997,24.710810688,23.35759225001778,22.231961208016,22.280318607690003,3.766875,3.993749999999999,3.2699818240000003,3.210521328578191,4.669983441535136,4.8910324808751255,7.20625,7.426250000000001,7.1621726720000005,7.1403294759847435,8.070946714985983,7.834907004596015,7.42125,7.898749999999998,7.600844799999999,7.4903903977630195,7.724062855508737,8.395077413371986
1998-02-28,POMRB,14.473333333333334,20.535,4.71,7.789999999999999,8.29,14.247291666666667,14.248333333333333,14.352239035733334,14.436283170644886,14.568199664733804,14.335598862729592,24.044375,24.272499999999997,23.0404864128,23.06099579914069,21.64684904060765,23.276511152661108,3.3431249999999997,3.9374999999999987,3.8459890944,3.4660988927273833,4.839345810432171,3.762863807216825,7.08,7.337500000000001,7.4133036032,7.304794321807332,8.068069811052755,7.544426692297141,6.566249999999999,7.817499999999997,7.876506879999999,7.515598645204493,7.429738008027843,7.911727353150854
1998-05-31,PREMON,13.92,27.25,4.395,6.815,5.22,14.249166666666667,14.122499999999999,14.179343421439999,14.260602272531447,15.038944597000953,14.177853780166009,23.928749999999997,24.0475,24.72429184768,23.64222783886481,25.03313311195661,22.79375725431421,3.0281249999999997,3.596249999999999,4.06559345664,3.5999068669646217,6.017080742785895,5.019999243650468,7.0775,7.075000000000001,7.17398216192,7.086267629333865,8.086339757105865,7.491782837467612,6.26625,7.024999999999997,6.813904127999999,7.540891699469389,7.4181324878886565,8.230340145045934
1998-08-31,MONSOON,15.255,20.66,2.21,7.505,4.37,14.100208333333335,14.37208333333333,14.609606052863999,14.70102260404958,13.904771763287723,14.027178067288485,23.72,24.041249999999998,23.098575108608003,23.326324553351323,24.323670013428895,23.55702662893676,2.4912500000000004,3.089999999999999,3.323356073984,3.085789802505492,3.36469475274672,3.740906574743704,6.985625,7.085000000000002,7.306389297152,7.173960376003248,7.281847687669081,6.927001918343967,6.2125,6.107499999999996,5.8363424768,7.5662698669687485,7.106338912765835,7.398338716688369
1998-11-30,POMKH,12.856666666666667,26.82,0.5499999999999999,6.17,7.82,14.010833333333334,14.126249999999997,13.908430298385065,13.983981139913936,14.274741794463985,14.354386853913049,23.38125,23.816249999999997,24.587145065164805,23.82108021386488,22.938318167306825,23.07042856248972,2.0875,2.966249999999999,2.2140136443903997,2.233469859204064,2.1967173094740478,1.7268755740471362,6.909375,7.070000000000001,6.8518335782912,6.782355994522833,6.879435632506471,6.412425858029913,6.19125,6.424999999999996,6.62980548608,7.591733474822404,7.8423238205953885,6.9294067993321615
1999-02-28,POMRB,14.265,19.765,0.91,7.115,6.59,13.883125,14.074166666666661,14.051058179031038,14.132591755202242,14.32861125862571,13.995613517437368,24.04625,23.623749999999998,22.65828703909888,23.371060223540415,22.106416829253266,23.6915919403122,2.1149999999999998,2.0162499999999994,1.69240818663424,1.7057746621025462,4.3663205563934895,3.524352979698286,6.796875,6.901250000000001,6.95710014697472,6.8401651927957685,8.080792305938827,7.707592974307437,6.66,5.9999999999999964,6.613883291648,7.617282766296833,7.54799897314631,7.561371630193887
1999-05-31,PREMON,13.413333333333336,25.31,4.965,6.88,6.75,14.031250000000002,13.947499999999994,13.795968240751957,13.87333744974509,14.48139609807637,13.918477709518998,25.25375,23.138749999999998,23.71897222345933,23.67111677419751,25.303798917729207,23.04740765672417,2.40375,2.1587499999999995,3.0014449119805438,2.498910741172678,4.191011064522522,2.617998761079007,6.71625,6.917500000000001,6.926260088184833,6.800363547208996,7.342939435946302,6.744590457518202,6.8149999999999995,6.382499999999997,6.668329974988801,7.642918042901731,7.536393452956896,7.270669773326854
1999-08-31,MONSOON,14.74,27.92,1.86,6.54,6.59,14.213541666666666,13.818749999999993,14.173580944451174,14.260688032732284,14.15440523379937,14.1590030497872,26.124375,24.95375,25.399383334075598,24.261342492110106,24.254704968396574,23.41605930059395,3.1625,2.071249999999999,2.5448669471883263,2.237904893407526,2.23448144605886,2.697685568909233,6.723750000000001,6.676250000000002,6.7717560529109,6.659614561471317,7.6096870902552896,7.194540976065382,6.725624999999999,6.937499999999997,6.636997984993281,7.668639590984238,7.224599877873073,7.244210947155894
1999-11-30,POMKH,14.556666666666667,29.22,3.21,6.49,6.84,14.390833333333335,14.243749999999991,14.32681523333737,14.416075171217077,13.392162225436131,13.604180499449836,27.04,25.55375,26.927630000445358,24.94194516741546,23.99532278592247,24.14635219805132,3.763125,2.736249999999999,2.810920168312996,2.4382158361749995,0.9977387468326899,0.7567869717100391,6.814375,6.756250000000001,6.6590536317465405,6.549236428823256,6.307413061169104,5.901276995729375,6.854375,6.692499999999997,6.718198790995968,7.694447704761247,7.960584785760686,7.156470182731566
2000-02-29,POMRB,14.023333333333332,24.33,4.32,6.855,6.855,14.347083333333332,14.183333333333323,14.205422473335755,14.290763984697783,14.709251609740114,14.416208899558589,26.939999999999998,26.695,25.888578000267213,24.926214233209144,23.369749633167473,24.966212012406608,4.4275,3.588749999999999,3.4145521009877977,2.9512748085704117,3.113294543759597,2.131043296487681,7.182500000000001,6.691250000000002,6.737432179047925,6.5995091807182416,7.62752289791382,7.1597941892989745,7.1293750000000005,6.7587499999999965,6.772919274597582,7.720342673337862,7.666259938281269,7.165730672996475
2000-05-31,PREMON,15.073333333333332,28.07,6.359999999999999,7.865,7.5150000000000015,13.849166666666669,14.598333333333324,14.552586817334786,14.644807724362153,14.340468813420795,13.99397676296923,25.898749999999996,27.384999999999998,26.76114680016033,25.381038048585012,27.074376206971397,24.86365303691813,5.25625,3.937499999999999,4.592731260592679,4.0377486292806095,5.814646843453,4.594923451627369,7.658750000000001,6.937500000000003,7.188459307428754,6.975960607868799,7.227002555162418,6.826037669179806,7.433125000000001,6.9499999999999975,7.069751564758549,7.746324795117283,7.654654418095909,7.139477864954473
2000-08-31,MONSOON,12.73,24.36,5.779999999999999,8.5,8.025,13.448333333333334,14.095833333333323,13.823552090400872,13.898877651384677,15.121495039444419,14.827361525303276,25.35125,26.494999999999994,25.800688080096197,25.315120691667826,26.177290071837955,25.379645767654615,5.7437499999999995,4.917499999999999,5.067638756355607,4.7824549801640845,3.285627721269204,3.1272144495984793,8.08625,7.427500000000004,7.713075584457253,7.444940237867504,7.478290280650482,7.024288508332461,7.683125,7.308749999999997,7.451850938855129,7.772394361985945,7.342860843029952,7.276297652056895
