Date,Season,Agalpur,Loisinga,Belpara,Patnagarh,Puintala,Bangomunda,Titlagarh,Saintala,Deogaon,Tentulikhunti,Muribahal,Khaprakhol,Turekela,Balangir,Agalpur_Trend,Agalpur_SMA,Agalpur_EWMA,Agalpur_DES,Agalpur_TES,Agalpur_ARIMA,Loisinga_Trend,Loisinga_SMA,Loisinga_EWMA,Loisinga_DES,Loisinga_TES,Loisinga_ARIMA,Belpara_Trend,Belpara_SMA,Belpara_EWMA,Belpara_DES,Belpara_TES,Belpara_ARIMA,Patnagarh_Trend,Patnagarh_SMA,Patnagarh_EWMA,Patnagarh_DES,Patnagarh_TES,Patnagarh_ARIMA,Puintala_Trend,Puintala_SMA,Puintala_EWMA,Puintala_DES,Puintala_TES,Puintala_ARIMA,Bangomunda_Trend,Bangomunda_SMA,Bangomunda_EWMA,Bangomunda_DES,Bangomunda_TES,Bangomunda_ARIMA,Titlagarh_Trend,Titlagarh_SMA,Titlagarh_EWMA,Titlagarh_DES,Titlagarh_TES,Titlagarh_ARIMA,Saintala_Trend,Saintala_SMA,Saintala_EWMA,Saintala_DES,Saintala_TES,Saintala_ARIMA,Deogaon_Trend,Deogaon_SMA,Deogaon_EWMA,Deogaon_DES,Deogaon_TES,Deogaon_ARIMA,Tentulikhunti_Trend,Tentulikhunti_SMA,Tentulikhunti_EWMA,Tentulikhunti_DES,Tentulikhunti_TES,Tentulikhunti_ARIMA,Muribahal_Trend,Muribahal_SMA,Muribahal_EWMA,Muribahal_DES,Muribahal_TES,Muribahal_ARIMA,Khaprakhol_Trend,Khaprakhol_SMA,Khaprakhol_EWMA,Khaprakhol_DES,Khaprakhol_TES,Khaprakhol_ARIMA,Turekela_Trend,Turekela_SMA,Turekela_EWMA,Turekela_DES,Turekela_TES,Turekela_ARIMA,Balangir_Trend,Balangir_SMA,Balangir_EWMA,Balangir_DES,Balangir_TES,Balangir_ARIMA
1996-02-29,POMRB,3.8225,3.64,4.705,4.635,4.235,3.936666666666666,4.484999999999999,2.89,4.15,4.183333333333334,3.44,2.755,4.605,3.608571428571428,,,3.8225,4.4710968414215575,4.62325329420232,0.0,,,3.64,5.951713910815821,3.5998708583641577,0.0,,,4.705,8.269398732848503,5.046681692167639,0.0,,,4.635,7.976771466020834,5.278689968206676,0.0,,,4.235,5.538278733317499,4.11224968385882,0.0,,,3.936666666666666,5.46614568227488,4.009473157996776,0.0,,,4.484999999999999,3.0488183693180035,5.414671546484252,0.0,,,2.89,6.867929838350443,2.9,0.0,,,4.15,6.882450221940394,4.383498214106737,0.0,,,4.183333333333334,1.7231796137705908,4.803548461323487,0.0,,,3.44,6.3636691686500235,3.4499999999999997,0.0,,,2.755,4.805837782236056,2.7649999999999997,0.0,,,4.605,2.016299946057237,5.255571578275583,0.0,,,3.608571428571428,5.664419525201498,4.150580526036636,0.0
1996-05-31,PREMON,5.8450000000000015,5.0,6.9,6.705,5.003333333333333,4.824166666666667,6.84,5.31,5.86,6.966666666666666,6.6575,4.915,8.280000000000001,4.831666666666666,,,4.631500000000001,5.210061544661003,5.78348889158681,3.8224950195995238,,,4.184,7.248916229251747,5.348124043856159,2.1361700348022473e-07,,,5.583,10.332910050409046,6.861105522217558,4.704990522090938,,,5.463,9.887799722339258,6.521819790967846,4.634991373910983,,,4.542333333333334,6.186170766584403,5.474509824241058,4.234997391253832,,,4.291666666666666,6.257534178880292,4.739522370694748,5.007147599569734e-07,,,5.427,3.0175392826869127,7.1064220645787435,4.484985800484058,,,3.858,9.596632390653365,5.328836565096952,-6.783140405359981e-11,,,4.8340000000000005,8.411609906169149,6.008234915807592,4.149993944082152,,,5.296666666666667,2.0777361375356587,6.7954017772001984,1.3898252070707864e-06,,,4.727,6.0114152619339976,6.676945983379501,1.0855553541079453e-06,,,3.6189999999999998,4.43684239943054,4.933171745152354,1.1343259994802844e-09,,,6.075000000000001,3.111513687622506,6.9686200567128,1.8979808033065926,,,4.097809523809524,6.7888243364127145,5.2202526106363605,1.7825967508046332
1996-08-31,MONSOON,4.34,2.3366666666666664,4.005,4.8566666666666665,2.703333333333333,2.6535,4.795,3.575,3.91,2.4466666666666668,5.074999999999998,3.24,2.845,3.54,4.74125,,4.514900000000001,5.092527395237747,2.9039445882022417,5.047818035419233,3.4747916666666665,,3.445066666666667,6.391848699963965,2.1250949881915364,2.388933201887154e-07,5.1468750000000005,,4.9518,9.181989096943244,3.692831195052725,6.074489262686677,5.297291666666666,,5.220466666666667,9.392544649582732,3.7451010587562825,5.691307096924121,4.172291666666666,,3.8067333333333333,5.531082793146922,2.836338876519644,4.752803889607312,3.8950119047619047,,3.6364,5.736767168799372,2.547792183774968,6.93433248396149e-07,5.753124999999999,,5.1742,2.7220960107942007,3.7494748671079865,5.480532305282706,3.9275,,3.7448,9.071846682499116,3.6015342500441214,-1.6166151308700162e-11,4.67875,,4.4644,7.689358411197845,3.1914314041781466,5.154841778113168,4.546458333333333,,4.156666666666666,1.6358670985030923,1.925007604797341,2.6077420081563224e-06,5.47875,,4.866199999999999,5.20325052494572,5.103340942749057,2.280464099011561e-06,3.9987500000000002,,3.4674,3.6889492279649456,3.2646001795566324,3.47898931958437e-09,5.1925,,4.783,2.762196920958542,3.424061493317746,3.5448425632756444,4.28952380952381,,3.8746857142857145,6.625421421478635,2.4428813757927372,2.5597187612328534
1996-11-30,POMKH,4.2975,2.28,5.065,4.32,4.406666666666667,4.1657142857142855,5.805,3.38,4.44,4.1433333333333335,5.4625,4.185,4.595,4.319999999999999,5.0159375,4.57625,4.427940000000001,4.90825060805734,3.786782644895915,4.3852045008115565,3.7037500000000003,3.3141666666666665,2.97904,5.230763313835826,2.537220285426434,2.2078382658223656e-07,5.29875,5.16875,4.99708,8.209619904709303,4.34262235462898,4.693692935844481,5.5460416666666665,5.129166666666666,4.86028,7.932801155844446,4.3206025869766025,5.394325739614358,4.396666666666667,4.087083333333333,4.046706666666667,5.514493793912954,3.0024379682919196,3.4456758257175824,3.8950119047619047,3.8950119047619043,3.848125714285714,5.712232969732785,4.160688752778174,2.8112398599865885e-07,6.015625,5.481249999999999,5.42652,2.8751507257736857,4.8191353095940626,5.71609423010869,4.07,3.7887499999999994,3.5988800000000003,7.368750834923988,3.413127644054534,4.8985520525692216e-11,4.80375,4.590000000000001,4.45464,6.900439819642746,4.026851835077667,4.371713510463139,4.723333333333333,4.435,4.1513333333333335,1.712994698022171,3.627865144716188,8.09600036820049e-07,5.8559375000000005,5.1587499999999995,5.1047199999999995,4.8612539772818995,5.499189239595705,1.4972311392522047e-06,3.790625,3.7737499999999997,3.7544399999999998,3.477619409104328,4.214400297126966,5.0643656861542405e-09,5.120000000000001,5.081250000000001,4.707800000000001,2.9687808682991332,4.257992064965699,2.34027936594911,4.652946428571428,4.075059523809523,4.052811428571428,6.520396698420023,3.4363855365973115,2.538369392291631
1997-02-28,POMRB,5.142499999999999,4.925000000000002,4.53,5.98,4.916666666666667,3.936666666666666,6.66,4.0,4.86,5.074999999999998,6.0,4.555,5.495,5.324285714285715,4.859791666666666,4.90625,4.713764000000001,5.10152360782943,4.809673347279771,4.000146070585004,3.6025000000000005,3.635416666666667,3.7574240000000003,5.445860260590621,3.599840752973035,3.5230197232680713,5.33,5.125,4.8102480000000005,6.75755471004788,5.240406308773005,4.882534847582687,5.3966666666666665,5.465416666666666,5.308168,7.43378672298932,5.392237812712174,4.81270837390788,4.461666666666667,4.2575,4.394690666666667,5.612644604303171,4.673793626844264,4.265394388943658,3.8950119047619047,3.8950119047619043,3.883542095238095,5.4410424264951995,4.084026308806249,3.936666312187889,5.845000000000001,6.0249999999999995,5.919912,3.344565285510745,5.527828670890719,4.764293856172125,3.77,4.066249999999999,3.759328,5.987780079159388,2.926028352334715,2.7733042009931212,4.5675,4.7675,4.616784,6.249169097580658,4.5513057063141185,4.251704623243966,4.591666666666666,4.657916666666666,4.5207999999999995,2.053300944631363,4.788054550641524,4.183332263649784,5.6459375000000005,5.798749999999999,5.462832000000001,4.948649903632518,3.4808123096288277,3.439999340210422,3.01875,4.22375,4.074664,3.510043416712315,2.785077951052837,2.5559375502769077,4.913749999999999,5.303750000000001,5.02268,3.4495696586581204,5.215888945341585,4.45110241873418,4.535833333333334,4.503988095238095,4.561401142857143,6.692309542994575,4.314965708555563,3.546972874005685
1997-05-31,PREMON,6.7225,5.546666666666668,8.29,7.35,6.116666666666667,4.824166666666667,6.7650000000000015,5.34,6.15,7.4899999999999975,7.115,1.45,6.81,6.0233333333333325,4.4546875,5.125624999999999,5.517258400000001,5.9865294078819,6.145308479419344,5.824823256124727,3.414166666666667,3.7720833333333337,4.473121066666668,5.848770453008844,5.348297978624467,4.839312804545631,5.077500000000001,5.4725,6.2021488,7.812851350933857,6.957214654568593,6.070466959261729,4.995416666666667,5.626666666666667,6.1249008,7.719358607631022,6.850338865673734,6.15877020634437,4.025,4.535833333333334,5.083481066666668,6.137255721422668,6.109151304232716,5.206222532692819,3.8950119047619047,3.895011904761904,4.259791923809524,5.478429244944802,4.7948339839902285,4.8241656281429215,5.449375,6.00625,6.2579472,3.8827973492636745,7.498895924011219,6.7951758093717,3.4081249999999996,4.0737499999999995,4.3915968,5.749236275148425,5.477671958099116,5.095586611518044,4.19625,4.84,5.230070400000001,6.40292608336973,6.2973570092028,5.6782059129604825,4.314583333333332,4.788749999999999,5.708479999999999,2.973234195347509,7.0662381357288195,7.279245867832594,5.204999999999999,5.913124999999999,6.123699200000001,5.625916294606224,6.844137688720865,7.418511250933626,2.5081249999999993,3.3575,3.0247984000000003,2.6068121275721556,5.274465733447617,4.559866808957151,4.81,4.93625,5.737608,4.3027691198662605,7.410980505920964,8.124322630769312,4.036369047619048,4.801904761904762,5.146174019047619,6.999048758515083,5.627477788060839,5.235145339585356
1997-08-31,MONSOON,2.2133333333333334,0.98,2.865,3.016666666666667,2.11,2.6535,3.505,1.145,1.73,0.87,2.9375,0.53,2.665,1.4114285714285713,4.148020833333333,4.593958333333333,4.195688373333334,4.637908474486128,3.345910731266895,4.744541931554951,3.1468750000000005,3.4329166666666673,3.0758726400000005,3.8367780255925656,2.1255873223326085,2.2615721898054497,5.01,5.187500000000001,4.86728928,5.3680045945702215,4.131482645970431,5.185635734459123,4.559166666666667,5.166666666666667,4.881607146666667,5.341428608599033,4.128867341842987,5.379437729797637,3.317083333333333,4.3875,3.8940886400000005,4.835005635553969,3.7622757524351873,3.6259719901831047,3.8950119047619047,3.895011904761904,3.6172751542857142,4.543054534486012,2.5888283376078576,2.653499313895586,5.0075,5.68375,5.15676832,3.568761219129433,4.078620296585312,5.31258010573884,3.2262499999999994,3.4662499999999996,3.0929580800000003,2.962286790376018,3.745548385921097,3.43064447008733,3.94125,4.295,3.8300422400000005,3.983132161894377,3.4807499278079854,4.230792622773128,4.174791666666666,4.394583333333333,3.773087999999999,2.377254700817082,2.299977729639896,2.5906135958337213,4.844375,5.378749999999999,4.84921952,4.418317702040144,5.290083473081192,5.1067747458486865,2.2487500000000002,2.6799999999999997,2.0268790400000003,1.6969970945516542,2.9506411039962352,3.0058938884308826,4.793125,4.89125,4.5085648,3.9500740911744856,3.2339363805085046,2.289524623767716,3.531369047619048,4.269761904761905,3.6522758399999997,4.783155055206566,2.9729004638554613,3.7868865066588784
1997-11-30,POMKH,3.1833333333333336,2.13,4.1850000000000005,2.95,1.5066666666666668,4.1657142857142855,3.93,2.915,3.65,3.5033333333333334,4.0725,2.81,3.945,2.452857142857144,3.7765625,4.315416666666667,3.7907463573333335,3.93487820519704,3.832410749714743,3.673196504766789,2.78625,3.395416666666667,2.6975235840000003,2.852042024505879,2.5372164359601452,2.206726640906117,4.800625,4.9675,4.594373568,4.3843392325220885,4.363344489321409,4.610193899699682,4.069583333333333,4.824166666666667,4.108964288,3.7138472058739933,4.3161720802650025,4.645447874853619,2.80375,3.6625000000000005,2.939119850666667,3.5021106467130494,3.0038627398463382,3.8056728470453267,3.8950119047619047,3.8950119047619034,3.836650806857143,4.3458394599542585,4.1911338224671955,4.1657134366438076,4.78875,5.215,4.666060992,3.4469641438448893,4.928935986739887,5.40812408921763,2.999375,3.3499999999999996,3.021774848,2.4318699498384966,3.265650325759897,3.2435184080882005,3.68625,4.097499999999999,3.758025344,3.399864614430163,3.763664767827091,3.907464767936883,3.8529166666666668,4.234583333333333,3.665186133333333,2.454301191233887,3.6890173645140996,3.4386316569693927,4.4953125,5.03125,4.538531712,3.9923291957239795,5.561637713783959,4.457495024677492,2.5456250000000002,2.3362499999999997,2.3401274240000003,1.7654992054431684,3.4085531062401095,3.8826129390506368,4.748125,4.728750000000001,4.28313888,3.9637807362496504,4.222871430238303,4.198348073299643,3.0688095238095245,3.8029761904761914,3.1725083611428575,3.54840507609473,3.5502375417472662,2.8974629157420018
1998-02-28,POMRB,3.8033333333333332,2.936666666666666,4.87,3.86,2.1533333333333333,3.936666666666666,5.0,3.01,3.61,4.596666666666667,4.505,3.855,6.01,3.151428571428572,3.672083333333333,3.9806250000000007,3.795781147733334,3.6772097606747667,4.676147550553992,4.249906455472923,2.8383333333333334,2.8983333333333334,2.7931808170666663,2.5736505918936854,3.600304137101597,4.214497035058351,4.774375000000001,5.0525,4.7046241408,4.212425304001156,5.022672898832244,4.497933000952703,4.201979166666667,4.2941666666666665,4.0093785728,3.2573515059066755,5.149423579449615,4.706581432457462,2.825833333333333,2.9716666666666667,2.624805243733334,2.737711595146036,2.909632313087542,3.2442851015465908,3.8950119047619047,3.8950119047619034,3.876657150780952,4.103336823785131,4.106613763569709,3.9366662441076237,4.925625,4.8,4.7996365952,3.6657765560946065,5.368749477809972,4.82083777944952,3.2031250000000004,3.102499999999999,3.0170649088,2.357554234550187,3.0141437617966425,3.268413880311316,3.88375,3.7849999999999993,3.6988152064,3.120027417662073,4.170245190202929,4.392163226352862,3.8058333333333336,4.115,4.037778346666666,2.8057080107044534,4.695662202939584,4.512119378807081,4.4265625,4.6575,4.525119027200001,3.922639395843509,4.405541779636481,4.497774477625596,3.259375,2.16125,2.9460764544,2.241283079276373,2.236378327215736,3.528649994900757,4.82625,4.857500000000001,4.973883327999999,4.555421108637761,5.069453565279628,4.799595263247117,3.101428571428572,3.2597619047619055,3.1640764452571433,3.0293064347194045,4.11871924312809,3.70983200616406
1998-05-31,PREMON,5.09,4.65,6.275,5.553333333333334,4.773333333333333,4.824166666666667,6.675,4.5150000000000015,5.36,5.3933333333333335,5.817500000000001,4.525,5.9350000000000005,4.4957142857142856,3.7537499999999997,3.5725000000000007,4.31346868864,4.0976066240740785,5.825314874591853,5.8138013638348855,3.035416666666667,2.6741666666666664,3.5359084902399998,3.3065027298904464,5.347893597879918,5.187846531332219,4.954375,4.54875,5.33277448448,5.068987885603966,6.887134578362718,6.9972517257918545,4.793645833333334,3.845,4.626960477013333,4.099899970406769,6.279829454170239,5.891052453772897,3.2604166666666665,2.6358333333333333,3.484216479573334,3.2316648666574546,3.7369700159839545,4.094859050303238,3.8950119047619047,3.895011904761904,4.2556609571352375,4.2884376231530545,4.811591807765991,4.824166001308392,5.143125,4.7775,5.54978195712,4.365939070218339,7.136487804034585,6.271557912987303,3.6081250000000002,2.8962499999999993,3.616238945280001,3.549261457784169,5.099176326471076,5.235941779532307,4.28,3.587499999999999,4.36328912384,4.096718447699999,5.721872841952038,5.539894549771882,3.9820833333333336,3.590833333333334,4.580000341333333,3.348061052465178,6.934654738688421,7.214821321275386,4.4621875,4.333124999999999,5.042071416320001,4.533211659863321,6.803566504976139,6.800514084091199,3.5549999999999997,2.93,3.5776458726400002,2.9458330222291957,3.0994051533587523,3.037379154957531,5.05375,4.638750000000001,5.3583299968,5.0870838649202925,7.226554560949199,7.625504231403747,3.362321428571429,2.8778571428571436,3.69673158144,3.3872069319544007,5.121819138040422,4.669729743769511
