Date,Season,Gohana,Ganaur,Sonepat,Kathura,Rai,Kharhauda,Mundlana,Gohana_Trend,Gohana_SMA,Gohana_EWMA,Gohana_DES,Gohana_TES,Gohana_ARIMA,Ganaur_Trend,Ganaur_SMA,Ganaur_EWMA,Ganaur_DES,Ganaur_TES,Ganaur_ARIMA,Sonepat_Trend,Sonepat_SMA,Sonepat_EWMA,Sonepat_DES,Sonepat_TES,Sonepat_ARIMA,Kathura_Trend,Kathura_SMA,Kathura_EWMA,Kathura_DES,Kathura_TES,Kathura_ARIMA,Rai_Trend,Rai_SMA,Rai_EWMA,Rai_DES,Rai_TES,Rai_ARIMA,Kharhauda_Trend,Kharhauda_SMA,Kharhauda_EWMA,Kharhauda_DES,Kharhauda_TES,Kharhauda_ARIMA,Mundlana_Trend,Mundlana_SMA,Mundlana_EWMA,Mundlana_DES,Mundlana_TES,Mundlana_ARIMA
2001-05-31,PREMON,8.652000000000001,7.235,4.572,4.44,4.636666666666667,4.746666666666666,5.2475,8.48625,8.505500000000001,8.404422178908051,7.385809371893171,7.4308907593123585,6.975474277826407,6.985833333333333,7.4675,7.022213606647309,6.851683890517788,7.533534985439657,5.989570891290854,3.1378958333333333,3.758000000000001,3.948471329919293,4.001519387957741,4.159683287036468,4.0095419646081965,3.9940625,3.769750000000001,3.9691644367123877,3.694327580588847,4.30491756203972,4.445160518888767,3.565,3.1650000000000027,3.700393377840303,4.595447401538073,5.739401377458686,3.5992089281214836,4.542729166666666,4.288041666666668,4.4514084870464075,4.469899983368586,4.976457560055964,4.919437822071628,4.3478125,4.45125,4.620279209483662,4.480160288146904,4.879889145838816,4.662987671874419
2001-08-31,MONSOON,7.848000000000001,6.795,2.03,4.272,3.2975,4.8325,3.67,8.665416666666669,8.182500000000001,8.18185330734483,7.463148360188415,7.151598069519171,7.408959651059065,7.100416666666667,7.0,6.931328163988385,6.956615009330416,8.29512970390363,7.751720940332893,3.1082083333333332,3.1980000000000013,3.1810827979515754,3.4912173221939673,4.359712054791767,4.09677399616692,3.8994375,4.066750000000002,4.090298662027433,3.8171484863552703,3.588003505244912,3.8102390292849884,3.4752083333333332,3.5243750000000027,3.539236026704182,4.07060673938339,4.200091272376417,3.330268119054246,4.648708333333333,4.5349166666666685,4.603845092227845,4.607930993838025,4.474442371397733,4.314523916402936,4.384375,4.358750000000001,4.240167525690197,4.246737277357932,4.542149331071547,3.9558700956565076
2001-11-30,POMKH,9.340000000000002,7.526666666666666,2.6425,3.276,3.235,4.355,4.359999999999999,8.470166666666668,8.790000000000003,8.645111984406899,7.803405637431287,7.477981932568369,5.822380744291202,7.3497916666666665,6.971666666666666,7.169463565059697,7.06315311311928,5.543418509807232,7.076679816889335,3.084625,3.077791666666668,2.965649678770945,3.2856016636496785,3.020214841751646,2.9800483778819524,3.882,3.9213750000000016,3.7645791972164595,3.68505536231386,3.7647250726813595,4.050968350542964,3.5602083333333328,3.6056250000000025,3.417541616022509,3.5369359093664117,3.488919992966857,3.4804395285861633,4.927604166666667,4.5505416666666685,4.504307055336707,4.5787553071584775,4.15221620884963,4.272068014117852,4.3994374999999994,4.336875000000001,4.288100515414118,4.287557076185312,3.9238997080298423,4.054094291420197
2002-02-28,POMRB,8.323333333333332,7.3599999999999985,3.31,3.522,2.21,5.053333333333334,4.45,8.477666666666666,8.540833333333335,8.516400523977472,7.890993211516337,8.065384775241773,7.0949322679166,7.736041666666666,7.229166666666666,7.245678139035817,7.171322809491838,8.143236553580309,7.005751456321045,3.3725000000000005,3.1386250000000016,3.103389807262567,3.318437327648622,3.0643575436968025,2.9147774936748982,3.9078125,3.8775000000000013,3.667547518329876,3.639319675405196,3.68231511665676,3.663712232833711,4.1146875,3.3447916666666693,2.934524969613505,2.386876598243332,4.1709748931534945,3.49396994200775,5.246770833333333,4.746875000000002,4.723917566535357,4.7483683615831005,4.547599985691844,4.593822496118866,4.5441875,4.431875000000001,4.35286030924847,4.34307211923873,4.175586389346607,3.4323026047976835
2002-05-31,PREMON,8.086666666666668,8.2,4.1400000000000015,4.476,6.36,6.1925,4.988,8.371145833333333,8.399500000000002,8.34450698105315,7.918194843079465,8.220581339876848,7.004870527921599,8.044583333333334,7.470416666666665,7.627406883421489,7.281149088839175,8.083536724510664,7.84901857510697,3.879895833333334,3.0306250000000023,3.518033884357541,3.5707356147867237,4.06056094177277,3.7239423691394737,3.9848749999999997,3.8865000000000007,3.9909285109979256,3.821215588303996,4.362972812900997,4.508476725901346,4.501874999999999,3.7756250000000025,4.304714981768104,6.295140441660534,5.61717322434637,3.546044584971499,5.366666666666667,5.108333333333335,5.311350539921214,5.184718814893644,5.41200775790303,5.237345235906541,4.707,4.367000000000001,4.606916185549082,4.542176127373472,5.037938288651059,4.881747946102209
2002-08-31,MONSOON,8.473333333333333,8.92,4.7650000000000015,4.4425,6.01,5.94,5.0875,8.143541666666668,8.555833333333336,8.396037521965223,8.012195170491726,7.687183143782876,6.897006597086555,8.112499999999999,8.001666666666665,8.144444130052893,7.392657320765998,8.904071119090393,8.379736539002678,4.062916666666667,3.7143750000000026,4.016820330614525,3.9275243864520983,3.1851399728258913,2.7376337584357953,4.109125000000001,3.9291250000000004,4.171557106598756,3.9536648684093625,3.6385285744636686,3.922947334339687,4.625,4.453750000000003,4.986828989060863,8.10814032192698,4.260043028602141,3.781893318897373,5.343020833333334,5.385208333333336,5.5628103239527285,5.4363940241035085,5.22428528803108,5.04725744161612,4.7170000000000005,4.721375,4.799149711329449,4.711991425911757,4.5457794146670985,3.9029083822496005
2002-11-30,POMKH,7.8625000000000025,7.87,3.966666666666667,3.722,3.62,4.206666666666667,4.245,8.103125,8.186458333333336,8.182622513179135,7.975046262330908,8.030397356892022,7.342159530222462,8.20375,8.087499999999999,8.034666478031737,7.505873258269944,6.367676494661978,8.198236929957758,4.086666666666667,4.04541666666667,3.996758865035382,3.96951877874262,3.7869952506504534,3.492343781473184,4.1275,4.040625,3.9917342639592537,3.891685888763906,3.8562124071908435,4.047503718793694,4.529999999999999,4.550000000000003,4.440097393436518,5.935549824474091,3.858842015425162,4.059165603548344,5.256041666666667,5.348125000000002,5.020352861038305,5.1471687071831065,5.013323991006329,5.29440486483766,4.7556875,4.6926250000000005,4.577489826797669,4.581019628340434,4.4504106686586615,4.640766176104801
2003-02-28,POMRB,7.98,7.56,3.45,4.07,2.81,5.0125,4.645,7.814791666666667,8.100625000000003,8.101573507907482,7.966692277526224,8.237133348334911,6.79812031952582,8.262916666666667,8.1375,7.844799886819041,7.620823056555817,8.899191738482823,7.450528700682655,3.7919791666666676,4.08041666666667,3.778055319021229,3.858228401148316,4.229841578696236,3.9477227915970183,3.9343125,4.177625000000001,4.023040558375552,3.9231569401404456,3.8948414194313443,3.8584236551269075,3.99125,4.700000000000003,3.7880584360619105,3.660368881720769,4.314580888757102,3.8076866707961474,5.140833333333333,5.337916666666668,5.017211716622983,5.155032730072842,5.0946769963452025,5.504529073150115,5.1118125,4.741375000000001,4.604493896078601,4.607743960863811,4.464852176546322,3.950468734359006
2003-05-31,PREMON,8.106666666666667,8.73,4.19,4.075,5.0,5.5375,5.1025,7.483437500000002,8.105625000000003,8.103610771411155,7.983450519034579,8.295737412072809,6.8804655485665895,8.428333333333335,8.27,8.198879932091424,7.737533273688366,8.760532979658437,8.072714928521462,3.3367708333333335,4.09291666666667,3.9428331914127375,3.9801379679386057,4.839015664756218,4.392086652986545,3.75175,4.077375000000001,4.043824335025331,3.9485299112989627,4.690037732290957,4.829289908986826,3.5462500000000006,4.360000000000003,4.272835061637146,4.418060839015454,6.159706169425798,4.356987114276434,5.156979166666666,5.174166666666669,5.225327029973789,5.304450403364895,5.776189564399557,5.697053574326851,5.4126875,4.7700000000000005,4.80369633764716,4.762630047314699,5.292342468710556,4.9395883181445
2003-08-31,MONSOON,6.1466666666666665,8.863333333333333,2.3575,3.2980000000000005,3.06,5.673333333333333,7.822,7.397708333333333,7.523958333333337,7.3208331295133595,7.63267812146519,7.751995884390983,7.352526691068658,8.679583333333333,8.255833333333332,8.464661292588188,7.856030866629726,9.560190391165406,7.3998869743181634,3.1190625,3.4910416666666695,3.3086999148476424,3.5656000974184834,4.260550162338351,4.180000837371248,3.6232500000000005,3.7912500000000016,3.745494601015199,3.7912356837066636,3.717014994688345,4.06284278613247,3.5637499999999998,3.6225000000000027,3.7877010369822877,3.2444940063299494,4.776551002717342,4.415028662602616,5.186145833333333,5.107500000000002,5.404529551317607,5.451449331579469,5.2714060553301945,5.192163565835373,5.2764375,5.453625000000001,6.011017802588296,5.680517367521221,4.748443884292387,4.158893204699007
