Date,Season,Pathna,Barharwa,Rajmahal,Borio,Barhait,Pathna_Trend,Pathna_SMA,Pathna_EWMA,Pathna_DES,Pathna_TES,Pathna_ARIMA,Barharwa_Trend,Barharwa_SMA,Barharwa_EWMA,Barharwa_DES,Barharwa_TES,Barharwa_ARIMA,Rajmahal_Trend,Rajmahal_SMA,Rajmahal_EWMA,Rajmahal_DES,Rajmahal_TES,Rajmahal_ARIMA,Borio_Trend,Borio_SMA,Borio_EWMA,Borio_DES,Borio_TES,Borio_ARIMA,Barhait_Trend,Barhait_SMA,Barhait_EWMA,Barhait_DES,Barhait_TES,Barhait_ARIMA
1996-02-29,POMRB,4.945,4.46,3.785,4.3425,8.73,,,4.945,9.608643391443017,4.955,0.0,,,4.46,3.926686596851289,4.47,0.0,,,3.785,3.3173343520633,3.8542783556875286,0.0,,,4.3425,5.9225570006101185,3.585386249594262,0.0,,,8.73,6.488670487413652,8.74,0.0
1996-05-31,PREMON,7.736666666666667,8.82,4.23,5.2175,12.24,,,6.061666666666667,12.471020935235654,7.756112650046169,-1.9919923337284213e-07,,,6.204000000000001,4.90686492581581,8.839445983379502,4.459984360667186,,,3.963,3.337724146934539,4.360353308913539,3.9715227399210534e-12,,,4.692500000000001,6.756784196620749,5.630742079302553,4.342491185669238,,,10.134,7.326965375435489,12.258836565096953,-1.1654034319220138e-10
1996-08-31,MONSOON,2.106666666666667,5.5,2.52,1.5833333333333333,2.72,4.7515833333333335,,4.479666666666668,9.773574341748638,2.135007609415726,-2.9467681260427327e-07,6.415,,5.9224000000000006,4.624087071946567,5.528340942749058,6.654257468869592,3.265,,3.3858,3.116128076818086,2.69588549803348,-2.797110935607518e-11,3.6334375000000003,,3.448833333333334,6.01745087438916,2.6529686916945363,4.868852455531021,7.0892857142857135,,7.1684,5.087603009768255,2.74653425004412,-2.2159420397352593e-10
1996-11-30,POMKH,4.218,6.0,2.43,3.3200000000000003,6.387142857142856,4.7515833333333335,4.751583333333334,4.375000000000001,8.05940112166971,4.254689239595706,8.689292749558819e-08,6.4174999999999995,6.195,5.9534400000000005,4.727586029585914,6.036689239595705,6.115275985026775,3.336875,3.24125,3.00348,2.9075653730418045,2.657038983881571,-3.7111306920260694e-11,3.741354166666667,3.6158333333333337,3.3973000000000004,5.735812392656811,3.1465811164702187,3.252963348663338,6.659285714285714,7.519285714285713,6.855897142857142,4.745663101157556,6.42027050119739,-2.345717420733786e-10
1997-02-28,POMRB,4.945,6.22,3.975,4.483333333333333,5.29,4.751583333333334,4.751583333333334,4.603000000000001,6.814224892906252,4.989495520155145,4.944999585665246,6.159999999999999,6.635,6.060064000000001,5.011355522296131,4.501338625418302,5.055945693750736,3.3862500000000004,3.2887500000000003,3.392088,2.9551370738027596,4.028913618498015,3.5539086550939523,3.8783333333333334,3.651041666666667,3.8317133333333335,5.754037715011496,3.589470524952611,4.127964043192563,6.688035714285714,6.659285714285713,6.229538285714286,4.299306742086141,8.762870457597874,8.592322708340186
1997-05-31,PREMON,7.736666666666667,7.08,4.615,5.94,12.24,4.751583333333333,4.751583333333334,5.856466666666668,7.4477789087407995,7.788434409622846,7.736666018807257,6.08625,6.199999999999999,6.468038400000001,5.684537888596435,8.963310673120924,7.821813611368077,3.4749999999999996,3.3850000000000007,3.8812528,3.110592514020343,4.514313330825074,3.9717393952573503,3.9075,3.831666666666667,4.675028,6.190150564834728,5.645456997106062,4.9306784218247115,6.716785714285714,6.659285714285712,8.633722971428572,6.701054663152135,11.872728088730405,12.04696792097402
1997-08-31,MONSOON,2.106666666666667,5.18,2.53,1.9566666666666668,2.95,4.7515833333333335,4.751583333333334,4.3565466666666675,4.692367582087749,2.1651805380077875,2.1066665928920036,6.08,6.119999999999999,5.95282304,5.49636659145057,5.550662325138402,5.926520131154564,3.548958333333333,3.387500000000001,3.34075168,2.9557065239669407,2.847736016112144,2.366142618450135,3.841458333333333,3.9250000000000003,3.587683466666667,5.158299233229776,2.722705634865348,2.3708227206312826,6.931785714285714,6.716785714285712,6.360233782857144,5.417183502278105,2.361540078902679,2.677103982436057
1997-11-30,POMKH,4.218,5.73,3.13,3.18,6.387142857142856,4.7515833333333335,4.751583333333334,4.301128,3.9822477414354687,4.28274290671737,4.217999690988796,6.04375,6.052499999999999,5.863693824,5.564304087014092,6.036772912929125,6.484631859919732,3.5835416666666666,3.562500000000001,3.256451008,2.907516756887344,2.782379110686701,2.2816375249334513,3.7079166666666667,3.8900000000000006,3.4246100800000003,4.587646969453693,3.239919133895251,3.394075604452821,7.146785714285714,6.716785714285713,6.370997412571429,5.587500999690567,6.067937532488237,6.286413815902821
1998-02-28,POMRB,4.945,6.44,3.8666666666666663,4.095,7.01,4.751583333333334,4.751583333333334,4.558676800000001,4.05585352838337,5.015463809096173,4.944999897202608,5.995,6.1075,6.094216294400001,5.925940518722682,5.039195971012892,5.303609947016024,3.718072916666667,3.5354166666666678,3.5005372714666665,2.9821495594587804,4.243929209425233,3.7604825314859145,3.680833333333333,3.7929166666666667,3.692766048,4.377100003673115,3.664669236200024,4.261048741351363,7.132410714285714,7.146785714285713,6.626598447542857,6.010386091121652,6.431841288273994,6.606891902637303
1998-05-31,PREMON,7.736666666666667,6.57,5.0,5.26,12.24,4.751583333333333,4.751583333333334,5.829872746666667,6.015515239405581,7.812355196216966,7.736666524755337,5.938750000000001,5.98,6.28452977664,6.285990679006069,8.343760692159844,7.7518999555704236,3.8244791666666664,3.631666666666668,4.10032236288,3.2358527172768268,4.75871113248234,4.2780345414034775,3.745625,3.622916666666666,4.3196596288,4.589010477694083,5.684621504529436,5.3238554058293195,7.118035714285714,7.146785714285713,8.871959068525715,8.522361243365513,12.21189627952453,12.123684823192802
