Date,Season,Pondi,Kartala,Korba,Pali,Katghora,Pondi_Trend,Pondi_SMA,Pondi_EWMA,Pondi_DES,Pondi_TES,Pondi_ARIMA,Kartala_Trend,Kartala_SMA,Kartala_EWMA,Kartala_DES,Kartala_TES,Kartala_ARIMA,Korba_Trend,Korba_SMA,Korba_EWMA,Korba_DES,Korba_TES,Korba_ARIMA,Pali_Trend,Pali_SMA,Pali_EWMA,Pali_DES,Pali_TES,Pali_ARIMA,Katghora_Trend,Katghora_SMA,Katghora_EWMA,Katghora_DES,Katghora_TES,Katghora_ARIMA
1996-02-29,POMRB,5.7620000000000005,4.49,7.065,5.348333333333333,5.3933333333333335,,,5.7620000000000005,5.588612981193352,6.061430909979958,0.0,,,4.49,3.48687939640713,4.146972580103342,0.0,,,7.065,7.280574945595991,7.0373889709353605,0.0,,,5.348333333333333,5.019394310818981,5.054839273386365,0.0,,,5.3933333333333335,11.026914842696728,5.239404836265317,0.0
1996-05-31,PREMON,8.998333333333333,6.14,9.205,6.51625,8.716666666666667,,,7.056533333333334,5.7122125812640885,8.426012536890207,2.915159064736387,,,5.15,3.9640505381278213,6.328643221163446,4.489986330960849,,,7.921,7.896704994531249,9.468130767448624,6.111241760854936,,,5.8155,5.138791543310493,6.99427176590724,3.7604942647293806,,,6.722666666666667,14.588393797902429,7.56366696189146,3.1367775903687503
1996-08-31,MONSOON,3.22,1.21,5.58,2.144285714285714,0.8166666666666668,5.944416666666667,,5.521920000000001,4.285749573441868,4.136255603260837,4.7342264517271,4.074999999999999,,3.5740000000000003,3.179550041723823,1.9442249958095612,5.487495968229452,7.151250000000001,,6.9846,7.016703063451656,4.954476911167073,7.778084897385551,4.446949404761905,,4.347014285714286,4.884031841881753,3.2281317489611028,4.741622575468075,4.60875,,4.360266666666667,10.619286525535143,2.5510591840515597,5.124556617280724
1996-11-30,POMKH,4.706666666666667,3.53,6.2700000000000005,3.8516666666666666,2.93,6.272916666666666,5.67175,5.195818666666667,3.766461268598518,4.592011246648411,3.228887490848197,4.396249999999999,3.8425,3.5564,3.089638864662519,3.035126319560174,3.28158601826446,7.310625,7.03,6.69876,6.695956969884871,6.680170496656935,5.603826966751296,4.495952380952381,4.465133928571428,4.148875238095238,4.792942272033951,3.0155527872660666,3.030743852568926,4.974166666666667,4.464166666666666,3.7881600000000004,7.773307489042998,3.4801826203378226,2.240510106483658
1997-02-28,POMRB,7.9433333333333325,6.35,8.035,5.202857142857141,6.55,6.490499999999999,6.217083333333333,6.294824533333333,4.524296906217484,5.922319194267795,5.588656657701568,4.751250000000001,4.307499999999999,4.67384,3.780848687479398,4.234320959667796,4.377767266706712,7.482499999999999,7.2725,7.233256,7.11114111132405,7.023067904166842,6.402736053901885,4.7677604166666665,4.4287648809523805,4.570467999999999,4.822058401884814,4.827602256061142,4.903054765160578,5.359583333333334,4.753333333333333,4.892896,7.430048878301079,5.075994061149287,4.862070845188129
1997-05-31,PREMON,9.445,6.85,9.51,7.053750000000001,10.483333333333334,6.653291666666666,6.328749999999999,7.55489472,5.83712341132948,9.098641134547503,9.55637989227567,5.06375,4.484999999999999,5.544304,4.596718484582515,6.415991602131672,6.391152532345173,7.6206249999999995,7.348750000000001,8.1439536,7.895470071155397,10.152794455760722,8.769176179357693,4.909047619047619,4.563139880952381,5.5637808,5.0028580578068516,6.816737567908762,6.0372875891712265,5.531666666666667,5.195,7.129070933333335,9.571953678932188,7.673193542579744,8.568449488671527
1997-08-31,MONSOON,4.5139999999999985,3.34,6.65,3.78125,2.1333333333333333,6.265166666666666,6.6522499999999996,6.338536831999999,5.379771164468164,4.729837981407334,3.3179226862468196,4.737499999999999,5.017499999999999,4.6625824,4.414127764877315,2.031573377264775,1.7981814128149622,7.351875000000001,7.616250000000001,7.54637216,7.392083464165539,5.369534330603004,6.37536104869006,4.668794642857143,4.972380952380952,4.85076848,4.8958842335268455,3.485270452468452,2.776573153290647,5.07375,5.524166666666667,5.130775893333334,6.098205559168391,3.0032137189406796,2.0724755569046893
1997-11-30,POMKH,4.715,3.9,6.305,3.345,2.99,5.554958333333333,6.654333333333333,5.6891220992,5.059113511661992,5.430614389296402,4.7660782527530685,4.07125,5.1099999999999985,4.35754944,4.367933130351799,3.1224747026642423,3.930895789103311,6.930625000000001,7.625000000000001,7.049823296,6.948557281388431,7.5603148625406,6.546941924647037,4.192477678571429,4.845714285714285,4.248461088,4.761600988122542,4.111494435067929,4.579807941163116,3.9329166666666664,5.539166666666667,4.274465536000001,4.1255409365041205,4.111082468070217,3.1911342065269697
1998-02-28,POMRB,4.83,3.37,5.85,3.7875,2.8266666666666667,5.262479166666666,5.876,5.345473259519999,4.845331920055337,6.470476555679725,6.8753961200179425,3.56625,4.364999999999998,3.962529664,4.169482496565322,4.321669343024654,5.4912772884948815,6.675,7.07875,6.5698939776,6.504678316851376,7.30305948704229,7.194788181843689,3.750736607142857,4.491875,4.0640766528,4.675491797417467,4.949310211965857,4.8056849899261405,3.1483333333333334,4.608333333333333,3.6953459882666673,2.9104978658090386,5.58885545906308,5.795450932336255
1998-05-31,PREMON,6.876666666666666,4.5,8.325,4.658571428571428,5.08,5.177666666666666,5.2339166666666666,5.957950622378666,5.387008075387614,8.365932308164922,8.146466059348086,3.2984375000000004,3.7774999999999985,4.1775177984,4.274997210654725,6.503339983015313,5.810853580284496,6.51625,6.782500000000001,7.27193638656,7.090649042140896,8.682349523558402,7.452486804776331,3.650424107142857,3.893080357142857,4.301874563108571,4.66918495152563,6.004055883838776,5.694767083209577,2.9808333333333334,3.2575000000000003,4.24920759296,3.5210080857010206,7.310185274046116,7.640913662078619
