Date,Season,Pathargama,Sundar Pahari,Mahagama,Meherma,Boarijor,Poreyahat,Godda,Pathargama_Trend,Pathargama_SMA,Pathargama_EWMA,Pathargama_DES,Pathargama_TES,Pathargama_ARIMA,Sundar Pahari_Trend,Sundar Pahari_SMA,Sundar Pahari_EWMA,Sundar Pahari_DES,Sundar Pahari_TES,Sundar Pahari_ARIMA,Mahagama_Trend,Mahagama_SMA,Mahagama_EWMA,Mahagama_DES,Mahagama_TES,Mahagama_ARIMA,Meherma_Trend,Meherma_SMA,Meherma_EWMA,Meherma_DES,Meherma_TES,Meherma_ARIMA,Boarijor_Trend,Boarijor_SMA,Boarijor_EWMA,Boarijor_DES,Boarijor_TES,Boarijor_ARIMA,Poreyahat_Trend,Poreyahat_SMA,Poreyahat_EWMA,Poreyahat_DES,Poreyahat_TES,Poreyahat_ARIMA,Godda_Trend,Godda_SMA,Godda_EWMA,Godda_DES,Godda_TES,Godda_ARIMA
2006-11-30,POMKH,2.7,7.03,3.68,2.5,5.8,4.0,2.7,3.9234375000000004,3.737499999999997,3.6288996795027306,4.41235531032365,3.7176943921069574,3.490244061037215,8.4528125,8.4625,8.202053625514127,8.168561559227552,6.96615340940139,7.441503791908657,4.698958333333334,4.625833333333329,4.17244144813398,4.423585162352733,4.79211510528706,4.022750892887703,4.2125,4.304166666666667,3.8487905528607964,4.051646615180104,2.5604672831750923,3.4921867466118766,7.01484375,6.969999999999998,6.678268695884368,7.058952754793848,6.2138465205676425,6.036473153511912,6.034375,5.972500000000002,5.371335693464081,6.5218619426969004,5.162731807076712,5.311390242494799,4.231041666666666,4.465000000000001,4.021464682702456,3.921774907503739,3.8297757124683027,3.983500663556522
2007-02-28,POMRB,4.0,6.44,5.4,3.6,7.0,6.5,3.45,3.6268749999999996,3.849999999999997,3.7773398077016385,4.357964767127635,4.2702930143523,4.041977510422975,8.35875,8.45,7.4972321753084765,8.038866323316581,7.981294885364252,7.762501942995749,4.679166666666667,4.689583333333329,4.6634648688803875,4.4811101981066495,6.127778614339611,5.9384410378442425,3.8164583333333333,4.279166666666668,3.749274331716478,4.0401636639762435,3.435947614737392,3.695156159448627,6.614687499999999,6.989999999999998,6.8069612175306204,7.193081053875139,6.36156901606385,6.173353072544302,5.992500000000001,5.935000000000002,5.822801416078448,6.507807843043724,6.888663235139781,6.940226691506061,3.7783333333333333,4.2250000000000005,3.792878809621474,3.3421174186115024,4.11461390594504,3.892953885122206
2007-05-31,PREMON,5.2875,11.662499999999998,7.25,5.083333333333333,7.628749999999998,9.195,5.448333333333334,3.306875,3.9968749999999966,4.381403884620983,4.540069980335537,5.529632213459264,5.132490099022899,8.025625,8.455624999999998,9.163339305185085,8.266689596147904,11.180146399623167,10.649102554988982,4.652500000000001,4.708333333333329,5.698078921328232,4.946399374280368,7.516461611749097,7.5406251560866275,3.4620833333333336,4.145833333333334,4.28289793236322,4.272445227948017,4.663156135265954,4.737154116917387,6.0309375,7.039687499999998,7.135676730518371,7.4338011937624815,8.865760299022151,7.963844981750972,5.88875,6.133750000000003,7.171680849647069,6.723337327725386,7.9058052689905125,8.83369107073542,3.2945833333333336,4.237083333333334,4.455060619106218,4.7560688641252815,5.9737511674130745,5.665931219668135
2007-08-31,MONSOON,1.04,7.915,2.27,2.765000000000001,4.33,3.71,1.68,3.356875,3.2568749999999964,3.04484233077259,3.9407871810878303,2.7106168001942397,3.3287293340076145,7.846875,8.261874999999998,8.66400358311105,8.238500778042356,7.292716028186684,7.609799220707188,4.6409375,4.649999999999995,4.326847352796939,4.361959934929617,4.479136283819081,4.211000509598194,3.4620833333333336,3.487083333333334,3.675738759417932,4.094541378111956,2.025398782095787,2.678382582216537,5.8721875,6.189687499999997,6.013406038311023,6.944391280782388,7.394579403577892,5.686895242100942,5.7162500000000005,5.851250000000003,5.787008509788241,6.455417451541339,5.872378702544543,6.304348390927535,3.3352083333333336,3.3195833333333344,3.3450363714637312,2.7517526392711695,3.539895603994629,3.5061606377758983
2007-11-30,POMKH,3.1,5.14,3.7,2.3000000000000003,4.53,4.3,2.5,3.4021875,3.356874999999997,3.066905398463554,3.743760999058608,2.722774361437585,2.4564972058019636,7.846562500000001,7.789374999999998,7.25440214986663,8.022147113560123,6.895124905111552,7.2207972803327864,4.633125,4.654999999999995,4.076108411678163,4.123550314943005,4.7699265669332735,3.9440517112502778,3.6141666666666667,3.4370833333333337,3.125443255650759,3.8573322122122624,2.614318918280135,2.451752931384938,5.76546875,5.872187499999997,5.420043622986613,6.502022860349661,5.787823885826173,5.848592860999324,5.5443750000000005,5.926250000000003,5.192205105872945,6.2606964312615165,4.734878191539602,4.8023013884198384,3.419791666666667,3.269583333333334,3.007021822878239,2.239298824155417,3.4126915294662794,3.206867799812615
2008-02-29,POMRB,4.0,6.9,5.2875,3.8,7.0,4.82,3.975,3.605,3.356874999999997,3.4401432390781324,3.7268501335578708,3.708971285689965,4.16772149603325,7.254375,7.904374999999997,7.112641289919978,7.928012432260534,7.441066630825074,7.152621371775559,4.675,4.626874999999995,4.560665047006898,4.247985680064979,6.126250135556316,5.815793702969996,3.620625,3.487083333333334,3.3952659533904552,3.890996249074554,3.4897992488500567,3.610186187522927,5.67125,5.872187499999997,6.052026173791968,6.592710846114731,6.011901179807936,5.934593329061933,5.61875,5.506250000000003,5.043323063523767,6.126903070408467,6.5892503918864636,6.935718396850426,3.494375,3.4008333333333347,3.3942130937269432,3.2742216486318187,3.7959072240491687,3.7114218895366413
2008-05-31,PREMON,5.65,11.2,7.3,6.1,6.775,9.5,5.6,3.7375,3.4474999999999967,4.32408594344688,4.020763438866499,5.142792277679417,5.145584027899846,6.9418750000000005,7.788749999999998,8.747584773951985,8.128498607380958,11.051525960886606,10.665282990360888,4.904375,4.639374999999995,5.656399028204138,4.810236601239439,7.539628630642584,7.4689001582496095,3.5562500000000004,3.741250000000001,4.477159572034273,4.298663565153514,4.717007770746998,4.882925998500404,5.86125,5.658749999999998,6.34121570427518,6.633117149538261,7.865092261922007,7.6888313095945975,5.654999999999999,5.582500000000003,6.82599383811426,6.40126673665966,7.362766953757177,8.465002227946245,3.5749999999999997,3.4387500000000015,4.276527856236166,5.590720149085131,5.720114890575913,5.619556512812027
2008-08-31,MONSOON,2.3,3.64,2.555,1.8,4.43,4.0,2.125,3.6875,3.7624999999999966,3.5144515660681277,3.6995825611828126,2.5567024181060987,3.245792339415495,7.163749999999999,6.719999999999997,6.704550864371191,7.814578687556383,7.13414233112278,7.398736075179354,5.0878125,4.710624999999995,4.415839416922482,4.353664495782469,4.398016984676483,3.790792910004095,3.69375,3.500000000000001,3.406295743220564,3.951900691809224,2.0792504237625518,3.1575984255873935,5.940625000000001,5.683749999999998,5.5767294225651085,6.183853392753696,5.729678346021094,5.243777651008364,5.84,5.655000000000003,5.695596302868555,6.185814478920482,5.478989566500054,5.943370898288507,3.6218749999999993,3.5500000000000016,3.4159167137416997,3.877497838589344,3.019131449498063,3.1221755343501916
2008-11-30,POMKH,2.9,6.914999999999999,5.25,2.75,5.95,4.3,2.7,3.58125,3.7124999999999964,3.2686709396408764,3.507248737518473,3.008362505949736,2.921214787863792,7.225,7.163749999999997,6.788730518622715,7.72713459138764,5.865349144867391,5.9065665873027005,5.015625,5.098124999999995,4.749503650153489,4.49003963929794,4.750202744857507,3.886864746252201,3.3687500000000004,3.6125000000000007,3.143777445932338,3.7979865720172756,2.668170551920549,2.0863808818631098,5.930625000000001,6.038749999999998,5.726037653539065,6.07804887791226,4.90584257409275,5.477956309278473,5.987500000000001,5.655000000000003,5.137357781721133,6.014443216240156,4.462083398272607,4.787620073192743,3.58125,3.6000000000000014,3.1295500282450197,3.071519345395466,3.137326775263342,3.0931486004286177
2009-02-28,POMRB,3.8,6.9,5.205,4.45,6.215,6.3,4.15,3.31,3.662499999999996,3.481202563784526,3.4951651506152417,3.8436187382560796,4.089067073924908,8.24875,7.163749999999997,6.833238311173629,7.641292244249573,6.866788001475096,7.121355380619865,5.187291666666667,5.077499999999995,4.931702190092094,4.616841645843782,6.119937198983458,5.695773144183028,2.88875,3.7750000000000004,3.666266467559403,3.9388941703267846,3.5436508860553757,3.784941285712619,6.1075,5.842499999999998,5.921622592123439,6.042820536168466,6.193716250341244,5.981424360499443,6.895,6.025000000000003,5.6024146690326795,6.027388193485618,6.364594363302714,6.579178379932288,3.4812499999999997,3.643750000000001,3.5377300169470116,3.7648167922697895,3.7718861186057038,3.7614177177710086
