Date,Season,Malshiras,Solapur North,Mohol,Sangole,Barshi,Karmala,Akkalkot,Solapur South,Pandharpur,Mangalvedhe,Madha,Malshiras_Trend,Malshiras_SMA,Malshiras_EWMA,Malshiras_DES,Malshiras_TES,Malshiras_ARIMA,Solapur North_Trend,Solapur North_SMA,Solapur North_EWMA,Solapur North_DES,Solapur North_TES,Solapur North_ARIMA,Mohol_Trend,Mohol_SMA,Mohol_EWMA,Mohol_DES,Mohol_TES,Mohol_ARIMA,Sangole_Trend,Sangole_SMA,Sangole_EWMA,Sangole_DES,Sangole_TES,Sangole_ARIMA,Barshi_Trend,Barshi_SMA,Barshi_EWMA,Barshi_DES,Barshi_TES,Barshi_ARIMA,Karmala_Trend,Karmala_SMA,Karmala_EWMA,Karmala_DES,Karmala_TES,Karmala_ARIMA,Akkalkot_Trend,Akkalkot_SMA,Akkalkot_EWMA,Akkalkot_DES,Akkalkot_TES,Akkalkot_ARIMA,Solapur South_Trend,Solapur South_SMA,Solapur South_EWMA,Solapur South_DES,Solapur South_TES,Solapur South_ARIMA,Pandharpur_Trend,Pandharpur_SMA,Pandharpur_EWMA,Pandharpur_DES,Pandharpur_TES,Pandharpur_ARIMA,Mangalvedhe_Trend,Mangalvedhe_SMA,Mangalvedhe_EWMA,Mangalvedhe_DES,Mangalvedhe_TES,Mangalvedhe_ARIMA,Madha_Trend,Madha_SMA,Madha_EWMA,Madha_DES,Madha_TES,Madha_ARIMA
1996-02-29,POMRB,4.765,6.846666666666668,7.899999999999999,12.345999999999998,6.96,4.9025,7.273333333333331,6.666666666666668,6.803750000000001,8.097142857142856,9.11,,,4.765,4.661089915994427,4.043499254660072,0.0,,,6.846666666666668,6.670740805459873,6.511220323974546,0.0,,,7.899999999999999,7.224832461291918,6.497721452820392,0.0,,,12.345999999999998,12.123874663041283,12.108057032286357,0.0,,,6.96,5.264409212504643,6.977027787342064,0.0,,,4.9025,4.795206020468819,4.633338388002537,0.0,,,7.273333333333331,5.973284592124646,5.222193280391748,0.0,,,6.666666666666668,6.032039674434812,5.7017912433446485,0.0,,,6.803750000000001,6.856763766458503,6.741416802824186,0.0,,,8.097142857142856,7.105409727860301,7.158671409120511,0.0,,,9.11,8.329316261575991,7.633725549974654,0.0
1996-05-31,PREMON,6.15,8.4,8.745999999999999,16.318571428571428,11.79,5.8875,6.7,7.073333333333332,8.9875,6.632499999999999,7.6,,,5.319,4.873972693323719,5.821125977886672,2.2639530895056974,,,7.468000000000001,6.992452947716885,9.130836857075927,4.613512103981671,,,8.238399999999999,7.687175366268927,9.642123780398547,7.899954725806995,,,13.935028571428571,13.516240110221887,13.327568396239908,11.108935214637281,,,8.892,6.721483454158922,9.43983408296015,5.111450427396846,,,5.2965,5.01208383216977,6.011508395913234,2.4531243960590285,,,7.043999999999999,6.072697764826811,7.922133100208203,3.8834458353380685,,,6.829333333333334,6.263987059409496,8.665296061558369,5.396096406573637,,,7.677250000000001,7.410631018722622,8.657116779363095,6.293898967541989,,,7.511285714285714,6.9911256576440675,9.364883457913818,4.989602040592918,,,8.506,8.127206136996145,11.617089082719925,5.97590068433416
1996-08-31,MONSOON,5.41,7.109999999999999,7.236666666666667,8.66888888888889,5.413333333333332,5.28,6.0566666666666675,6.173333333333333,7.43125,8.913333333333332,8.696666666666667,4.332291666666666,,5.3553999999999995,4.925775408897731,4.592078465393771,3.1574273593494295,6.3,,7.3248,6.959228434789147,6.780915084488568,5.865558966316416,6.963374999999999,,7.837706666666666,7.6094532268143285,7.834245465296571,8.366503051938642,11.225531746031747,,11.828572698412698,11.47746205148498,12.910372090701532,14.447990095302139,6.946369047619047,,7.500533333333332,6.33070448600277,7.774001346115468,7.789347287973224,4.907812500000001,,5.289899999999999,5.059721704647619,4.8809887362375495,3.207240042803606,5.59625,,6.649066666666666,6.075668927791722,6.5752833061076466,4.12811444039945,5.50125,,6.566933333333334,6.238439887849626,5.762919664962658,6.12421340229227,7.060625,,7.57885,7.388599709882473,7.385352830547925,8.211884357662772,6.91110119047619,,8.072104761904761,7.3489085737000295,5.963957881518294,4.754580305570656,7.823333333333332,,8.582266666666667,8.239485869852109,5.881426649984208,7.16670755789802
1996-11-30,POMKH,1.8166666666666669,4.0,5.575,9.173333333333336,4.3585714285714285,4.025,4.383333333333333,3.35,5.7875,4.842857142857143,7.483333333333332,3.8551041666666666,4.535416666666666,3.9399066666666664,4.340657807757447,3.909169679169627,3.4977960521554703,5.880416666666667,6.589166666666667,5.99488,6.2538804344470575,5.908194613644853,5.706229195957215,6.3001249999999995,7.364416666666666,6.932623999999999,7.095164245982773,5.5150321846582315,7.871087907563678,10.082824900793652,11.626698412698413,10.766476952380952,10.42946588024027,10.171200807576833,8.442798008859917,6.172261904761904,7.130476190476191,6.243748571428571,5.787117475852971,5.595296925554711,7.969120803212558,4.666250000000001,5.02375,4.783939999999999,4.840363138394164,4.191295345776346,3.581923391520071,4.980416666666667,6.103333333333333,5.742773333333333,5.860795857128262,4.574338250224628,4.841410162161711,5.071562500000001,5.815833333333334,5.28016,5.5769266485166815,4.62846184437757,6.0331482460744255,6.5337499999999995,7.252500000000001,6.862309999999999,6.925634557633603,6.252692155162301,6.205412065622424,6.874431547619047,7.121458333333333,6.780405714285714,6.833465433065885,5.7051896750556415,6.721527038795578,7.759583333333333,8.2225,8.142693333333334,8.031172137557606,5.773235574296218,6.923380137713835
1997-02-28,POMRB,3.14,4.533333333333333,4.691666666666666,9.136666666666667,5.487142857142856,3.975000000000001,3.216666666666667,4.15,5.26875,6.414285714285714,5.916666666666668,3.3330416666666665,4.129166666666666,3.619944,4.080026739716731,4.019900209772932,4.137286346997985,5.713333333333333,6.010833333333333,5.410261333333334,5.8251785852296445,5.275084310670578,5.471617561674193,5.786041666666666,6.562333333333333,6.036241066666666,6.476169847739395,6.818829549370319,7.059478391247101,9.431423611111112,10.824365079365082,10.114552838095237,9.779165183611234,11.246330116276944,9.058583589493544,5.692380952380952,6.762261904761905,5.941106285714286,5.640078542098925,6.553386710253103,5.76049705833694,4.525,4.791875,4.460364,4.656026154216971,4.779657453799403,4.454006270556472,4.868333333333334,5.089166666666666,4.732330666666667,5.522052152506797,5.307447767128584,6.497640684391136,4.993541666666667,5.1866666666666665,4.828096,5.248162875132353,5.069108212322187,5.585183299747088,6.0153125,6.86875,6.224885999999999,6.449225736886613,6.728881045360096,6.484963330972031,6.72995238095238,6.700744047619047,6.633957714285714,6.730572875633085,7.292539975545397,6.8281383007959295,8.057500000000001,7.424166666666668,7.252282666666667,7.4953532584171425,8.46646082298208,8.151421465780693
1997-05-31,PREMON,3.9575,7.3566666666666665,6.6483333333333325,10.38625,7.07,4.8825,5.830000000000001,6.1525000000000025,6.307499999999999,8.022,10.283333333333333,3.3617083333333335,3.5810416666666662,3.7549664,4.004915036523741,5.384853536970804,4.955431745949584,6.032916666666667,5.75,6.188823466666667,6.110793619141789,7.220321368854245,6.074840052941331,5.532916666666666,6.037916666666667,6.281077973333333,6.5625884567424695,8.668701436416935,6.444438018137214,8.80453869047619,9.341284722222223,10.223231702857142,9.855390022778415,11.45957858095966,10.307310384892077,5.904464285714286,5.582261904761905,6.3926637714285715,5.900668002635127,8.612552610824473,9.101503216255608,4.531562500000001,4.540625,4.629218400000001,4.695687821734046,5.822293059527681,4.9171876502958085,5.109166666666667,4.871666666666667,5.1713984,5.5666681726172405,7.0406577416015494,4.514064933487978,5.331041666666667,4.956458333333334,5.357857600000001,5.449595810736372,7.137587330578355,5.206435197448268,5.71671875,6.1987499999999995,6.257931599999999,6.386631455465281,7.92650768244209,6.855865002995271,6.432886904761904,7.048119047619046,7.189174628571428,6.964896609347819,8.75568060426187,5.402640526255981,7.864583333333333,8.095,8.464702933333333,8.145553348088589,11.09105396446778,6.206553125733825
1997-08-31,MONSOON,3.426,6.816666666666666,5.221666666666667,9.39,6.2942857142857145,5.155,6.03,6.47,5.963750000000001,6.3679999999999986,8.396666666666668,3.716708333333333,3.0850416666666662,3.6233798399999997,3.850326405584849,3.7032345503203175,4.242529711071494,6.613333333333333,5.676666666666667,6.439960746666667,6.213571040031284,5.413299054254862,6.255783200982307,5.738958333333334,5.534166666666667,5.857313450666666,6.232938424937837,6.4484721793250745,5.878270460796589,8.086403769841269,9.521562500000002,9.889939021714284,9.526036237679163,9.30027334153543,6.465297497903484,6.076964285714286,5.8025,6.353312548571429,5.91686148169689,5.449165179827981,4.15046311185344,4.627187500000001,4.509375,4.839531040000001,4.783003625075515,4.436866564714311,4.511648611808774,5.68125,4.865,5.51483904,5.631514490144111,5.696486311266067,5.605427525476209,5.881458333333334,5.030625000000001,5.80271456,5.677253983919824,4.523519744266788,5.358763519126189,5.6234375000000005,5.831875,6.14025896,6.247812127303809,5.735309569827574,6.274496877743096,6.390952380952381,6.4117857142857115,6.860704777142857,6.826610990104409,6.1722581656598186,8.798289854547217,7.809166666666667,8.020000000000001,8.437488426666667,8.18086907744917,6.438531252647216,7.849677524496785
1997-11-30,POMKH,4.029999999999999,6.8500000000000005,5.565,3.437142857142857,5.174285714285714,4.2025,6.336666666666666,5.753333333333333,4.86625,5.011666666666666,6.2399999999999975,4.097229166666667,3.638374999999999,3.786027904,3.8273922681255126,2.73810925894775,1.3977165392210031,7.140833333333333,6.389166666666667,6.603976448000001,6.300306110048873,5.2131333409227505,4.453014659453629,5.997708333333333,5.531666666666667,5.7403880704,6.0865910510785275,3.898470783488462,4.915790295085219,8.127636408730158,8.087514880952384,7.3088205558857124,7.081420461685231,8.417603965734745,8.704254379961348,6.258571428571429,6.006428571428572,5.881701814857143,5.666705537199896,4.503748923551815,4.541684367468617,4.7090625,4.553750000000001,4.584718624000001,4.657121159041253,3.8468887317728275,3.9448172288113463,6.378333333333333,5.3533333333333335,5.843570090666667,5.727840913591065,3.8944295948139285,4.927310811695747,6.2832291666666675,5.631458333333334,5.782962069333333,5.6900709018760525,4.118802364661317,4.174527357098439,5.5795312500000005,5.6015625,5.630655376,5.848803468032712,4.688745789446315,5.486530879915769,6.393916666666666,6.453988095238092,6.1210895329523805,6.448838006860443,4.787207421345974,4.0243283706420385,7.940416666666666,7.709166666666667,7.558493056,7.686531747248367,6.041073284071061,7.864458897369538
1998-02-28,POMRB,3.766666666666666,6.326666666666667,6.349999999999999,9.127777777777778,6.051428571428572,4.5625,5.84,6.15,5.44375,5.910000000000001,6.716666666666666,4.135541666666667,3.7950416666666653,3.778283409066667,3.76371775971301,3.720981934405964,4.379844672608227,7.119583333333333,6.8375,6.493052535466667,6.25298509191896,6.799408935045522,6.403088095656679,5.751041666666666,5.94625,5.984232842239999,6.195784617964494,5.79152360964215,5.005880652661888,7.468373015873015,8.085292658730161,8.036403444642538,7.742459133054473,7.785659981577082,3.5277252304511384,6.058107142857143,6.147500000000001,5.949592517485715,5.683292427934372,6.195575188669374,6.043794631468717,4.4803125,4.7006250000000005,4.575831174400001,4.630984702951903,4.5983301043955445,4.241562359606411,6.705,6.009166666666667,5.8421420544,5.747184191587024,5.2421412555442535,5.500071499367109,6.1850000000000005,6.131458333333335,5.9297772416,5.790133540266163,5.943326681443524,5.92530308380776,5.22953125,5.6453125,5.5558932256,5.71683821701055,5.468063717520806,5.330967785001128,6.096208333333333,6.327916666666663,6.0366537197714285,6.323522817272516,6.819073867131069,6.662726277277936,7.5125,7.909166666666667,7.221762500266666,7.428309718379968,8.22428872659748,6.771176812789586
1998-05-31,PREMON,6.375,9.783333333333333,7.06,10.724999999999998,7.958571428571428,4.95,8.783333333333333,7.366666666666667,5.78125,8.55,10.533333333333333,3.6335416666666664,4.399416666666665,4.81697004544,4.16968447538401,5.324454091055941,4.755174818607352,6.151666666666666,7.444166666666667,7.809164854613334,6.971829814394596,8.9130589232239,7.632240624582522,5.086458333333333,6.049166666666666,6.414539705344,6.471052728771304,8.626435724819125,6.409975777386756,7.305873015873015,8.169980158730159,9.11184206678552,8.746175310014229,9.478457734615986,8.851462968833074,5.586035714285714,6.369642857142859,6.753184081920001,6.1445307473351,8.60947802542544,8.65489953821388,3.9303125,4.7175,4.7254987046400005,4.689645596508237,5.881199873602975,5.1551461962972045,6.066666666666666,6.7475,7.018618565973334,6.146535155397086,7.602883306361276,6.3359925473391705,5.393958333333333,6.4350000000000005,6.504533011626667,6.143941085581336,8.54663178002307,7.000167369026825,4.645625,5.51375,5.6460359353600005,5.713033208428692,7.342896499062677,6.7858268029987245,5.418541666666667,6.459916666666663,7.041992231862857,6.7432192136714875,8.26960875785684,6.300280590091081,6.652499999999999,7.971666666666668,8.546390833493334,8.155310409634756,11.200607763894824,7.579140556584379
