Date,Season,Pebbair,Kothur,Narva,Gadwal,Hanwada,Amangal,Nawabpet_mbn,Pangal,Chinnachintalakunta,Amrabad,Weepangandla,Ghatt,Thimmajipeta,Balanagar_mbn,Waddepalle,Addakal,Midgil,Narayanpet,Telkapalle,Wanaparthy,Manganoor,Alampur,Tadoor,Damaragidda,Vangoor,Jadcherla,Farooqnagar,Utkoor,Ieeja,Veldanda,Nagar Kurnool,Kollapur,Dharur_mbn,Peddamandadi,Talakondapalle,Lingal,Mahbubnagar,Dhanwada,Kothakota,Gopalpet,Koilkonda,Maldakal,Uppununthala,Doultabad_mbb,Bombaspet,Kodair,Kalwakurthy,Kondurg,Madugul,Kodangal,Keshampet,Achampet,Manapad,Devarakadra,Peddakothapalle,Ghanpur_mbb,Atmakur_mbnr,Makthal,Bijinapalle,Maddur_mbn,Balmoor,Itikyal,Bhoothpur,Kosigi,Pebbair_Trend,Pebbair_SMA,Pebbair_EWMA,Pebbair_DES,Pebbair_TES,Pebbair_ARIMA,Kothur_Trend,Kothur_SMA,Kothur_EWMA,Kothur_DES,Kothur_TES,Kothur_ARIMA,Narva_Trend,Narva_SMA,Narva_EWMA,Narva_DES,Narva_TES,Narva_ARIMA,Gadwal_Trend,Gadwal_SMA,Gadwal_EWMA,Gadwal_DES,Gadwal_TES,Gadwal_ARIMA,Hanwada_Trend,Hanwada_SMA,Hanwada_EWMA,Hanwada_DES,Hanwada_TES,Hanwada_ARIMA,Amangal_Trend,Amangal_SMA,Amangal_EWMA,Amangal_DES,Amangal_TES,Amangal_ARIMA,Nawabpet_mbn_Trend,Nawabpet_mbn_SMA,Nawabpet_mbn_EWMA,Nawabpet_mbn_DES,Nawabpet_mbn_TES,Nawabpet_mbn_ARIMA,Pangal_Trend,Pangal_SMA,Pangal_EWMA,Pangal_DES,Pangal_TES,Pangal_ARIMA,Chinnachintalakunta_Trend,Chinnachintalakunta_SMA,Chinnachintalakunta_EWMA,Chinnachintalakunta_DES,Chinnachintalakunta_TES,Chinnachintalakunta_ARIMA,Amrabad_Trend,Amrabad_SMA,Amrabad_EWMA,Amrabad_DES,Amrabad_TES,Amrabad_ARIMA,Weepangandla_Trend,Weepangandla_SMA,Weepangandla_EWMA,Weepangandla_DES,Weepangandla_TES,Weepangandla_ARIMA,Ghatt_Trend,Ghatt_SMA,Ghatt_EWMA,Ghatt_DES,Ghatt_TES,Ghatt_ARIMA,Thimmajipeta_Trend,Thimmajipeta_SMA,Thimmajipeta_EWMA,Thimmajipeta_DES,Thimmajipeta_TES,Thimmajipeta_ARIMA,Balanagar_mbn_Trend,Balanagar_mbn_SMA,Balanagar_mbn_EWMA,Balanagar_mbn_DES,Balanagar_mbn_TES,Balanagar_mbn_ARIMA,Waddepalle_Trend,Waddepalle_SMA,Waddepalle_EWMA,Waddepalle_DES,Waddepalle_TES,Waddepalle_ARIMA,Addakal_Trend,Addakal_SMA,Addakal_EWMA,Addakal_DES,Addakal_TES,Addakal_ARIMA,Midgil_Trend,Midgil_SMA,Midgil_EWMA,Midgil_DES,Midgil_TES,Midgil_ARIMA,Narayanpet_Trend,Narayanpet_SMA,Narayanpet_EWMA,Narayanpet_DES,Narayanpet_TES,Narayanpet_ARIMA,Telkapalle_Trend,Telkapalle_SMA,Telkapalle_EWMA,Telkapalle_DES,Telkapalle_TES,Telkapalle_ARIMA,Wanaparthy_Trend,Wanaparthy_SMA,Wanaparthy_EWMA,Wanaparthy_TES,Wanaparthy_ARIMA,Manganoor_Trend,Manganoor_SMA,Manganoor_EWMA,Manganoor_DES,Manganoor_TES,Manganoor_ARIMA,Alampur_Trend,Alampur_SMA,Alampur_EWMA,Alampur_DES,Alampur_TES,Alampur_ARIMA,Tadoor_Trend,Tadoor_SMA,Tadoor_EWMA,Tadoor_DES,Tadoor_TES,Tadoor_ARIMA,Damaragidda_Trend,Damaragidda_SMA,Damaragidda_EWMA,Damaragidda_DES,Damaragidda_TES,Damaragidda_ARIMA,Vangoor_Trend,Vangoor_SMA,Vangoor_EWMA,Vangoor_DES,Vangoor_TES,Vangoor_ARIMA,Jadcherla_Trend,Jadcherla_SMA,Jadcherla_EWMA,Jadcherla_DES,Jadcherla_TES,Jadcherla_ARIMA,Farooqnagar_Trend,Farooqnagar_SMA,Farooqnagar_EWMA,Farooqnagar_DES,Farooqnagar_TES,Farooqnagar_ARIMA,Utkoor_Trend,Utkoor_SMA,Utkoor_EWMA,Utkoor_DES,Utkoor_TES,Utkoor_ARIMA,Ieeja_Trend,Ieeja_SMA,Ieeja_EWMA,Ieeja_DES,Ieeja_TES,Ieeja_ARIMA,Veldanda_Trend,Veldanda_SMA,Veldanda_EWMA,Veldanda_DES,Veldanda_TES,Veldanda_ARIMA,Nagar Kurnool_Trend,Nagar Kurnool_SMA,Nagar Kurnool_EWMA,Nagar Kurnool_DES,Nagar Kurnool_TES,Nagar Kurnool_ARIMA,Kollapur_Trend,Kollapur_SMA,Kollapur_EWMA,Kollapur_DES,Kollapur_TES,Kollapur_ARIMA,Dharur_mbn_Trend,Dharur_mbn_SMA,Dharur_mbn_EWMA,Dharur_mbn_DES,Dharur_mbn_TES,Dharur_mbn_ARIMA,Peddamandadi_Trend,Peddamandadi_SMA,Peddamandadi_EWMA,Peddamandadi_DES,Peddamandadi_TES,Peddamandadi_ARIMA,Talakondapalle_Trend,Talakondapalle_SMA,Talakondapalle_EWMA,Talakondapalle_DES,Talakondapalle_TES,Talakondapalle_ARIMA,Lingal_Trend,Lingal_SMA,Lingal_EWMA,Lingal_DES,Lingal_TES,Lingal_ARIMA,Mahbubnagar_Trend,Mahbubnagar_SMA,Mahbubnagar_EWMA,Mahbubnagar_DES,Mahbubnagar_TES,Mahbubnagar_ARIMA,Dhanwada_Trend,Dhanwada_SMA,Dhanwada_EWMA,Dhanwada_DES,Dhanwada_TES,Dhanwada_ARIMA,Kothakota_Trend,Kothakota_SMA,Kothakota_EWMA,Kothakota_DES,Kothakota_TES,Kothakota_ARIMA,Gopalpet_Trend,Gopalpet_SMA,Gopalpet_EWMA,Gopalpet_DES,Gopalpet_TES,Gopalpet_ARIMA,Koilkonda_Trend,Koilkonda_SMA,Koilkonda_EWMA,Koilkonda_DES,Koilkonda_TES,Koilkonda_ARIMA,Maldakal_Trend,Maldakal_SMA,Maldakal_EWMA,Maldakal_DES,Maldakal_TES,Maldakal_ARIMA,Uppununthala_Trend,Uppununthala_SMA,Uppununthala_EWMA,Uppununthala_DES,Uppununthala_TES,Uppununthala_ARIMA,Doultabad_mbb_Trend,Doultabad_mbb_SMA,Doultabad_mbb_EWMA,Doultabad_mbb_DES,Doultabad_mbb_TES,Doultabad_mbb_ARIMA,Bombaspet_Trend,Bombaspet_SMA,Bombaspet_EWMA,Bombaspet_DES,Bombaspet_TES,Bombaspet_ARIMA,Kodair_Trend,Kodair_SMA,Kodair_EWMA,Kodair_DES,Kodair_TES,Kodair_ARIMA,Kalwakurthy_Trend,Kalwakurthy_SMA,Kalwakurthy_EWMA,Kalwakurthy_DES,Kalwakurthy_TES,Kalwakurthy_ARIMA,Kondurg_Trend,Kondurg_SMA,Kondurg_EWMA,Kondurg_DES,Kondurg_TES,Kondurg_ARIMA,Madugul_Trend,Madugul_SMA,Madugul_EWMA,Madugul_DES,Madugul_TES,Madugul_ARIMA,Kodangal_Trend,Kodangal_SMA,Kodangal_EWMA,Kodangal_DES,Kodangal_TES,Kodangal_ARIMA,Keshampet_Trend,Keshampet_SMA,Keshampet_EWMA,Keshampet_DES,Keshampet_TES,Keshampet_ARIMA,Achampet_Trend,Achampet_SMA,Achampet_EWMA,Achampet_DES,Achampet_TES,Achampet_ARIMA,Manapad_Trend,Manapad_SMA,Manapad_EWMA,Manapad_DES,Manapad_TES,Manapad_ARIMA,Devarakadra_Trend,Devarakadra_SMA,Devarakadra_EWMA,Devarakadra_DES,Devarakadra_TES,Devarakadra_ARIMA,Peddakothapalle_Trend,Peddakothapalle_SMA,Peddakothapalle_EWMA,Peddakothapalle_DES,Peddakothapalle_TES,Peddakothapalle_ARIMA,Ghanpur_mbb_Trend,Ghanpur_mbb_SMA,Ghanpur_mbb_EWMA,Ghanpur_mbb_DES,Ghanpur_mbb_TES,Ghanpur_mbb_ARIMA,Atmakur_mbnr_Trend,Atmakur_mbnr_SMA,Atmakur_mbnr_EWMA,Atmakur_mbnr_DES,Atmakur_mbnr_TES,Atmakur_mbnr_ARIMA,Makthal_Trend,Makthal_SMA,Makthal_EWMA,Makthal_DES,Makthal_TES,Makthal_ARIMA,Bijinapalle_Trend,Bijinapalle_SMA,Bijinapalle_EWMA,Bijinapalle_DES,Bijinapalle_TES,Bijinapalle_ARIMA,Maddur_mbn_Trend,Maddur_mbn_SMA,Maddur_mbn_EWMA,Maddur_mbn_DES,Maddur_mbn_TES,Maddur_mbn_ARIMA,Balmoor_Trend,Balmoor_SMA,Balmoor_EWMA,Balmoor_DES,Balmoor_TES,Balmoor_ARIMA,Itikyal_Trend,Itikyal_SMA,Itikyal_EWMA,Itikyal_DES,Itikyal_TES,Itikyal_ARIMA,Bhoothpur_Trend,Bhoothpur_SMA,Bhoothpur_EWMA,Bhoothpur_DES,Bhoothpur_TES,Bhoothpur_ARIMA,Kosigi_Trend,Kosigi_SMA,Kosigi_EWMA,Kosigi_DES,Kosigi_TES,Kosigi_ARIMA
1996-02-29,POMRB,4.663333333333333,13.07181818181818,5.91,4.86,5.18,5.57,15.276000000000002,7.983,25.39,12.885,2.2,3.66,18.79083333333333,27.880000000000006,4.28,6.09,28.59273809523809,7.860000000000001,7.34,14.963437499999998,4.69,4.91,3.38,5.568,7.7,16.815,10.555,11.075,4.46,18.235,11.31,10.3,7.01,9.51,19.383928571428573,4.44,4.9,2.37,19.46,4.87,8.13,8.555,16.636999999999997,6.54,5.665,5.8933333333333335,22.37190476190476,13.36,12.59142857142857,8.025,17.7,4.55,4.345,5.95,6.75,10.96,7.959999999999999,12.06,16.07,9.31,1.82,4.993333333333333,18.150648148148147,8.703999999999999,,,4.663333333333333,3.606402028671661,5.095668239613909,0.0,,,13.07181818181818,13.847343201465755,13.017565489465138,0.0,,,5.91,6.095544854605522,6.070960443618887,0.0,,,4.86,5.260940948402064,5.000641446221614,0.0,,,5.18,5.1242582890377175,5.897108787686461,0.0,,,5.57,6.593164531318885,5.2749478953137805,0.0,,,15.276000000000002,15.746058386698872,15.340746597577493,0.0,,,7.983,7.352342793125903,8.253322927522293,0.0,,,25.39,25.919700397950017,25.39,0.0,,,12.885,13.021945785293207,12.611132562285752,0.0,,,2.2,4.486822058609126,2.3793053304080996,0.0,,,3.66,11.961163802818902,4.699982455718072,0.0,,,18.79083333333333,40.84381049672837,18.69171664759096,0.0,,,27.880000000000006,27.73435946017153,27.879388176088323,0.0,,,4.28,5.063009890136841,4.28,0.0,,,6.09,10.24408892097812,5.5717840915347665,0.0,,,28.59273809523809,30.287935914381492,28.51390520173241,0.0,,,7.860000000000001,7.737355105050692,7.602060890816458,0.0,,,7.34,4.157058340776321,7.379514228064787,0.0,,,14.963437499999998,14.800275305889256,0.0,,,4.69,6.652610250768524,5.155811605927285,0.0,,,4.91,5.729382839027092,4.68850253649096,0.0,,,3.38,5.135246094569126,6.743130849666474,0.0,,,5.568,6.473036451361975,5.542621289997091,0.0,,,7.7,7.694934564301845,7.9620280159013745,0.0,,,16.815,17.315976096040544,16.760258698767267,0.0,,,10.555,11.560377244642293,11.540453258035498,0.0,,,11.075,11.074270778129796,11.07434263622237,0.0,,,4.46,4.831264205286886,4.43740912912468,0.0,,,18.235,17.76243740186175,18.155681960639193,0.0,,,11.31,11.274136732820802,11.315179579759828,0.0,,,10.3,8.271515573629713,8.818071903528525,0.0,,,7.01,7.130437103042287,8.893313707694375,0.0,,,9.51,9.440171606837406,9.773125,0.0,,,19.383928571428573,19.37004808430128,19.02380560798946,0.0,,,4.44,6.820390594489253,4.740409813067702,0.0,,,4.9,7.034196190307711,4.756208145370243,0.0,,,2.37,1.5812240769412822,2.879837611736032,0.0,,,19.46,16.634879880216793,19.46,0.0,,,4.87,6.224105952391563,5.778899703732144,0.0,,,8.13,10.545604171586985,8.13,0.0,,,8.555,10.678559220634321,8.555,0.0,,,16.636999999999997,16.757313214426286,16.92621820651804,0.0,,,6.54,6.160680995642901,6.707121065818127,0.0,,,5.665,10.323869177623616,6.582455097263636,0.0,,,5.8933333333333335,8.785866873065016,5.9136899252923785,0.0,,,22.37190476190476,22.647902165153567,22.2792031024061,0.0,,,13.36,11.840556377899867,13.36,0.0,,,12.59142857142857,12.371086961411745,12.704458049451517,0.0,,,8.025,6.077947280269155,9.035109805073352,0.0,,,17.7,14.302012123040692,16.634742457854056,0.0,,,4.55,5.171533440001009,4.665697551167192,0.0,,,4.345,4.635687993693608,4.263955026807658,0.0,,,5.95,7.436629322591265,7.403098879550768,0.0,,,6.75,7.939786263213548,7.104759805800126,0.0,,,10.96,10.229176459071901,10.96,0.0,,,7.959999999999999,7.235369936694823,7.959999999999999,0.0,,,12.06,10.08353913283235,12.06,0.0,,,16.07,36.5051632912389,16.491217885130673,0.0,,,9.31,7.065935713991556,8.956736097109614,0.0,,,1.82,2.0779939143773634,2.7513738044299902,0.0,,,4.993333333333333,5.167300994483077,5.235946823501866,0.0,,,18.150648148148147,18.077967779387357,18.219621532908448,0.0,,,8.703999999999999,8.29444410028878,7.834757687057057,0.0
1996-05-31,PREMON,9.366666666666667,16.8475,9.948333333333332,6.5,8.21,7.41,15.521249999999998,9.82625,25.68,16.275,3.55,9.045,32.56400000000001,28.51,4.71,9.010000000000002,33.827373015873015,8.036666666666667,10.14,17.20266666666667,5.89,7.25,7.88,9.01,9.4,19.037142857142857,12.96,10.95,6.9,16.5375,12.5,9.17,10.05,10.52,17.802916666666665,7.69,12.196666666666667,7.0500000000000025,17.778333333333332,5.36,9.425,9.705,18.54125,10.58,8.504999999999999,7.54,20.758666666666667,14.225,14.335000000000004,13.79,10.03,7.04,6.84,7.4,10.49,16.355,8.6,14.511428571428572,33.14875,13.12,5.67,7.066666666666666,19.981078431372552,10.580000000000002,,,6.544666666666666,4.553644393094925,7.878347490130029,3.9391986124284237,,,14.582090909090908,15.149525621475615,17.09488496059066,13.071738487962469,,,7.525333333333332,8.516920283990867,8.133039496688555,5.909987246310826,,,5.516,5.756871776335159,6.099922289864118,4.859998636350503,,,6.392,5.900988134807412,7.2953905662963185,2.7617569190040805,,,6.306000000000001,6.7711920260609695,8.754623552576295,5.569975569578356,,,15.374100000000002,15.689260912135659,15.910833981552617,15.275920294784797,,,8.7203,7.735234823526261,9.739954817630919,7.982963171437968,,,25.506,26.164067207098174,25.68,9.294942979332204e-07,,,14.241,12.999497790277278,16.139785008267168,9.180663471600848,,,2.74,5.930434422341461,3.854869715403144,1.1988671779968765,,,5.814,14.310637667772525,6.753676897590453,2.8532797024545893,,,24.3001,55.27806752629541,33.00380050822414,9.80049673446698,,,28.132000000000005,27.8623764842773,28.509940619236048,18.454974433229367,,,4.452,5.450782131170507,4.710000000000001,1.7496711700276464e-07,,,7.258000000000001,13.257371093788828,9.220936088431523,6.089933001072765,,,30.68659206349206,30.52366756166955,33.17168112590181,28.591466558110607,,,7.930666666666667,7.850017055710892,8.234004616530257,3.9257682276157975,,,8.46,3.587838750970755,10.129046766762572,4.824979216410645e-06,,,15.859129166666666,17.673785007236283,14.239761927648164,,,5.17,7.659573714466816,5.924138040730776,4.689999276309593,,,5.846,7.759059302938898,4.645599676234672,2.8916446613203423e-08,,,5.18,6.586464318391082,7.594575039881941,3.379994729617892,,,6.9448,7.149268556925472,9.028318093394597,9.229689671278199e-06,,,8.38,8.472956561049694,9.469868690239965,6.883358791102395,,,17.703857142857146,17.94985067585863,19.102783082183322,15.728848211042164,,,11.517,12.11808410295769,12.598676313962656,10.55490623359168,,,11.024999999999999,11.059446483198663,10.94994678317299,2.726265140462691e-10,,,5.436,5.858754379564475,6.990685239338058,4.23581170566633,,,17.556,17.048345376413614,16.503305496845083,18.23477382536307,,,11.786000000000001,11.920925791693044,11.919001199174206,10.790783519677511,,,9.848,8.223578198046805,10.099311245162802,10.29997105979044,,,8.225999999999999,7.785937658851799,8.71804840203109,4.3113919291092175,,,9.914,9.700296178098666,10.998144044321329,2.9042231092544397,,,18.75152380952381,18.92223182606485,18.380016041163387,19.38372323414299,,,5.74,7.156774673664018,6.546277879742955,3.288963809454863,,,7.818666666666667,8.022462914509232,11.644016958191791,4.899973259819648,,,4.242000000000001,1.3175956880439603,5.265616343463278,2.369991484299355,,,18.787333333333333,15.529076664638483,17.778333333333332,3.569839661022906e-06,,,5.066000000000001,6.902546576967401,6.874725064699129,1.5210238150004192,,,8.648,11.823151205853181,9.425000000000002,1.1328580781253777e-05,,,9.015,11.771347398583293,9.705,1.4126005704881461e-06,,,17.398699999999998,17.018783505569278,18.36784040437618,16.63686887929761,,,8.156,7.3363627751735905,8.276943637096897,6.539988018856622,,,6.801,13.078536363213452,9.43674011385008,5.664975962485818,,,6.552,10.355004176347974,7.506537377429462,4.3371836317725256e-06,,,21.726609523809522,22.11449450977882,21.59507564567526,22.37175730839252,,,13.706,11.821729374291658,14.225,4.797888198061782e-06,,,13.288857142857143,12.613503223545951,14.17642518543395,9.288382247563462,,,10.331,7.94116315994144,11.766331205982166,5.408139819500547,,,14.631999999999998,13.534576884948928,11.091969861839004,17.699922271788264,,,5.546,6.007261722852763,6.35667068448393,4.5499929252356734,,,5.343,5.663473123541202,6.514485346136105,4.344993587524788,,,6.53,7.418845922031619,7.376403319604596,5.949989703147468,,,8.246,8.936954858344803,10.134648094486106,6.749981512904827,,,13.118000000000002,10.879277755309985,16.355,-4.3975312931191047e-10,,,8.216,7.343012718720149,8.600000000000001,1.2876833697309383e-06,,,13.040571428571429,10.556036248430702,14.511428571428574,6.023463541787893,,,22.9015,53.37021526503378,32.59589807941398,6.832764339898924,,,10.834,7.963874924310113,13.055953708831524,9.309936336502508,,,3.3600000000000003,5.424563737135983,4.47560171065696,1.8200017180713262,,,5.822666666666667,5.889253034891203,6.24752206667365,3.9600688550853156,,,18.882820261437907,19.83632770254003,20.305177150982562,18.15063659558238,,,9.4544,8.741430329132264,10.09877708353772,4.715063727735313
1996-08-31,MONSOON,4.83,13.607777777777779,8.09,6.42,5.81,6.8,16.516666666666666,8.705,24.4,6.25,1.68,5.2700000000000005,20.8,28.22,3.17,6.535,30.064219576719577,7.673333333333335,12.24,16.02941176470588,5.895,3.64,8.87,7.607142857142858,8.610708333333335,18.01833333333333,13.71,11.39,5.82,18.746666666666666,10.63,8.68,9.64,10.79,21.35846153846154,6.81,6.295,2.6,18.99,6.58,4.21,2.96,18.16,2.75,7.785,3.51,25.911388888888887,8.14,11.72,7.95,5.96,6.49,4.199999999999998,7.89,10.71,10.51,5.82,11.481666666666667,17.01,6.25,2.32,5.656666666666666,19.756979166666667,8.075,5.224583333333333,,5.8588,4.453856563265175,5.391806671866261,6.73539104162097,14.47609217171717,,14.192365656565656,14.690015720483895,13.4512987381509,15.853417515746452,6.967083333333333,,7.751199999999999,8.030351087219138,6.913206182805496,9.196048992496296,5.418749999999999,,5.8776,6.008642843463375,5.394252032797204,6.272755367162978,6.38875,,6.1592,5.841643611389258,5.481049786424397,4.488140542759234,6.19,,6.5036000000000005,6.830577335048438,6.08593701619518,6.789398354149613,16.574729166666668,,15.831126666666666,15.999430274508928,16.257372367962063,15.413263778930748,7.7735625,,8.714179999999999,7.759707648629311,8.484643366430305,9.282646844152897,24.377499999999998,,25.0636,26.12379885377407,24.4,9.401107801089193e-07,10.18625,,11.044599999999999,12.977088399715072,8.304712712580994,12.118965649661106,2.88125,,2.3160000000000003,5.238130399618592,1.5469814912102031,1.9727478332969617,5.4475,,5.5964,10.491014909533142,5.975406572893418,6.279709717574424,22.353916666666667,,22.90006,50.14889176844064,20.40169610511439,17.261605610282604,27.54,,28.1672,27.919448775678873,28.219996694725296,20.84261916471739,3.3375,,3.9391999999999996,5.330312337449212,3.170000000000001,1.9254558188540356e-07,5.805000000000001,,6.9688,13.904785953229695,6.406829074844675,8.02858866123346,29.12661568061568,,30.437643068783068,30.273794316290296,30.59896670637537,31.286412231638767,7.3050000000000015,,7.8277333333333345,7.775175226913898,8.279821503584955,2.7356851424839705,7.862500000000001,,9.972000000000001,3.7704793820503344,11.949919992076584,6.665567571389725e-06,15.68564368872549,,15.92724220588235,15.889615033201952,16.299586889297714,5.48,,5.46,8.162828844070381,5.271621176539212,5.795195610683784,4.358750000000001,,4.9636000000000005,6.8848740818700636,3.0297359021559784,8.756735317954048e-08,7.125,,6.656,7.700585786149931,6.042839179327277,7.0655770417343815,6.800452380952381,,7.2097371428571435,7.30600579414802,7.658470039300705,2.2357995562423356e-05,9.247677083333334,,8.472283333333335,8.267956252667071,6.999397501872206,8.359883770037666,17.614047619047618,,17.82964761904762,17.966989753893486,18.538896408182236,17.550267983590533,12.538125,,12.394200000000001,12.749863511088806,12.398097230237632,12.155445042329521,10.61375,,11.171,11.09617171169266,11.390002125520672,7.216609735030592e-10,4.8825,,5.589600000000001,6.110962547224529,5.710928697075185,5.732947141615155,16.875625,,18.032266666666665,17.618420362174838,19.209955083894823,17.361578400259678,10.325000000000003,,11.323600000000003,11.088536035337658,13.658246888633991,11.811517503507856,8.30125,,9.3808,8.175070759976425,7.858368314439254,9.567222711719488,8.1925,,8.791599999999999,8.135755235802366,8.334480040728959,5.991245506408756,9.86,,10.264399999999998,10.030247734758218,11.437292224583912,3.676226830759315,19.651058836996338,,19.7942989010989,19.769971817112108,21.141620555823856,18.551919699088483,6.0775,,6.168,7.243937873318177,6.604254622824244,5.526550902147015,7.178541666666668,,7.209200000000001,7.806655916305514,6.872654731357886,10.704306170952332,3.7037500000000008,,3.5852000000000004,0.7798041749525402,4.6073873076201055,5.129865920317847,17.489583333333336,,18.8684,15.108242323332906,18.99,3.261345667855384e-06,5.630000000000001,,5.671600000000001,7.76783038720782,6.89205373334168,1.3286111660258664,5.806250000000001,,6.8728,11.386234120747964,4.2100000000000035,1.313305603035444e-05,6.092499999999999,,6.593,10.775273640154996,2.96,1.6024881988483364e-06,16.546812499999998,,17.703219999999998,17.183463602701448,17.84286259892214,17.90659364193563,5.0175,,5.993600000000001,6.025765299902245,6.843502773817127,9.528098650881663,7.103125,,7.194599999999999,13.780650338470245,4.617785574974581,7.435498351640113,4.785833333333333,,5.3351999999999995,9.443036532025014,3.442856711793837,7.13468032043655e-06,23.13876388888889,,23.400521269841267,23.235876860647107,25.39238228666108,21.211087492486815,10.22375,,11.4796,10.864835074735996,8.14,5.108528188451081e-06,12.09125,,12.661314285714287,12.496439701387912,11.486658821313966,10.772041414852026,9.182499999999997,,9.3786,7.664983709254336,7.799016693465957,9.063016782898089,13.642369791666665,,11.163199999999998,12.045779843870791,7.631750308373324,11.189449653468444,5.7299999999999995,,5.9236,6.2702450080259,6.64143787980458,6.4154640755406325,4.271249999999999,,4.8858,5.072324576226479,5.2694851501209135,6.250100401773652,6.705,,7.074,7.446487679699418,6.031272335881871,6.9023962435391155,9.502500000000001,,9.2316,9.59514596364483,7.497369442851696,9.552085220743614,11.846250000000001,,12.0748,9.70303718767236,10.51,-9.683340577627153e-10,6.845,,7.2576,6.851536254564422,5.820000000000002,1.3912154926580266e-06,12.35827380952381,,12.417009523809524,10.360860829434746,11.481666666666671,5.6484297606900205,22.8809375,,20.5449,36.80707463684569,17.3687719309267,15.031249657719961,8.48625,,9.000399999999999,6.918794335949485,8.480662951573294,12.096781517638684,3.415,,2.944,2.396707526362174,5.643025184000319,5.828641326895526,4.781249999999999,,5.756266666666667,5.734985612048027,5.079753061322197,5.507636317299487,19.131273658769064,,19.23248382352941,19.678241837671315,19.75220261582458,19.69536509665192,7.687250000000001,,8.90264,8.499514246420745,8.091107995866727,6.129661554838144
