Date,Season,Uthamapalayam,Chinnamanur,Theni,Bodinayakanur,Periyakulam,Andipatti,Uthamapalayam_Trend,Uthamapalayam_SMA,Uthamapalayam_EWMA,Uthamapalayam_DES,Uthamapalayam_TES,Uthamapalayam_ARIMA,Chinnamanur_Trend,Chinnamanur_SMA,Chinnamanur_EWMA,Chinnamanur_DES,Chinnamanur_TES,Chinnamanur_ARIMA,Theni_Trend,Theni_SMA,Theni_EWMA,Theni_DES,Theni_TES,Theni_ARIMA,Bodinayakanur_Trend,Bodinayakanur_SMA,Bodinayakanur_EWMA,Bodinayakanur_TES,Bodinayakanur_ARIMA,Periyakulam_Trend,Periyakulam_SMA,Periyakulam_EWMA,Periyakulam_DES,Periyakulam_TES,Periyakulam_ARIMA,Andipatti_Trend,Andipatti_SMA,Andipatti_EWMA,Andipatti_DES,Andipatti_TES,Andipatti_ARIMA
2001-11-30,POMKH,14.82,3.655,6.5100000000000025,3.46,6.95,7.95,18.142500000000002,18.179999999999993,17.82558518135288,17.35697998507058,18.25562736111073,18.598738842121225,7.19125,7.411250000000001,6.783271738870348,5.492035240959613,5.0838500515945535,2.1406162516070895,6.452395833333332,6.336458333333332,6.6571038008377785,6.021429544950523,5.602087223987963,6.135585719071369,3.371875,3.675,3.807479506575353,1.4819604743098207,2.502046391030933,6.99625,5.107499999999999,5.835705934607539,8.167531059484888,5.012315698685591,5.314208086045064,8.7028125,8.7325,8.709431101383505,8.392633812408606,8.41649331194156,8.081979493598851
2002-02-28,POMRB,16.41,3.085,4.1425,1.09,7.6,7.3,17.15,18.16749999999999,17.259351108811728,16.997756096874895,16.86132565464056,17.643589985167075,6.826041666666667,7.2475000000000005,5.3039630433222085,5.12546926322132,4.333668288005941,2.642310684670633,6.666666666666668,6.293333333333332,5.651262280502667,5.748006382655468,4.446152634388279,4.901638308750891,3.48,3.2725,2.7204877039452118,2.5461583743037965,2.518181183125666,7.90125,6.377499999999999,6.541423560764523,9.1214158217829,5.143243840735736,5.34597317840091,8.7978125,8.659374999999999,8.145658660830103,8.206783147808656,6.624077216165318,7.054871882149763
2002-05-31,PREMON,16.02,8.52,7.02,3.96,8.8,9.125,16.445,18.11749999999999,16.763610665287036,16.63198102804427,19.11030301375135,17.33177668243749,6.757708333333333,7.135000000000002,6.5903778259933254,5.618774510313648,7.9412489239971205,8.482992361946593,6.9621875,6.611458333333331,6.1987573683015995,5.928116963843131,6.320714027866719,6.005251886927965,3.7112500000000006,3.4712500000000004,3.216292622367127,3.3598055382137657,2.750315523109459,8.60875,7.614999999999998,7.444854136458714,10.275885739262538,7.492934468154598,6.431810963627218,9.011875,8.74625,8.53739519649806,8.396769645256004,7.831642905084541,8.183034288374618
2002-08-31,MONSOON,17.48,10.808333333333335,9.215,5.445,9.4,11.0225,16.1825,16.18249999999999,17.05016639917222,16.775130634438447,17.295181653983974,17.000200367870033,7.1814583333333335,6.517083333333336,8.27756002892933,6.377012742280282,7.041096403636253,8.378315303518887,7.681249999999999,6.721874999999999,7.40525442098096,6.398063927829193,8.779507981527903,8.015984922463186,4.455,3.4887500000000005,4.107775573420277,4.902491311075414,3.918622537349085,9.1275,8.187499999999998,8.226912481875228,10.987812968530356,8.330949410460669,7.913655174881786,9.4665625,8.849375,9.531437117898836,8.906668652087035,11.647075545480817,10.614128765749532
2002-11-30,POMKH,16.92,5.58,8.4325,5.24,10.32,9.25,15.727500000000001,16.70749999999999,16.998099839503332,16.722268531223488,16.811318409198805,17.12147874756955,7.479583333333333,6.998333333333335,7.198536017357598,6.247261295557222,5.503431944823035,2.877852335248073,8.30875,7.202499999999998,7.816152652588576,6.687554180451657,6.2538332972575414,6.651905984045499,4.711250000000001,3.93375,4.5606653440521665,1.8662519179569532,2.729094579097369,9.254999999999999,9.029999999999998,9.064147489125137,11.703450768599037,8.19758829846269,8.376824407116672,9.9959375,9.174375,9.418862270739302,8.990639105880966,8.78222963437694,8.442616906080907
2003-02-28,POMRB,12.21,4.55,7.9725,5.26,8.38,9.6375,15.93875,15.657499999999992,15.082859903702,15.376725512926768,16.29880372905671,17.070551213011683,7.406041666666667,7.364583333333334,6.139121610414559,5.984423612084657,5.044411926865593,2.879538990632108,8.890625,8.159999999999998,7.878691591553145,6.869051194085707,5.574144090556528,5.5623618831283395,4.57625,4.976249999999999,4.8403992064313,2.650890912769166,2.6964609699868998,9.141874999999999,9.224999999999998,8.790488493475081,10.045328477797463,8.413062073522253,9.17035694151852,10.475625,9.75875,9.50631736244358,9.131588770585896,7.256990501050728,7.7249884023672735
2003-05-31,PREMON,16.58,9.44,8.21,1.84,9.04,11.0225,16.733125,15.797499999999992,15.6817159422212,15.625470920664567,17.642814557853388,15.841955780929098,7.095000000000001,7.5945833333333335,7.459472966248735,6.485191506289471,8.797872699265625,7.538350652122464,9.6671875,8.4575,8.011214954931887,7.058514427292429,8.461347717333693,7.950040914945648,4.34125,4.446249999999999,3.64023952385878,3.9146961095338826,3.5904933246502733,8.788125,9.284999999999997,8.890293096085049,9.345554905319068,9.623218131513578,8.942390849912114,10.696250000000001,10.233125,10.112790417466147,9.505624050789121,8.952027031139803,9.403523454653136
2003-08-31,MONSOON,18.61,9.3,12.68,6.484999999999999,8.255,12.9625,17.8625,16.07999999999999,16.85302956533272,16.36737078046658,16.33211113701212,16.028510283422168,6.978750000000001,7.217499999999999,8.195683779749242,6.890143230790897,7.909977725263974,10.142408584275005,10.2515625,9.32375,9.878728972959133,7.863819407586813,10.56386899224935,9.50068589522776,3.690625,4.706249999999999,4.778143714315268,5.322854706564062,3.9235942495977265,8.528749999999999,8.998749999999998,8.636175857651029,8.326494796745967,9.59609217641619,8.970871754811435,10.324375,10.718124999999999,11.25267425047969,10.17349445005636,12.98969613824027,11.996991002619442
2003-11-30,POMKH,22.145000000000003,4.6,11.18,2.32,8.635,9.075,21.1725,17.386249999999993,18.969817739199634,17.88061016857295,16.36898196256243,16.681030152312008,6.58625,6.9725,6.7574102678495445,6.5383200804281945,5.912538028212836,4.260501639669574,10.842500000000001,10.010625000000001,10.39923738377548,8.336998729691091,8.668053907817859,8.389762557257933,3.8768749999999996,3.976249999999999,3.794886228589161,2.6312981355436436,3.334800658473182,8.465,8.577499999999997,8.635705514590617,8.15325161016882,8.359662188775799,8.72967884836929,9.959375000000001,10.674374999999998,10.381604550287813,9.99049215091566,10.295686383234019,10.035635243281021
2004-02-29,POMRB,16.02,4.6,9.9,2.975,7.99,6.8375,25.3,18.33874999999999,17.78989064351978,17.264827031052743,17.266441362073948,18.062150833607312,7.241666666666667,6.985,5.894446160709727,6.239247447642813,5.18485208263796,3.505968706198354,11.1325,10.4925,10.199542430265288,8.557667967096167,8.11326911210148,7.634810375468508,4.845624999999999,3.404999999999999,3.4669317371534962,3.145336299881003,2.7475710689214927,8.593125,8.479999999999997,8.37742330875437,7.700820158262046,7.729771220793166,8.209617251361752,10.0240625,9.974374999999998,8.963962730172689,9.422668843887584,8.287589191502425,8.953539030984892
