Date,Season,Keshorai Patan,Hindoli,Talera,Nainwa,Keshorai Patan_Trend,Keshorai Patan_SMA,Keshorai Patan_EWMA,Keshorai Patan_DES,Keshorai Patan_TES,Keshorai Patan_ARIMA,Hindoli_Trend,Hindoli_SMA,Hindoli_EWMA,Hindoli_DES,Hindoli_TES,Hindoli_ARIMA,Talera_Trend,Talera_SMA,Talera_EWMA,Talera_DES,Talera_TES,Talera_ARIMA,Nainwa_Trend,Nainwa_SMA,Nainwa_EWMA,Nainwa_DES,Nainwa_TES,Nainwa_ARIMA
2000-11-30,POMKH,3.3519999999999994,8.61,10.745,15.614999999999998,4.1885,3.7052499999999986,3.509186669825383,3.744092295879441,3.3785033490077145,3.5297665277691723,10.095,10.067499999999999,9.882235100227208,11.427960645665156,10.083253971965089,10.288732313467928,11.164166666666667,9.881250000000001,9.731796166422122,10.756406199531899,8.930630541198875,11.417820442043205,14.4690625,13.629374999999998,13.232210336847729,14.656854924146078,9.906316292501483,9.336423043055623
2001-02-28,POMRB,4.877999999999999,8.173333333333334,13.0325,17.05,4.362,3.9134999999999986,4.05671200189523,4.304074231103141,3.6161965980816535,3.8505734251331636,9.633333333333333,10.170833333333333,9.198674393469659,10.482799480040137,8.433167204851902,8.96130972090818,11.881041666666667,10.559375000000001,11.052077699853275,12.247571839021711,10.418762622723092,11.288492861748926,14.418750000000001,14.394374999999998,14.759326202108637,15.892780105236186,13.740903160787285,15.903814223764263
2001-05-31,PREMON,6.8500000000000005,13.496666666666664,14.213333333333333,17.6,4.1202499999999995,4.463499999999998,5.174027201137138,5.651806007023188,5.410329752847841,5.199327230024225,9.1875,10.019166666666665,10.917871302748463,11.418947944401022,12.749671892726711,12.214481851610245,11.930250000000001,11.768958333333334,12.316579953245299,13.949520014730354,13.58692386834566,12.792860416720073,13.664375000000001,14.54375,15.895595721265183,17.11659435311486,17.702171218106272,17.3868473165784
2001-08-31,MONSOON,1.962,6.710000000000001,9.981666666666667,6.91,3.6074375,4.260499999999998,3.8892163206822827,4.245129670095351,3.7166456903123266,3.877029098959302,8.620208333333332,9.247499999999999,9.234722781649078,10.000559185445882,9.545663132615958,10.857115859656163,11.5895625,11.993125000000001,11.382614638613846,13.429352153108859,9.892224748831909,11.2888681325317,12.469999999999999,14.29375,12.301357432759108,14.45550221410282,9.685893315687299,9.12538427210478
2001-11-30,POMKH,2.23,8.13,10.242,10.58,3.03425,3.9799999999999978,3.2255297924093695,3.401201415120807,3.6663952850461943,2.9909999381517074,7.96,9.1275,8.792833668989447,9.237953274863745,8.816381881533271,8.79116564818829,11.249250000000002,11.867375000000001,10.926368783168309,12.836879561472566,11.233930873358903,12.664014601407057,11.9475,13.035,11.612814459655464,13.216578229112597,12.564873100970651,11.72728557875841
2002-02-28,POMRB,1.8975,4.115,10.81,12.53,2.6689999999999996,3.234874999999998,2.6943178754456216,2.696959067970382,3.4630522796823353,3.709973509914991,7.734583333333334,8.112916666666667,6.9217002013936675,7.374405753787822,7.427134958059248,7.833888532134923,10.779458333333332,11.311750000000002,10.879821269900987,12.405694972605424,11.465491223131181,12.983919891837632,11.778749999999999,11.905000000000001,11.979688675793279,12.782863010476152,14.633300993295626,14.495889837933309
2002-05-31,PREMON,5.244999999999999,12.273333333333332,13.713333333333333,17.94,2.88125,2.833624999999998,3.7145907252673727,3.7940823977767058,4.3727443444277,4.316585037860303,8.480833333333333,7.807083333333335,9.062353454169532,8.492284517734458,10.731833854703105,10.338708591566405,10.327541666666669,11.186750000000002,12.013226095273925,13.146668656909684,13.16979623182528,12.45982087367296,12.381250000000001,11.99,14.363813205475967,14.271776863186124,16.784721313234357,15.884043397511734
2002-08-31,MONSOON,0.645,6.13,6.723333333333334,5.22,3.787604166666666,2.504374999999998,2.4867544351604236,2.445893601114027,2.501564119778423,2.2709803804994704,10.641458333333333,7.662083333333335,7.889412072501719,7.54698101680037,7.791195069688835,8.55695487871581,10.522916666666667,10.372166666666669,9.89726899049769,10.917951093954546,9.43798951263581,9.41475073710402,13.7275,11.567499999999999,10.70628792328558,11.437631127660811,8.047642188765767,8.346570250356308
2002-11-30,POMKH,5.245,14.68,9.885,17.09,4.730833333333333,3.258124999999998,3.590052661096254,3.696989473427414,2.4194320353902787,1.8933359240103882,12.616666666666667,9.299583333333334,10.605647243501032,9.636258646890877,7.451237661227978,7.32645875127627,11.140625,10.282916666666669,9.892361394298614,10.274732253412376,9.524109995970123,9.03269257053042,14.19125,13.195,13.259772753971347,12.898707765580571,11.180503355616981,12.253653836308809
2003-02-28,POMRB,6.133333333333333,14.85,12.73,16.79,5.327791666666666,4.317083333333331,4.6073649299910855,5.028257172100521,3.549297811218666,4.3053460447626914,13.52763888888889,11.983333333333334,12.303388346100618,11.63801616788179,8.68577801609499,8.59625001789908,11.672208333333334,10.76291666666667,11.02741683657917,10.941566462716418,10.361420362294226,10.574469532809836,14.365833333333333,14.259999999999998,14.671863652382807,14.184538937283525,14.211500335222311,15.600600726245068
