Date,Season,Kawardha,Pandariya,Sahaspur Lohara,Bodla,Kawardha_Trend,Kawardha_SMA,Kawardha_EWMA,Kawardha_DES,Kawardha_TES,Kawardha_ARIMA,Pandariya_Trend,Pandariya_SMA,Pandariya_EWMA,Pandariya_DES,Pandariya_TES,Pandariya_ARIMA,Sahaspur Lohara_Trend,Sahaspur Lohara_SMA,Sahaspur Lohara_EWMA,Sahaspur Lohara_DES,Sahaspur Lohara_TES,Sahaspur Lohara_ARIMA,Bodla_Trend,Bodla_SMA,Bodla_EWMA,Bodla_DES,Bodla_TES,Bodla_ARIMA
1996-02-29,POMRB,8.013333333333334,3.373333333333333,4.725,6.47,,,8.013333333333334,6.361975633144005,7.885921806738892,0.0,,,3.373333333333333,4.727388282668433,3.396498858769874,0.0,,,4.725,6.142553018461474,4.767499999999999,0.0,,,6.47,8.59604662485191,6.183634179713807,0.0
1996-05-31,PREMON,11.206666666666667,5.87,7.565,8.18,,,9.290666666666667,7.224788044867118,10.97245356856451,6.652652363050602e-06,,,4.372,5.060574202229454,5.612029964998904,4.9547458529150455e-06,,,5.861,8.738294202658034,7.647645429362881,2.712649085817378e-08,,,7.154,10.09094286935606,7.664334696408158,6.469940472042208
1996-08-31,MONSOON,6.156666666666666,2.223333333333333,2.2,1.47,7.954583333333334,,8.037066666666666,6.604254784670605,7.110067913233765,1.3178360563864916e-05,3.525833333333333,,3.512533333333333,4.636653850151225,2.4354806042514543,1.0068288426365098e-05,4.499375000000001,,4.3966,7.444968121685641,2.3204490066834973,5.8725557809977294e-08,5.6825,,4.8804,8.393217437241077,2.5561498752035563,7.3288823962140714
1996-11-30,POMKH,6.3000000000000025,2.51,3.36,6.16,8.06375,7.919166666666667,7.342240000000001,6.176154682685183,6.219828660446041,1.1794476218799654e-05,3.5637499999999998,3.494166666666666,3.1115199999999996,4.272455351536526,2.652846837045442,4.059492499437975e-06,4.5424999999999995,4.4624999999999995,3.98196,6.913972209281063,3.515929268281744,6.415930101164267e-08,5.84375,5.569999999999999,5.39224,8.370656154061647,4.744195087355675,5.3461933123398975
1997-02-28,POMRB,8.296666666666667,3.6266666666666665,5.02,7.37,8.167916666666668,7.99,7.7240106666666675,6.464034137073515,7.798600152901043,8.013335396156625,3.6,3.5574999999999997,3.3175786666666665,4.14055676670761,3.3444101107812827,3.3733296787251716,4.595625,4.536249999999999,4.397176,7.280165340026996,4.909636526448831,4.104166103376101,5.83875,5.795,6.183344,8.644491998420499,6.328699406101466,6.203944478941983
1997-05-31,PREMON,11.796666666666667,5.919999999999999,7.615,8.57,8.14375,8.1375,9.353073066666667,7.873755562355452,11.013201565899813,11.282264927379895,3.6679166666666663,3.5699999999999994,4.358547199999999,4.470832322686366,5.836361552803013,6.000423515841101,4.6375,4.548749999999999,5.6843056,8.855912246592595,7.792912757614776,6.571008790281129,5.70625,5.8925,7.1380064,9.217740176910638,7.915445842415737,7.572620131807194
1997-08-31,MONSOON,6.400000000000001,2.4633333333333334,2.575,1.04,7.890000000000001,8.198333333333332,8.171843840000001,7.526040366771868,6.902544386081367,6.325515476947427,3.5204166666666663,3.63,3.6004616533333333,4.106239800717881,2.4482193215846153,2.2135255416965345,4.366875,4.642499999999999,4.44058336,7.129042120011107,2.4557702331791633,1.9109344885699353,5.430000000000001,5.785,4.69880384,6.7765677663463375,2.6102551321306153,2.722194607492307
1997-11-30,POMKH,5.863333333333332,2.813333333333333,3.32,5.53,7.36125,8.089166666666664,7.248439637333334,7.03667628671466,6.462206234845549,6.411098318665069,3.1362499999999995,3.705833333333333,3.2856103253333333,3.829146438146902,2.846954919209671,2.5765625958312826,3.604375,4.632499999999999,3.9923500159999996,6.161831823290351,3.659841624889112,2.9185181205826756,5.08625,5.6275,5.031282304,6.249660035319801,5.115598222210846,6.0212293755067865
1998-02-28,POMRB,6.703333333333332,2.143333333333333,2.895,5.79,7.1362499999999995,7.69083333333333,7.030397115733333,6.855499650919228,8.006050540630612,8.164577467424575,2.8727083333333328,3.3349999999999995,2.828699528533333,3.4470646871358412,3.6937791808585914,3.6372227572123443,3.088125,4.101249999999999,3.5534100095999994,5.1870019769408495,5.071101869959188,4.529361008700591,5.401250000000001,5.2325,5.3347693824,5.921645780175163,6.570005929466687,6.688883782375507
1998-05-31,PREMON,9.16,4.329999999999999,3.64,7.4,7.25375,7.031666666666663,7.88223826944,7.461949650153077,10.860214727814604,11.096094498541186,2.699375,2.9375,3.4292197171199996,3.5229158212718077,4.785722199373865,5.103844091876354,2.99375,3.1074999999999995,3.58804600576,4.8378683886698495,7.796561024126117,7.054935969968709,5.588750000000001,4.9399999999999995,6.16086162944,6.276304641445733,7.945803353560686,7.7814289558866285
