Date,Season,Fazilka,Makhu,Firozpur,Mamdot,Guru Harsahai,Jalalabad,Gahll Kurd,Zira,Abohar,Ganganagar,Fazilka_Trend,Fazilka_SMA,Fazilka_EWMA,Fazilka_DES,Fazilka_TES,Fazilka_ARIMA,Makhu_Trend,Makhu_SMA,Makhu_EWMA,Makhu_DES,Makhu_TES,Makhu_ARIMA,Firozpur_Trend,Firozpur_SMA,Firozpur_EWMA,Firozpur_DES,Firozpur_TES,Firozpur_ARIMA,Mamdot_Trend,Mamdot_SMA,Mamdot_EWMA,Mamdot_DES,Mamdot_TES,Mamdot_ARIMA,Guru Harsahai_Trend,Guru Harsahai_SMA,Guru Harsahai_EWMA,Guru Harsahai_DES,Guru Harsahai_TES,Guru Harsahai_ARIMA,Jalalabad_Trend,Jalalabad_SMA,Jalalabad_EWMA,Jalalabad_TES,Jalalabad_ARIMA,Gahll Kurd_Trend,Gahll Kurd_SMA,Gahll Kurd_EWMA,Gahll Kurd_DES,Gahll Kurd_TES,Gahll Kurd_ARIMA,Zira_Trend,Zira_SMA,Zira_EWMA,Zira_DES,Zira_TES,Zira_ARIMA,Abohar_Trend,Abohar_SMA,Abohar_EWMA,Abohar_DES,Abohar_TES,Abohar_ARIMA,Ganganagar_Trend,Ganganagar_SMA,Ganganagar_EWMA,Ganganagar_DES,Ganganagar_TES,Ganganagar_ARIMA
1996-02-29,POMRB,4.45,1.33,7.889777777777778,7.177222222222222,0.99,0.28,3.65,9.225,8.214444444444446,5.43,,,4.45,4.410579826954238,4.299667741123716,0.0,,,1.33,1.690418018838692,0.6762674926052581,0.0,,,7.889777777777778,7.873700750392678,7.899777777777778,0.0,,,7.177222222222222,7.176576188139118,7.224959678324037,0.0,,,0.99,1.3795148002991962,0.9359650630637439,0.0,,,0.28,0.5829756640577848,0.0,,,3.65,4.0755828671887775,3.8859623634070366,0.0,,,9.225,13.310370522617603,9.33222727695958,0.0,,,8.214444444444446,8.248973510423099,8.489734737263474,0.0,,,5.43,6.154545337486018,6.245554991710422,0.0
1996-05-31,PREMON,4.723333333333334,2.12,7.499,6.8146875000000025,1.58,3.325,5.44,11.88,8.88,7.6571428571428575,,,4.559333333333333,4.421379033908668,4.451977743073825,4.449999737473786,,,1.6460000000000001,1.81366550991943,1.3169778862766002,1.329988640501875,,,7.733466666666667,7.863788301883107,7.518445983379501,4.962978200327214,,,7.032208333333334,7.081703452533321,6.717890908538841,6.920286404099296,,,1.226,1.4487759961408937,1.740174596023265,5.5631925050470906e-06,,,1.498,1.239753018436432,0.28000000000000114,,,4.366,4.537951740069172,4.765689489153544,3.6499974525762884,,,10.286999999999999,15.41771516045933,11.666707254870737,9.22496375464248,,,8.480666666666668,8.324940627664628,8.623350106169925,8.214416715966207,,,6.320857142857143,6.599262333265306,6.394426278530004,5.429992706490794
1996-08-31,MONSOON,4.026666666666666,2.63,8.000333333333334,7.457777777777778,0.18,1.42,4.17,10.93,8.003333333333334,3.596,4.281666666666666,,4.346266666666667,4.138187500184131,5.295890681141576,4.705791800297073,1.935,,2.0396,2.018500990206861,2.0464839071970635,1.7430311472562257,7.778027777777778,,7.840213333333334,7.867006682372127,8.028674276082391,5.368547674823739,7.101526041666667,,7.202436111111112,7.133487402722989,7.168558208905758,6.912792206943359,0.8400000000000001,,0.8075999999999999,1.2125940889483018,0.5892747087021801,8.878599201152646e-06,2.086875,,1.4667999999999999,2.0376704782958073,3.3250000034360907,4.5287500000000005,,4.287599999999999,4.436003442551965,4.406538347115824,5.128957492457035,10.764375000000001,,10.5442,15.565659288158251,10.976258092592992,10.57963825076734,8.272013888888889,,8.289733333333334,8.074081649010258,8.214420647740187,8.283258765107423,6.420428571428571,,5.230914285714286,5.67203373999048,6.277429032445074,6.6230326455325335
1996-11-30,POMKH,4.13,1.14,7.722999999999999,6.956416666666668,0.65,2.325,4.25,10.56,8.50375,7.848571428571428,4.180416666666667,4.3325,4.25976,4.021124283273595,4.317229106136637,3.957271955344433,1.965,1.805,1.67976,1.881443546666073,3.300048875160207,2.0819923243223495,7.778027777777778,7.778027777777778,7.793328,7.862974545280197,7.759689239595704,6.565125426661538,7.101526041666668,7.101526041666668,7.104028333333334,7.075985968962164,7.175520281754354,7.004755496834693,0.8237500000000001,0.8500000000000001,0.7445599999999999,1.1191904610199506,0.9941219378237411,1.376534077017689e-07,2.23625,1.8375000000000001,1.8100800000000001,2.223085106412512,1.4200000048362784,4.6025,4.3774999999999995,4.27256,4.393109213917944,3.9664591803252156,3.3678309357425937,10.872499999999999,10.64875,10.550519999999999,14.60212911683641,10.448307482824912,10.704224833531303,8.058802083333333,8.400381944444446,8.375340000000001,8.092555256295164,8.586481588873339,8.789358098491427,6.857191964285714,6.132928571428572,6.277977142857143,6.322796687667808,5.952242457310402,5.387812775891884
1997-02-28,POMRB,4.043333333333333,2.37,7.889777777777778,7.177222222222222,0.91,2.275,4.86,10.15,7.1875,7.729999999999999,4.455416666666666,4.230833333333333,4.173189333333333,3.9199403543636318,3.863992445756253,4.4349455524716275,1.6362500000000002,2.065,1.9558559999999998,2.020749004799329,1.3678924560663575,1.7774032392207224,7.778027777777778,7.778027777777779,7.831907911111111,7.86331726275629,7.934273297932921,7.872209548839418,7.101526041666667,7.101526041666667,7.13330588888889,7.073637179200707,7.316844984326179,7.108427383944985,0.8587499999999999,0.8300000000000001,0.8107359999999999,1.0977315161469878,1.5677176921251732,0.9900001096016552,2.269375,2.33625,1.996048,2.1863652941712814,2.3250001325833693,4.394375,4.68,4.507536,4.56342449713435,4.213235317847563,4.919388068459824,10.862499999999999,10.879999999999999,10.390312,13.06310854457143,9.591022810061268,9.787297234281436,7.890863095238096,8.143645833333334,7.9002040000000004,7.634533015146945,8.329177160865132,8.055073316085949,7.5447678571428565,6.707928571428571,6.858786285714285,6.738145599190235,6.153266154161297,6.272931307744397
1997-05-31,PREMON,4.32,1.32,7.499,6.8146875000000025,1.53,2.525,4.82,11.82,8.20125,8.85125,4.858958333333334,4.13,4.2319136,3.980234514457099,4.0315046364288225,4.087723267521426,1.5825,1.865,1.7015136,1.9200471692814403,2.0800730177724924,1.9523984104646095,7.778027777777777,7.778027777777779,7.698744746666667,7.8534459663938865,7.550767742956177,7.478327856321801,7.101526041666668,7.101526041666667,7.005858533333335,6.999462663869696,6.791193901845525,6.980263340529571,0.9637500000000001,0.8175000000000001,1.0984416000000001,1.209799116539673,2.0051316086560957,1.547459195854229,2.519375,2.1362500000000004,2.2076288,3.175238620247274,2.800108985877798,4.1325,4.5249999999999995,4.6325216000000005,4.665690471156062,5.747502935764753,4.882236935419387,10.745624999999999,10.864999999999998,10.9621872,12.653169690181082,12.23799155220912,11.549051425444855,7.707299107142857,7.973958333333334,8.0206224,7.690708757624199,8.078249202863963,8.367657905480918,8.10200892857143,7.0064553571428565,7.6557717714285705,7.367442933374644,7.092799446790505,6.767210312546778
1997-08-31,MONSOON,6.630000000000001,0.8,8.000333333333334,7.457777777777778,0.51,2.4850000000000003,3.125,10.91,7.338571428571429,7.9025,4.895416666666667,4.780833333333333,5.191148160000001,4.993092183977161,4.884399800796521,4.310172530936477,1.80625,1.4075,1.34090816,1.7315828906967534,2.488905454235641,1.7746342381917737,7.778027777777778,7.778027777777779,7.819380181333333,7.856711090732614,8.058847204674452,7.977067740363562,7.101526041666667,7.101526041666666,7.186626231111112,7.068291742202729,7.227036860841623,7.108285183326048,1.0562500000000001,0.9,0.86306496,1.0876881409404546,0.6043506897860293,0.17148962956367061,2.681875,2.4025000000000003,2.3185772800000004,1.6533918113439554,2.196483544166406,3.8525,4.26375,4.02951296,4.180976452322966,4.418987634177677,4.464401284806911,10.55625,10.859999999999998,10.94131232,11.733317262557037,11.283313633101185,10.99899845006344,7.666830357142857,7.807767857142857,7.747802011428572,7.430335054166651,7.549822781052634,7.292315468807207,8.18640625,8.083080357142855,7.754463062857143,7.515294660883127,7.139644464401835,7.455298626333823
1997-11-30,POMKH,4.755,2.54,7.722999999999999,6.956416666666668,1.16,3.26,3.2,9.645,7.7,8.0,4.858750000000001,4.937083333333333,5.016688896000001,4.790875078029441,5.4856793918445925,6.105804696347739,2.07875,1.7575,1.820544896,1.9330773769272949,3.2762764278578755,1.5078993516581596,7.778027777777778,7.77802777777778,7.7808281088,7.85273130758868,7.787742906717367,7.70774046318135,7.101526041666668,7.101526041666666,7.094542405333334,7.024799426252571,7.2221725749005365,6.994761609079614,1.0862499999999997,1.0274999999999999,0.9818389759999999,1.1243883432063706,1.1546781136124888,0.820923519638827,2.7262500000000003,2.6362500000000004,2.6951463680000005,3.0678331479254872,2.6410668780604674,3.4875,4.00125,3.697707776,3.877235802417818,3.6694767177784096,3.2730640908093376,10.11375,10.631249999999998,10.422787392,10.34760954311945,10.829535951473659,10.746638981229442,7.698459821428571,7.606830357142857,7.728681206857143,7.389768481707339,7.85195817857665,8.112054380868837,8.006897321428571,8.120937499999998,7.852677837714285,7.647525237830527,7.952809121131822,7.60112277250871
1998-02-28,POMRB,3.71,2.76,7.889777777777778,7.177222222222222,1.14,2.64,3.67,9.55,7.667499999999999,8.25375,4.47875,4.85375,4.4940133376,4.236045135657407,4.747643546767238,3.8729797826678674,2.543125,1.8549999999999998,2.1963269376,2.142583314196282,1.636211132924247,1.7863004651530638,7.778027777777778,7.778027777777781,7.824407976391111,7.8531316975382515,7.960241586873948,7.879103158849055,7.101526041666667,7.1015260416666655,7.127614332088889,7.033959108150933,7.35406260791614,7.157859634619298,1.115,1.0849999999999997,1.0451033856,1.1499769288937447,1.6707093142210336,1.0903863577441426,2.731875,2.7275000000000005,2.6730878208,3.1076493877598867,3.2513776345608343,3.4000000000000004,3.7037499999999994,3.6866246656,3.825148021271328,3.693803266471469,4.284920218065976,9.807500000000001,10.481249999999998,10.073672435199999,9.414222902805475,10.137220926148235,10.27626969301583,7.558705357142856,7.726830357142857,7.7042087241142845,7.365469772349847,7.495391912552606,7.375940903446501,7.632142857142857,8.251875,8.013106702628571,7.816463320448624,7.542684527625758,7.730446538089514
1998-05-31,PREMON,4.359999999999999,3.11,7.499,6.8146875000000025,1.54,2.515,3.09,8.88,7.974285714285713,6.891428571428572,3.6925,4.86375,4.44040800256,4.191222293457944,4.27738594724417,4.517591989557557,2.6806249999999996,2.3024999999999998,2.56179616256,2.3851868603139748,2.3733549775856213,2.0468993505453077,7.778027777777777,7.778027777777781,7.694244785834666,7.843323467998958,7.574688529550296,7.48797232236769,7.101526041666668,7.1015260416666655,7.0024435992533345,6.969208623137498,6.820884864760118,6.9342135536078775,1.0574999999999999,1.0874999999999997,1.24306203136,1.2542601365859791,2.255500586555505,1.5631178893913509,2.6199999999999997,2.7250000000000005,2.60985269248,3.624779063230986,3.124521973743559,3.546875,3.2712499999999993,3.44797479936,3.6003148592468834,4.470668921544985,3.627040916702287,9.928125000000001,9.746249999999998,9.59620346112,8.553896624821272,11.939422310054846,11.2007032911613,7.302790178571428,7.670089285714285,7.812239520182856,7.478487095157231,7.728816623379183,7.6966397013699295,7.366651785714287,7.761919642857142,7.564435450148571,7.5191268915033,8.196110607047379,7.899666133918046
