Date,Season,Tarbha,Ulunda,Binika,Biramaharajpur,Sonepur,Dunguripali,Tarbha_Trend,Tarbha_SMA,Tarbha_EWMA,Tarbha_DES,Tarbha_TES,Tarbha_ARIMA,Ulunda_Trend,Ulunda_SMA,Ulunda_EWMA,Ulunda_DES,Ulunda_TES,Ulunda_ARIMA,Binika_Trend,Binika_SMA,Binika_EWMA,Binika_TES,Binika_ARIMA,Biramaharajpur_Trend,Biramaharajpur_SMA,Biramaharajpur_EWMA,Biramaharajpur_DES,Biramaharajpur_TES,Biramaharajpur_ARIMA,Sonepur_Trend,Sonepur_SMA,Sonepur_EWMA,Sonepur_DES,Sonepur_TES,Sonepur_ARIMA,Dunguripali_Trend,Dunguripali_SMA,Dunguripali_EWMA,Dunguripali_DES,Dunguripali_TES,Dunguripali_ARIMA
1996-02-29,POMRB,3.3200000000000003,3.7342857142857135,2.778,5.4804545454545455,3.751666666666667,2.9271428571428566,,,3.3200000000000003,4.200892149237884,4.030065177620756,0.0,,,3.7342857142857135,6.774611144431352,3.8657034892193156,0.0,,,2.778,2.677076074114361,0.0,,,5.4804545454545455,3.938210506349677,5.490454545454545,0.0,,,3.751666666666667,7.994134785516052,4.291125293991043,0.0,,,2.9271428571428566,2.8340387799371496,2.9371428571428564,0.0
1996-05-31,PREMON,5.53,5.5900000000000025,3.5500000000000003,6.96409090909091,6.416666666666668,4.592857142857143,,,4.204000000000001,4.222518773958006,5.497282711200189,1.0122631058136067,,,4.476571428571429,8.567541258794643,5.25490962835192,5.364221400759806e-07,,,3.0868,3.2575198690348457,2.6695173975162273e-07,,,6.0739090909090905,4.422608739543292,6.983536892470411,2.564818733697238e-06,,,4.817666666666668,10.74205893304185,5.94818967206451,7.979107695685326e-07,,,3.5934285714285714,4.125060258256252,4.612303126236645,2.9271403926049335
1996-08-31,MONSOON,4.779999999999999,2.1042857142857145,0.6966666666666667,3.5813636363636365,2.5533333333333332,1.4414285714285715,4.696249999999999,,4.4344,4.204560133448288,2.5403897128464634,1.5186277980423202,3.5369642857142862,,3.5276571428571435,6.913594914873465,1.845782343989646,8.871304167901641e-07,2.3241249999999996,,2.1307466666666666,0.8772907007792676,6.435682490987421e-07,4.940227272727274,,5.076890909090909,4.186023234034876,3.609704579112696,3.259150149020047e-06,4.286291666666667,,3.9119333333333337,8.433195506518608,2.138565658998784,1.7532583073840554e-06,2.830214285714286,,2.732628571428571,3.644196671715549,1.46976951417763,3.8978477791409345
1996-11-30,POMKH,4.33,2.838571428571428,1.9533333333333327,3.7350000000000008,3.8560000000000003,2.068,5.12875,4.49,4.39264,4.164234567167309,3.9094684044698624,1.6879479342798072,3.4658928571428573,3.5667857142857144,3.2520228571428573,5.504517515198766,2.6528589138215954,2.38290565020876e-07,2.2920833333333333,2.2445,2.059781333333333,1.8182581018194144,4.6706434053427076e-07,4.940227272727274,4.940227272727273,4.540134545454546,4.009439066294795,3.7716892395957067,3.9364666953136406e-07,4.42275,4.144416666666667,3.8895600000000004,6.7607181507069765,3.2374304278302786,1.0652147532525548e-06,2.827892857142857,2.757357142857143,2.4667771428571426,3.3679308702137982,2.104689239595705,2.623923607458364
1997-02-28,POMRB,4.9700000000000015,3.495714285714286,3.415,5.4804545454545455,4.886666666666667,3.51,4.76125,4.902500000000001,4.623584000000001,4.16278416771393,4.886893738875418,3.1415931298485558,3.230178571428571,3.5071428571428576,3.349499428571429,4.614420768426394,4.059607599541284,3.7342850188295746,2.1133333333333333,2.40375,2.6018688,2.810585614416178,2.777999635936664,4.940227272727273,4.940227272727273,4.916262545454545,4.224752713900727,5.524950065609691,5.4804515052355836,4.1846250000000005,4.428166666666668,4.288402666666666,5.943479794338555,4.465760071438936,3.751666110905425,2.6775357142857144,2.9030714285714287,2.8840662857142854,3.7040051808910177,2.969007798350632,2.8252975103878875
1997-05-31,PREMON,7.34,5.26,2.6566666666666667,6.96409090909091,6.373333333333332,3.991428571428572,3.8150000000000004,5.355,5.7101504,4.296700560359591,6.6968659698537465,5.412397489569156,2.94875,3.4246428571428567,4.113699657142858,4.959837513499065,5.319379759878377,5.529770997939418,2.0158333333333336,2.1804166666666664,2.623787946666667,3.500197979418914,3.6548254453144806,4.940227272727273,4.940227272727273,5.735393890909091,4.760009442574794,7.01585865204709,6.964086009321082,3.827625,4.417333333333334,5.122374933333333,6.321803893770319,6.29709803873548,6.713017537160889,2.6560446428571427,2.7527142857142857,3.3270112000000003,4.152704836183755,4.671946459262179,4.296033572447655
1997-08-31,MONSOON,0.03,0.5485714285714286,0.16,3.5813636363636365,0.6916666666666668,0.84,3.126875,4.1675,3.4380902399999997,4.021802363224525,4.003753540377328,4.8327954622289715,2.8117857142857146,3.035714285714285,2.687648365714286,2.6526348207957784,1.7921929912680463,2.0249783860999955,1.8382291666666668,2.0462499999999997,1.6382727680000002,0.8736548208485102,0.6780689564834035,4.940227272727274,4.940227272727273,4.873781789090909,4.550022037767474,3.6398775077047576,3.581361450708227,3.5095833333333335,3.951916666666667,3.3500916266666665,3.007666849793035,2.4162955122315743,2.6145638321447278,2.739732142857143,2.6023571428571426,2.33220672,3.067797130473024,1.491712173537609,1.7239666591860692
1997-11-30,POMKH,1.51,2.142857142857143,1.7100000000000002,3.7350000000000008,2.861666666666667,2.4975,2.4387499999999998,3.462500000000001,2.6668541439999998,3.836216460872026,2.6878394168599753,2.106198782835638,2.665178571428571,2.8617857142857135,2.4697318765714287,2.013486246835915,2.149704231429918,2.4634445300913717,1.6602083333333333,1.9854166666666666,1.6669636608000002,1.6990486166884262,1.6935873759200364,4.940227272727274,4.940227272727273,4.418269073454546,4.380546058917077,3.7997429067173716,3.734997872216567,3.2285416666666675,3.7033333333333336,3.1547216426666664,2.391802965042974,3.126932655243561,3.269671382500955,2.7629464285714285,2.709732142857143,2.3983240319999997,2.843330305208085,2.0893325397182014,2.005396954134717
1998-02-28,POMRB,2.285,3.0957142857142856,2.2375000000000003,5.4804545454545455,3.3366666666666682,3.75,2.575,2.7912500000000007,2.5141124864,3.699622668564469,2.9745576225714947,3.6247769105825514,2.8,2.7617857142857134,2.7201248402285714,2.2335446910779657,3.498822475117947,3.436845281155664,1.7453750000000001,1.6910416666666668,1.8951781964800003,2.6644631620798074,2.9509704757164212,4.940227272727273,4.940227272727273,4.8431432622545465,4.592410786498282,5.550918354550719,5.480452977987871,3.3960416666666675,3.315833333333334,3.2274996522666672,2.5159615719790684,4.194876237559602,3.91137511293274,2.926004464285714,2.769732142857143,2.9389944191999997,3.206412293645297,3.128024904059041,3.2116394185693498
1998-05-31,PREMON,4.52,4.4871428571428575,2.41,6.96409090909091,5.6750000000000025,3.937142857142857,3.251875,2.0862500000000006,3.31646749184,3.692803916814041,4.45063713167872,5.476796167795989,3.0501785714285714,2.568571428571428,3.4269320469942857,3.3936911491469033,4.806715412317963,5.2683014235507475,1.852,1.6293750000000005,2.1011069178880004,3.130448619425266,2.8669491190005427,4.940227272727273,4.940227272727273,5.691522320989092,5.117888206163232,7.03977943864121,6.964088597609495,3.6277083333333344,3.141250000000002,4.206499791360001,4.556970527566302,5.7940981722684715,6.003299406907131,3.1216294642857143,2.7561607142857145,3.3382537943771426,3.5959444481519047,4.512938991523245,4.1799582559252135
