Date,Season,The Dangs,The Dangs_Trend,The Dangs_SMA,The Dangs_EWMA,The Dangs_DES,The Dangs_TES,The Dangs_ARIMA
1996-02-29,POMRB,3.4825000000000004,,,3.4825000000000004,8.209859759044514,3.6058541878615316,0.0
1996-05-31,PREMON,6.7170000000000005,,,4.776300000000001,12.160840231095488,6.034292819578035,0.0
1996-08-31,MONSOON,2.0205,3.6817861842105266,,3.6739800000000007,10.19432106469952,2.3138712170220854,0.0
1996-11-30,POMKH,2.5705,3.526072368421053,3.6976250000000004,3.2325880000000002,7.702348231014283,2.7802526762099866,0.0
1997-02-28,POMRB,3.35578947368421,3.4833059210526316,3.6659473684210533,3.2818685894736843,5.796553141363635,3.608876236636563,3.4824984082566566
1997-05-31,PREMON,5.598000000000001,3.655898848684211,3.3861973684210533,4.208321153684211,5.715764224936432,6.223853826915569,6.716996929866465
1997-08-31,MONSOON,2.7973684210526315,3.7415805921052634,3.5804144736842107,3.643940060631579,3.954728003670133,2.162848729286276,2.020499076491766
1997-11-30,POMKH,3.1743750000000013,3.8442303414786974,3.731383223684211,3.4561140363789478,3.1074486623529882,2.722249142327463,2.5704988251037286
1998-02-28,POMRB,3.4373684210526316,3.895959038220552,3.7517779605263164,3.4486157902484216,2.867623634421961,3.592095684896977,3.4113661968812856
1998-05-31,PREMON,6.337619047619048,3.7537162567878033,3.9366827224310783,4.604217093196672,4.854254563129316,6.123809697240969,6.08881134522529
1998-08-31,MONSOON,2.471578947368421,3.654969288752184,3.8552353540100253,3.7511618348653717,3.7354537855057544,2.4360656141773225,2.4566201331071866
1998-11-30,POMKH,2.3622222222222224,3.5456640369864054,3.6521971595655804,3.195585989808112,2.85003403612629,2.904082150956628,2.9095044987147913
1999-02-28,POMRB,3.4595454545454545,3.480701787612972,3.6577414179387864,3.301169775703049,2.979141221552929,3.5480598984232006,3.4232465657697966
1999-05-31,PREMON,5.440999999999999,3.598967712842713,3.433586656034024,4.157101865421829,4.547613101218793,6.174884264921909,6.202491131510573
1999-08-31,MONSOON,2.8485,3.705050324675325,3.5278169191919186,3.633661119253097,3.892753370528081,2.3694687300989727,2.463454788111585
1999-11-30,POMKH,2.931428571428572,3.5875654761904765,3.6701185064935062,3.3527681001232867,3.382549700410683,2.731305933952508,2.659452222877532
2000-02-29,POMRB,3.7390000000000008,3.3697480742296926,3.739982142857143,3.5072608600739725,3.5368377077154602,3.543972994344352,3.438645476727041
2000-05-31,PREMON,4.2216666666666685,3.364049719887956,3.4351488095238105,3.7930231827110505,3.9885477517317676,6.035506394656821,5.879447244373011
2000-08-31,MONSOON,2.3252941176470587,3.716831646294882,3.304347338935575,3.205931556685454,3.078354851036579,2.4415462040369755,2.626800750822134
2000-11-30,POMKH,3.4090476190476204,4.279980636193872,3.4237521008403373,3.2871779816303204,3.1320355446470893,2.688739769335219,2.7748315007308664
2001-02-28,POMRB,6.083636363636362,4.554217861386979,4.009911191749428,4.4057613344327375,5.1526559389797795,3.5408719800217865,3.5627478146904763
2001-05-31,PREMON,6.3822222222222225,4.467942189754689,4.550050080638316,5.196345689548531,6.910825522943312,5.725939384105826,5.194475221039233
2001-08-31,MONSOON,2.3586363636363643,4.131984668109669,4.558385642135643,4.061261959183664,5.106679435203681,2.7395234818193535,2.502222376969892
2001-11-30,POMKH,2.6855,3.9352312826062823,4.377498737373738,3.5109571755101987,3.8141293760578874,3.1701409589703937,3.0368808356285966
2002-02-28,POMRB,4.11952380952381,3.935787420912421,3.8864705988456,3.7543838291156435,3.8117263761696356,4.372684318546947,4.594698826323746
2002-05-31,PREMON,6.772307692307693,3.984395375457876,3.9839919663669674,4.961553374392463,5.740269232591065,5.878617793272211,5.680691368892218
2002-08-31,MONSOON,1.973,4.078945970695971,3.887582875457876,3.766132024635478,3.9168694211064636,2.6576952030091463,2.4434440022663053
2002-11-30,POMKH,3.46,4.154750867553499,4.081207875457876,3.6436792147812866,3.5080143624682765,3.039219764207359,2.8930395662685933
2003-02-28,POMRB,4.101428571428572,4.2015398913951545,4.076684065934066,3.826778957440201,3.6899967035092547,4.369104259037599,4.400816854923404
2003-05-31,PREMON,7.396842105263157,4.038387113617376,4.232817669172933,5.254804216569383,6.300046260380208,6.153751197106582,6.126095098705088
2003-08-31,MONSOON,1.7227777777777775,3.8776971785524417,4.170262113617378,3.8419936410527407,4.255820978800817,2.575021383647409,2.2514923899801302
2003-11-30,POMKH,2.4050000000000007,3.7909019803296125,3.906512113617378,3.2671961846316444,3.132837674927003,3.213187222795849,3.1243720284382515
2004-02-29,POMRB,3.87090909090909,3.70764393939394,3.8488822434875076,3.508681347142623,3.321524747846613,4.278901411044857,4.278800247762661
2004-05-31,PREMON,6.9330000000000025,3.758491161616162,3.7329217171717186,4.878408808285575,5.7834015180124805,6.421218090785533,6.64399191313591
2004-08-31,MONSOON,1.5205555555555559,3.6973434343434346,3.6823661616161636,3.5352675071935673,3.847771508936248,2.2739633175233553,2.03601313880779
2004-11-30,POMKH,3.014,3.492138888888889,3.8346161616161636,3.32676050431614,3.30456745790713,2.9306142796894776,2.831189766354533
2005-02-28,POMRB,2.7727272727272734,3.440149531024531,3.560070707070709,3.1051472116805936,2.8219540715269473,4.1637548274152,4.112630154637919
