Date,Season,Kumher,Nagar,Bayana,Deeg,Nadbai,Weir,Sewar,Kaman,Rupbas,Kumher_Trend,Kumher_SMA,Kumher_EWMA,Kumher_DES,Kumher_TES,Kumher_ARIMA,Nagar_Trend,Nagar_SMA,Nagar_EWMA,Nagar_DES,Nagar_TES,Nagar_ARIMA,Bayana_Trend,Bayana_SMA,Bayana_EWMA,Bayana_DES,Bayana_TES,Bayana_ARIMA,Deeg_Trend,Deeg_SMA,Deeg_EWMA,Deeg_DES,Deeg_TES,Deeg_ARIMA,Nadbai_Trend,Nadbai_SMA,Nadbai_EWMA,Nadbai_DES,Nadbai_TES,Nadbai_ARIMA,Weir_Trend,Weir_SMA,Weir_EWMA,Weir_DES,Weir_TES,Weir_ARIMA,Sewar_Trend,Sewar_SMA,Sewar_EWMA,Sewar_DES,Sewar_TES,Sewar_ARIMA,Kaman_Trend,Kaman_SMA,Kaman_EWMA,Kaman_DES,Kaman_TES,Kaman_ARIMA,Rupbas_Trend,Rupbas_SMA,Rupbas_EWMA,Rupbas_DES,Rupbas_TES,Rupbas_ARIMA
1998-05-31,PREMON,4.03,8.09,6.032,5.405,10.18,11.1,5.47,5.296666666666667,4.763333333333334,2.6225,3.2375000000000003,3.46414839808,3.9582961696756738,4.51464083514727,3.51758973138121,5.874648892773894,6.768074494949493,6.955733461410908,6.847102768598786,8.16769486316922,7.244733636511982,4.06875,4.197000000000001,4.7608320266240005,4.438782669881364,5.798787555407187,4.516294746633858,4.4121875,4.341666666666666,4.595651563520001,4.476340602543539,4.6718242014518445,3.9933832275566337,9.622499999999999,7.986249999999999,8.70975905536,8.730550539627627,9.373478865736999,8.73517540763719,11.36125,11.107500000000003,11.16054918144,11.549756014222348,12.009702903037669,11.201321824261392,4.225833333333333,4.791249999999999,4.95293229056,4.755321569795422,4.750457534122324,4.320416332012575,4.544291666666666,4.4644166666666685,4.722284471466667,5.036912846907641,5.39930598993832,4.33055036806154,3.8907916666666664,4.019166666666668,4.278839144277333,4.071744161915258,5.5945983520224845,4.5978148040720885
1998-08-31,MONSOON,1.07,4.628333333333333,2.8519999999999994,4.0633333333333335,11.495,11.53,3.0700000000000003,4.4,2.795,2.589375,2.8875,2.5064890388479997,3.282237588159872,2.5979275577232173,2.8046006693834604,5.407395833333334,6.190435606060605,6.024773410179877,6.482245668467717,6.145733136063689,6.6568683539978695,3.8810000000000007,4.153000000000001,3.9972992159744,4.211792168502588,3.472387478949998,4.095757713843713,4.306145833333333,4.450833333333332,4.382724271445333,4.41839472155412,4.047808956247499,4.464164246078264,10.159375,9.327499999999999,9.823855433216,8.875899554372955,7.985043886865633,8.390927325623059,11.455,11.295000000000003,11.308329508864,11.68143460576486,11.634507193918315,11.161030596915625,3.822083333333333,4.427499999999998,4.199759374336,4.154212714362435,4.288162802445772,4.780888392985328,4.445,4.586916666666668,4.59337068288,4.78666717410004,4.314830451798356,4.6608820597955365,3.9707797619047613,3.906250000000001,3.6853034865664,3.902186039512582,2.8833287298681167,3.2921005412175672
1998-11-30,POMKH,1.4,3.9646153846153847,3.0360000000000005,3.563333333333333,9.615,11.28,2.96,3.765,3.668,2.9749999999999996,2.3575000000000004,2.0638934233087998,2.755982748118239,3.072457752758739,2.796659444606081,4.994783653846154,5.558862179487178,5.20071019995408,6.063275607310477,5.283207273982127,5.311490617010403,3.6875,3.9845000000000015,3.6127795295846403,4.05059579418189,3.888817651034059,3.3269941078112213,4.11875,4.373541666666665,4.054967896200533,4.243483871666183,4.4675917523456015,4.330541134716174,10.51,9.917499999999999,9.7403132599296,9.00397671215881,9.491804188244657,9.40908934097731,11.581249999999999,11.427500000000004,11.2969977053184,11.703711771675518,11.708299433936123,11.307743637128176,3.495,4.024166666666665,3.7038556246015997,3.720515638967862,4.015789665131594,2.7137037234733326,4.44125,4.501666666666669,4.262022409728,4.245672241835336,4.91011848261526,4.544845542167906,4.076434523809524,3.875333333333334,3.67838209193984,3.901351136685324,3.3441298655068215,3.455997603536088
1999-02-28,POMRB,4.785,4.340769230769231,3.1900000000000004,3.923333333333334,10.315,12.02,2.9800000000000004,4.091666666666667,5.038571428571427,3.46375,2.8212500000000005,3.1523360539852803,3.1168566993940687,2.9739372289494614,2.380523873867299,4.8107211538461545,5.255929487179486,4.85673381228014,5.782910223674324,5.295729643621735,4.835054750056531,3.6274999999999995,3.7775000000000016,3.443667717750784,3.9399559670788644,4.233815936593595,3.922840979250603,4.010416666666667,4.23875,4.002314071053654,4.207331001307474,4.517731905940277,4.074828271372511,10.257708333333335,10.401249999999997,9.97018795595776,9.139373509691776,10.713324418030258,9.213570452877013,11.735,11.482500000000005,11.58619862319104,11.934922746298062,12.23484985354387,11.296712223046164,3.4054166666666665,3.6199999999999983,3.41431337476096,3.4402753616760777,4.528488407340752,2.6675688805762188,4.577500000000001,4.388333333333335,4.193880112503466,4.110384560018295,4.8345083915428795,4.459994461406643,4.101767857142857,4.066226190476192,4.222457826592475,4.167442627911764,4.52652194194161,3.911544207043775
1999-05-31,PREMON,5.26,6.000833333333335,5.311999999999999,4.445,11.05,11.89,4.47,5.72,4.845,4.220000000000001,3.12875,3.995401632391168,3.596345200741473,4.367296845160675,3.388909542834779,4.975400641025642,4.73363782051282,5.314373620701418,5.843661515966957,6.891697793393923,6.122395778987557,3.6815,3.597500000000001,4.19100063065047,4.1952495751297985,5.589657223394145,4.468837618468795,3.9754166666666673,3.9987499999999994,4.179388442632193,4.3175358153130485,4.752436039781482,4.02433869080995,9.909791666666667,10.618749999999997,10.402112773574657,9.282509632463604,11.055553422115901,10.426512562178646,11.867500000000001,11.680000000000005,11.707719173914624,12.063867259152024,12.322451171935944,11.584303084084413,3.49125,3.3699999999999983,3.8365880248565762,3.744841447509275,3.6966723934785475,2.796029898069951,4.8533333333333335,4.494166666666668,4.804328067502079,5.020480041733473,5.4035296782463345,4.561981097465895,4.0875,4.0866428571428575,4.471474695955485,4.379742439927657,5.604089200825358,4.683014809758747
1999-08-31,MONSOON,3.75,5.245000000000001,3.092,4.156666666666667,8.606666666666667,11.97,3.353333333333333,5.066666666666666,2.9160000000000004,4.440625,3.79875,3.897240979434701,3.6732407078309803,2.364567066450597,2.760429945692108,5.1308173076923085,4.887804487179487,5.286624172420851,5.760640883762554,4.574421522560135,4.669239080768717,3.9220625,3.6575000000000006,3.751400378390282,4.04584480400991,3.144222161878761,3.5289078689190143,3.9111458333333333,4.022083333333333,4.170299732245983,4.324130366364241,3.81422807562995,4.164529725129039,9.677291666666665,9.896666666666665,9.68393433081146,9.402869065492487,9.494285834907906,9.99070385284658,11.739999999999998,11.790000000000004,11.812631504348776,12.18011599974268,12.20804572294588,11.705852708278227,3.8125,3.440833333333331,3.643286148247279,3.5791109103956584,3.2526646560425445,3.5153070341578174,5.233124999999999,4.6608333333333345,4.909263507167914,5.18223392390525,4.372885857686393,4.560264910502401,4.06275,4.116892857142858,3.8492848175732908,4.188680249237563,3.060336738733318,3.74154916122432
1999-11-30,POMKH,4.77,4.665384615384615,3.228,3.1900000000000004,9.72,11.9,3.3633333333333333,5.305,3.4328571428571437,4.09375,4.64125,4.24634458766082,3.9979243640600446,3.3793740628445637,3.273191715254865,5.363846153846155,5.062996794871794,5.038128349606357,5.589724298011469,4.506492273353155,4.242635047504516,4.326124999999999,3.7055000000000007,3.5420402270341693,3.9421919607585516,3.6930374690886882,3.4314940684765536,3.871041666666667,3.92875,3.77817983934759,4.074725885974695,4.332716327460783,4.161909298066816,9.240729166666668,9.922916666666664,9.698360598486877,9.534373101422174,10.065116792990056,8.647658634430575,11.430833333333334,11.945000000000004,11.847578902609266,12.243598459241541,12.194408955757504,11.810881463969523,4.129166666666666,3.5416666666666643,3.531305022281701,3.472796543279619,3.4286953602010666,2.939390297500244,5.522916666666666,5.045833333333334,5.067558104300748,5.4002028673833085,5.046345770002915,4.536310663242286,4.210339285714285,4.0581071428571445,3.682713747686832,4.09468865708241,3.5973902298296982,3.938408046180963
2000-02-29,POMRB,3.18,4.883333333333332,4.9225,3.7825,8.35,10.38,5.1466666666666665,5.59,5.075714285714286,3.89125,4.24,3.819806752596492,3.8921599527530826,5.122085689471843,4.4559353182434425,5.527804487179488,5.19863782051282,4.976210343097147,5.486725239919102,5.055584853265535,4.477493062084473,4.691625,4.138625,4.094224136220502,4.133149037311299,4.128390322664796,3.749877439622107,4.072708333333335,3.8935416666666662,3.779907903608554,4.0440080973395,4.310858704507049,3.838015112298847,9.173125,9.431666666666665,9.159016359092126,9.653244983379743,11.186966754372424,9.74191367018874,11.133333333333333,11.535000000000004,11.260547341565559,11.84745894830242,12.79229605195302,11.846316258462085,4.34625,4.083333333333331,4.1774496800356875,3.9888297454046886,4.278140354316378,2.961077075123616,5.625208333333333,5.420416666666668,5.276534862580449,5.679440429433421,5.151040515884025,4.733708191102332,4.478428571428571,4.067392857142859,4.2399139628978135,4.32341138340234,4.728423473244334,4.281154016012203
2000-05-31,PREMON,4.09,7.3225000000000025,6.812,4.2650000000000015,9.5225,11.056666666666667,4.836666666666667,6.54,5.988571428571428,3.7199999999999998,3.9475000000000002,3.9278840515578954,4.006046031015998,5.432604030942446,4.492843998007087,5.622900641025641,5.529054487179486,5.9147262058582895,5.831644874749089,6.935805292385616,6.130006106563581,5.265375,4.513625000000001,5.181334481732302,4.6045879132799925,5.912476740663217,5.530002550032254,4.523125,3.8485416666666667,3.9739447421651333,4.14797445641942,4.5655023056434105,3.8195144517528163,9.330625000000001,9.049791666666664,9.304409815455276,9.783778467115043,11.010183172126847,9.819412649839801,11.002500000000001,11.32666666666667,11.178995071606003,11.758510748743364,12.19140114394904,11.263288196774045,4.96625,4.174999999999998,4.441136474688079,4.228172165168671,4.26811143142294,4.767421797888746,5.76375,5.625416666666668,5.78192091754827,6.406194274363966,5.871855944462672,5.194341122268258,5.019642857142857,4.353285714285716,4.93937694916726,4.723174403093251,5.494401262321277,4.5762390458772195
2000-08-31,MONSOON,3.3,5.235,4.516,5.95,9.593333333333334,10.423333333333332,4.723333333333334,5.065,3.917142857142857,3.7225,3.835,3.676730430934737,3.9028874312030406,3.149065252230802,3.43982409854406,5.902669413919414,5.526554487179486,5.642835723514974,5.7489335012243945,5.082493493546784,5.257125330407979,6.0453125000000005,4.869625000000001,4.915200689039381,4.62497561163962,3.741330152223224,3.983047223540621,5.089375,4.296875,4.76436684529908,4.669102952100783,3.6293878490816827,3.9679742985974,9.664791666666668,9.29645833333333,9.4199792226065,9.915507356883344,9.133476135938508,9.096722496658646,11.298333333333334,10.940000000000003,10.876730376296935,11.510231191648915,11.895704455150739,11.181132561649854,5.717083333333333,4.517499999999998,4.554015218146181,4.349193190440768,3.7544809110004524,4.137423593839888,6.006785714285715,5.625000000000002,5.495152550528962,5.91378423675961,4.886382167928396,5.352563876168102,5.5406249999999995,4.60357142857143,4.530483312357498,4.684338124585351,3.291231324936791,3.786814229646946
