Date,Season,Seondha,Datia,Seondha_Trend,Seondha_SMA,Seondha_EWMA,Seondha_DES,Seondha_TES,Seondha_ARIMA,Datia_Trend,Datia_SMA,Datia_EWMA,Datia_DES,Datia_TES,Datia_ARIMA
1996-02-29,POMRB,17.045,9.155,,,17.045,15.993419472621449,15.44808109671018,0.0,,,9.155,6.953434184097851,7.904973474468795,0.0
1996-05-31,PREMON,15.216666666666667,12.0,,,16.313666666666666,15.579626043345163,15.836596703320437,16.713846700372496,,,10.293,7.930818451616084,11.275942239429282,9.154955063109442
1996-08-31,MONSOON,13.116666666666665,3.083333333333333,13.893125000000001,,15.034866666666666,14.450250193146008,15.211175751254812,15.310018255010837,6.5406249999999995,,7.409133333333333,7.2354916940388625,6.396788889172561,11.061580453381195
1996-11-30,POMKH,11.95,3.8766666666666665,13.308333333333332,14.332083333333333,13.800919999999998,13.310874438991235,14.799363410447427,14.02759312125212,5.800416666666667,7.02875,5.996146666666666,6.692105792941189,6.076599101050208,6.062035596344862
1997-02-28,POMRB,13.533333333333333,5.25,13.093333333333334,13.454166666666666,13.693885333333332,13.336345376496892,13.738472373793853,13.118481573439015,5.8045833333333325,6.052499999999998,5.697687999999999,6.415350177901575,6.479542260353662,7.670363316887796
1997-05-31,PREMON,14.050000000000002,9.983333333333333,13.107916666666668,13.162499999999998,13.8363312,13.570761436117188,13.350354666086126,13.985622544990756,6.25,5.548333333333332,7.411946133333332,7.013192299795503,8.851881057269662,9.180735314433011
1997-08-31,MONSOON,12.563333333333333,5.133333333333334,12.920833333333334,13.024166666666664,13.327132053333333,13.071379234936975,13.293631406061879,13.87564833419579,6.475416666666667,6.060833333333332,6.5005010133333325,6.712385687708309,4.136803160093336,4.0138864052405925
1997-11-30,POMKH,12.62,5.39,12.560833333333335,13.191666666666663,13.044279232,12.811276232152956,13.469753389588218,12.94577574540008,6.61125,6.439166666666666,6.056300607999999,6.467679142619223,5.552431686592419,5.820796585337252
1998-02-28,POMRB,11.366666666666667,5.539999999999999,12.245,12.649999999999999,12.373234205866666,12.129757089036659,13.270634730026714,13.102623144335427,6.594999999999999,6.511666666666666,5.849780364799999,6.263726980914028,6.775964828412197,7.356945683401584
1998-05-31,PREMON,13.336666666666668,10.78,11.8825,12.471666666666664,12.758607190186666,12.580401691491963,12.150372299065754,12.018173150209881,6.47375,6.710833333333332,7.82186821888,7.02799674840535,9.145716978419477,9.65688064138029
1998-08-31,MONSOON,10.75,4.206666666666667,11.913333333333334,12.01833333333333,11.955164314112,11.735870626815844,12.303380281731185,13.405442910745514,6.807916666666667,6.479166666666665,6.375787597994667,6.575121502741237,4.633150846266873,4.438249870141779
1998-11-30,POMKH,11.533333333333333,5.346666666666667,12.02875,11.746666666666664,11.786431921800533,11.588632118686043,12.124778341895016,11.204304407047886,7.368125000000001,6.468333333333332,5.964139225463467,6.342773818518331,5.475669731366528,4.763291882495111
1999-02-28,POMRB,12.7,8.256666666666666,11.882916666666667,12.079999999999997,12.15185915308032,12.001423315189614,12.036982902970331,12.219594449902662,7.590416666666666,7.147499999999999,6.881150201944747,6.649523686312665,6.7126660300877505,5.828279932605301
1999-05-31,PREMON,12.926666666666668,12.545,11.678749999999999,11.977499999999997,12.46178215851486,12.332843980430358,12.023014639648371,12.411379128644413,7.599166666666667,7.588749999999999,9.146690121166849,7.745271360446626,10.20203092859889,11.242460016880987
1999-08-31,MONSOON,9.993333333333332,4.22,11.746041666666665,11.78833333333333,11.474402628442249,11.272897912525275,12.054212189694212,12.5790820575922,7.520833333333332,7.592083333333332,7.1760140727001085,7.275537277703399,5.974883427022112,6.367664543489907
1999-11-30,POMKH,10.656666666666666,5.403333333333332,11.902083333333334,11.569166666666664,11.147308243732017,10.951978012794594,11.656893475853709,10.675296820887507,7.421666666666667,7.606249999999998,6.466941776953398,7.017638048264386,6.282398280148591,5.195507789734156
2000-02-29,POMRB,14.114999999999998,7.573333333333332,12.058333333333332,11.922916666666662,12.33438494623921,12.241366958095062,11.39292525305535,11.439742429052174,7.909166666666666,7.435416666666665,6.909498399505372,7.15428431226322,7.217312104839591,6.675070017666175
2000-05-31,PREMON,12.76,12.435,12.35625,11.881249999999994,12.504630967743527,12.39846610495492,12.266349524790693,13.198660515903171,8.915416666666667,7.407916666666665,9.119699039703224,8.182101829019947,10.228226135164713,11.389407968638256
2000-08-31,MONSOON,11.409999999999998,8.23,12.298125,12.23541666666666,12.066778580646115,11.913251211552225,12.120848614522437,12.052312216168632,9.533333333333335,8.410416666666666,8.763819423821936,8.39721510733441,5.946226912774608,5.334948376116214
2000-11-30,POMKH,11.623333333333333,9.443333333333333,12.263333333333334,12.477083333333328,11.889400481721003,11.727896729123355,12.305352735394079,11.735782390776176,9.805208333333333,9.420416666666668,9.035624987626495,8.804807656804549,7.880284029509382,7.451022401736201
2001-02-28,POMRB,12.683333333333332,8.476666666666668,12.516666666666666,12.119166666666661,12.206973622365934,12.073591542693102,12.178522429883467,11.834889379230653,9.574166666666668,9.646250000000002,8.812041659242563,8.994527123327174,9.79874325530388,9.828672748665783
2001-05-31,PREMON,13.913333333333336,13.706666666666667,12.864166666666666,12.407499999999995,12.889517506752895,12.793893392396049,12.096372007995503,12.40832352266616,8.795416666666666,9.964166666666667,10.769891662212205,10.128618073379643,12.133814462055591,12.174163794384473
2001-08-31,MONSOON,12.283333333333333,5.11,12.275833333333335,12.625833333333329,12.64704383738507,12.510043030338926,12.521178670228936,13.119648735378098,8.389583333333333,9.184166666666666,8.505934997327323,9.605492656640447,7.596507473695812,7.110848680167173
2001-11-30,POMKH,13.53,6.333333333333332,10.595,13.102499999999996,13.000226302431042,12.87913366257113,12.909533119254828,12.07107623422967,8.478541666666667,8.406666666666665,7.636894331729727,9.270704247176408,7.609365569361302,6.707275236417641
2002-02-28,POMRB,6.07,8.34,9.836666666666666,11.449166666666663,10.228135781458626,9.913850732797375,13.344035617818204,13.273363402489675,8.896666666666667,8.372499999999997,7.918136599037837,9.280189266113151,8.384403437556186,7.506888142111677
2002-05-31,PREMON,7.08,14.555,10.219375000000001,9.74083333333333,8.968881468875175,8.656067857403608,9.90943397407435,8.00890710276701,9.706666666666667,8.584583333333331,10.572881959422702,10.420954465121504,11.234049075676259,12.529330577223767
2002-08-31,MONSOON,13.050000000000002,7.6066666666666665,11.775625000000002,9.932499999999997,10.601328881325106,10.481333105109508,8.3317826168374,9.601932277688316,10.657708333333334,9.208749999999998,9.386395842320288,10.223394033226821,7.4007773125309,8.14300780627348
2002-11-30,POMKH,15.825,10.316666666666666,13.111250000000002,10.506249999999998,12.690797328795064,12.701361488477799,10.856052522740912,12.159499933945137,11.487708333333334,10.204583333333332,9.758504172058839,10.489612251502818,8.497980465871828,8.391294257234179
2003-02-28,POMRB,16.225,11.965,12.925,13.044999999999998,14.104478397277038,14.135149857815623,13.164620674757554,13.502909127524509,11.766666666666667,11.110833333333332,10.641102503235302,11.021913154412358,10.519395765200645,9.49719551361244
2003-05-31,PREMON,7.61,17.57,12.333958333333335,13.177499999999998,11.506687038366223,11.28421320857306,14.183844146126987,14.149527660982951,11.142916666666666,11.864583333333332,13.412661501941182,12.565920777831401,13.969132162125609,15.126293808392187
2003-08-31,MONSOON,11.03,6.823333333333332,11.637291666666666,12.672499999999998,11.316012223019733,11.117327528343601,10.992463501122238,8.933700845080196,10.115625,11.668749999999998,10.776930234498042,12.033234685383004,10.248595088989795,8.608160452540348
2003-11-30,POMKH,13.116666666666667,6.11,12.188333333333333,11.995416666666664,12.036274000478507,11.910534756391865,11.499499321389006,12.32926842988992,8.8575,10.61708333333333,8.910158140698826,11.316481861475081,9.883376091600846,8.302228998002441
2004-02-29,POMRB,13.36,7.953333333333332,13.594166666666666,11.279166666666663,12.565764400287105,12.465563226186791,12.363550041658705,12.178235845987142,8.349583333333332,9.614166666666662,8.527428217752629,10.914434174584295,9.652625199716306,8.742190766182924
2004-05-31,PREMON,14.883333333333333,11.516666666666666,14.252499999999998,13.097499999999997,13.492791973505597,13.429864644480562,12.493281413012573,12.694176460595482,9.02625,8.100833333333329,9.723123597318244,11.150723859092906,11.835775442264403,14.036606710673851
2004-08-31,MONSOON,15.003333333333332,8.813333333333333,14.547916666666666,14.090833333333329,14.097008517436691,14.029774443329739,13.165073056906632,13.75634294256138,9.991249999999999,8.59833333333333,9.35920749172428,10.867828877768309,6.536493652494297,5.730400639834569
2004-11-30,POMKH,14.410000000000002,9.533333333333333,14.798750000000002,14.414166666666661,14.222205110462015,14.118660398401975,14.448167205585644,13.87890995834371,10.725833333333332,9.454166666666662,9.428857828367901,10.708640828631323,8.46775838555438,9.195437994001152
2005-02-28,POMRB,14.43,12.25,15.091041666666667,14.681666666666661,14.305323066277209,14.17776280921637,14.598818024925281,13.816910708356065,11.197499999999998,10.528333333333329,10.55731469702074,11.039812714038456,10.18586309684289,10.53167817738099
2005-05-31,PREMON,15.82,13.096666666666666,15.37125,14.91583333333333,14.911193839766327,14.803054742955831,14.226353593391185,14.030847956707092,11.408333333333333,10.923333333333328,11.57305548487911,11.50736449708849,13.884709444801649,15.260899323798837
2005-08-31,MONSOON,16.405,11.006666666666668,15.649583333333332,15.26625,15.508716303859797,15.40794478465623,14.554918175247543,15.00027343818201,11.407499999999999,11.471666666666662,11.346499957594133,11.56306424666283,8.396567579588416,7.279062654997456
2005-11-30,POMKH,15.25,9.026666666666666,16.061666666666667,15.476249999999999,15.405229782315878,15.260591697018063,15.843107059247375,15.348671110753987,11.264166666666666,11.344999999999995,10.418566641223146,11.236274774960043,10.462050339628693,9.329974808477786
2006-02-28,POMRB,15.816666666666668,12.75,16.464166666666667,15.822916666666666,15.569804536056195,15.417927542520635,15.754595325967097,14.816435679813315,10.9575,11.469999999999995,11.351139984733887,11.583558392932696,11.172910468016951,10.324271232575647
2006-05-31,PREMON,17.73,11.449999999999998,17.112916666666667,16.300416666666663,16.433882721633715,16.321885950604603,15.481637335881354,15.480152438980545,11.258333333333331,11.058333333333328,11.390683990840332,11.67053043196732,14.67560170082804,13.31350997732089
2006-08-31,MONSOON,17.715,10.2,18.070833333333336,16.627916666666664,16.94632963298023,16.829988767957666,16.092365129398598,16.632881320965634,11.707916666666666,10.85666666666666,10.914410394504198,11.511410197819005,8.20574906278513,9.498938550910589
