Date,Season,Sagalee,Sagalee_Trend,Sagalee_SMA,Sagalee_EWMA,Sagalee_DES,Sagalee_TES,Sagalee_ARIMA
1996-02-29,POMRB,1.3650000000000002,,,1.3650000000000002,1.476910629698446,2.4127108759469182,0.0
1996-05-31,PREMON,1.0333333333333334,,,1.2323333333333335,1.3511659995374257,1.9794988121258597,0.5701769077086954
1996-08-31,MONSOON,0.96,1.2581249999999997,,1.1234000000000002,1.2321043998626036,1.2129082174635313,0.43524037863418163
1996-11-30,POMKH,1.393333333333333,1.6072916666666668,1.1879166666666667,1.2313733333333334,1.1883912541851753,1.7038104396639486,0.7186083760767595
1997-02-28,POMRB,1.9266666666666667,1.96125,1.3283333333333334,1.5094906666666668,1.228749975601016,2.4184055301971696,1.2686962128971357
1997-05-31,PREMON,3.265,2.08625,1.88625,2.2116944,1.4637735651341768,1.9851934696315083,1.1734866079158162
1997-08-31,MONSOON,1.5599999999999998,2.184791666666667,2.03625,1.9510166399999997,1.4538474853738086,1.2186028880029727,1.825260019627596
1997-11-30,POMKH,1.7933333333333337,2.084375,2.13625,1.8879433173333333,1.4801041491711788,1.709505113683242,1.3122935867045742
1998-02-28,POMRB,2.315,1.9691666666666667,2.2333333333333334,2.0587659904,1.5826489572459688,2.4241002065252495,1.6815121419339065
1998-05-31,PREMON,2.0733333333333333,2.0,1.9354166666666668,2.0645929275733335,1.6495194702484774,1.9908881482000622,2.300965671722702
1998-08-31,MONSOON,1.83,1.9077083333333331,2.0029166666666667,1.970755756544,1.6799878348551185,1.2242975595605854,1.12323280374397
1998-11-30,POMKH,1.77,1.7347916666666665,1.997083333333333,1.8904534539264,1.7005099238585988,1.7151997867884483,1.7138170637889685
1999-02-28,POMRB,1.6,1.6387500000000002,1.8183333333333334,1.77427207235584,1.6951651447509755,2.429794879460487,1.8647367342894374
1999-05-31,PREMON,1.405,1.5950000000000002,1.6512499999999999,1.626563243413504,1.6609658153970432,1.9965828169153974,1.9054490802365647
1999-08-31,MONSOON,1.73,1.70875,1.6262499999999998,1.6679379460481023,1.6735823941937031,1.2299922243292665,1.122053324873813
1999-11-30,POMKH,1.5200000000000002,1.8018750000000001,1.5637499999999998,1.6087627676288614,1.6553966917932734,1.7208944509382529,1.7444976844823334
2000-02-29,POMRB,2.76,1.673125,1.8537499999999998,2.0692576605773167,1.81669872168201,2.4354895421131157,1.6852818848478257
2000-05-31,PREMON,0.99,1.635,1.7499999999999998,1.6375545963463902,1.7187121908798522,2.002277486326861,2.3020260089777906
2000-08-31,MONSOON,1.115,1.680625,1.5962499999999995,1.4285327578078342,1.6394253779720673,1.2356868912774255,0.9934804739613268
2000-11-30,POMKH,1.83,1.72375,1.6737499999999994,1.5891196546847006,1.6642233550158902,1.7265891142520422,1.425785361339021
2001-02-28,POMRB,2.815,1.807291666666667,1.6874999999999996,2.0794717928108204,1.8314125704796416,2.441184207208712,2.1308089036065465
2001-05-31,PREMON,1.28,1.8612499999999998,1.7599999999999993,1.7596830756864923,1.7729225415531649,2.007972151711156,1.9850895730983857
2001-08-31,MONSOON,1.4933333333333332,1.7547916666666667,1.8545833333333328,1.6531431787452286,1.7443788925131587,1.2413815583264216,1.1417618627692514
2001-11-30,POMKH,1.8833333333333333,1.8329166666666667,1.867916666666666,1.7452192405804705,1.7714324924265303,1.7322837834829592,1.653261726035709
2002-02-28,POMRB,1.91,2.0316666666666667,1.6416666666666662,1.8111315443482823,1.8008554029906618,2.4468788767185687,2.2649430475941124
