Date,Season,Bridgemanganj,Ghughuli,Pharenda,Nautanawa,Siswa,Mahrajganj,Lakshmipur,Nichlaul,Partawal,Bridgemanganj_Trend,Bridgemanganj_SMA,Bridgemanganj_EWMA,Bridgemanganj_DES,Bridgemanganj_TES,Bridgemanganj_ARIMA,Ghughuli_Trend,Ghughuli_SMA,Ghughuli_EWMA,Ghughuli_DES,Ghughuli_TES,Ghughuli_ARIMA,Pharenda_Trend,Pharenda_SMA,Pharenda_EWMA,Pharenda_DES,Pharenda_TES,Pharenda_ARIMA,Nautanawa_Trend,Nautanawa_SMA,Nautanawa_EWMA,Nautanawa_DES,Nautanawa_TES,Nautanawa_ARIMA,Siswa_Trend,Siswa_SMA,Siswa_EWMA,Siswa_DES,Siswa_TES,Siswa_ARIMA,Mahrajganj_Trend,Mahrajganj_SMA,Mahrajganj_EWMA,Mahrajganj_DES,Mahrajganj_TES,Mahrajganj_ARIMA,Lakshmipur_Trend,Lakshmipur_SMA,Lakshmipur_EWMA,Lakshmipur_DES,Lakshmipur_TES,Lakshmipur_ARIMA,Nichlaul_Trend,Nichlaul_SMA,Nichlaul_EWMA,Nichlaul_DES,Nichlaul_TES,Nichlaul_ARIMA,Partawal_Trend,Partawal_SMA,Partawal_EWMA,Partawal_DES,Partawal_TES,Partawal_ARIMA
1996-02-29,POMRB,2.92,2.35,2.25,3.4,3.95,3.998,6.84,1.535,2.5700000000000003,,,2.92,2.453870028011513,3.055968611652812,0.0,,,2.35,3.02975338350296,2.1534580693874847,0.0,,,2.25,3.8557917974553138,2.247204052606764,0.0,,,3.4,2.528298173356248,3.355752592252614,0.0,,,3.95,5.502353463342074,3.794766029814336,0.0,,,3.998,6.79792045198864,3.9010154049112393,0.0,,,6.84,6.299394177110776,6.548126535066782,0.0,,,1.535,0.9484907444557301,2.019249986579044,0.0,,,2.5700000000000003,1.9929282834457036,2.541952075269579,0.0
1996-05-31,PREMON,4.02,2.715,3.38,4.35,4.85,5.738181818181817,7.823333333333332,3.23,3.27,,,3.36,2.6476444629005176,3.92055689168566,3.0532068407754955e-07,,,2.496,3.387705058945301,2.5940297956639813,2.4383994909914406e-07,,,2.702,5.0359355304332505,3.345182481852908,2.2077078495164448e-07,,,3.7800000000000002,2.9009980699502815,4.033107582682373,3.399998683394951,,,4.3100000000000005,6.307303930990951,4.770224795572464,1.1771041643029612,,,4.694072727272728,8.387840710873888,5.5580897125149775,2.0393026916121713,,,7.233333333333333,6.7009742481454015,8.238795062153065,6.839989044989985,,,2.213,1.416984519503212,2.86346419096867,2.6730273372351415e-08,,,2.85,2.1152113517416367,3.434749860463657,0.6924358144551618
1996-08-31,MONSOON,2.16,0.22,0.15,1.45,2.3,2.8963636363636365,5.08,0.655,0.61,2.9625000000000004,,2.88,2.2876960277865477,1.9583721929673996,4.34798399499827e-07,1.8699999999999999,,1.5856000000000001,2.981397518577185,0.5814889872454296,4.707729233512912e-07,1.7187500000000002,,1.6812,4.021030315956044,0.35855808791091626,3.973266740934993e-07,2.9349999999999996,,2.8480000000000003,2.5602598923152793,2.1297641040929634,4.103779239248706,3.74,,3.5060000000000002,5.623799212588426,1.998873200503486,1.2011988706545644,3.9995227272727263,,3.974989090909091,7.092023470106508,3.0074753322492627,3.087550360268991,6.543333333333333,,6.372,6.173379286904953,5.515842065046279,7.40919595279017,1.8656249999999999,,1.5898,1.2522215940359769,0.6651964865048676,6.27108566313946e-08,2.214375,,1.954,1.6594710473547925,0.972532316452656,0.9780241394529178
1996-11-30,POMKH,2.75,2.175,1.1,2.54,3.73,3.2845454545454538,6.34,1.6749999999999998,2.335,2.9625,2.9625,2.8280000000000003,2.224130082098404,2.8318386225049355,6.742485767947908e-08,1.736875,1.8649999999999998,1.8213599999999999,3.043970888561974,1.83849405630944,1.3639657481139548e-07,1.8175,1.7200000000000002,1.4487200000000002,3.3039642581684694,1.042287696851137,5.138120401658456e-08,2.9587499999999998,2.9349999999999996,2.7248,2.508133132068652,2.605034323205423,2.097838341835227,3.8,3.7075000000000005,3.5956,5.417607811562263,3.2147520942421854,1.1600727750290414,3.987386363636363,3.979272727272727,3.6988116363636356,5.797279781836688,3.6698396638525104,2.4883349341971774,6.68125,6.520833333333333,6.3591999999999995,6.175461027184038,6.099534279970007,6.272441466610448,1.953125,1.77375,1.62388,1.3396942701655883,1.4580650574518894,1.8112997613340485e-08,2.24125,2.19625,2.1064,1.667217568712507,2.109064637966666,0.7281121746348252
1997-02-28,POMRB,2.92,2.39,2.24,3.4,4.21,4.159999999999998,7.02,2.27,2.715,2.9625,2.9625,2.8648,2.2734022194683763,3.0420141997367116,2.9199996250783538,1.61625,1.875,2.048816,3.116495909395939,2.3105082072992813,2.349999552760921,2.1275,1.7175000000000002,1.7652320000000001,3.100167335882551,2.2002233950253123,2.2499998036103057,3.07875,2.9349999999999996,2.99488,2.6755152615897186,3.2474759526161936,3.368428563344162,3.8275,3.772500000000001,3.8413600000000003,5.308249271219243,3.815435938419487,3.8096782057435727,3.8840656565656566,4.019772727272726,3.8832869818181805,5.124779078098277,3.831112063374963,3.8468556221092998,6.876666666666666,6.565833333333333,6.623519999999999,6.377689276572624,6.725710106535315,6.3516390303731125,2.0131249999999996,1.9575,1.882328,1.5703716943563273,2.0423677146660046,1.534999989796,2.3408333333333333,2.2325,2.34984,1.7870566834184696,2.5157014182749196,2.478786226033538
1997-05-31,PREMON,4.02,1.61,4.18,4.54,5.07,5.4790909090909095,8.746666666666666,3.195,3.34,2.9625,2.9625,3.3268799999999996,2.728805362798997,3.954954983709305,4.019999273606509,1.5081250000000002,1.59875,1.8732896,2.9374936186265437,2.714262995029269,2.722364511576948,2.6125000000000003,1.9175000000000002,2.7311392,3.8266790959999413,3.321490921314172,3.3752822516470355,3.2075000000000005,2.9824999999999995,3.612928,3.1232744778891326,3.9553889199065164,3.955616202621819,3.80625,3.827500000000001,4.332816,5.490942875202268,4.790894704406317,4.646191876331222,3.7661994949494946,3.954999999999999,4.5216085527272725,5.356248519166915,5.56303899688608,5.545485213141322,7.014166666666666,6.796666666666667,7.472778666666667,7.029226464904057,8.412334394212468,7.321652034668331,2.121875,1.94875,2.4073968,2.0296907676317004,3.0714427360829553,3.4900206847275492,2.4266666666666667,2.25,2.745904,2.066298879691693,3.3893178175591894,3.1633558777198223
1997-08-31,MONSOON,2.16,0.36,1.83,2.22,2.3,2.328888888888889,5.72,1.17,1.3366666666666671,2.9625000000000004,2.9625,2.8601279999999996,2.525187624036236,2.0075845418479794,2.159999660498712,1.35375,1.63375,1.2679737599999998,2.415324451772124,0.39003414241012013,0.04397348980621646,3.05125,2.3375,2.37068352,3.231823718381015,0.8535980468886923,0.5683515842210282,3.1525000000000003,3.175,3.0557568,2.9750667919909333,2.127601357445803,2.0351286276702174,3.7900000000000005,3.8275000000000006,3.5196896,4.431632913557634,2.0195431095278176,2.2847499185810265,3.5363926767676763,3.813131313131312,3.644520687191919,3.729890064464837,2.9271990148792884,2.7669026538322923,7.090416666666667,6.956666666666667,6.7716671999999996,6.5930755395216165,6.038332097869445,6.377498011931577,2.13625,2.0775,1.9124380799999998,1.9596886043296993,0.8100786262838235,0.6087859925943631,2.3941666666666666,2.431666666666667,2.1822090666666667,1.8660541874547485,0.8998975580087358,0.6401703642344558
1997-11-30,POMKH,2.75,1.17,3.3,2.8,3.56,2.9090909090909087,6.8,2.03,2.295,2.9625,2.9625,2.8160768,2.5506018535688653,2.817904976168984,2.749999730216614,1.4768750000000002,1.3825,1.228784256,2.1219231394188864,1.8668798356835188,2.046904780882704,3.22125,2.8874999999999997,2.742410112,3.3673177948869593,2.283573158632832,1.9423443545767733,2.98125,3.24,2.95345408,2.9665501132661536,2.820792371174637,2.765160324157101,3.74875,3.785,3.53581376,4.027918238695552,3.2354220032467653,3.4830040747871656,3.44154797979798,3.7192676767676756,3.350348775951515,2.9720332394560622,3.4323078210080546,2.9237222169287156,7.114166666666667,7.071666666666666,6.783000319999999,6.606154799953857,6.684562724998531,6.825394111648286,2.0599999999999996,2.16625,1.9594628479999998,2.083609871901095,1.6990590021066017,1.7726092221401009,2.3429166666666665,2.421666666666667,2.22732544,1.9134581992282464,2.2601087589053517,2.3985461787717215
1998-02-28,POMRB,2.92,2.16,3.55,2.7,4.25,2.697,7.169999999999999,2.03,2.495,2.9625,2.9625,2.85764608,2.641209827674373,3.0223290748811147,2.920000010065041,1.7475,1.3250000000000002,1.6012705536,2.1007176448625335,2.1118086714552353,2.3340854576161734,3.1575,3.2149999999999994,3.0654460672,3.571865956838451,4.045273024442726,3.1637767985579206,2.83875,3.065,2.8520724480000004,2.928616992946127,3.4757200229821663,3.576859952855099,3.71875,3.795,3.821488256,3.9932258465139476,3.8361058472418628,3.9584650486793307,3.4754116161616166,3.353517676767676,3.089009265570909,2.4671469813395706,3.5490622054613876,3.8728672443668626,7.169166666666667,7.109166666666666,6.937800191999999,6.724675948350833,7.26064642135705,7.2547222411027725,1.963125,2.1062499999999997,1.9876777087999997,2.1862228107925654,2.3129666282243746,2.1376794401753085,2.3464583333333335,2.366666666666667,2.334395264,2.0138639942771577,2.6372765899818833,2.5858122991590466
1998-05-31,PREMON,4.02,2.825,4.23,3.87,4.7,6.183333333333334,8.786666666666667,2.825,3.15,2.9625,2.9625,3.322587648,3.1143596256663186,3.9749978465214184,4.019999847805779,2.005625,1.62875,2.09076233216,2.2562442565070775,2.2278474742474907,1.865500447092525,2.9274999999999998,3.227499999999999,3.5312676403200003,4.044869346719417,4.829585408494965,4.445736819267346,2.7612499999999995,2.8975,3.2592434688000003,3.176265192072402,3.9216627174466065,4.017715533757676,3.77125,3.7024999999999997,4.1728929536,4.18108391046836,4.811564613247164,4.882076784764843,3.456358585858586,3.5295782828282816,4.326738892675879,4.412625817448181,4.899807830349585,4.8741598310460095,7.104166666666667,7.119166666666666,7.6773467818666665,7.285191390287863,8.772402201053604,8.233556411057817,1.869375,2.01375,2.3226066252799997,2.4676382026667234,3.209449877095918,3.2141780382847065,2.4325,2.3191666666666673,2.6606371584,2.273242627488893,3.4159075734931275,3.1891326432276603
