Date,Season,Shindkhede,Dhule,Sakri,Shirpur,Shindkhede_Trend,Shindkhede_SMA,Shindkhede_EWMA,Shindkhede_DES,Shindkhede_TES,Shindkhede_ARIMA,Dhule_Trend,Dhule_SMA,Dhule_EWMA,Dhule_DES,Dhule_TES,Dhule_ARIMA,Sakri_Trend,Sakri_SMA,Sakri_EWMA,Sakri_DES,Sakri_TES,Sakri_ARIMA,Shirpur_Trend,Shirpur_SMA,Shirpur_EWMA,Shirpur_DES,Shirpur_TES,Shirpur_ARIMA
1996-02-29,POMRB,9.2,6.001818181818181,4.328571428571428,8.113333333333335,,,9.2,7.985536515278068,9.50552733242331,0.0,,,6.001818181818181,6.287958374853687,6.316126497708682,0.0,,,4.328571428571428,4.298120082883352,4.329142096057344,0.0,,,8.113333333333335,8.196315732251763,7.886067848276017,0.0
1996-05-31,PREMON,11.77,9.236363636363636,5.998333333333334,10.95,,,10.228,8.815078811458308,9.948493426141445,8.27898125017137,,,7.295636363636364,6.670569869623998,8.015816290332685,3.976765716246454,,,4.996476190476191,4.620294985069136,5.981034219496854,3.3758810281640246,,,9.248000000000001,8.640505039847246,9.560849574509058,4.17845221796496
1996-08-31,MONSOON,8.476666666666668,6.295454545454546,3.2585714285714285,7.483333333333332,8.985104166666668,,9.527466666666667,8.576099630513507,8.186214548812053,9.932613507278072,6.37875,,6.895563636363637,6.620082271510877,6.33333896654446,6.095531661483531,4.3376190476190475,,4.301314285714286,4.4043661447610045,3.631952608517322,4.510629379843763,8.142291666666667,,8.542133333333334,8.461074704003936,7.799701632111569,5.998151424126698
1996-11-30,POMKH,7.1750000000000025,4.300909090909091,3.8114285714285714,6.466666666666668,8.889375000000001,9.155416666666667,8.586480000000002,8.069535633873716,7.710972160626502,9.464289934399577,6.167613636363637,6.458636363636364,5.857701818181818,6.316324416357238,5.73472609660122,5.157708841235187,4.386636904761905,4.349226190476191,4.10536,4.309646871584671,3.2843182501025856,4.269026080424801,7.2875,8.253333333333332,7.711946666666668,8.147975593446485,7.420930682138981,5.609839769272165
1997-02-28,POMRB,7.8375,5.362727272727274,4.235714285714286,7.225,9.225208333333335,8.814791666666668,8.286888000000001,7.870649451257689,9.50552734549917,8.90678189713186,6.037727272727273,6.298863636363637,5.659712000000001,6.190554838142361,6.134049872833743,5.7265253876786435,4.561369047619047,4.326011904761906,4.157501714285715,4.301580229584339,4.487845619548509,4.0526272336971125,6.50125,8.031249999999998,7.517168,8.005611095570254,8.05211060108429,7.55875113908054
1997-05-31,PREMON,12.366666666666667,8.186363636363636,6.4833333333333325,5.0,9.622395833333334,8.963958333333334,9.918799466666668,8.884115303102693,9.948493425194142,8.69710521097548,6.229602272727273,6.036363636363637,6.670372654545455,6.449080448275312,7.668988034479061,8.523698169661111,4.662589285714286,4.4472619047619055,5.087834361904762,4.709786497932568,6.0350989965333754,5.558981708014953,6.82125,6.543749999999998,6.5103007999999996,7.530925757335697,9.480005551853337,9.743777413738112
1997-08-31,MONSOON,10.566666666666666,6.3063636363636375,4.171428571428572,7.1433333333333335,9.732812499999998,9.486458333333333,10.177946346666667,9.16068088868155,8.186214554005781,9.29892972499501,6.361335227272727,6.03909090909091,6.524769047272727,6.428924640501413,5.733020402187979,5.738783937759791,4.71845238095238,4.675476190476191,4.721272045714286,4.649963238860819,3.8652684669638013,3.5933107388886363,7.421875000000001,6.458749999999999,6.763513813333333,7.47359993550606,6.344569048099409,4.640569651359012
1997-11-30,POMKH,8.2625,5.8249999999999975,3.7083333333333335,9.366666666666667,9.436458333333333,9.758333333333331,9.411767808,8.772597886146535,7.710972187330993,9.477691018334138,6.235636363636362,6.420113636363637,6.2448614283636354,6.348685037157036,5.354752402445544,4.432995446996234,4.845952380952381,4.649702380952381,4.316096560761904,4.507757246024569,3.8002949447945946,4.258469101071065,7.7075000000000005,7.18375,7.804774954666667,7.780065518396375,6.226911272126341,6.234476029780636
1998-02-28,POMRB,7.633333333333333,4.892499999999999,4.785714285714286,9.13,8.788541666666667,9.707291666666665,8.700394018133334,8.329584007842215,9.505527383396462,9.327022307508715,5.9754204545454535,6.302556818181818,5.70391685701818,6.157427723533714,6.4404830593231805,6.194305551352249,4.921666666666667,4.787202380952381,4.5039436507428565,4.576073049430975,4.746314206684575,4.318676812160189,7.958958333333333,7.66,8.3348649728,8.000070430584858,7.816723754115438,8.403690992475362
1998-05-31,PREMON,10.2,7.650999999999999,6.953333333333332,5.38,8.041145833333331,9.165624999999997,9.30023641088,8.663774808699946,9.948493460990104,9.139850851354032,5.5071249999999985,6.168715909090908,6.482750114210908,6.350527237150564,7.695438555527303,8.08559502226486,4.9274330357142855,4.904702380952381,5.4836995237790465,5.039129243705169,6.414832494246125,6.18653278953666,7.983333333333333,7.755000000000001,7.15291898368,7.586885752086838,9.74579965320522,8.29880624635595
1998-08-31,MONSOON,7.549999999999999,4.76,4.307142857142857,8.775,7.481354166666666,8.411458333333329,8.600141846528,8.229160406220958,8.18621456750191,9.24537099261474,5.1743125,5.782124999999998,5.793650068526544,6.1417666411923975,5.556939400628936,5.738575231937434,4.801145833333333,4.938630952380953,5.01307685712457,4.965264022964497,4.282549065234223,4.1597545682285215,7.66275,8.162916666666668,7.8017513902080005,7.780960467684035,6.63710496066494,5.95234373458268
