Date,Season,Dhing,Dhing_Trend,Dhing_SMA,Dhing_EWMA,Dhing_DES,Dhing_TES,Dhing_ARIMA
1996-02-29,POMRB,3.4066666666666663,,,3.4066666666666663,3.1678185362402824,3.453655831978248,0.0
1996-05-31,PREMON,3.7266666666666666,,,3.5346666666666664,3.254427417371411,3.740860237086567,3.4066646363812287
1996-08-31,MONSOON,1.69,2.891861413043478,,2.7967999999999997,2.980041052039013,1.6674928888980336,3.6015570430679045
1996-11-30,POMKH,2.5587500000000003,2.9566915760869565,2.845520833333333,2.70158,2.872994648502049,2.698668096241607,2.672766230456352
1997-02-28,POMRB,3.7773913043478258,2.98252490942029,2.9382019927536227,3.13190452173913,2.990610336945173,3.4545991706396286,3.236756237986816
1997-05-31,PREMON,3.8745833333333337,3.0905110205314004,2.9751811594202895,3.4289760463768113,3.1259679463927474,3.8196928525891045,3.6781218107194804
1997-08-31,MONSOON,1.74875,3.192795258072718,2.9898686594202895,2.7568856278260867,2.8831136781027547,1.7742959149780937,2.0565429415454544
1997-11-30,POMKH,3.3638888888888885,3.1598364400584797,3.1911533816425117,2.9996869322512074,2.937203513503917,2.7259313282813107,2.5664314650930473
1998-02-28,POMRB,3.7905263157894735,3.1668919956140353,3.194437134502923,3.316022685666514,3.0688060632856446,3.8185156684913393,3.7313465857637342
1998-05-31,PREMON,3.5977777777777784,3.1958121345029245,3.1252357456140345,3.42872472251102,3.163358328936877,4.005794240190036,3.7658622133660975
1998-08-31,MONSOON,2.082,3.171510233918129,3.208548245614035,2.890034833506612,2.9851800322628055,1.845607796258574,1.9025391892847905
1998-11-30,POMKH,3.262,3.389119281045752,3.1830760233918123,3.0388209001039677,3.02245787394712,3.133433056156392,3.1087711675515357
1999-02-28,POMRB,3.698,3.6817107843137253,3.1599444444444433,3.3024925400623806,3.137406623298603,3.8462649811321548,3.6935443724044332
1999-05-31,PREMON,5.431176470588236,3.694289215686274,3.618294117647057,4.153966112272723,3.5631778049958736,3.846096690059791,3.6207404349695893
1999-08-31,MONSOON,2.5893333333333333,3.620367647058824,3.74512745098039,3.528113000696967,3.4620772547675105,2.3109770316064795,2.614643089809441
1999-11-30,POMKH,2.8552941176470585,3.498178921568628,3.6434509803921546,3.258985447477004,3.4026497931004953,3.5586833388460537,3.3282360402971003
2000-02-29,POMRB,3.5133333333333336,3.290347338935575,3.5972843137254884,3.360724601819536,3.456779045850166,4.007158002123986,3.5619332498497402
2000-05-31,PREMON,4.6383333333333345,3.1600566059757242,3.3990735294117633,3.8717680944250557,3.707777124438341,4.7084203992668305,4.473245100400604
2000-08-31,MONSOON,1.7195238095238092,3.120106646825397,3.1816211484593824,3.0108703804645573,3.422614363531779,2.3155692416995524,2.4741312798654995
2000-11-30,POMKH,2.6827777777777784,2.9962264384920636,3.138492063492062,2.8796333393898457,3.3119395488365724,2.9822426245758784,2.825046799302026
2001-02-28,POMRB,3.36625,2.9924823471055086,3.1017212301587285,3.0742800036339073,3.3247483607824484,3.592053364078196,3.4519078658914744
2001-05-31,PREMON,3.794375,3.1430524918300655,2.8907316468253947,3.3623180021803445,3.4129228890385686,4.525316659069465,4.424126332049387
2001-08-31,MONSOON,2.5335294117647056,3.2801348039215688,3.094233047385619,3.030802566014089,3.27291561610459,1.7881462832478983,1.9301818427540018
2001-11-30,POMKH,3.0733333333333333,3.292288296568627,3.191871936274508,3.0478148729417867,3.232882139812148,2.8153262906621883,2.969119067547324
2002-02-28,POMRB,4.07235294117647,3.127300245098039,3.3683976715686255,3.4576301002356598,3.372956783656264,3.553190794780091,3.4849308348871486
2002-05-31,PREMON,3.1855,3.02169537815126,3.2161789215686256,3.348778060141396,3.350564978450198,4.392666606388661,4.220189545718896
2002-08-31,MONSOON,1.8225,2.957970524573466,3.038421568627449,2.7382668360848377,3.087801843793851,2.2216840109271754,2.16728628532006
2002-11-30,POMKH,2.93952380952381,2.9181415043290047,3.0049691876750684,2.8187696254604266,3.0343239773308497,2.838420179996383,2.820939898482627
2003-02-28,POMRB,3.6963636363636367,2.9777192354214415,2.91097186147186,3.1698072298217106,3.120827790696661,3.663964003307706,3.71115674775076
2003-05-31,PREMON,3.2428571428571424,3.008034069688481,2.9253111471861457,3.1990271950358835,3.1271208816638203,3.66217017036143,3.528468245880659
2003-08-31,MONSOON,2.2417647058823524,3.0062637822274043,3.030127323656734,2.8161221993744707,2.9590648669400963,1.981094557974247,2.072580974017309
2003-11-30,POMKH,2.7627777777777784,3.0469934947663275,2.985940815720226,2.7947844307357936,2.893139817752225,2.9307112517995755,2.9876561827369397
2004-02-29,POMRB,3.8589473684210533,3.022253181974545,3.0265867487345797,3.2204496058098977,3.028356049517187,3.679904378393792,3.6032469363745445
2004-05-31,PREMON,3.406111111111111,2.9701616787065706,3.067400240798072,3.294714207930383,3.081966722094923,3.5050335563296837,3.407715760028006
2004-08-31,MONSOON,1.880588235294118,2.9189738132094942,2.977106123151013,2.729063818875877,2.866224139763553,2.1774176378864976,2.2779231914759506
2004-11-30,POMKH,2.7072222222222218,2.8794526143790846,2.9632172342621237,2.720327180214415,2.807758340510661,2.843191338194266,2.7613299251362733
2005-02-28,POMRB,3.505,2.968710682189542,2.8747303921568603,3.0341963081286494,2.897069807209563,3.750161410100074,3.668137495192161
2005-05-31,PREMON,3.443888888888889,3.145677083333333,2.884174836601305,3.198073340432745,2.9760572708729156,3.380451003003312,3.294459281190945
2005-08-31,MONSOON,2.556875,3.293498263888889,3.0532465277777754,2.941594004259647,2.8968575972465667,1.993852452481173,2.146437433883384
