Date,Season,Kot Ishe Kahn,Bagha Purana,Nihal Singh Wala,Moga- Ii,Moga - I,Kot Ishe Kahn_Trend,Kot Ishe Kahn_SMA,Kot Ishe Kahn_EWMA,Kot Ishe Kahn_DES,Kot Ishe Kahn_TES,Kot Ishe Kahn_ARIMA,Bagha Purana_Trend,Bagha Purana_SMA,Bagha Purana_EWMA,Bagha Purana_DES,Bagha Purana_TES,Bagha Purana_ARIMA,Nihal Singh Wala_Trend,Nihal Singh Wala_SMA,Nihal Singh Wala_EWMA,Nihal Singh Wala_DES,Nihal Singh Wala_TES,Nihal Singh Wala_ARIMA,Moga- Ii_Trend,Moga- Ii_SMA,Moga- Ii_EWMA,Moga- Ii_DES,Moga- Ii_TES,Moga- Ii_ARIMA,Moga - I_Trend,Moga - I_SMA,Moga - I_EWMA,Moga - I_DES,Moga - I_TES,Moga - I_ARIMA
1996-02-29,POMRB,7.169999999999999,6.805,11.83,9.345,12.79,,,7.169999999999999,7.272168702662812,7.292281150210525,0.0,,,6.805,6.9509186019433775,6.404153149716534,0.0,,,11.83,12.903590988732468,11.885729166666666,0.0,,,9.345,9.389218435924978,9.408074586463107,0.0,,,12.79,13.155953603047848,12.777651076834497,0.0
1996-05-31,PREMON,7.579999999999999,7.080000000000001,12.46,9.66,13.37,,,7.334,7.492189853361172,7.186822503773472,7.169990018716343,,,6.915,7.061786496774599,6.905379787898556,6.804978279330828,,,12.082,13.388705122745177,12.561269621421971,11.829951308174385,,,9.471,9.503384962143853,9.765289101286466,9.344966871045548,,,13.021999999999998,13.349058031018908,13.471750642865674,12.789984415815232
1996-08-31,MONSOON,7.663333333333334,7.43,12.633333333333335,10.425,14.053333333333333,7.587916666666667,,7.465733333333333,7.632018272910862,7.865190993194891,7.481945915900792,7.159375000000001,,7.121,7.225282245406051,7.828233299321389,6.949028890986878,12.363958333333333,,12.302533333333335,13.756783102544142,12.770428083987477,12.258583516675236,9.883125000000001,,9.8526,9.858812450601723,10.554045126663583,9.514575418065137,13.564583333333333,,13.43453333333333,13.721082164747848,14.60821696431956,13.212067627804355
1996-11-30,POMKH,7.626666666666668,7.1450000000000005,12.29,9.895,13.7,7.74,7.510000000000001,7.530106666666667,7.667567455216256,7.67458875885367,7.558844339486736,7.25375,7.115,7.1306,7.294518287877095,7.107318499853265,7.133761712699832,12.409166666666666,12.303333333333333,12.29752,13.842449901910893,12.453845405863817,12.19189695646575,9.986249999999998,9.83125,9.86956,9.98291829014556,10.03261960705473,9.890914135045875,13.725000000000001,13.478333333333332,13.540719999999999,13.8341571246486,13.325201338561437,13.594548609532845
1997-02-28,POMRB,7.793333333333332,7.160000000000001,12.315,9.76,13.48,7.849583333333334,7.665833333333334,7.635397333333333,7.781292855207127,7.867667984898406,7.54281628487418,7.317291666666667,7.203750000000001,7.142360000000001,7.352947523029449,7.25418244848844,7.021318466827799,12.435416666666667,12.424583333333333,12.304511999999999,13.808280022768415,11.977090116475916,12.0683134529926,10.059375,9.935,9.825736,10.022990073954,9.479335377826233,9.73233818638366,13.889999999999999,13.650833333333333,13.516431999999998,13.82781787798697,13.472382449144408,13.193756037615127
1997-05-31,PREMON,8.173333333333334,7.48,12.336666666666664,10.07,13.963333333333333,7.890000000000001,7.814166666666669,7.850571733333333,8.053990015636101,7.790240400056232,7.706837209464442,7.3170833333333345,7.30375,7.2774160000000006,7.468190903701636,7.60715840669754,7.176408331420423,12.501666666666667,12.393749999999999,12.317373866666664,13.686506416006091,12.68441866853571,12.511694227693141,10.0825,10.037500000000001,9.9234416,10.139260809409949,9.920680855136235,9.870536884230185,13.950833333333332,13.799166666666666,13.695192533333334,13.9984428327494,14.12551810866464,13.7764215669613
1997-08-31,MONSOON,7.946666666666666,7.538333333333334,12.966666666666667,10.6,14.78,7.677083333333333,7.885000000000002,7.889009706666666,8.031022376890666,8.462713130388277,7.95348082855649,7.2754166666666675,7.330833333333333,7.381782933333334,7.572604353048807,8.370488002261704,7.407973304258873,12.506458333333333,12.477083333333333,12.577090986666665,13.713939692801997,12.824284428541148,12.489553253460421,10.063125,10.08125,10.19406496,10.401067765905166,10.7877466123187,10.250621443235016,13.891666666666667,13.980833333333331,14.12911552,14.404117142553746,15.073896013829323,14.3228743594632
1997-11-30,POMKH,7.666666666666668,7.035,12.486666666666665,9.905,13.46,7.2965625,7.895000000000002,7.8000724906666665,7.855041360586707,8.08842603975449,7.8127124508295305,7.25825,7.303333333333334,7.24306976,7.547886863921157,7.62045152464774,7.322809677090741,12.582083333333332,12.52625,12.540921258666664,13.521810019118709,12.534154081159556,12.517719720489382,10.02625,10.083750000000002,10.078438976000001,10.373690175552191,10.258117608050757,10.15220859949903,13.838333333333333,13.92083333333333,13.861469311999999,14.189516945487457,14.260352027992347,14.241852241367308
1998-02-28,POMRB,6.05,6.936666666666667,12.156666666666665,9.595,13.246666666666668,7.1502083333333335,7.459166666666669,7.1000434943999995,6.821169121604934,8.062947995853797,7.630684258785683,7.307125,7.247500000000001,7.1205085226666665,7.507080739018644,7.605009632284927,7.179012346761613,12.74625,12.486666666666666,12.387219421866664,13.198240529933827,12.394789611262443,12.382179225405523,10.4325,10.042500000000002,9.8850633856,10.21574369618526,9.6404867302892,9.951937456688636,13.947291666666668,13.862499999999997,13.615548253866667,13.973487016301048,13.568092243037263,13.245591432613056
1998-05-31,PREMON,6.872499999999999,7.566,13.1,9.94,13.77,7.191041666666666,7.133958333333336,7.0090260966399995,6.886321054338619,6.852144844544442,6.725933290296891,7.326916666666667,7.269000000000001,7.2987051136000005,7.6095518365549815,7.822509278337558,7.27889538015273,12.785,12.6775,12.672331653119999,13.201284715349736,12.565875498009339,12.506832574894537,11.173125,10.010000000000002,9.907038031359999,10.17189813189862,9.96572457401178,9.989555802924517,14.117916666666668,13.814166666666663,13.67732895232,14.022841640593647,13.963827316688043,13.698623624261598
