Date,Season,Anantnag,Anantnag_SMA,Anantnag_EWMA,Anantnag_TES,Anantnag_ARIMA
1996-02-29,POMRB,,,,,
1996-05-31,PREMON,16.3875,,16.3875,16.3975,0.0
1996-08-31,MONSOON,11.7175,,14.5195,11.736336565096952,8.941192182895959
1996-11-30,POMKH,13.605,,14.1537,13.63153425004412,3.213038874670743
1997-02-28,POMRB,,,,,
1997-05-31,PREMON,16.3875,14.524375,15.04722,16.420627644054534,15.050223624401585
1997-08-31,MONSOON,11.7175,13.356874999999999,13.715332,16.42458098391366,12.112221695869314
1997-11-30,POMKH,13.605,13.82875,13.6711992,11.214566913631991,7.051282472305451
1998-02-28,POMRB,,,,,
1998-05-31,PREMON,16.3875,14.524375,14.75771952,13.335826203972799,15.19789949275624
1998-08-31,MONSOON,11.7175,13.356874999999999,13.541631712000001,16.455677701334523,10.01751822775835
1998-11-30,POMKH,13.605,13.82875,13.5669790272,15.182013728839019,5.261023168542213
1999-02-28,POMRB,,,,,
1999-05-31,PREMON,16.3875,14.524375,14.69518741632,11.412466471598288,15.692796695481654
1999-08-31,MONSOON,11.7175,13.356874999999999,13.504112449792,13.92915955923792,10.433807322680126
1999-11-30,POMKH,13.605,13.82875,13.5444674698752,15.225644096229198,6.487989081681318
2000-02-29,POMRB,,,,,
2000-05-31,PREMON,16.3875,14.524375,14.681680481925119,14.77446069991826,18.32397698761305
2000-08-31,MONSOON,11.7175,13.356874999999999,13.496008289155071,12.405777114294638,9.446883693327266
2000-11-30,POMKH,13.605,13.82875,13.539604973493043,13.15937469972751,6.857423138229917
2001-02-28,POMRB,,,,,
2001-05-31,PREMON,16.3875,14.524375,14.678762984095826,14.826118737029631,17.55560267762334
2001-08-31,MONSOON,11.7175,13.356874999999999,13.494257790457496,15.252951939708797,8.30381175838928
2001-11-30,POMKH,13.605,13.82875,13.538554674274497,11.95439413609477,6.914674357803003
2002-02-28,POMRB,,,,,
2002-05-31,PREMON,16.3875,14.524375,14.678132804564697,13.134580731920101,17.87837579946763
2002-08-31,MONSOON,11.7175,13.356874999999999,13.493879682738818,15.305460720666675,8.278636040675835
