Date,Season,Anantnag,Anantnag_SMA,Anantnag_EWMA,Anantnag_TES,Anantnag_ARIMA
2016-02-29,POMRB,,,,,
2016-05-31,PREMON,19.26,13.870000000000001,15.006009642005754,13.23362034959662,12.984722205611623
2016-08-31,MONSOON,11.343333333333335,13.383333333333335,13.540939118536787,13.97808162154252,10.595349007134544
2016-11-30,POMKH,13.133333333333333,13.859166666666667,13.377896804455405,13.124840584002634,7.381156019840028
2017-02-28,POMRB,,,,,
2017-05-31,PREMON,16.275,15.002916666666668,14.536738082673242,13.734864360694017,15.344497563928627
2017-08-31,MONSOON,10.765,12.879166666666666,13.028042849603946,14.716787158882546,15.659192802420648
2017-11-30,POMKH,15.0,13.793333333333333,13.816825709762366,12.998627213411266,3.8080775864353926
2018-02-28,POMRB,,,,,
2018-05-31,PREMON,19.26,15.325000000000001,15.99409542585742,13.057381178772946,21.21443686087496
2018-08-31,MONSOON,10.3,13.831250000000002,13.716457255514452,14.794412700100365,9.657604917779505
2018-11-30,POMKH,15.0,14.890000000000004,14.229874353308672,14.008132535965192,0.014808001229679402
