Date,Season,Guthani,Maharajganj,Nautan,Darauli,Lakri Nabiganj,Basantpur,Goriakothi,Raghunathpur,Bhagwanpur,Pachrukhi,Siwan,Siswan,Hussainganj,Guthani_Trend,Guthani_SMA,Guthani_EWMA,Guthani_DES,Guthani_TES,Guthani_ARIMA,Maharajganj_Trend,Maharajganj_SMA,Maharajganj_EWMA,Maharajganj_DES,Maharajganj_TES,Maharajganj_ARIMA,Nautan_Trend,Nautan_SMA,Nautan_EWMA,Nautan_DES,Nautan_TES,Nautan_ARIMA,Darauli_Trend,Darauli_SMA,Darauli_EWMA,Darauli_DES,Darauli_TES,Darauli_ARIMA,Lakri Nabiganj_Trend,Lakri Nabiganj_SMA,Lakri Nabiganj_EWMA,Lakri Nabiganj_DES,Lakri Nabiganj_TES,Lakri Nabiganj_ARIMA,Basantpur_Trend,Basantpur_SMA,Basantpur_EWMA,Basantpur_DES,Basantpur_TES,Basantpur_ARIMA,Goriakothi_Trend,Goriakothi_SMA,Goriakothi_EWMA,Goriakothi_DES,Goriakothi_TES,Goriakothi_ARIMA,Raghunathpur_Trend,Raghunathpur_SMA,Raghunathpur_EWMA,Raghunathpur_DES,Raghunathpur_TES,Raghunathpur_ARIMA,Bhagwanpur_Trend,Bhagwanpur_SMA,Bhagwanpur_EWMA,Bhagwanpur_DES,Bhagwanpur_TES,Bhagwanpur_ARIMA,Pachrukhi_Trend,Pachrukhi_SMA,Pachrukhi_EWMA,Pachrukhi_DES,Pachrukhi_TES,Pachrukhi_ARIMA,Siwan_Trend,Siwan_SMA,Siwan_EWMA,Siwan_DES,Siwan_TES,Siwan_ARIMA,Siswan_Trend,Siswan_SMA,Siswan_EWMA,Siswan_DES,Siswan_TES,Siswan_ARIMA,Hussainganj_Trend,Hussainganj_SMA,Hussainganj_EWMA,Hussainganj_DES,Hussainganj_TES,Hussainganj_ARIMA
1996-02-29,POMRB,2.2,3.02,3.01,4.065,3.866,3.17,2.79,3.24,4.6,3.41,2.82,2.91,5.15,,,2.2,2.6078260112546383,2.315041575702409,0.0,,,3.02,2.7481029549067064,3.142761393927121,0.0,,,3.01,5.0093307287415865,3.2287227321432237,0.0,,,4.065,3.2630528053635945,4.2359375,0.0,,,3.866,4.568660292566693,3.876,0.0,,,3.17,1.8062582307985602,3.1799868783330765,0.0,,,2.79,2.4517720269744854,2.772654893408191,0.0,,,3.24,2.5575291487234226,3.121964085912434,0.0,,,4.6,4.559104383656495,4.270883575556028,0.0,,,3.41,5.175126539226027,3.568938858446661,0.0,,,2.82,6.040594983657648,3.07710274687056,0.0,,,2.91,10.299475092754582,2.92,0.0,,,5.15,6.927234587962524,4.265437802977493,0.0
1996-05-31,PREMON,3.52,5.33,4.26,6.37,4.27,2.24,6.3,5.24,5.58,4.41,4.84,6.7,6.19,,,2.728,2.627441084377804,3.337667863015011,2.199998244528029,,,3.944,2.7524854268813095,4.4341314662797675,-3.631257833806065e-09,,,3.51,6.130502276389941,4.197165625134802,3.0099948950366446,,,4.987,3.5323885601904976,6.680623268698061,4.064991437227969,,,4.0276,4.904482544666343,4.289445983379501,-3.60047661676406e-21,,,2.798,1.4192343307830098,2.2588439255481654,3.1699990984351127,,,4.194,2.462717426151101,4.037259080811997,2.7899951323423955,,,4.04,1.9701754410221635,5.341126597637299,0.9504056496230996,,,4.992,4.9901385494293935,6.330068411644669,4.599995120922809,,,3.81,6.144065136326035,4.756486803674805,3.4099915114148747,,,3.628,8.13241078286419,4.074683547210547,2.8252715582989787e-07,,,4.426,10.025280057099268,6.719445983379502,0.0,,,5.566000000000001,7.827528152806231,5.735600855702654,5.149992999354983
1996-08-31,MONSOON,0.88,2.13,2.15,2.52,2.772,1.9233333333333331,1.39,2.52,2.38,3.033333333333333,2.31,2.95,2.82,2.10375,,1.9888000000000001,2.6254593687553727,1.196060617641594,3.0805855774972466,3.3674999999999997,,3.2184,2.7568745453227383,2.7685343898968173,-1.5660284195590403e-08,3.27625,,2.9659999999999997,5.148225050405329,1.555045215170335,3.534207312503806,4.076875,,4.0001999999999995,2.7751002726276446,2.9405093192961984,5.219495605644284,3.4865,,3.5253599999999996,4.60132252547068,2.800340942749058,-2.7274387084438e-21,2.1452083333333336,,2.4481333333333333,1.175106127802872,1.9498633215003909,2.6438694031519536,3.2625,,3.0724,2.4737116510875947,3.022818489750732,4.547273885381721,3.2975000000000003,,3.432,1.344402305567837,2.748867963255158,1.6520892322828926,4.2475,,3.9472,3.8499940971422246,3.658589184411034,5.291829655865614,3.56,,3.4993333333333334,6.103724274506816,2.5037463705698397,3.9091111373508474,3.199375,,3.1008,6.704412586053044,1.5192104305740404,5.079476372202821e-07,3.9487500000000004,,3.8356000000000003,9.58214547631735,2.9783409427490586,3.2687015877952523e-16,4.508750000000001,,4.4676,6.8375107587122805,3.387700296030941,5.739988783508068
1996-11-30,POMKH,1.72,3.11,2.98,3.06,3.0380000000000003,1.73,2.55,2.32,3.77,2.986666666666667,2.465,3.15,3.87,2.23375,2.08,1.8812800000000003,2.6303345124965833,1.7987037207996273,1.5969281959543151,3.3674999999999997,3.3975,3.17504,2.7612707668732424,2.3701667738604244,-2.225869367569739e-08,3.395,3.1,2.9715999999999996,4.529394863239617,3.1095043950775847,3.3731803157534332,3.85,4.00375,3.62412,2.437579244795263,3.5625613290141156,4.314458754969703,3.4865,3.4865,3.330416,4.334389575678373,3.0746892395957053,7.634906976402195e-22,2.0808333333333335,2.265833333333333,2.16088,1.0330852913734274,1.7631346467726177,2.454719138455183,2.91875,3.2575000000000003,2.8634399999999998,2.48475496594532,2.607178712704938,3.4902989071503643,3.41,3.33,2.9871999999999996,1.0188708647364615,2.400140106910122,1.447278824609046,4.508125,4.0825,3.8763199999999998,3.8065869137232378,3.2245434482722186,3.317261461163099,3.8649999999999998,3.46,3.294266666666667,5.7453665190272565,3.023353637915852,3.619613307600904,3.2125,3.10875,2.8464799999999997,5.027237294272755,2.2142723725331837,1.4724367027377043e-07,3.781666666666667,3.9274999999999998,3.5613600000000005,9.160643400771741,3.186689239595705,-1.8294971573480892e-16,4.46125,4.5075,4.22856,6.17942764776432,4.449368672086124,4.431118402837232
1997-02-28,POMRB,2.39,2.78,4.42,4.65,3.866,2.205,2.83,2.9800000000000004,5.92,4.21,3.545,3.08,5.16,2.3237500000000004,2.1275000000000004,2.0847680000000004,2.6406563164105425,2.4001814054457284,2.045940586183578,3.46,3.3375000000000004,3.017024,2.765673963069853,3.3116210934148986,2.859393557247634,3.1912499999999997,3.4525,3.55096,4.774135374034121,3.399502861367774,2.628983805846429,3.8237500000000004,4.1499999999999995,4.034472,2.741526915109479,4.597138396862093,4.030917774238349,3.4865,3.4865000000000004,3.5446496,4.3237269686018855,3.910495520155144,3.8659995798377764,2.1572916666666666,2.024583333333333,2.178528,1.1314086137224348,3.2065447626232313,2.7674469800286206,2.5875,3.2675,2.8500639999999997,2.4958475831780507,2.941835649055177,3.0312181338945026,3.6450000000000005,3.265,2.98432,0.9946814849891046,3.1850385932395557,3.1599583900397876,4.6674999999999995,4.4125,4.693792,4.7117884580442855,3.607143333713122,3.6103620667838716,3.893333333333334,3.66,3.6605600000000003,5.746414044291423,3.519269419177059,3.4226800092565086,3.03125,3.29,3.1258879999999998,4.323640244380991,3.089017297308644,2.819999660447692,3.5933333333333333,3.9699999999999998,3.3688160000000003,8.748581778922764,2.954495520155144,1.3306269340414296,4.51625,4.51,4.601136,6.033578765843998,4.3367349238744515,4.884647786542434
1997-05-31,PREMON,4.37,5.57,3.8,3.97,4.27,2.69,3.51,6.4,6.345,6.05,4.22,5.193333333333333,5.8,2.35625,2.3400000000000007,2.9988608,2.6670884598398223,3.423670231193958,3.115929066903816,3.4425,3.3975000000000004,4.0382144,2.770084477966387,4.535065586637741,5.046545583679625,2.9912500000000004,3.3375,3.650576,4.478930472699203,4.856263586647967,4.639692671572984,4.3925,3.549999999999999,4.0086832,2.869089498947735,7.025666185610671,5.467484728410971,3.4865,3.4865000000000004,3.8347897599999996,4.421011018511589,4.321767742956176,4.2699995359304985,2.19625,2.137083333333333,2.3831168,1.4241906785008434,2.167195335275501,2.161928712801294,2.64125,2.5699999999999994,3.1140383999999997,2.506989725928326,4.1826327310974225,4.668840426051485,3.7875000000000005,3.555,4.350592000000001,1.7412808045615356,5.287087810365421,5.024577296376296,4.70875,4.60375,5.3542752,5.407260804535894,7.021471774199404,5.785243315258637,3.8258333333333336,4.07,4.616336,6.4155425487489595,4.6690965664733515,4.19615136721858,2.9456249999999997,3.135,3.5635328,4.250097686025925,4.086598143138593,5.037971575446405,3.662083333333333,3.593333333333333,4.098622933333333,8.449564620094447,6.761186025504654,3.063642769098822,4.637499999999999,4.4125,5.0806816,6.1152681906196,5.801597966522573,5.627645054131141
1997-08-31,MONSOON,0.75,2.63,0.98,4.71,2.772,2.085,1.53,3.24,2.89,1.62,1.48,2.95,3.65,2.4162500000000002,2.3075000000000006,2.09931648,2.66390844300298,1.288347343935,1.9675973103383728,3.3712500000000003,3.522500000000001,3.47492864,2.7745017117891124,2.892572108918343,2.0167245945978594,2.74625,3.045,2.5823456,2.6576344753552528,1.7731597013433944,2.9423699850132823,4.541249999999999,4.097499999999999,4.28920992,3.27703160615475,2.7368989724272006,3.0373124463055854,3.4865,3.4865,3.4096738559999995,3.9844936955958294,2.830513871341118,2.7719996987352085,2.2156249999999997,2.1774999999999998,2.2638700800000002,1.523850999963077,1.9076461131685698,2.0971788792205315,2.73125,2.604999999999999,2.48042304,2.5181815950494104,2.627223401589711,2.254792642787449,3.8575000000000004,3.7350000000000003,3.9063552000000006,1.7922387154358435,2.6265684592295147,2.8101665760337626,4.423125,4.73125,4.3685651199999995,4.306325051060818,4.400268288915976,4.64437060797901,3.857916666666666,3.7166666666666672,3.4178016,4.980885341397079,3.0170228492020867,3.2360431698743373,2.8962499999999998,2.9274999999999998,2.73011968,2.493946093612985,1.5311249861902818,2.0901649063843113,3.855833333333333,3.593333333333333,3.63917376,8.056512705203689,2.9344094420217206,1.3489173386330635,4.5962499999999995,4.619999999999999,4.508408960000001,5.25581956085276,3.4142699550052598,3.473118322154535
1997-11-30,POMKH,2.11,2.47,2.55,5.42,3.0380000000000003,1.88,2.84,2.74,3.59,3.86,2.61,3.7,4.01,2.2825,2.4050000000000002,2.103589888,2.671829908743919,1.8891620045365418,1.6091821551468424,3.29,3.3625000000000007,3.072957184,2.778925971902977,2.5566646857270268,2.944607272257733,2.4675000000000002,2.9375,2.56940736,2.29322194408821,2.780628735241002,2.8243147250313925,4.35125,4.687499999999999,4.741525952,3.9217322349280583,3.685733367913496,3.478412614162018,3.4865,3.4865000000000004,3.2610043136,3.6716017115140898,3.102742906717368,3.0379996698259615,2.092083333333333,2.215,2.110322048,1.5673971364115804,1.737281621299946,1.9513912985218673,2.8225,2.6774999999999993,2.6242538239999997,2.529423437568475,2.310290036030434,2.743868326437693,3.59375,3.84,3.43981312,1.7777601801367942,2.357315960754864,2.4900067838107276,4.1125,4.68625,4.057139072,3.9867003318655496,3.8079566417636053,4.120452259086374,3.564583333333333,3.935000000000001,3.5946809600000003,4.596661672653504,3.088010909809028,3.14997456843237,2.7487499999999994,2.9637499999999997,2.682071808,2.186302803592208,2.2261868744410633,2.157848528877684,3.9291666666666667,3.7308333333333326,3.6635042560000004,7.712971494338889,3.1410152187751788,1.4403693615912374,4.48125,4.6549999999999985,4.309045376,4.675460575542753,4.545406339366629,4.157669562694599
1998-02-28,POMRB,2.48,2.85,2.89,3.48,3.866,2.21,3.26,3.12,3.815,3.5933333333333333,3.005,4.08,4.69,2.225,2.4275,2.2541539328,2.6827410053202216,2.4931036114829705,2.3913030648472704,3.00875,3.3800000000000012,2.9837743104,2.7833573271344894,3.360809435768867,2.7631793199162447,2.4349999999999996,2.555,2.697644416,2.3367414015331134,3.0307788944459717,2.9897098283487775,4.085416666666667,4.395,4.2369155712,3.858576313042983,5.178757440221528,4.442029368131051,3.4865,3.4865000000000004,3.50300258816,3.6725775611114377,3.9364638090961703,3.8659999533808187,1.8960416666666666,2.21625,2.1501932288,1.7304101579723952,2.9935654466752872,2.526976785321121,2.9075,2.7849999999999993,2.8785522944,2.540715469807269,2.7531064316629488,2.8458903188656555,3.2662500000000003,3.875,3.3118878720000002,1.8843128333496075,3.0754728180624835,3.108018041902981,3.96875,4.16,3.9602834432,3.9033230265558525,3.6690494847351918,4.740698206232139,3.4008333333333334,3.7808333333333337,3.5941419093333336,4.159282262060814,4.036052662538429,4.009049578186849,2.6387499999999995,2.82875,2.8112430848,2.3934191105439244,3.100931807706468,3.3689992163851743,3.8775,3.9808333333333326,3.8301025536,7.400968021170237,2.937785179987633,1.7608663287797777,4.16375,4.537499999999999,4.4614272256000005,4.501515980667434,4.436573761634384,5.008126698143105
1998-05-31,PREMON,3.21,4.85,3.1,3.62,4.27,1.6966666666666663,3.81,4.15,5.965,4.32,3.58,4.78,5.35,2.3270833333333334,2.1375,2.63649235968,2.6995670062594916,3.5165684082124367,3.6709643733925024,2.66625,3.200000000000001,3.7302645862399997,2.787795961665807,4.587711457104978,5.292773844516266,2.33625,2.38,2.8585866496000003,2.5824378490360074,4.029935753198918,3.2574541602512905,3.708333333333333,4.3075,3.9901493427199997,3.832173370672401,6.813789735547078,4.765371068056139,3.4865,3.4865000000000004,3.8098015528960003,3.8207318752645754,4.345688529550296,4.269999948509079,1.8186666666666664,1.967916666666667,1.9687826039466665,1.7131731750916752,2.2987388777490105,2.3489224762964622,2.76375,2.8599999999999994,3.25113137664,2.5520579168150723,4.107930960865354,4.071268753218047,3.1237500000000002,3.3124999999999996,3.6471327232000004,2.2429855948502104,5.881791804980602,5.929227911741153,3.97,4.065,4.7621700659199995,4.785930503170851,5.6031090118203615,4.536500176562146,3.158333333333333,3.3483333333333336,3.8844851456000002,4.107227749030366,5.473223917540887,5.329964149298318,2.4687499999999996,2.66875,3.11874585088,3.0537127760209115,4.098512618328064,4.367572020467533,3.62,3.877499999999999,4.21006153216,7.135185442737022,6.79822998931586,3.390054297699814,4.03,4.424999999999998,4.816856335360001,4.673741405183465,5.852166111985527,5.6148338616974005
