Date,Season,Sirathu,Sarsawan,Chail,Kara,Manjhanpur,Muratganj,Newada,Koshambhi,Sirathu_Trend,Sirathu_SMA,Sirathu_EWMA,Sirathu_DES,Sirathu_TES,Sirathu_ARIMA,Sarsawan_Trend,Sarsawan_SMA,Sarsawan_EWMA,Sarsawan_DES,Sarsawan_TES,Sarsawan_ARIMA,Chail_Trend,Chail_SMA,Chail_EWMA,Chail_DES,Chail_TES,Chail_ARIMA,Kara_Trend,Kara_SMA,Kara_EWMA,Kara_DES,Kara_TES,Kara_ARIMA,Manjhanpur_Trend,Manjhanpur_SMA,Manjhanpur_EWMA,Manjhanpur_DES,Manjhanpur_TES,Manjhanpur_ARIMA,Muratganj_Trend,Muratganj_SMA,Muratganj_EWMA,Muratganj_DES,Muratganj_TES,Muratganj_ARIMA,Newada_Trend,Newada_SMA,Newada_EWMA,Newada_DES,Newada_TES,Newada_ARIMA,Koshambhi_Trend,Koshambhi_SMA,Koshambhi_EWMA,Koshambhi_DES,Koshambhi_TES,Koshambhi_ARIMA
1996-02-29,POMRB,15.275,10.33,17.19,14.876666666666665,8.48,14.875,12.075,18.75,,,15.275,27.271340777250625,16.7371875,0.0,,,10.33,10.506682256915752,10.63280350296173,0.0,,,17.19,15.356840500474327,17.251636448256843,0.0,,,14.876666666666665,14.344203201541305,14.502041067950898,0.0,,,8.48,8.811966440557,8.824811883915654,0.0,,,14.875,14.786726676334483,14.73143088052195,0.0,,,12.075,11.933648350825736,11.73373418225178,0.0,,,18.75,19.054244646893856,18.875496784031085,0.0
1996-05-31,PREMON,23.2,12.35,9.0,15.81,11.975,16.235,11.35,20.15,,,18.445,34.350489011950856,25.638329293628807,15.274855193685141,,,11.138,11.227636155440843,11.245047437443917,10.329989300364936,,,13.914,14.116622473569898,9.122516487680203,17.189943999314693,,,15.25,14.641312792758281,15.928742140285358,6.063898071737887,,,9.878,9.629758562784161,11.25239920716849,7.725450421172107,,,15.418999999999999,15.344732796738219,16.013501231211666,14.874984986555686,,,11.785,11.771596875220741,12.731008662226158,12.07497222055005,,,19.310000000000002,19.370117409377254,19.827720939516336,18.749966699232058
1996-08-31,MONSOON,14.6,10.17,16.39,13.146666666666668,6.325,13.635,11.825,17.74,17.986874999999998,,16.907,29.508317184360255,17.58873229851674,20.396596348105476,10.647083333333335,,10.7508,10.787714055476501,10.408458614059214,11.818235991066176,14.774999999999999,,14.9044,14.599790896409406,16.56544438524551,12.237078559307095,13.975,,14.408666666666669,14.286892869036679,13.075232952688387,4.764175127459768,8.702916666666667,,8.456800000000001,8.607666744622788,6.497502930767549,9.865661152518141,14.46375,,14.7054,14.726725445888988,13.903920623983854,15.673222031884418,11.76375,,11.800999999999998,11.839536828476026,10.681123415267084,11.68099744129885,18.8725,,18.682000000000002,18.952465322212586,18.578787635020912,19.54674265940684
1996-11-30,POMKH,14.91,9.63,16.61,12.096666666666666,8.315,13.79,11.66,18.955,19.8275,16.99625,16.1082,23.71218981358345,18.097316486431623,15.780375916081432,10.153541666666667,10.620000000000001,10.30248,10.308451110437314,10.193757446040165,10.200252980846539,14.74625,14.7975,15.586640000000001,15.03130680258658,16.83716354608891,15.223258444991757,14.11625,13.9825,13.483866666666668,13.78013673770788,13.796407880496462,9.134822164465383,8.551874999999999,8.77375,8.40008,8.448127992518579,7.551423508504997,8.311855893904966,13.979375,14.63375,14.339239999999998,14.395981283776335,14.07499787747879,14.637677159222429,11.9025,11.7275,11.744599999999998,11.82341552533858,11.30971471336566,11.741929929131983,19.302500000000002,18.89875,18.7912,18.973905193624987,18.97820033504481,18.721876462650403
1997-02-28,POMRB,23.2,10.546666666666667,17.009999999999998,14.816666666666668,7.913333333333334,13.515,12.365,18.54,21.752499999999998,18.9775,18.94492,24.51245147886006,17.77225549425591,15.39252193997822,9.371666666666666,10.674166666666668,10.400154666666666,10.387999344998956,10.695432640025901,10.523849893865561,14.848125000000001,14.752499999999998,16.155984,15.457392257570389,17.42840878019096,16.21688206898915,14.205416666666668,13.967500000000001,14.016986666666668,13.983841537275813,14.017803081677181,14.662225847730854,8.432291666666668,8.632083333333334,8.205381333333335,8.221403930791023,9.033286689450327,8.162021391625403,13.709375,14.29375,14.009544,14.085597223033712,14.805309953849493,14.336357519630507,12.310625,11.8,11.99276,12.068327783202296,12.195264801918352,11.816342482764231,19.83375,18.846249999999998,18.69072,18.87786838888441,18.768074896353806,18.622938948827713
1997-05-31,PREMON,30.0,8.185,8.95,17.0,11.333333333333336,13.72,12.17,23.8,22.83625,20.6775,23.366951999999998,29.738898930793752,27.854849223046163,24.837750008893398,9.122083333333332,9.632916666666668,9.5140928,9.491447810411852,11.380160216991131,10.58270684805764,14.868125000000003,14.739999999999998,13.2735904,14.187269738755589,9.239499008548165,12.649308348696437,14.241666666666667,14.265,15.210192000000001,14.622512279243303,15.594189777453188,15.541964038204947,8.186041666666666,8.471666666666668,9.456562133333335,9.02997241175154,11.536250408599862,9.716538796298005,13.800625,13.665,13.893726399999998,13.966865236894545,15.59971235871333,14.567333191187977,12.426250000000001,12.005,12.063656000000002,12.15496995539426,13.123844257811767,11.766034089945682,19.966875,19.75875,20.734431999999998,20.223700912560098,19.685639043456167,19.029766551386846
1997-08-31,MONSOON,23.2,8.08,17.255000000000006,12.670000000000002,6.01,13.99,14.27,18.34,21.9375,22.8275,23.300171199999998,27.781311229668823,20.87641708224469,19.383037359085428,9.078333333333333,9.110416666666667,8.94045568,8.912716881200428,8.52011751997233,9.028441937724384,15.097500000000002,14.95625,14.866154240000002,14.829437655363893,16.637174176854852,14.542807461482768,14.118541666666667,14.145833333333334,14.194115200000002,14.167439764980049,13.278594634913086,13.585395404662313,8.361875000000001,8.392916666666666,8.07793728,8.093911291639195,6.20758242598832,7.454600137077942,14.05125,13.753749999999998,13.932235839999999,13.992831442460412,12.636844348938823,13.328287314071657,12.168750000000001,12.61625,12.9461936,12.970956761409042,11.245030911043338,12.073588345928995,20.1575,19.90875,19.776659199999997,19.738712897419077,19.718008222713717,20.66153704271362
1997-11-30,POMKH,14.98,9.723333333333333,15.905,12.863333333333335,6.66,14.165,10.14,19.42,20.18,22.845000000000002,19.97210272,20.305214633652763,23.163987951138303,19.680410230987178,9.478124999999999,9.133750000000001,9.253606741333332,9.223230711573875,8.210524074121427,8.931133206304976,16.511875,14.780000000000001,15.281692544,15.074504663087346,16.917094781141632,16.047226347512886,13.572083333333333,14.337500000000002,13.661802453333337,13.855753115289582,13.759832378719121,11.581292430211919,8.731666666666667,7.979166666666668,7.510762368,7.615581373471683,7.539762409494431,7.845611746628633,14.464374999999999,13.847499999999998,14.025341504,14.074361464343621,13.37612644974881,13.818210817212362,12.21875,12.236250000000002,11.82371616,11.99949365742456,12.626966977098494,12.79304872845752,19.69875,20.025000000000002,19.63399552,19.674526288958273,19.93522425706583,19.916574279221027
1998-02-28,POMRB,15.94,10.103333333333332,19.55,13.065,10.975,15.145,11.825,19.6,17.9775,21.03,18.359261632,16.228972143655255,25.270001025157732,22.160952387025013,10.117499999999998,9.022916666666667,9.593497378133332,9.561051998636994,9.689345021422364,9.455502108314725,17.445625,15.415000000000001,16.9890155264,15.999994338288719,17.34332803108352,15.910239812128617,13.027083333333334,13.899583333333334,13.423081472000003,13.657501897967215,14.264638800029127,15.20321017519723,8.7725,8.744583333333335,8.8964574208,8.499666448671832,7.912836660859902,7.1671800428549295,14.388125,14.254999999999999,14.4732049024,14.490772157170255,14.254502461444433,13.952448736460246,11.948124999999997,12.101250000000002,11.824229696,11.985858810643442,12.376246976082815,12.101435760466666,19.150000000000002,20.290000000000006,19.620397312,19.676010315470627,19.55884938339237,18.733427688016025
1998-05-31,PREMON,23.2,11.826666666666664,17.725,14.38,11.23,15.395,13.11,19.07,16.287499999999998,19.330000000000002,20.2955569792,19.05514649103496,29.18342175048133,24.72545998845642,10.250416666666666,9.933333333333334,10.486765093546666,10.452276078706468,10.638881312121924,9.605770117597864,17.330000000000002,17.60875,17.28340931584,16.377304620883137,9.378026201350583,13.352968424127685,12.655,13.244583333333335,13.805848883200003,13.792366127875537,15.135885726411777,15.223385886170071,8.885,8.718750000000002,9.829874452479999,9.197635620157477,12.051608523497936,10.970084165320474,13.8225,14.673749999999998,14.84192294144,14.845693621214178,15.682619503358069,14.771635407323032,11.6925,12.336250000000001,12.338537817599999,12.442371110692015,13.016085635081884,11.937055990285426,19.07625,19.107500000000005,19.400238387199998,19.534407626560334,20.567381850410815,20.28532916145316
1998-08-31,MONSOON,12.38,9.553333333333333,15.95,10.93,6.44,11.705,11.165,18.68,15.52125,16.625,17.12933418752,14.287201104703742,18.674689332865263,20.55755019329707,10.2325,10.301666666666668,10.113392389461332,10.076978392956573,9.841270148876685,10.592171781300307,16.9625,17.2825,16.750045589504,16.324952981955263,17.830541496357654,17.94282794912442,12.486458333333333,12.809583333333334,12.655509329920001,13.138674678225398,12.057570560906132,12.304643916838469,8.64375,8.826250000000002,8.473924671488,8.334413545325267,6.524080832544287,7.231480616726769,13.325,14.102499999999997,13.587153764864,13.693875359030745,14.022466814684439,14.66852985923041,11.740625000000001,11.560000000000002,11.86912269056,12.031240319609102,11.556881358445533,13.072574941806007,18.825,19.192500000000003,19.11214303232,19.325775291378985,18.70360527293708,18.678775565791042
