Date,Season,Voletivaripalem,Tarlupadu,Santhanuthalapadu,Kurichedu,Peddaraveedu,Ulavapadu,Kandukur_prk,Maddipadu,Pamuru,Veligandla,Darsi,Vetapalem,Tanguturu,Gudluru,Korisapadu,Ballikurava,Chirala,Martur,Bestavaripeta,Chandrasekharapuram,Addanki,Singarayakonda,Racherla,Mundalamur,Yerragondapalem,Janakavaram-pangullu,Peddacherlopalli,Gudulur,Inkollu,Karamchedu,Tripurantakam,Komarole,Ongole,Chimakurti,Cumbum,Santamaguluru,Dornala,Pullacheruvu,Markapur,Naguluppalapadu,Jarugumalli,Podili,Kothapatnam,Hanumanthunipadu,Kanigiri,Konakanamitla,Donakonda,Parchur,Ponnaluru,Chinna Ganjam,Voletivaripalem_Trend,Voletivaripalem_SMA,Voletivaripalem_EWMA,Voletivaripalem_DES,Voletivaripalem_TES,Voletivaripalem_ARIMA,Tarlupadu_Trend,Tarlupadu_SMA,Tarlupadu_EWMA,Tarlupadu_DES,Tarlupadu_TES,Tarlupadu_ARIMA,Santhanuthalapadu_Trend,Santhanuthalapadu_SMA,Santhanuthalapadu_EWMA,Santhanuthalapadu_TES,Santhanuthalapadu_ARIMA,Kurichedu_Trend,Kurichedu_SMA,Kurichedu_EWMA,Kurichedu_DES,Kurichedu_TES,Kurichedu_ARIMA,Peddaraveedu_Trend,Peddaraveedu_SMA,Peddaraveedu_EWMA,Peddaraveedu_DES,Peddaraveedu_TES,Peddaraveedu_ARIMA,Ulavapadu_Trend,Ulavapadu_SMA,Ulavapadu_EWMA,Ulavapadu_DES,Ulavapadu_TES,Ulavapadu_ARIMA,Kandukur_prk_Trend,Kandukur_prk_SMA,Kandukur_prk_EWMA,Kandukur_prk_DES,Kandukur_prk_TES,Kandukur_prk_ARIMA,Maddipadu_Trend,Maddipadu_SMA,Maddipadu_EWMA,Maddipadu_DES,Maddipadu_TES,Maddipadu_ARIMA,Pamuru_Trend,Pamuru_SMA,Pamuru_EWMA,Pamuru_DES,Pamuru_TES,Pamuru_ARIMA,Veligandla_Trend,Veligandla_SMA,Veligandla_EWMA,Veligandla_DES,Veligandla_TES,Veligandla_ARIMA,Darsi_Trend,Darsi_SMA,Darsi_EWMA,Darsi_DES,Darsi_TES,Darsi_ARIMA,Vetapalem_Trend,Vetapalem_SMA,Vetapalem_EWMA,Vetapalem_DES,Vetapalem_TES,Vetapalem_ARIMA,Tanguturu_SMA,Tanguturu_EWMA,Tanguturu_TES,Gudluru_Trend,Gudluru_SMA,Gudluru_EWMA,Gudluru_DES,Gudluru_TES,Gudluru_ARIMA,Korisapadu_Trend,Korisapadu_SMA,Korisapadu_EWMA,Korisapadu_DES,Korisapadu_TES,Korisapadu_ARIMA,Ballikurava_Trend,Ballikurava_SMA,Ballikurava_EWMA,Ballikurava_DES,Ballikurava_TES,Ballikurava_ARIMA,Chirala_Trend,Chirala_SMA,Chirala_EWMA,Chirala_DES,Chirala_TES,Chirala_ARIMA,Martur_Trend,Martur_SMA,Martur_EWMA,Martur_DES,Martur_TES,Martur_ARIMA,Bestavaripeta_Trend,Bestavaripeta_SMA,Bestavaripeta_EWMA,Bestavaripeta_DES,Bestavaripeta_TES,Bestavaripeta_ARIMA,Chandrasekharapuram_Trend,Chandrasekharapuram_SMA,Chandrasekharapuram_EWMA,Chandrasekharapuram_DES,Chandrasekharapuram_TES,Chandrasekharapuram_ARIMA,Addanki_Trend,Addanki_SMA,Addanki_EWMA,Addanki_DES,Addanki_TES,Addanki_ARIMA,Singarayakonda_Trend,Singarayakonda_SMA,Singarayakonda_EWMA,Singarayakonda_DES,Singarayakonda_TES,Singarayakonda_ARIMA,Racherla_Trend,Racherla_SMA,Racherla_EWMA,Racherla_DES,Racherla_TES,Racherla_ARIMA,Mundalamur_Trend,Mundalamur_SMA,Mundalamur_EWMA,Mundalamur_TES,Mundalamur_ARIMA,Yerragondapalem_Trend,Yerragondapalem_SMA,Yerragondapalem_EWMA,Yerragondapalem_DES,Yerragondapalem_TES,Yerragondapalem_ARIMA,Janakavaram-pangullu_Trend,Janakavaram-pangullu_SMA,Janakavaram-pangullu_EWMA,Janakavaram-pangullu_TES,Janakavaram-pangullu_ARIMA,Peddacherlopalli_Trend,Peddacherlopalli_SMA,Peddacherlopalli_EWMA,Peddacherlopalli_DES,Peddacherlopalli_TES,Peddacherlopalli_ARIMA,Gudulur_Trend,Gudulur_SMA,Gudulur_EWMA,Gudulur_DES,Gudulur_TES,Gudulur_ARIMA,Inkollu_Trend,Inkollu_SMA,Inkollu_EWMA,Inkollu_DES,Inkollu_TES,Inkollu_ARIMA,Karamchedu_Trend,Karamchedu_SMA,Karamchedu_EWMA,Karamchedu_DES,Karamchedu_TES,Karamchedu_ARIMA,Tripurantakam_Trend,Tripurantakam_SMA,Tripurantakam_EWMA,Tripurantakam_DES,Tripurantakam_TES,Tripurantakam_ARIMA,Komarole_Trend,Komarole_SMA,Komarole_EWMA,Komarole_DES,Komarole_TES,Komarole_ARIMA,Ongole_Trend,Ongole_SMA,Ongole_EWMA,Ongole_DES,Ongole_TES,Ongole_ARIMA,Chimakurti_Trend,Chimakurti_SMA,Chimakurti_EWMA,Chimakurti_DES,Chimakurti_TES,Chimakurti_ARIMA,Cumbum_Trend,Cumbum_SMA,Cumbum_EWMA,Cumbum_DES,Cumbum_TES,Cumbum_ARIMA,Santamaguluru_Trend,Santamaguluru_SMA,Santamaguluru_EWMA,Santamaguluru_TES,Santamaguluru_ARIMA,Dornala_Trend,Dornala_SMA,Dornala_EWMA,Dornala_TES,Dornala_ARIMA,Pullacheruvu_Trend,Pullacheruvu_SMA,Pullacheruvu_EWMA,Pullacheruvu_DES,Pullacheruvu_TES,Pullacheruvu_ARIMA,Markapur_Trend,Markapur_SMA,Markapur_EWMA,Markapur_DES,Markapur_TES,Markapur_ARIMA,Naguluppalapadu_Trend,Naguluppalapadu_SMA,Naguluppalapadu_EWMA,Naguluppalapadu_DES,Naguluppalapadu_TES,Naguluppalapadu_ARIMA,Jarugumalli_Trend,Jarugumalli_SMA,Jarugumalli_EWMA,Jarugumalli_TES,Jarugumalli_ARIMA,Podili_Trend,Podili_SMA,Podili_EWMA,Podili_DES,Podili_TES,Podili_ARIMA,Kothapatnam_Trend,Kothapatnam_SMA,Kothapatnam_EWMA,Kothapatnam_DES,Kothapatnam_TES,Kothapatnam_ARIMA,Hanumanthunipadu_Trend,Hanumanthunipadu_SMA,Hanumanthunipadu_EWMA,Hanumanthunipadu_DES,Hanumanthunipadu_TES,Hanumanthunipadu_ARIMA,Kanigiri_Trend,Kanigiri_SMA,Kanigiri_EWMA,Kanigiri_DES,Kanigiri_TES,Kanigiri_ARIMA,Konakanamitla_Trend,Konakanamitla_SMA,Konakanamitla_EWMA,Konakanamitla_DES,Konakanamitla_TES,Konakanamitla_ARIMA,Donakonda_Trend,Donakonda_SMA,Donakonda_EWMA,Donakonda_DES,Donakonda_TES,Donakonda_ARIMA,Parchur_Trend,Parchur_SMA,Parchur_EWMA,Parchur_DES,Parchur_TES,Parchur_ARIMA,Ponnaluru_Trend,Ponnaluru_SMA,Ponnaluru_EWMA,Ponnaluru_DES,Ponnaluru_TES,Ponnaluru_ARIMA,Chinna Ganjam_Trend,Chinna Ganjam_SMA,Chinna Ganjam_EWMA,Chinna Ganjam_DES,Chinna Ganjam_TES,Chinna Ganjam_ARIMA
1996-02-29,POMRB,6.55,31.65333333333333,,2.31,5.7733333333333325,3.2,3.83,1.85,5.846666666666668,14.948,2.24,4.2879999999999985,2.15,8.23,9.569166666666666,2.656,2.1,5.79,5.773999999999999,7.63,4.42,4.8925,5.57,2.1,4.55,0.25,1.53,1.705,3.092,1.584,5.43,2.02,0.78,0.74,0.92,1.355,,3.0308333333333333,6.2,1.8,2.06,2.26,2.85,3.805,5.369999999999999,5.225,6.57,3.52,2.375,3.15,,,6.55,5.988301046188814,4.820568980695426,0.0,,,31.65333333333333,33.49071077505988,31.51147063047512,0.0,,,,,,,,2.31,3.1130077894222206,2.2709054221367966,0.0,,,5.7733333333333325,12.79331607838573,5.783333333333332,0.0,,,3.2,3.3917063307351043,3.21,0.0,,,3.83,3.9107385092756908,3.4419031249884786,0.0,,,1.85,3.9444744899068507,1.773534523121775,0.0,,,5.846666666666668,5.392622645839057,5.062062280062499,0.0,,,14.948,14.107648943230226,14.957871558481541,0.0,,,2.24,2.706153406515322,2.2981238737264755,0.0,,,4.2879999999999985,4.351133073997476,4.297998655514747,0.0,,2.15,2.1599999999999997,,,8.23,8.050578485820731,7.5940215835937845,0.0,,,9.569166666666666,9.579688206728385,9.338437183741508,0.0,,,2.656,4.638948742045014,2.665999322262653,0.0,,,2.1,2.2959089594129662,2.0921012754651622,0.0,,,5.79,5.1427612855699,6.416818067929377,0.0,,,5.773999999999999,5.908410720146011,5.721114281874043,0.0,,,7.63,5.969222920420091,7.64,0.0,,,4.42,3.640970617960845,5.042981403977145,0.0,,,4.8925,5.011732266644796,4.849700154704273,0.0,,,5.57,5.314056237539763,4.8056929797827905,0.0,,,2.1,2.3635852953218013,0.0,,,4.55,5.136054301755294,4.9347601215858905,0.0,,,0.25,0.36625633899128296,0.0,,,1.53,3.810545050446307,1.7812148239112826,0.0,,,1.705,5.725729217215302,1.715,0.0,,,3.092,2.9932371250456717,3.064813895969848,0.0,,,1.584,1.5433440060400907,1.594,0.0,,,5.43,4.879458205281446,4.805523216119328,0.0,,,2.02,0.00836328693067614,2.2896056280370227,0.0,,,0.78,0.3902560178549709,0.8058565454181121,0.0,,,0.74,5.626282800298687,1.159491068101537,0.0,,,0.92,0.41977851851472503,1.0832806369769616,0.0,,,1.355,1.17785082138158,0.0,,,,,,,,3.0308333333333333,5.792541157365303,3.188005866220147,0.0,,,6.2,6.72429498943109,6.268475370410654,0.0,,,1.8,2.2902047332966835,2.479943984710839,0.0,,,2.06,2.751601679750536,0.0,,,2.26,2.349459488562553,2.175358743441426,0.0,,,2.85,2.431781177399428,2.900565600891244,0.0,,,3.805,4.526159705319641,4.318476634251654,0.0,,,5.369999999999999,5.468449359060775,5.135139757145291,0.0,,,5.225,5.541192409717855,5.274575626455957,0.0,,,6.57,7.392915598307739,6.700425240661559,0.0,,,3.52,2.6108543125433794,3.3670117381861293,0.0,,,2.375,3.1106440260351698,2.0760539330017447,0.0,,,3.15,3.1566416168790967,3.215924035744805,0.0
1996-05-31,PREMON,9.15,41.08200000000001,3.84,5.109999999999999,10.5,5.31,5.9,3.3,7.533333333333332,14.9225,3.18,5.20875,,9.04,11.364,3.9739999999999998,2.97,10.26,6.4270000000000005,6.66,8.025,3.77,6.14,4.7,7.52,1.05,3.57,4.35,2.9416666666666664,2.62625,6.31,6.21,2.21,2.92,3.935,3.03,,4.691818181818181,8.094999999999999,4.1,8.8,4.155,3.34,6.6,6.4700000000000015,6.85,10.56,4.62,3.98,3.91,,,7.59,5.985194910932819,6.305164223622436,3.486607255723446,,,35.424800000000005,35.952497179154975,41.4500771782449,29.630392760807176,3.84,,3.84,3.8499999999999996,0.0,,,3.4299999999999997,3.428980445160455,4.3428729909221815,2.309996023197266,,,7.664,15.843834024668904,10.519445983379502,4.895849969180719e-21,,,4.0440000000000005,3.8491585456058033,5.328171745152353,3.1999974371723323,,,4.658,4.378733501077282,5.31207879794689,2.6335362053553784,,,2.43,4.186124053299086,3.077225590751188,1.849999053689545,,,6.521333333333334,5.989570833804237,7.570580903547571,5.846658685187418,,,14.9378,14.191161043294935,14.940743626793083,1.1792112365329631e-12,,,2.6160000000000005,2.8473251862200364,3.2708987948672577,2.2399988568731506,,,4.6563,4.684583517574091,5.226210278484084,4.239646374767333,,,,,,8.553999999999998,8.323980391367552,8.441347731826815,8.229992721092078,,,10.287099999999999,9.981192924802105,11.559927812393067,4.800548385030197,,,3.1832000000000003,5.795637866590849,3.993445207064332,-1.7173658037009102e-12,,,2.4480000000000004,2.4599184605750417,2.7842529381061274,1.9477896678985092,,,7.577999999999999,5.706224984882728,11.018323897177584,5.789985679567463,,,6.0352,6.11174761066195,6.583411688329398,5.732023654544928,,,7.241999999999999,5.999471061504739,6.679445983379502,7.629960600612511,,,5.862,4.881747396797482,5.909669708553723,4.0467925790037445,,,4.4435,4.809254744613776,3.834633139036394,-9.570038418451727e-13,,,5.798,5.499444589808778,6.356997509007024,3.432027949377256,,,3.14,4.453529553476203,2.0999950780979697,,,5.7379999999999995,5.6890329795143835,5.7618081285124605,4.549997467180407,,,0.5700000000000001,0.9143955021785363,0.15357804443404705,,,2.346,4.5059279024525845,2.7711895523243397,1.3885619959802604,,,2.763,9.206640779657063,4.369445983379501,3.0376669510702635e-22,,,3.0318666666666667,2.9774869614004826,2.9924361541203135,3.037538929256148,,,2.0009,1.6475807542734728,2.6456959833795013,1.0441769604841981e-09,,,5.782,5.127185498300202,6.676969957557029,3.838145033685487,,,3.6959999999999997,1.0641606608531768,3.761164667194488,1.8134325201834782,,,1.3519999999999999,0.8085084025061897,2.260345645654733,0.7799980880579072,,,1.6119999999999999,10.16270999763758,3.3728029280983423,0.2726404647581687,,,2.1260000000000003,2.0509577172629316,2.4718063683326106,0.8217373325354485,,,2.025,3.171494804911097,0.7943135767762439,,,,,,,,3.6952272727272724,7.471336015193193,4.869995465845442,3.030831324921372,,,6.957999999999999,7.023683390235054,7.545736551141077,6.19999213412367,,,2.7199999999999998,3.071550885899604,2.878428138852704,1.6588757405536825,,,4.756,5.3331702739214615,0.7505338590545674,,,3.018,3.5378509728052743,3.8743564238431203,2.2599981219049043,,,3.0460000000000003,2.6900459596992166,3.4412457613257397,5.609970604075167e-08,,,4.923,5.03169922833621,5.072439822541887,3.804995240974624,,,5.8100000000000005,5.807208573994801,6.473288064536099,5.369984564279977,,,5.875,5.837375792356651,6.32838659671572,4.774018360301508,,,8.166,8.198803950420881,9.15697100034257,5.092598536357955,,,3.96,3.4267462852131856,4.821879531474414,1.6768604853346905,,,3.0170000000000003,3.1527743954603076,4.25707401574239,2.3749971378890864,,,3.4539999999999997,3.4728951941455453,3.734646741266043,3.149999120313742
1996-08-31,MONSOON,7.32,32.35,,2.895,10.5,4.67,5.94,3.55,6.400000000000001,15.302500000000002,3.09,5.37875,,8.83,11.88125,3.722,2.64,7.63,6.045,6.36,6.145,13.216666666666667,5.67,4.21,5.565,0.54,3.73,6.05,2.88,2.05375,6.0,2.65,0.84,2.88,0.56,1.31,,4.984,9.03,3.44,8.86,3.24,2.65,5.15,6.4250000000000025,6.05,9.71,3.94,3.86,4.05,5.99375,,7.481999999999999,5.982090386790002,6.861485472360311,5.123364283727508,34.14633333333333,,34.194880000000005,34.80981908352973,32.50901374715609,35.802022138159735,,,,,,2.95125,,3.216,3.370825100894815,4.49792549460645,4.229200421547589,9.318333333333333,,8.7984,16.16389991468021,10.52834094274906,9.188746660173856e-21,3.225,,4.2944,4.03390384137354,4.694600179556633,4.833091005287634,3.9125,,5.1708,4.746640131021665,6.511789448773933,4.018202491536422,2.36625,,2.878,4.345871893818496,3.3367167006534686,2.9063756548973267,4.902916666666667,,6.4728,6.152528089751241,8.401364107641825,7.101110049161353,13.977,,15.083680000000001,14.301662420748126,15.327142061504174,2.0583571642522404e-11,2.885625,,2.8056,2.9271405095593606,3.170403193271305,2.876246747505838,4.797625,,4.94528,5.042096753704976,5.4013138186465754,4.784286916787149,,,,7.651249999999999,,8.664399999999999,8.507468084371641,8.59461463701307,8.638386802797935,10.412354166666667,,10.92476,10.535789383165742,12.102960316039818,5.88733758248895,3.3871666666666664,,3.39872,5.933686719867711,3.7503400731535765,-7.2477570987552565e-12,2.26375,,2.5248,2.510607440622544,2.7430770423325583,2.489510090461053,6.247083333333333,,7.598799999999999,5.616412830714258,8.535893676693483,9.099930256902654,5.9830000000000005,,6.03912,6.0916528201582105,5.994278161408011,6.359317462341034,5.39375,,6.8892,6.024679515287205,6.388340942749059,7.018498362245579,5.323125,,5.9752,4.7692445600158715,7.016423137011031,6.235774803526478,6.007916666666667,,7.952766666666667,5.697572180200573,12.690089693685433,-1.1594991158883107e-12,4.565,,5.7468,5.545998466357126,5.435574412759232,4.080963848263267,3.1500000000000004,,3.568,4.158763150701335,3.431107882831094,5.009375,,5.6688,5.6691037913264966,5.972586783528074,6.721855194569189,0.575,,0.558,1.0331188631933974,0.6243506723643398,2.8749999999999996,,2.8996,4.718336591284974,3.9938611121966803,2.78525452829716,4.65375,,4.0778,12.198480683581241,6.078340942749058,6.510375579532338e-22,2.8859166666666667,,2.97112,2.9475075817540644,2.907658684687834,2.8953465114948247,2.0587500000000003,,2.02204,1.616100927256878,2.0820909427490584,-2.96670235930409e-07,5.151249999999999,,5.8692,5.296160625623898,6.082751134516527,4.314302391528541,3.1574999999999998,,3.2775999999999996,1.1350923020249024,4.183160041470161,3.942879461593179,1.14,,1.1472,0.8955738447158248,0.914728838647205,1.6150990665171232,1.8225,,2.1191999999999998,13.49482902523955,2.30420566627071,1.1285701886708113,1.38375,,1.4996,0.2882714933415364,3.8477670406218047,3.208432726804426,1.7606249999999999,,1.7389999999999999,1.9454197650473737,1.617634585385872,,,,,,3.857555735930736,,4.2107363636363635,8.47488693007961,4.8581133077151115,4.360818180051049,6.51,,7.7867999999999995,7.495647978514314,8.646692574755953,7.605591893075958,2.9675000000000002,,3.008,2.931159227011532,3.375391539821223,3.672567784586905,5.135,,6.397600000000001,7.490240948722871,3.1280435417778834,2.713125,,3.1068,3.3833862323168518,4.101394653007323,3.6064511051867463,2.2775,,2.8876,2.668661188206301,2.819507832253476,1.2519012873477473e-07,4.72,,5.0138,5.072458294398657,6.031995998790471,5.263365325339976,5.423125000000001,,6.056000000000001,6.029000515100989,6.5945612719726885,5.828997224426266,5.409375,,5.945,5.888423040955448,6.840712059560471,5.790854774381147,7.512499999999999,,8.7836,8.513133244875622,10.045764819075066,7.895279501293734,3.905,,3.952,2.9223767021082145,4.662575824426777,1.8136403774919228,2.8806249999999998,,3.3542,3.1954753746646136,3.682845134186911,3.4790260758281755,3.4450000000000003,,3.6923999999999997,3.713498794485846,3.8674367939393974,3.6276073408107408
1996-11-30,POMKH,2.66,31.5,,1.77,10.5,0.85,1.09,1.67,1.6966666666666663,10.735,3.085,4.315,1.86,5.22,8.834999999999997,3.1966666666666668,1.36,1.3083333333333331,5.686,2.84,2.8550000000000004,2.1525,2.87,1.74,2.795,0.21,2.78,6.51,2.63,1.9709999999999999,3.36,2.28,0.66,0.7,0.36,1.1,14.42,2.7235714285714288,3.73,2.06,1.16,1.405,0.46,2.68,3.685,3.66,3.61,3.36,1.5550000000000002,2.73,5.15125,6.42,5.5531999999999995,5.9789874728611165,5.416869756568587,5.1234394192396095,34.14633333333333,34.14633333333333,33.116928,33.76085303495337,30.50617450740842,33.250385265186125,,,,,,2.9331249999999995,3.0212499999999998,2.6376,3.153786529038272,1.4497364496754312,2.8271218667343705,9.318333333333333,9.318333333333333,9.479040000000001,14.770589676504878,10.536689239595706,1.826507149598213e-21,2.6424999999999996,3.5075,2.91664,3.2224296076070704,0.8794002971269683,3.7018995017820777,3.365,4.19,3.53848,3.8918640567579064,3.5772604134687374,4.230149150821647,2.04125,2.5925,2.3948,3.185576482519677,2.471526788346224,2.8428021082203423,4.08,5.369166666666667,4.5623466666666666,5.080079437575142,4.044678951154625,6.316562382501941,13.977,13.977,13.344207999999998,13.987286355283397,10.7644625702445,1.1048740400134186e-11,2.9343749999999997,2.8987499999999997,2.91736,2.984588681546019,2.275315055075187,2.8770949571460007,4.797625,4.797625,4.693168,4.889537909565431,4.340578595078212,4.921342010834071,,2.034,1.8794459833795016,7.4725,7.83,7.286639999999999,7.51323167964763,7.43871446103574,8.704023845449322,10.412354166666667,10.412354166666667,10.088855999999998,10.075420989810855,8.496985500448524,7.736471044951538,3.387166666666667,3.387166666666667,3.3178986666666663,5.124850740279701,3.2333549468558314,-1.1709213200122763e-11,2.22125,2.2675,2.0588800000000003,2.2545945891916825,2.006541324274979,2.5003654482112845,6.247083333333333,6.247083333333333,5.082613333333333,3.934174517522468,1.968879444048746,6.205113858231257,5.983,5.9830000000000005,5.897872,5.942071067105458,5.613517237091677,5.994328109006985,4.9375,5.8725,5.26952,5.994808598577957,2.876689239595705,6.816098784011837,5.123125,5.36125,4.72712,3.2099020577214596,4.870485387543327,6.021373008511235,6.0079166666666675,6.007916666666667,5.63266,5.31263163698328,2.2942674800527563,-4.1341027842486954e-12,4.0337499999999995,5.062500000000001,4.596080000000001,4.98812586239511,4.4712049264621525,4.412381215675318,3.29375,3.1875000000000004,2.8368,1.700046529001074,3.71102777836864,4.804375,5.1075,4.51928,5.020034981248554,5.302604686064456,5.454796090415213,0.625,0.5125000000000001,0.41880000000000006,0.027075636882232246,0.17587420539591309,2.7725,2.9025,2.8517599999999996,3.661609518998397,2.4414174595946965,2.6997734541212535,4.65375,4.6537500000000005,5.05068,12.42021515895562,6.546689239595704,1.1003625658916977e-24,2.8859166666666667,2.8859166666666667,2.8346720000000003,2.849348781870057,2.5438811346646997,2.838082417750173,2.05875,2.05875,2.001624,1.5956925242831008,2.0076892395957042,-5.358137826703459e-07,5.038124999999999,5.2749999999999995,4.86552,4.8034439747805795,4.461693393735672,5.013039282380175,2.4875000000000003,3.29,2.8785599999999993,1.17066090862415,1.988691705721594,3.4605161287661743,1.05625,1.1225,0.9523199999999999,0.9265565914471531,0.755697537340766,1.121051266011719,2.04375,1.81,1.5515199999999998,12.159492172840187,0.4077515828166627,0.7471245883294109,0.996875,1.4437500000000003,1.04376,0.18610095162426776,-0.007663071271063249,0.5690961437214473,1.8125,1.69875,1.4834,0.715351356347676,1.5908840768305348,14.42,,14.42,14.117254275969765,0.0,3.857555735930736,3.857555735930736,3.6158703896103894,7.02499078490203,2.6658775837817514,3.809152707295534,6.223125,6.763749999999999,6.164079999999999,6.362255365317709,6.112136041071433,8.031922018082986,2.995,2.85,2.6288,2.0730577307905187,2.653230065517953,3.0997025331786743,4.27625,5.22,4.30256,3.247305103665979,3.3003353348428046,2.5318750000000003,2.765,2.42608,2.1443339150287226,2.07080770678533,3.0272117528204645,2.1925,2.325,1.9165599999999998,1.8759445149364156,0.7217159938500379,1.7327568137699102e-07,4.57625,4.55875,4.08028,4.5149566327217086,3.3574561846511237,5.220286180681113,5.19,5.4875,5.107600000000001,5.335442589687303,4.642866018369412,6.549044263361857,5.2681249999999995,5.44625,5.031000000000001,5.3932251971289,4.408408187743236,5.922192249473961,7.175000000000001,7.612500000000001,6.71416,6.913671808306602,7.323224858527142,7.537783669996999,3.885,3.86,3.7152000000000003,2.49217911651868,2.3902660008295427,1.8860852174099652,2.739375,2.9425,2.63452,3.2387546752758323,2.6544856261092393,3.3844832357003,3.4025,3.46,3.3074399999999997,3.2883029071055416,3.2030408185987977,3.8679121404588943
1997-02-28,POMRB,3.14,31.65333333333333,,1.75,5.7733333333333325,0.94,1.61,0.04,2.1166666666666667,14.948,2.135,4.2879999999999985,2.15,6.8,9.569166666666666,2.656,2.07,5.79,5.773999999999999,3.8,4.115,4.8925,1.59,1.8,3.765,0.75,1.31,1.705,3.092,1.584,4.44,0.96,0.92,0.84,0.44,1.85,,3.0308333333333333,4.17,2.74,1.38,1.845,2.47,5.0950000000000015,4.855,4.93,5.77,3.88,1.88,3.03,4.68625,5.5675,4.58792,5.975886168426388,4.8205689807739045,5.758539513594207,34.14633333333333,34.14633333333333,32.531490133333335,33.09864732454299,32.33461781060569,31.28770031433676,,,,,,3.155,2.8812499999999996,2.28256,2.9646849803823665,2.245126527868367,2.2078698087636424,9.318333333333333,9.318333333333333,7.996757333333334,9.357254877137734,5.817828853488477,5.773330518421411,2.35375,2.9425,2.125984,2.6359702690738818,3.2300779510528383,2.7540193446135643,3.0387500000000003,3.6350000000000002,2.7670879999999998,3.3588830899776103,2.623372387770862,2.5826835792207805,1.9393749999999998,2.1399999999999997,1.45288,1.5227472305416643,1.8292219643483385,2.075661632795663,3.7933333333333334,4.4366666666666665,3.5840746666666665,4.376510810460953,3.8289977994455184,3.5077014917843314,13.977,13.976999999999999,13.9857248,14.08396770773489,14.980576024132404,14.647495120437277,3.154375,2.8724999999999996,2.604416,2.771776377506056,2.675824541037642,2.8461187618798762,4.797625,4.797625,4.531100799999999,4.717960565554194,4.31485337037436,4.39907259115717,,2.0804,2.1783409427490583,7.472499999999999,7.472499999999999,7.091984,7.142379013838686,8.026095876904245,7.9555164589329355,10.412354166666667,10.412354166666667,9.880980266666665,9.885066893491027,9.600539467807177,9.279876191453699,3.387166666666667,3.387166666666667,3.0531391999999995,3.89883856729285,2.6936542117656614,2.6052869614108323,2.2375,2.2600000000000002,2.0633280000000003,2.22041566480146,1.901867386217045,1.9476915166830722,6.247083333333333,6.247083333333333,5.365568,3.9134859698727733,5.79,5.424223583263754,5.9830000000000005,5.9830000000000005,5.848323199999999,5.883118467799779,5.780782316673914,5.652297740199897,5.44375,4.915,4.681712,5.980242011235932,7.6723912569972486,5.638468115915186,5.255000000000001,5.285,4.482272,3.127914331265481,4.504238008208955,4.211435029520247,6.0079166666666675,6.007916666666667,5.336596,5.246739066677101,5.0667401405025405,4.569435251570416,4.11125,4.067500000000001,3.393648,4.275849016460002,4.689134714597798,4.594923364999998,3.5275,3.1125000000000007,2.4220800000000002,2.3100756118974384,2.7199597484484563,4.810625,4.91125,4.217568,4.740383138845784,4.485136937999735,3.745499560705036,0.7775,0.6375000000000001,0.55128,0.3419611499401909,0.405834196837881,2.7275,2.8475,2.2350559999999997,1.8823546004578797,2.211008650423814,1.8565750836140875,4.65375,4.6537500000000005,3.712408,6.1632922404709225,1.7494955201551434,1.7049998096170862,2.8859166666666667,2.8859166666666667,2.9376032000000003,2.9247571440390048,3.0951922550770643,2.6012764887676036,2.0587500000000003,2.05875,1.8345744000000002,1.4926846998064114,1.6284955201551434,1.3768042829525857,5.1375,5.0275,4.695312,4.626295010445359,4.623668326078572,4.090536040620895,2.0075,3.0250000000000004,2.1111359999999997,0.9276029330070338,2.4792100157401062,2.646718974620715,1.04125,1.1575,0.939392,1.0074777418932133,0.8923977104988678,0.9011415037121968,2.35125,1.835,1.2669119999999998,8.970285435520637,1.2563967979457367,0.5848123205872428,0.8237500000000001,1.3237500000000004,0.8022560000000001,0.2327299755881377,-0.10004275233871862,0.44574592074443947,2.03125,1.8224999999999998,1.6300400000000002,1.1880955034832559,1.0585208438346538,,,,,,3.8575557359307355,3.8575557359307355,3.381855567099567,5.575924750126057,3.151515849480648,3.12519915436602,6.35375,6.256249999999999,5.366448,5.678499486658817,5.56143345935055,5.122915584379296,3.02375,3.085,2.67328,2.2227504129530447,2.5972967381567282,1.908294080185707,3.42,5.05,3.133536,3.0605978338413253,1.5037524044609292,2.4225,2.6612500000000003,2.1936479999999996,1.9741533857400237,1.828829834866298,1.9533447189358908,2.18375,2.2300000000000004,2.137936,1.9491827368294572,3.0318272356077345,2.785394960652372,4.444375000000001,4.8812500000000005,4.486168000000001,4.664467437465262,4.210802773015629,4.104845439063771,5.12375,5.358750000000001,5.00656,5.2149013751596005,4.910432171091299,4.904079224806517,5.296250000000001,5.3725000000000005,4.990600000000001,5.292762311283783,4.6717638870811955,4.776061969926488,6.59125,7.4125,6.3364959999999995,6.441079294232914,5.542918220706849,4.790962417515047,3.9275,3.95,3.78112,2.8778735035989524,3.449874076797547,2.363093560657249,2.693125,2.8187499999999996,2.332712,3.282620150102656,2.0060189732714804,2.1603826342529193,3.3899999999999997,3.43,3.1964639999999997,3.172990227254536,3.2437732751798976,3.154635829492119
