Date,Season,Bhikhi,Sardulgarh,Jhunir,Mansa,Budhlada,Bhikhi_Trend,Bhikhi_SMA,Bhikhi_EWMA,Bhikhi_DES,Bhikhi_TES,Bhikhi_ARIMA,Sardulgarh_Trend,Sardulgarh_SMA,Sardulgarh_EWMA,Sardulgarh_DES,Sardulgarh_TES,Sardulgarh_ARIMA,Jhunir_Trend,Jhunir_SMA,Jhunir_EWMA,Jhunir_DES,Jhunir_TES,Jhunir_ARIMA,Mansa_Trend,Mansa_SMA,Mansa_EWMA,Mansa_DES,Mansa_TES,Mansa_ARIMA,Budhlada_Trend,Budhlada_SMA,Budhlada_EWMA,Budhlada_DES,Budhlada_TES,Budhlada_ARIMA
1996-02-29,POMRB,2.62,2.33,2.625,1.3,3.895,,,2.62,2.4970453319254684,2.32656592880792,0.0,,,2.33,4.143750458171821,2.34,0.0,,,2.625,2.281764449218138,1.982259215048999,0.0,,,1.3,3.636364860335036,-2.9886872232874353,0.0,,,3.895,3.883369773113627,3.5513725852231515,0.0
1996-05-31,PREMON,2.8680000000000003,3.1,2.48,1.79,3.963333333333333,,,2.7192000000000003,2.6672752630125838,2.8017029783156087,2.619997840521024,,,2.638,4.018534067723104,3.1188365650969536,1.295122705449266e-05,,,2.567,2.330950581674068,2.5794531361071407,2.624997407060035,,,1.496,2.2725058697726324,2.6773254808023452,1.2996059456524391,,,3.922333333333333,3.8966090091257097,4.34169198214439,3.8949969919352316
1996-08-31,MONSOON,2.3839999999999995,4.29,1.945,1.85,4.208,2.82575,,2.58512,2.68237987614715,3.1405232463536636,2.754587544183176,3.165,,3.2988,4.09142585648443,4.316534250044123,1.6181292203910577e-05,2.211875,,2.3182,2.28175996195396,2.2361793553795684,2.540359698566196,1.79125,,1.6376,1.6722851697061516,14.761484234472782,1.5756448932661153,4.061166666666667,,4.0366,3.9928395825880405,4.691878680530929,3.9327274225864257
1996-11-30,POMKH,3.278,2.725,2.115,1.89,4.373333333333333,2.948,2.7875,2.862272,2.922903509929726,2.8772287023341265,2.5982829020458027,3.245625,3.1112499999999996,3.06928,3.896244862597654,2.7581276440545364,1.2897203454791062e-05,2.1775,2.2912500000000002,2.23692,2.2692696433592277,2.2891198563908386,2.283281032584531,1.9237499999999998,1.7074999999999998,1.7385599999999999,1.415786011790741,1.683935231601609,1.7016594765695494,4.095958333333333,4.109916666666667,4.171293333333333,4.134950556136104,3.973223162356735,4.037672218653967
1997-02-28,POMRB,2.926,2.76,1.99,1.97,3.5050000000000003,3.1031666666666666,2.864,2.8877632,3.036028807410489,3.0491706986195197,2.8045614220523327,3.0856250000000003,3.2187499999999996,2.9455679999999997,3.711302167548437,2.3644494049662965,2.329974493674728,2.243125,2.1325000000000003,2.138152,2.237681720733897,2.2614684962974225,2.3462329771100334,1.93875,1.8749999999999998,1.8311359999999999,1.3314335657488283,-2.254932995118999,1.7078224684786754,4.219125,4.012416666666667,3.9047759999999996,3.966704795979617,3.5472484774525164,4.093149913074111
1997-05-31,PREMON,3.54,3.315,2.84,2.18,4.631666666666667,3.0820833333333333,3.0319999999999996,3.14865792,3.2891441519523825,3.3661265018186466,2.948731734521853,2.89375,3.2724999999999995,3.0933408,3.626404905766879,3.1857678904507742,3.2578448843366328,2.25375,2.2225,2.4188912,2.3548460786404752,2.5692946912480377,2.220689141227645,1.9025000000000003,1.9725,1.9706816,1.3732478661762124,3.382230673165097,1.937606011457994,4.2443333333333335,4.179500000000001,4.195532266666667,4.188297673258574,4.184624603508709,3.9529681477731655
1997-08-31,MONSOON,2.953333333333333,2.795,2.11,1.58,4.525,2.9649166666666664,3.1743333333333332,3.0705280853333337,3.34592632571256,3.5460312747678753,2.9666720224591865,2.8550000000000004,2.8987499999999997,2.97400448,3.4621987211389365,4.400964314363378,4.3021082063584775,2.1475,2.26375,2.29533472,2.3296633928581976,2.2470980216548004,2.306713292192652,1.9725000000000001,1.9049999999999998,1.8144089600000002,1.1833116626166047,15.323893604505606,2.0526468441032875,4.259827380952381,4.258750000000001,4.32731936,4.348992001771603,4.773846775051649,4.2407595387575014
1997-11-30,POMKH,2.54,2.685,2.035,1.87,4.258,2.8554166666666663,2.989833333333333,2.8583168512,3.266960849725151,3.586966990983335,3.3195595929173947,2.7725,2.88875,2.858402688,3.292023421673534,2.661178829290538,2.0190229708206937,1.9031249999999997,2.24375,2.191200832,2.2958895016269674,2.3472411803092657,2.231142575124988,2.05375,1.8999999999999997,1.8366453760000003,1.2037311670422608,1.8696761294254074,1.8674333725957633,4.158636904761905,4.229916666666668,4.299591616,4.391251982733986,4.175217836097668,4.307413655131776
1998-02-28,POMRB,2.7266666666666666,2.49,1.22,2.55,3.7442857142857138,2.8316666666666666,2.9399999999999995,2.805656777386667,3.226588620002068,3.2693561182808555,2.8644341802088262,2.7993749999999995,2.82125,2.7110416128,3.105008578088954,2.4422753978093903,2.694433246890935,1.68875,2.05125,1.8027204991999999,2.1298729219919306,2.278757238039724,2.1515260556834965,2.1875,2.0449999999999995,2.1219872256,1.465869182283893,-2.1622906524582035,1.82998956316841,4.086077380952381,4.289738095238096,4.077469255314285,4.241292339077035,3.672560644068427,4.160815283082889
1998-05-31,PREMON,2.8633333333333333,2.925,1.655,2.25,3.5828571428571427,2.9958333333333336,2.770833333333333,2.8287273997653335,3.2121363080992396,3.546175545548879,3.054280110711511,2.914375,2.7237500000000003,2.7966249676799997,3.0071115598974836,3.0992765889743836,3.022920685489871,1.6125,1.755,1.7436322995199998,2.064273796303255,2.5679883862808035,2.138967871728132,2.4099999999999997,2.0624999999999996,2.17319233536,1.4869410007021093,3.695404248195473,2.2656703984392843,4.148976190476191,4.027535714285715,3.879624410331428,4.043389113836503,4.375255430883065,4.339409976961815
