Date,Season,Handwara,Kupwara,Handwara_SMA,Handwara_EWMA,Handwara_TES,Handwara_ARIMA,Kupwara_SMA,Kupwara_EWMA,Kupwara_TES,Kupwara_ARIMA
1996-02-29,POMRB,,,,,,,,,,
1996-05-31,PREMON,2.0224,3.397,,2.0224,2.0438906250000004,0.0,,3.397,4.603510800548695,0.0
1996-08-31,MONSOON,2.36625,5.195666666666667,,2.15994,2.4080406336565097,5.807150731852851e-13,,4.116466666666667,4.7103605092545076,3.0444565516463427
1996-11-30,POMKH,3.117375,5.260833333333332,,2.542914,3.178281457276648,-2.522310072924457e-14,,4.574213333333333,4.600598414438492,4.725386639533362
1997-02-28,POMRB,,,,,,,,,,
1997-05-31,PREMON,2.0224,3.397,2.38210625,2.3347084000000002,2.101247468968644,3.6745425197082273e-13,4.312625,4.103327999999999,4.554082355278151,4.759551350810535
1997-08-31,MONSOON,2.36625,5.195666666666667,2.4680687499999996,2.3473250400000003,2.115763631793281,1.8563998611616417,4.762291666666667,4.540263466666667,4.605825481270641,2.979457144251502
1997-11-30,POMKH,3.117375,5.260833333333332,2.655849999999999,2.655345024,2.4922823505613843,2.172026390167057,4.778583333333334,4.828491413333333,4.71277785663303,4.0961041215214475
1998-02-28,POMRB,,,,,,,,,,
1998-05-31,PREMON,2.0224,3.397,2.3821062499999996,2.4021670144,3.297648399036487,2.861498475666997,4.312625000000001,4.2558948480000005,4.603019350147903,4.883401189666391
1998-08-31,MONSOON,2.36625,5.195666666666667,2.4680687499999996,2.38780020864,2.153487617963684,1.8563998611617543,4.762291666666668,4.631803575466668,4.556396627176142,3.897963095974716
1998-11-30,POMKH,3.117375,5.260833333333332,2.655849999999999,2.6796301251839996,2.217500639465338,2.100999844681167,4.778583333333334,4.883415478613333,4.608242419825212,4.069380868393961
1999-02-28,POMRB,,,,,,,,,,
1999-05-31,PREMON,2.0224,3.397,2.3821062499999996,2.4167380751103997,2.6689110245326546,2.6264076715348015,4.312625000000001,4.288849287168,4.715198383518496,4.7037672819619525
1999-08-31,MONSOON,2.36625,5.195666666666667,2.4680687499999996,2.39654284506624,3.205073326945413,2.454975473092442,4.762291666666668,4.651576238967467,4.6053332132219555,3.974677201039335
1999-11-30,POMKH,3.117375,5.260833333333332,2.655849999999999,2.684875707039744,2.2394825969573464,2.100999844681167,4.778583333333334,4.895279076713813,4.558813156906783,4.187341603870205
2000-02-29,POMRB,,,,,,,,,,
2000-05-31,PREMON,2.0224,3.397,2.3821062499999996,2.4198854242238466,2.4116401004372743,2.6264076715348015,4.312625000000001,4.295967446028287,4.610662537886758,4.678081172270799
