Date,Season,Basna,Pithora,Mahasamund,Saraipali,Bagbahara,Basna_Trend,Basna_SMA,Basna_EWMA,Basna_DES,Basna_TES,Basna_ARIMA,Pithora_Trend,Pithora_SMA,Pithora_EWMA,Pithora_DES,Pithora_TES,Pithora_ARIMA,Mahasamund_Trend,Mahasamund_SMA,Mahasamund_EWMA,Mahasamund_DES,Mahasamund_TES,Mahasamund_ARIMA,Saraipali_Trend,Saraipali_SMA,Saraipali_EWMA,Saraipali_DES,Saraipali_TES,Saraipali_ARIMA,Bagbahara_Trend,Bagbahara_SMA,Bagbahara_EWMA,Bagbahara_DES,Bagbahara_TES,Bagbahara_ARIMA
1996-02-29,POMRB,5.87,5.895,5.673333333333335,3.16,5.401666666666667,,,5.87,8.745976524613699,6.09171875,0.0,,,5.895,5.226560044320236,5.904999999999999,0.0,,,5.673333333333335,11.332616058884216,6.471362875805177,0.0,,,3.16,7.112435049020183,3.105826005444926,0.0,,,5.401666666666667,3.28736997789751,5.784424081682573,0.0
1996-05-31,PREMON,7.5074999999999985,7.880000000000001,9.034285714285714,7.89,8.228333333333332,,,6.5249999999999995,10.305527749245098,7.9104016620498605,5.8699764934967895,,,6.689,5.4048869760582585,7.898836565096954,-1.4828738931140608e-09,,,7.017714285714287,14.86230848562156,9.366636547463132,2.7447572986443953,,,5.052,13.903377051675644,7.627695141402002,3.159975863859843,,,6.532333333333333,3.313779586599293,8.480803085453017,3.044400404556496
1996-08-31,MONSOON,1.2566666666666666,4.44,3.891666666666667,0.31,4.368,5.141041666666666,,4.417666666666666,8.382477110409276,1.8020987727738937,6.693736505586674,5.945,,5.7894000000000005,4.735269407192249,4.4665342500441225,1.1106215127580314e-09,6.105238095238096,,5.7672952380952385,12.765571188685337,2.947064663097944,4.546540705896577,3.32125,,3.1552,12.766467117860563,1.1987550429566536,6.384064593836795,5.7861666666666665,,5.6666,2.7675098156341478,2.778025671223785,4.766204088841307
1996-11-30,POMKH,5.705,5.375,5.073333333333333,1.91,4.698333333333333,5.252604166666667,5.084791666666666,4.9326,8.212409382332444,6.356859712862004,4.8494183571899505,5.9775,5.8975,5.62364,4.50189498332204,5.408127644054535,1.8582947100505694e-09,6.347678571428572,5.918154761904762,5.489710476190476,10.604455133328758,4.746728798002443,3.2885419835494423,3.5375,3.3175000000000003,2.65712,12.21427749961067,1.834137764903239,1.8313635488050428,5.875958333333333,5.674083333333333,5.279293333333333,2.5446245000946415,4.363359055220284,3.7237772386226755
1997-02-28,POMRB,6.32,6.275,7.170000000000003,3.19,6.298333333333333,5.52875,5.197291666666666,5.48756,8.106568481410978,6.560223386789134,5.543119018902129,5.89125,5.992500000000001,5.884184,4.631749819763629,5.933658931282085,5.388398443305614,6.282470238095238,6.292321428571428,6.161826285714287,9.609082729835356,6.508589587289287,5.373785091443354,3.84875,3.325,2.870272,12.018700090671054,2.996104892862667,2.811856087124614,5.611166666666667,5.898249999999999,5.686909333333333,2.814363180134885,6.104154032570518,5.186605663573688
1997-05-31,PREMON,7.95,7.76,9.477142857142855,9.59,8.05,5.860625,5.3079166666666655,6.472536,8.560932313089328,8.301493716860886,6.59347943605408,5.7575,5.9625,6.6345104,5.243728287318016,7.9673902665989,7.202812507824645,6.1014880952380945,6.403035714285714,7.487952914285714,9.999289965328677,9.603174838339507,8.940182442699719,3.90875,3.75,5.5581632,16.247086879872715,7.578547582280471,6.634829837419916,5.208875,5.853666666666666,6.632145600000001,3.541691995075126,8.927144797267031,8.171419780133643
1997-08-31,MONSOON,3.023333333333333,3.87,2.9271428571428566,1.1,2.428,5.847916666666666,5.749583333333332,5.092854933333333,6.7712787191661645,2.134201734124888,2.945821121208402,5.603125,5.82,5.52870624,4.73621698823916,4.516062569519977,4.058437504428195,5.821964285714285,6.161904761904762,5.663628891428571,6.4276693590409835,3.211779334999327,4.006817661042791,3.63875,3.9475000000000002,3.77489792,12.545808250803207,1.9079186741273597,2.754797557540834,4.841791666666667,5.368666666666666,4.95048736,3.008457411301498,3.087279206476386,4.20479725759102
1997-11-30,POMKH,6.593333333333334,4.875,4.589999999999999,1.6,3.42,5.659166666666667,5.971666666666666,5.6930462933333335,6.657238798375821,6.88983178962086,5.6243433834254795,5.3237499999999995,5.695,5.267223744000001,4.597977119776844,5.386400362955795,4.913085943001962,5.553749999999999,6.041071428571429,5.234177334857142,4.913376730515139,4.8435698535238245,4.1544141208561385,3.1399999999999997,3.87,2.904938752,9.5117678684957,2.57834653721746,2.299167518470237,4.653666666666667,5.049083333333333,4.338292416,2.8162308865887606,4.179002208347465,3.506215636728936
1998-02-28,POMRB,5.33,5.54,5.417142857142856,1.34,4.64,5.541666666666667,5.724166666666665,5.547827776,6.061418062841087,7.214323182562774,6.046577470089278,5.165,5.51125,5.376334246400001,4.699841376255074,5.850283745698181,5.811158508519512,5.579107142857143,5.602857142857142,5.307363543771428,4.535126849834978,6.526197870438312,6.0382695074723145,2.7475000000000005,3.4075,2.2789632512,6.815335924468354,3.2832805779684415,2.8981073475168047,4.941833333333333,4.6345,4.4589754496,2.97251519715693,5.679718360254927,5.287175359516479
1998-05-31,PREMON,7.43,6.26,9.084285714285716,7.45,8.203333333333333,4.961249999999999,5.594166666666665,6.3006966656,6.451741215698365,8.63746400853006,7.203095786403055,5.034375,5.13625,5.72980054784,5.032046269421424,7.796807047973147,7.465748576553338,5.593214285714285,5.504642857142858,6.818132411977144,6.722576430360355,9.378995674829861,8.559967561443628,2.44375,2.8725000000000005,4.34737795072,8.70059454200803,6.9391895228859415,6.912795286403988,5.135083333333333,4.672833333333333,5.956718603093333,4.016935799821567,8.231923866497876,7.466908135791957
