Date,Season,Guma,Rayagada,Kashinagara,Nuagada,R.udaygiri,Mohana,Parlakhemundi,Guma_Trend,Guma_SMA,Guma_EWMA,Guma_DES,Guma_TES,Guma_ARIMA,Rayagada_Trend,Rayagada_SMA,Rayagada_EWMA,Rayagada_DES,Rayagada_TES,Rayagada_ARIMA,Kashinagara_Trend,Kashinagara_SMA,Kashinagara_EWMA,Kashinagara_DES,Kashinagara_TES,Kashinagara_ARIMA,Nuagada_Trend,Nuagada_SMA,Nuagada_EWMA,Nuagada_DES,Nuagada_TES,Nuagada_ARIMA,R.udaygiri_Trend,R.udaygiri_SMA,R.udaygiri_EWMA,R.udaygiri_DES,R.udaygiri_TES,R.udaygiri_ARIMA,Mohana_Trend,Mohana_SMA,Mohana_EWMA,Mohana_DES,Mohana_TES,Mohana_ARIMA,Parlakhemundi_Trend,Parlakhemundi_SMA,Parlakhemundi_EWMA,Parlakhemundi_DES,Parlakhemundi_TES,Parlakhemundi_ARIMA
1996-02-29,POMRB,9.91,4.503333333333333,3.41,2.455,6.825,4.306666666666667,3.12,,,9.91,9.617914059378757,9.92,0.0,,,4.503333333333333,5.252333551302091,4.6008967598207215,0.0,,,3.41,3.9900300589959485,3.42,0.0,,,2.455,3.906902333356135,2.465,0.0,,,6.825,10.774089844256928,7.691596132135308,0.0,,,4.306666666666667,8.586968227849455,5.2163113658338585,0.0,,,3.12,3.1180735634651056,3.865278216378675,0.0
1996-05-31,PREMON,11.07,5.603333333333333,5.53,5.355,9.33,6.8500000000000005,5.2025,,,10.373999999999999,9.60862151767042,11.089445983379502,-1.3420771579771234e-07,,,4.9433333333333325,5.237134485483553,5.327504293048046,2.15914585993147,,,4.258,3.9429280643487856,5.548171745152354,-1.5280794374188514e-07,,,3.615,7.053782775139111,5.374445983379502,6.088859324079659e-12,,,7.827,12.92131555098582,9.641012727485366,6.824985252748772,,,5.324,11.253758329683787,6.9235323768357695,4.306657363349117,,,3.953,3.1255356617682537,5.5057889052647475,3.1199950390847313
1996-08-31,MONSOON,9.27,3.65,3.87,1.465,6.58,3.41,3.6925,10.063749999999999,,9.9324,9.589353725882836,9.298340942749059,-6.649427211125968e-08,4.549166666666666,,4.425999999999999,5.221979394054579,4.455227638938373,2.1442462162545377,4.2612499999999995,,4.1028,3.630523870783809,3.8946001795566323,-3.9300932023810135e-07,3.0450000000000004,,2.755,7.1485572187250686,1.4933409427490587,2.100096967929344e-11,7.70125,,7.328200000000001,11.896004592430323,6.854271636581682,8.08482393990883,4.794166666666667,,4.5584,9.983093519536315,3.1498468320579116,5.911102404214551,3.8787499999999997,,3.8487999999999998,2.8366644236419,2.248731763963499,4.414007586017176
1996-11-30,POMKH,9.8,4.083333333333333,3.63,2.305,7.215,4.015,3.09,10.05875,10.0125,9.87944,9.573188991579649,9.836689239595707,-1.7187054263427936e-07,4.6850000000000005,4.46,4.288933333333333,5.2068681599530136,4.136993189328321,1.0291306794375676,4.1725,4.11,3.91368,3.3538689364372303,3.6594002971269672,-5.625960554838792e-07,3.10125,2.895,2.575,7.039325709828943,2.341689239595705,2.501646081790183e-11,7.8656250000000005,7.4875,7.282920000000001,10.713967314211532,6.060815884564104,7.573467611679013,4.911666666666667,4.645416666666667,4.34104,8.3852212382859,3.4994354884669043,4.169901070245652,3.9549999999999996,3.77625,3.54528,2.5316837406448096,2.743715105319613,3.6461497947050834
1997-02-28,POMRB,10.32,5.216666666666668,4.62,3.655,8.535,5.496666666666667,3.94,9.865,10.114999999999998,10.055664,9.560065353147898,9.952391256997252,9.56140597252978,4.830416666666666,4.638333333333334,4.660026666666667,5.19180065925415,4.600896759810885,2.17809481617657,3.6712499999999997,4.4125000000000005,4.1962079999999995,3.347067681221912,3.440604266842311,3.1789385943519552,2.92625,3.195,3.007,7.154863723581316,2.493707046470934,2.33621230669386,7.774375,7.915,7.783752,10.193905914401178,7.657979555457002,7.099469683931236,4.880208333333333,4.942916666666667,4.803290666666667,7.555651883411477,5.182448321503053,4.299216918787943,3.766770833333333,3.98125,3.703168,2.607448390854291,3.9823034119254377,3.1716167205968153
1997-05-31,PREMON,10.62,5.976666666666668,3.61,4.605,8.935,6.6000000000000005,4.9925,9.71875,10.002499999999998,10.2813984,9.548743796625388,11.140507057433508,10.680601829807102,4.9837500000000015,4.731666666666667,5.186682666666668,5.176776763809244,5.327504293048516,2.2138077723132956,3.2725,3.9325,3.9617247999999994,3.180789331531014,5.782458881136784,5.155287543712469,2.860625,3.0074999999999994,3.6462000000000003,7.342416554777094,5.462314172173265,5.095892831911422,7.7543750000000005,7.81625,8.2442512,9.83569400966548,9.804289440331205,8.686454498266993,4.932916666666667,4.880416666666667,5.521974400000001,7.370037015454647,7.089437235133274,6.768746898300888,3.6051041666666666,3.92875,4.2189008,3.065210821517049,5.733761256876825,5.1991835028781095
1997-08-31,MONSOON,8.17,4.44,1.78,0.8150000000000001,6.245,3.408333333333333,2.3966666666666665,9.68125,9.7275,9.43683904,9.523806350947373,9.320554078254897,8.94391860383676,5.067916666666667,4.929166666666668,4.888009600000001,5.161796337628625,4.455227638944238,2.7726534352208083,2.8425000000000002,3.41,3.08903488,2.7078296595405456,3.761279281225822,3.6077690274782412,2.915625,2.8449999999999993,2.51372,5.189332555812567,1.5326229999741012,1.3941144722230236,7.654375000000001,7.7325,7.4445507200000005,7.92353924279582,6.954506428585361,7.136254866717923,5.073125,4.88,4.676517973333334,5.3148845385397605,3.24786464889286,3.726036059862243,3.6841666666666666,3.6047916666666664,3.4900071466666667,2.7308025534071336,2.4075810310545345,3.684990230424207
1997-11-30,POMKH,9.73,4.5200000000000005,2.53,2.43,7.39,4.4383333333333335,3.0925,9.646249999999998,9.71,9.554103424000001,9.507754924799197,9.794368685995625,9.455275332241053,5.135833333333333,5.038333333333335,4.740805760000001,5.146859261824307,4.136993189345601,1.23612110410146,2.6565624999999997,3.1350000000000007,2.865420928,2.467832258692345,3.141233963152178,3.384031413232212,3.004375,2.8762499999999993,2.480232,4.10205715890111,2.3386126082156538,2.193470210561894,7.62625,7.77625,7.422730432,7.2411726284974005,6.1119029390960975,7.407162216032617,5.0875,4.985833333333333,4.581244117333334,4.475280927409644,3.5811820727600088,3.9327122920230053,3.8132291666666664,3.6054166666666667,3.331004288,2.6819978532705395,2.672978764968791,2.6661911431614005
1998-02-28,POMRB,10.09,5.453333333333332,2.28,3.97,7.56,6.195,4.57,9.734375,9.652500000000002,9.7684620544,9.493846754098929,9.989940277129033,9.934006396712775,5.123749999999999,5.097500000000001,5.025816789333334,5.13196541459325,4.600896759834474,2.442760536339731,2.765625,2.5500000000000007,2.6312525568,2.239461135927342,2.9956617328868664,4.018965773452549,3.1718750000000004,2.9549999999999996,3.0761392,3.9720435045809968,3.190047250360866,3.1450323556178468,7.944375,7.5325,7.4776382592,6.9910771830299625,7.723059151618921,7.692229522461591,5.117083333333333,5.160416666666666,5.2267464704,5.025232192539344,5.319951200372996,5.010989944155776,3.908645833333334,3.762916666666667,3.8266025728,3.1337545901375092,3.923125613397602,3.5500790716959543
1998-05-31,PREMON,10.57,6.283333333333332,4.4625,5.0,9.685,6.016666666666668,5.3950000000000005,8.964999999999998,9.640000000000002,10.089077232640001,9.482750276322781,10.972472691652625,10.649197173099086,5.070833333333333,5.174166666666666,5.528823406933333,5.117114670400352,5.327504293075525,2.2436204755902427,2.6193750000000002,2.763125000000001,3.36375153408,2.502220253459321,4.196006843091217,4.060378718320959,3.249375,3.05375,3.8456835199999997,4.400579735387233,4.967967533469237,4.698912173051169,7.963749999999999,7.719999999999999,8.36058295552,8.228097156555222,9.751920799466543,8.73397513931985,5.131875000000001,5.014583333333333,5.542714548906668,5.444380167005186,7.318482974241746,6.94236100794169,3.9090625,3.8635416666666673,4.45396154368,3.842897661534604,5.783353098844215,5.295973548930132
