Date,Season,Kumargram,Mal,Nagrakata,Rajganj,Maynaguri,Dhupguri,Kalchini,Jalpaiguri,Matiali,Falakata,Madarihat,Alipurduar-ii,Kumargram_Trend,Kumargram_SMA,Kumargram_EWMA,Kumargram_DES,Kumargram_TES,Kumargram_ARIMA,Mal_Trend,Mal_SMA,Mal_EWMA,Mal_DES,Mal_TES,Mal_ARIMA,Nagrakata_Trend,Nagrakata_SMA,Nagrakata_EWMA,Nagrakata_DES,Nagrakata_TES,Nagrakata_ARIMA,Rajganj_Trend,Rajganj_SMA,Rajganj_EWMA,Rajganj_DES,Rajganj_TES,Rajganj_ARIMA,Maynaguri_Trend,Maynaguri_SMA,Maynaguri_EWMA,Maynaguri_DES,Maynaguri_TES,Maynaguri_ARIMA,Dhupguri_Trend,Dhupguri_SMA,Dhupguri_EWMA,Dhupguri_DES,Dhupguri_TES,Dhupguri_ARIMA,Kalchini_Trend,Kalchini_SMA,Kalchini_EWMA,Kalchini_DES,Kalchini_TES,Kalchini_ARIMA,Jalpaiguri_Trend,Jalpaiguri_SMA,Jalpaiguri_EWMA,Jalpaiguri_DES,Jalpaiguri_TES,Jalpaiguri_ARIMA,Matiali_Trend,Matiali_SMA,Matiali_EWMA,Matiali_DES,Matiali_TES,Matiali_ARIMA,Falakata_Trend,Falakata_SMA,Falakata_EWMA,Falakata_DES,Falakata_TES,Falakata_ARIMA,Madarihat_Trend,Madarihat_SMA,Madarihat_EWMA,Madarihat_DES,Madarihat_TES,Madarihat_ARIMA,Alipurduar-ii_Trend,Alipurduar-ii_SMA,Alipurduar-ii_EWMA,Alipurduar-ii_DES,Alipurduar-ii_TES,Alipurduar-ii_ARIMA
1996-02-29,POMRB,3.155,6.94,9.62,4.203333333333334,4.965,4.46,7.672500000000001,2.3833333333333333,3.43,4.08,3.15,3.46,,,3.155,2.9767774221671464,3.139267471177374,0.0,,,6.94,6.928468702285488,6.91212236466721,0.0,,,9.62,9.02821707766192,9.734022106294207,0.0,,,4.203333333333334,2.393808270978268,4.310770833333334,0.0,,,4.965,4.789081815178663,5.277890929458166,0.0,,,4.46,4.217026029281246,4.580003419869578,0.0,,,7.672500000000001,7.9970702704931265,7.670430304970701,0.0,,,2.3833333333333333,3.544887241712945,2.736394716459586,0.0,,,3.43,6.111018890717095,3.4450000000000003,0.0,,,4.08,4.227132956388704,4.229341238819857,0.0,,,3.15,3.562394828252533,3.21875,0.0,,,3.46,2.929022904486276,3.3533899522077975,0.0
1996-05-31,PREMON,2.73,7.666666666666668,10.06,5.6750000000000025,5.355,4.633333333333333,8.206666666666667,3.045,4.97,3.87,3.37,2.52,,,2.985,2.841780364264274,3.050154989934955,-4.273807526752265e-08,,,7.230666666666667,7.231324491652811,7.577432575570567,6.939987979647369,,,9.796,9.197959854548682,9.55753675633418,1.2490486056614642e-05,,,4.792000000000002,2.9637864567584544,5.870232686980612,5.6335288014475664e-11,,,5.121,4.876996242996745,5.399465127747697,4.964996950753996,,,4.529333333333333,4.234875245508537,4.541624555335217,4.459996471289047,,,7.886166666666668,7.988852789378152,8.998619629661555,3.9200684910213015,,,2.6479999999999997,4.174036973075505,3.4731804736092324,1.1602459946672894e-07,,,4.045999999999999,7.698643452163337,4.999168975069252,-3.5819554024379317e-07,,,3.996,4.142212766910801,4.2471251286505565,4.079998866168759,,,3.238,3.7674677941608805,3.4995013850415515,-5.457530841953872e-10,,,3.084,2.676889176750365,3.0074163959822435,3.814418224762401e-07
1996-08-31,MONSOON,1.51,6.329999999999999,3.54,1.7400000000000002,3.765,2.546666666666667,4.547499999999999,1.235,1.28,3.665,1.8,0.77,2.5075000000000003,,2.395,2.516076115138154,1.5669005139929828,-1.2630858886566215e-08,6.7700000000000005,,6.8704,6.676602927230314,6.78631874681984,7.37764474859184,7.7075000000000005,,7.2936,7.616070491063025,3.7355265609239927,1.9119528079329188e-05,3.913416666666667,,3.571200000000001,2.7358089859167807,2.0042981791115784,2.680126626568686e-10,4.873749999999999,,4.5786,4.579578350916804,3.2653318864053387,5.214869564424609,3.940416666666667,,3.7362666666666664,3.80791244169947,2.722263586616678,4.554496268125025,6.910416666666666,,6.550700000000001,7.953210713784568,3.4041129549475384,4.610799385991988,2.254583333333333,,2.0827999999999998,3.7192620024480436,0.9799299062652294,1.6132296724637886e-07,3.09375,,2.9395999999999995,6.399383815418724,1.3225114141235874,-5.190180651066227e-07,3.97,,3.8636,4.0319999413825895,3.2611034730971014,3.9611113983068336,2.895,,2.6628,3.639246899756963,1.982422969053338,3.214787254175139e-08,2.5481249999999998,,2.1584000000000003,2.1115355183940405,1.521912692750083,7.282682219866116e-07
1996-11-30,POMKH,2.61,6.223333333333333,7.4,3.6399999999999992,4.82,3.996666666666668,6.51,2.085,2.6,4.21,3.05,3.305,2.5949999999999998,2.5012499999999998,2.481,2.4218328225137538,2.6224911454096156,-6.4486134520837776e-09,6.762916666666667,6.79,6.611573333333332,6.361806078376146,6.028048615276434,6.82497743305271,7.6,7.654999999999999,7.33616,7.268039817356143,8.103924853970465,1.3015904808395742e-05,4.106000000000001,3.814583333333334,3.59872,2.8950888649024598,3.955869442257867,3.46798059295756e-10,5.0562499999999995,4.72625,4.67516,4.56875067302458,4.47215369715432,4.411108692557186,4.022916666666667,3.909166666666667,3.840426666666667,3.7424776097388035,3.774183007498158,3.6980404232747635,7.217499999999999,6.734166666666667,6.534420000000001,7.9324541113618725,5.105296962118505,3.947856435927477,2.5241666666666664,2.1870833333333333,2.08368,3.5094609489068267,1.7933484665412687,3.706124807859024e-08,3.10125,3.07,2.8037599999999996,5.514953417526761,2.6550338593935576,2.318458380424111e-08,4.0375,3.95625,4.00216,4.061037372045976,3.9430656834694493,3.8232641965401557,3.0250000000000004,2.8425000000000002,2.8176799999999997,3.71828724655318,3.2777525528749267,3.5625519616112807e-08,2.745,2.51375,2.6170400000000003,2.185955841564699,2.5046322701084525,7.721782890519953e-07
1997-02-28,POMRB,3.205,6.78,10.04,4.994,6.145,4.71,9.0825,2.9233333333333333,3.62,4.19,3.57,3.735,2.6643749999999997,2.51375,2.7706,2.4552126888324,3.1677962801821504,3.064955660277488,6.89,6.749999999999999,6.6789439999999995,6.504654568794503,6.834115656545308,6.510683345987571,7.40125,7.76,8.417696,7.730987395062001,9.50104562844177,9.62001297571352,4.175791666666667,4.012250000000001,4.156832,3.3257278441371345,4.537792530483586,4.052015529194756,5.046250000000001,5.02125,5.263096,4.8969250870668874,5.437403974018352,4.926046442487245,4.05625,3.9716666666666667,4.188256,3.856266575966545,4.588210594809228,4.027892551785448,7.310208333333334,7.086666666666666,7.5536520000000005,7.931142519499263,8.742823882205467,6.513975939409144,2.705208333333333,2.3220833333333335,2.419541333333333,3.5815757255911986,2.7051129782722088,2.3833331459485696,3.0625,3.1174999999999997,3.130256,5.065507552213253,3.4912184644432425,3.4299993525977976,4.208125000000001,3.98375,4.0772960000000005,4.0796080377219575,4.27867261233287,4.006440400242685,3.09125,2.9475000000000002,3.118608,3.8703148853110214,3.4121686065116954,2.7969319437093207,2.9206250000000002,2.5824999999999996,3.0642240000000003,2.3804706955395134,3.3132605732837983,3.3653294713630966
1997-05-31,PREMON,3.38,7.77,8.78,6.4250000000000025,5.635,5.043333333333334,9.253333333333334,4.661666666666666,4.84,4.3,3.99,3.82,2.7243749999999998,2.6762499999999996,3.01436,2.532439082398628,3.0786876408064314,2.6520852459198405,7.016666666666666,6.775833333333332,7.115366399999999,7.087090504398357,7.454985031285265,6.793207629306592,7.576249999999999,7.4399999999999995,8.5626176,7.856833933613762,9.867585709239409,10.278626621653634,4.198083333333334,4.19975,5.064099200000001,4.04547810447328,6.164430844117119,5.4707029646716805,4.82625,5.09125,5.411857599999999,5.0858562200958115,5.89107692802456,5.736551814260872,4.090833333333334,4.074166666666667,4.5302869333333335,4.052266552363307,4.621671744332417,4.41168832832451,7.481770833333333,7.348333333333332,8.233524533333334,7.931186817114779,10.258328562866277,7.537655882829386,2.7066666666666666,2.72625,3.3163914666666665,4.353249184580892,3.520668475092155,3.1395221034281633,3.085,3.085,3.8141536,5.208009925053837,5.047740466599304,4.9205888800326525,4.47375,4.09125,4.166377600000001,4.11753639632761,4.317187826433532,4.054992120128027,3.0987500000000003,3.1025,3.4671648,4.077022412583158,3.7093422480154077,2.992273223439708,2.9812499999999997,2.9074999999999998,3.3665344,2.603823888162553,3.032032981614441,2.451049221147969
1997-08-31,MONSOON,1.415,7.243333333333332,3.23,1.5483333333333331,3.405,2.4033333333333338,4.2425,1.0666666666666669,1.1,4.6,1.71,0.875,2.823125,2.6524999999999994,2.3746159999999996,2.268977182883922,1.5955446821160666,1.4669042933443244,7.079166666666667,7.004166666666666,7.166553173333332,7.0849431880726135,6.786245737831762,7.021970253418195,7.829999999999999,7.362499999999999,6.429570559999999,6.512548361585367,3.1418101490975596,2.8461186944754697,4.234458333333334,4.151833333333332,3.6577928533333335,3.7367742548738163,2.362965735217677,1.6773609090007042,4.5225,5.00125,4.60911456,4.7124190460031965,3.6880785089560835,4.065196398168935,4.129583333333334,4.038333333333333,3.6795054933333335,3.663809169564105,2.9003443467415044,3.5241786421910266,7.551145833333334,7.272083333333331,6.6371147200000005,7.893631907501434,4.545618899991191,4.87482092743332,2.6770833333333335,2.6841666666666666,2.416501546666667,3.4023037185465475,1.2437801459994704,1.5150949206271305,3.15625,3.04,2.72849216,3.4483408299411797,1.3562798393437858,1.3024777148612365,4.765,4.324999999999999,4.3398265600000006,4.210984471885545,3.4541618163985284,4.130034403784562,3.115,3.08,2.76429888,3.8259228485274686,2.232966855863615,1.5982468278780089,3.045,2.93375,2.36992064,2.16951122961272,1.8085674627438784,0.7489317308728626
1997-11-30,POMKH,3.185,6.323333333333332,9.11,4.01,3.42,4.416666666666667,8.1875,2.265,2.96,5.4,3.2,3.685,2.9487500000000004,2.7962499999999997,2.6987695999999994,2.3473174127711607,2.6511131326279167,2.535510071419731,7.122083333333333,7.029166666666666,6.829265237333333,6.604722645261387,6.5230471015278635,7.1125636369238405,7.949999999999999,7.789999999999999,7.5017423359999995,6.9284259547040135,7.341646098080041,7.214928518907966,4.103458333333334,4.244333333333332,3.798675712,3.911334212618984,4.209184810923321,3.5089619015765408,4.309375,4.651249999999999,4.133468736,4.36961048426476,4.640169793260549,4.490869189191656,4.077083333333334,4.143333333333333,3.9743699626666666,3.7526828217295622,3.856767169828722,3.896795129470721,7.554166666666666,7.6914583333333315,7.257268832,7.885869546264425,5.4442329388860395,5.2690405681689185,2.509583333333333,2.729166666666667,2.3559009280000005,3.018837853362472,1.9976081657799827,2.021034909943565,3.1900000000000004,3.1300000000000003,2.821095296,2.9919888120161926,2.671856694780322,2.6740467735556828,5.0575,4.622499999999999,4.763895936000001,4.4541342055137765,4.389655940544498,4.401958209765078,3.1075,3.1174999999999997,2.9385793280000003,3.83481722429734,3.4866043320828117,2.7081404559564906,3.02875,3.02875,2.895952384,2.4130565426437274,2.7539645511536066,3.2145704975944036
1998-02-28,POMRB,3.42,7.1800000000000015,10.36,4.915,5.115,4.6000000000000005,7.960000000000001,2.5066666666666664,3.83,5.33,3.55,3.865,3.09484375,2.8499999999999996,2.98726176,2.475337395146712,3.1965163242839956,3.1338635291250814,7.200208333333333,7.129166666666666,6.9695591424000005,6.826530877682543,7.11502268957917,6.824929964803075,8.049375000000001,7.869999999999999,8.645045401600001,7.708935150381622,10.226113197551644,10.905892023332655,3.9847812499999997,4.224583333333332,4.2452054272,4.251071521629478,4.924033225106181,4.436567164243094,4.22359375,4.39375,4.5260812416,4.4734207625544125,5.095138001678965,5.106036518693898,4.042083333333334,4.115833333333333,4.2246219776,3.8886347766181344,4.771045698019811,4.523690736369876,7.688333333333334,7.410833333333332,7.5383612992,7.876480505794991,9.824440032077174,8.272926088310594,2.395677083333333,2.625,2.416207223466667,2.786316447623696,2.9060276900609607,2.7564549922870922,3.2065625,3.1825,3.2246571776,3.1364314970089495,3.593694258807504,3.471306833380328,5.1567187500000005,4.907499999999998,4.9903375616000005,4.630318946095617,4.979296449889752,4.857738510987612,3.13,3.1125,3.1831475968,3.8921638784132284,3.6310076411243113,3.1605312093223494,3.0382812500000003,3.0612500000000002,3.2835714304000003,2.6987974570687094,3.5894396290417925,3.5754746789311613
1998-05-31,PREMON,4.17,7.713333333333334,9.42,5.456,4.96,4.733333333333333,10.4,3.7383333333333333,4.9,5.5,3.95,3.56,3.1078125,3.0474999999999994,3.4603570560000003,2.7436352519980813,3.1074411355046374,3.012116634680119,7.294375000000001,7.114999999999999,7.267068818773334,7.207994472679393,7.800441137931481,7.20114891511553,7.961874999999999,8.03,8.95502724096,8.192460353332985,9.60749285836674,9.119061282898539,3.872229166666667,3.982333333333331,4.72952325632,4.678320294488178,6.4273179791583335,5.873039101241042,4.3678125,4.225,4.699648744959999,4.5443469039254065,5.325000534934848,5.235655052195394,3.9683333333333337,4.038333333333333,4.428106519893333,4.054181470849983,4.717501465094872,4.73743326869544,7.559166666666666,7.697499999999999,8.683016779519999,7.885520193348484,10.117027216587605,7.728730767790914,2.3446874999999996,2.394166666666667,2.9450576674133337,3.1130514521203794,3.6364295392272377,4.024543758956494,3.146875,3.1975000000000007,3.89479430656,3.8722870268742584,5.032061032046092,4.797740021170537,5.0571875,5.207499999999998,5.194202536960001,4.804810151994429,5.167952689215197,5.011247105939686,3.11125,3.1024999999999996,3.48988855808,4.008106901013413,3.902746748522221,3.461638227767684,3.0165625,2.9962500000000003,3.3941428582400004,2.9050860213508427,3.278178328820739,3.3188630597540714
