Date,Season,Baghmara,Baghmara_Trend,Baghmara_SMA,Baghmara_EWMA,Baghmara_DES,Baghmara_TES,Baghmara_ARIMA
1996-02-29,POMRB,5.035,,,5.035,4.047142005263204,4.992513939966285,0.0
1996-05-31,PREMON,5.72,,,5.308999999999999,4.05546727115181,5.352340184474169,5.0349972983516285
1996-08-31,MONSOON,3.88,4.6831249999999995,,4.737399999999999,4.063809660024929,3.775789729219003,5.48023159250454
1996-11-30,POMKH,4.18,4.6075,4.703749999999999,4.51444,4.072169210218865,4.307934288493317,4.509115973445519
1997-02-28,POMRB,4.87,4.426874999999999,4.6625,4.656664,4.080545957603011,5.067498059794947,4.758946668764075
1997-05-31,PREMON,5.279999999999999,4.225,4.5525,4.9059984,4.088939937145882,5.49190760775543,5.320960031531989
1997-08-31,MONSOON,2.875,4.1025,4.3012500000000005,4.09359904,4.097351180200197,3.75667082200528,4.1882941541051535
1997-11-30,POMKH,3.57,4.0249999999999995,4.148750000000001,3.884159424,4.105779726787869,4.083686173643041,3.8646964061663027
1998-02-28,POMRB,4.5,4.128125000000001,4.05625,4.1304956544,4.114225612845352,4.7693690463224225,4.556835471433586
1998-05-31,PREMON,5.03,4.369375000000001,3.993750000000001,4.49029739264,4.12268887345927,5.179578851368454,5.091039284515876
1998-08-31,MONSOON,3.95,4.52125,4.262500000000001,4.274178435584,4.131169542028212,3.2519584931497967,3.536343417260654
1998-11-30,POMKH,4.425000000000002,4.5875,4.476250000000001,4.334507061350401,4.1396676566236685,3.906462900037838,4.127385886284806
1999-02-28,POMRB,4.859999999999999,4.546250000000001,4.566250000000001,4.54470423681024,4.148183253075163,4.807295415330322,4.780463869406571
1999-05-31,PREMON,5.2,4.443125,4.608750000000001,4.8068225420861435,4.15671636720591,5.297704914715962,5.069632928114779
1999-08-31,MONSOON,3.45,4.555625,4.483750000000001,4.2640935252516865,4.165267032010644,3.6315241656991883,3.8089917795551935
1999-11-30,POMKH,4.1,4.57625,4.402500000000001,4.198456115151012,4.17383528708368,4.111302744333038,4.04495776797704
2000-02-29,POMRB,6.085,4.532500000000001,4.708750000000001,4.953073669090607,4.182421170551505,4.7995615861711025,4.622919047233461
2000-05-31,PREMON,4.14,4.699999999999999,4.443750000000001,4.627844201454364,4.191024712959904,5.4142450843095915,5.534256827133784
2000-08-31,MONSOON,4.16,4.675624999999999,4.621250000000002,4.440706520872618,4.1996459534931025,3.5612368829277785,3.5728962639183166
2000-11-30,POMKH,4.73,4.788749999999999,4.778750000000002,4.556423912523572,4.208284929357497,4.199313363730078,4.425091382788613
2001-02-28,POMRB,5.26,4.833125000000001,4.572500000000002,4.837854347514144,4.216941676977727,5.351112585092959,5.438803162107181
2001-05-31,PREMON,5.87,4.54890625,5.005000000000002,5.250712608508486,4.2256162330279325,5.008650926407466,4.6020457709264155
2001-08-31,MONSOON,2.785,4.2740625,4.661250000000002,4.264427565105092,4.2343086287661045,4.011072117154462,4.521865434409237
2001-11-30,POMKH,3.83125,3.7346875,4.436562500000002,4.091156539063055,4.243018906899577,4.377956256009058,3.9992593324856447
2002-02-28,POMRB,3.96,3.3090625,4.111562500000002,4.038693923437833,4.2517471028789915,5.195142888263112,5.112679126960934
2002-05-31,PREMON,2.855,3.1820312499999996,3.3578125000000014,3.5652163540626995,4.26049325176786,4.981236127379967,4.389416170764174
2002-08-31,MONSOON,2.395,3.073125,3.2603125000000013,3.0971298124376196,4.269257391434885,2.9468177756418563,2.8585515541995203
2002-11-30,POMKH,3.205,3.229375,3.1037500000000007,3.1402778874625716,4.278039560735871,3.610187220425304,3.76703566382975
2003-02-28,POMRB,3.715,3.4656249999999997,3.0425000000000004,3.370166732477543,4.286839796322633,4.240269967815235,4.0634911837102585
2003-05-31,PREMON,4.35,3.525625,3.4162500000000007,3.7621000394865254,4.295658135540642,3.856559089242067,3.922660866889589
2003-08-31,MONSOON,2.79,3.3837499999999996,3.5150000000000006,3.3732600236919152,4.304494612437228,2.654506637849403,3.022850101284353
2003-11-30,POMKH,3.29,3.280625,3.5362500000000003,3.339956014215149,4.3133492673196105,3.456319321469189,3.5824870680595122
2004-02-29,POMRB,2.495,3.4562500000000003,3.23125,3.0019736085290893,4.3222221356973245,4.083198733257783,3.7588052063499457
2004-05-31,PREMON,4.745,3.7350000000000003,3.3300000000000005,3.6991841651174537,4.331113259466457,3.859064382525658,3.2253184892145192
2004-08-31,MONSOON,3.8,4.071875,3.5825000000000005,3.739510499070472,4.340022671531797,2.6035534040297854,3.354818869243777
2004-11-30,POMKH,4.51,4.2056249999999995,3.887500000000001,4.047706299442283,4.34895041192123,3.4606087097334726,3.7811463392847986
2005-02-28,POMRB,3.97,4.16625,4.2562500000000005,4.01662377966537,4.357896516519012,3.8279442878366616,3.730159714286257
2005-05-31,PREMON,4.34,4.1625,4.155,4.145974267799222,4.366861024425418,4.5838934663985755,4.714439433739316
2005-08-31,MONSOON,3.89,4.325,4.1775,4.043584560679533,4.375843972304484,3.2662847472895375,3.5068289811710662
2005-11-30,POMKH,4.39,4.59875,4.147500000000001,4.18215073640772,4.3848453994705245,4.000514839520187,4.14650381698887
2006-02-28,POMRB,5.39,4.78375,4.502500000000001,4.665290441844632,4.393865344664106,4.004939185181813,3.6754945835489288
2006-05-31,PREMON,5.11,4.76625,4.695000000000001,4.843174265106779,4.402903844116072,4.815904974240352,5.179086620432307
2006-08-31,MONSOON,4.6,4.470625,4.8725000000000005,4.745904559064067,4.41196093565926,3.832534433350076,4.2202947354849085
2006-11-30,POMKH,3.54,3.97375,4.66,4.26354273543844,4.421036656738818,4.5162426342729125,4.66787016338347
2007-02-28,POMRB,3.875,3.6059375000000005,4.28125,4.108125641263064,4.430131047706363,4.6316918587583435,4.305397684029347
2007-05-31,PREMON,2.65,3.6868750000000006,3.66625,3.5248753847578387,4.439244144697804,4.821017771999281,4.355475201862085
2007-08-31,MONSOON,4.1175000000000015,4.03375,3.545625,3.761925230854704,4.448375990109605,3.6409185557117407,3.5055964431269713
2007-11-30,POMKH,4.67,4.393125,3.828125,4.125155138512822,4.457526621177519,3.7614897492420036,3.945650503319127
2008-02-29,POMRB,5.52,4.6084375,4.239375,4.683093083107693,4.466696076977751,4.201811911873646,4.738602767485733
2008-05-31,PREMON,3.88,4.671875,4.546875,4.361855849864615,4.475884392611843,4.2519266218416085,4.2968727132845626
2008-08-31,MONSOON,4.61,4.645625,4.67,4.4611135099187695,4.485091610323507,4.113415000807109,4.316743102151163
2008-11-30,POMKH,4.6850000000000005,4.46375,4.67375,4.550668105951262,4.494317768042808,4.366326461969005,4.299882360354646
2009-02-28,POMRB,5.295,4.155,4.617500000000001,4.848400863570757,4.503562905508961,4.848509186268877,4.843598194938017
2009-05-31,PREMON,2.65,4.003125,4.3100000000000005,3.969040518142454,4.5128270570295195,4.27175164315104,3.8231317415876287
2009-08-31,MONSOON,3.37,4.032500000000001,4.000000000000001,3.7294243108854728,4.522110266612888,4.222069204954332,4.014548434971116
2009-11-30,POMKH,4.71,4.332583333333334,4.006250000000001,4.1216545865312835,4.53141257436478,4.236271000535477,4.197257147990582
2010-02-28,POMRB,5.505000000000001,4.720166666666667,4.058750000000002,4.67499275191877,4.540734018778656,4.778110278110325,5.164682727642146
2010-05-31,PREMON,4.8406666666666665,4.748916666666667,4.606416666666669,4.741262317817929,4.550074637097054,3.619351122277022,3.634141111025589
2010-08-31,MONSOON,4.28,4.579541666666667,4.833916666666669,4.556757390690757,4.55943446891286,4.191288143782248,4.554369484753053
2010-11-30,POMKH,4.03,4.511333333333334,4.663916666666669,4.346054434414454,4.568813554201533,4.732549922160797,4.703426360124891
2011-02-28,POMRB,4.83,4.49625,4.495166666666668,4.539632660648673,4.578211934096291,5.188701589675539,4.916496238779776
