Date,Season,Baghmara,Baghmara_Trend,Baghmara_SMA,Baghmara_EWMA,Baghmara_DES,Baghmara_TES,Baghmara_ARIMA
2011-05-31,PREMON,4.97,4.447500000000001,4.527500000000001,4.711779596389204,4.587629647327383,4.029103695796614,3.846864456581539
2011-08-31,MONSOON,4.03,4.42,4.465000000000001,4.439067757833522,4.597066732093753,4.2226911831131595,4.372784400734469
2011-11-30,POMKH,3.89,4.41375,4.430000000000001,4.219440654700113,4.606523229407795,4.4878808859435155,4.361706927625806
2012-02-29,POMRB,4.75,4.419583333333334,4.41,4.431664392820068,4.615999180657221,5.061580740425064,4.7648586476722805
2012-05-31,PREMON,5.0,4.4504166666666665,4.4175,4.65899863569204,4.62549462497277,4.298375896261274,4.695315628074292
2012-08-31,MONSOON,4.046666666666667,4.466666666666667,4.421666666666667,4.414065848081891,4.63500960070254,4.1189730736447565,4.284841064794423
2012-11-30,POMKH,4.12,4.450416666666667,4.479166666666667,4.296439508849135,4.64454414951755,4.279137080788622,3.9962473655319353
2013-02-28,POMRB,4.65,4.419583333333333,4.4541666666666675,4.437863705309481,4.654098312345347,4.999027252548198,4.700501936753488
2013-05-31,PREMON,4.97,4.378125,4.446666666666667,4.650718223185688,4.66367212922785,4.534667908371423,4.814489215078763
2013-08-31,MONSOON,3.83,4.471666666666667,4.3925,4.322430933911413,4.673265638470943,4.086469447420823,4.17360631450031
2013-11-30,POMKH,4.005,4.587083333333333,4.36375,4.1954585603468475,4.682878882496168,4.1952741519852195,3.9884481990978853
2014-02-28,POMRB,5.513333333333333,4.588333333333334,4.579583333333332,4.722608469541441,4.692511903839005,4.853912834211399,4.569762594438142
2014-05-31,PREMON,5.03,4.5964583333333335,4.594583333333333,4.845565081724865,4.702164740285465,4.763464530123416,5.172325535525815
2014-08-31,MONSOON,3.78,4.814166666666667,4.582083333333333,4.419339049034919,4.7118374314813325,4.084509285302918,4.119175824278363
2014-11-30,POMKH,4.12,5.30375,4.610833333333334,4.2996034294209515,4.721530020582243,4.206572937188134,4.036856842479364
2015-02-28,POMRB,7.14,5.583749999999999,5.017500000000001,5.435762057652571,4.7312425524182595,5.134395640535224,4.922536753290706
2015-05-31,PREMON,7.32,5.5784765625,5.590000000000001,6.1894572345915435,4.740975063881581,5.111061728700679,5.6988954497011965
2015-08-31,MONSOON,3.73,5.579453125000001,5.577500000000001,5.205674340754926,4.750727590587402,4.527699624465868,4.9187365372541105
2015-11-30,POMKH,4.1278125,5.436328125000001,5.579453125000001,4.7745296044529555,4.760500179509663,4.64737679660257,4.085389230634638
2016-02-29,POMRB,7.14,5.293203125,5.579453125000001,5.720717762671773,4.770292875720959,6.143413139595191,5.90075624928122
2016-05-31,PREMON,6.175000000000002,5.293203125,5.293203125000001,5.902430657603064,4.780105714797694,6.042427033248533,6.3018802751312375
2016-08-31,MONSOON,3.73,5.293203125000001,5.293203125000001,5.033458394561839,4.789938736022174,4.271652337906368,4.087665725931788
2016-11-30,POMKH,4.1278125,5.436328125,5.293203125000001,4.671200036737103,4.799791985046018,4.509964132556474,4.148790628838062
2017-02-28,POMRB,7.14,5.579453125,5.293203125000001,5.658720022042262,4.8096655072824355,6.479773726678298,6.445401680897678
2017-05-31,PREMON,7.32,5.579453125,5.579453125000001,6.323232013225358,4.8195593403148065,6.0733355401610805,6.409283645945546
2017-08-31,MONSOON,3.73,5.290275493421053,5.579453125000001,5.285939207935215,4.829473520439563,4.253370901374072,4.394734392640357
2017-11-30,POMKH,4.1278125,4.691181195175439,5.579453125000001,4.822688524761129,4.839408095313284,4.542049837386241,4.165564985378486
2018-02-28,POMRB,4.826578947368421,4.3740218814499485,5.001097861842106,4.8242446938040455,4.849363107327218,6.820194389203695,6.451921690125624
2018-05-31,PREMON,4.8406666666666665,4.3667792343911245,4.381264528508773,4.830813482949093,4.859338597525988,6.225016183681644,5.596083014015357
2018-08-31,MONSOON,3.672058823529412,,4.366779234391125,4.367311619181221,4.869334606314174,3.5124368528587993,3.40271011848445
2018-11-30,POMKH,4.1278125,,4.366779234391125,4.271511971508732,,3.927715410586888,4.126366863036841
