Date,Season,Indri,Nilokheri,Nissang,Assandh,Karnal,Gharaunda,Indri_Trend,Indri_SMA,Indri_EWMA,Indri_DES,Indri_TES,Indri_ARIMA,Nilokheri_Trend,Nilokheri_SMA,Nilokheri_EWMA,Nilokheri_DES,Nilokheri_TES,Nilokheri_ARIMA,Nissang_Trend,Nissang_SMA,Nissang_EWMA,Nissang_DES,Nissang_TES,Nissang_ARIMA,Assandh_Trend,Assandh_SMA,Assandh_EWMA,Assandh_DES,Assandh_TES,Assandh_ARIMA,Karnal_Trend,Karnal_SMA,Karnal_EWMA,Karnal_DES,Karnal_TES,Karnal_ARIMA,Gharaunda_Trend,Gharaunda_SMA,Gharaunda_EWMA,Gharaunda_DES,Gharaunda_TES,Gharaunda_ARIMA
1996-02-29,POMRB,3.7225,8.073333333333332,6.16625,6.8000000000000025,8.27,9.22,,,3.7225,4.679895807824714,3.7811749533055004,0.0,,,8.073333333333332,6.569500309063679,7.991770947129984,0.0,,,6.16625,8.98459947735342,5.221144123205004,0.0,,,6.8000000000000025,6.4618936718285935,6.235178431598511,0.0,,,8.27,8.17922815672537,8.03347425512499,0.0,,,9.22,8.6493250911272,9.102284420890982,0.0
1996-05-31,PREMON,4.24,11.194,7.877142857142857,8.4025,9.385,10.79,,,3.9295,5.175093600870861,4.346608868102528,3.722486976821104,,,9.3216,7.6547028007926,9.810890561677091,8.073258668134207,,,6.850607142857143,10.45535180834486,6.623061110489838,6.166225158680906,,,7.441000000000001,6.640418292840328,7.39630387436404,6.799991871085746,,,8.716,8.470692574317948,8.81268426100472,8.269039240294472,,,9.847999999999999,9.137589362746164,9.611232250531863,9.219685987221418
1996-08-31,MONSOON,3.48,8.18,7.768333333333333,8.355,8.94,6.86,4.0770625,,3.7497,5.356721085737176,3.624270653234417,3.9896402305685394,8.606166666666667,,8.86496,7.708213170892625,10.92097409731511,9.74503012760908,6.8536681547619045,,7.217697619047619,11.136343507262263,7.609291778743191,7.015406412588312,7.423645833333334,,7.8066,6.853112814000294,8.12614254541357,8.138382513546286,8.401250000000001,,8.8056,8.669895126060199,11.383819484053994,8.870098737659793,9.636875,,8.6528,8.749526614613298,9.21708761438282,9.655407262683125
1996-11-30,POMKH,4.51,6.6149999999999975,5.728571428571428,5.963333333333334,7.42,12.005,4.121833333333333,3.988125,4.05382,5.71687959325988,4.682240329335233,3.8018835794800006,8.344999999999999,8.515583333333332,7.964975999999999,7.330750718298792,7.097176541456527,9.10629520382586,6.706119047619047,6.885074404761904,6.622047142857143,10.049120650621134,6.750614057196313,7.309462696247462,7.2986458333333335,7.380208333333335,7.069293333333333,6.436027063672772,6.933878453374633,7.339120628068927,8.116875,8.50375,8.25136,8.645916530590078,8.265396595607609,8.859553118406925,8.989375,9.71875,9.99368,9.460503089805364,11.115468138029787,9.856970835713796
1997-02-28,POMRB,4.434,8.797999999999998,5.914999999999999,7.1475,7.45,8.565000000000001,4.189416666666666,4.166,4.205892,5.953309445640389,3.914322617416317,4.016707895731228,8.927624999999999,8.69675,8.2981856,7.634423087373546,8.402035417963237,7.880670604161116,6.367863095238095,6.822261904761904,6.339228285714285,8.846749892675122,6.504831744738266,6.670135728843723,6.76625,7.467083333333333,7.100576,6.423608959314554,7.080217581853457,6.621561291463982,14.442499999999999,8.298750000000002,7.930816,8.628657766859995,8.460510752367938,8.39325672760804,8.596458333333334,9.555,9.422208,9.349974613700509,9.570474588094754,8.91880989038384
1997-05-31,PREMON,3.8866666666666654,8.38,6.948,7.055,7.93,6.2650000000000015,4.261916666666666,4.077666666666667,4.078201866666666,5.93858116895521,4.573476910837751,4.129508393525303,9.961374999999999,7.99325,8.33091136,7.770066371937333,10.776657641986754,10.007847953868865,6.160571428571428,6.5899761904761895,6.582736971428572,8.207412567404532,7.653679499700453,7.039564754196582,6.416874999999999,7.130208333333333,7.0823456,6.426350430914274,8.219700729057447,8.346071030042527,20.97625,7.935000000000002,7.9304896,8.676606098271709,9.23972075900389,8.205775287281906,8.243541666666667,8.42375,8.1593248,8.802656127773613,10.325939457623177,10.753296025717724
1997-08-31,MONSOON,4.3740000000000006,15.655,5.991428571428572,5.4433333333333325,61.0,8.241666666666667,4.232583333333333,4.301166666666668,4.19652112,5.965992216577568,3.7474670065505276,4.068244646876825,9.9835,9.862,11.260546816000002,9.924962304412826,9.319816708686016,7.725109365410264,6.121910714285714,6.14575,6.346213611428572,7.172745523378556,8.1221153204956,6.9174833614913975,6.3696874999999995,6.402291666666666,6.426740693333333,6.019409402830216,8.332831938859302,7.11885973294235,20.97625,20.950000000000003,29.158293760000003,15.708129199417298,11.810855974645015,8.193977268565934,7.638291666666667,8.769166666666667,8.192261546666668,8.754026335545248,6.988270208524374,6.923634389069184
1997-11-30,POMKH,4.1960000000000015,7.41,5.847142857142857,6.08,7.63,7.8,4.268194444444445,4.222666666666669,4.196312672000001,5.87092471608427,4.934297858623725,4.142254691157021,9.965,10.060750000000002,9.720328089600002,9.374230779512294,8.932483269023525,9.498213097241862,6.108053571428571,6.175392857142857,6.146585309714286,6.324253220469319,6.671312838710017,6.006188834638469,6.345416666666667,6.431458333333333,6.288044416,5.859229485221761,6.216367318283291,5.707939062023715,20.95375,21.0025,20.546976256,14.89906064426605,8.69243309250727,20.077491341266658,7.398041666666668,7.717916666666666,8.035356928,8.62678109611885,11.305763902329959,9.55223276773594
1998-02-28,POMRB,4.513333333333334,8.18,5.487142857142856,6.653333333333332,7.24,7.928,3.9383888888888894,4.242500000000002,4.323120936533334,5.802187688118791,4.0701193409959835,4.154946011223471,8.9403125,9.906250000000004,9.104196853760001,9.131780939930318,10.24914169484608,9.969959785487605,6.183333333333333,6.068428571428571,5.882808328685714,5.58948706152906,6.519850835413056,5.994997697671538,6.481875,6.3079166666666655,6.434159982933333,5.907972387889507,6.68470634665878,6.533522543419652,14.207500000000001,20.95,15.2241857536,14.132058500896381,8.887547248856686,14.444287971664343,7.303458333333333,7.558666666666665,7.992414156800001,8.549451954731905,7.808279548870788,8.471296845380838
1998-05-31,PREMON,4.0922222222222215,8.85,7.2650000000000015,7.355,7.96,4.98,3.558388888888889,4.293888888888891,4.230761450808888,5.579863301068621,4.70822011877716,4.2383317449107505,7.512500000000001,10.023750000000003,9.002518112256,9.115194254975282,10.912920626758709,10.037953473402597,5.892157738095238,6.147678571428571,6.435684997211428,6.001534477922029,7.568887054182316,5.981754026323699,6.303020833333333,6.382916666666665,6.80249598976,6.179412454650614,7.537894927899986,6.828828160843687,6.86875,20.957499999999996,12.31851145216,13.548447777192344,9.666757254736535,13.523283272600636,7.468458333333333,7.237416666666665,6.78744849408,7.899920860664276,7.355587740484319,5.820994494035629
