Date,Season,Kalkaji,Defence Colony,Vasant Vihar,Preet Vihar,Hauz Khas,Gandhi Nagar,Kalkaji_Trend,Kalkaji_SMA,Kalkaji_EWMA,Kalkaji_DES,Kalkaji_TES,Kalkaji_ARIMA,Defence Colony_Trend,Defence Colony_SMA,Defence Colony_EWMA,Defence Colony_DES,Defence Colony_TES,Defence Colony_ARIMA,Vasant Vihar_Trend,Vasant Vihar_SMA,Vasant Vihar_EWMA,Vasant Vihar_DES,Vasant Vihar_TES,Vasant Vihar_ARIMA,Preet Vihar_Trend,Preet Vihar_SMA,Preet Vihar_EWMA,Preet Vihar_DES,Preet Vihar_TES,Preet Vihar_ARIMA,Hauz Khas_Trend,Hauz Khas_SMA,Hauz Khas_EWMA,Hauz Khas_DES,Hauz Khas_TES,Hauz Khas_ARIMA,Gandhi Nagar_Trend,Gandhi Nagar_SMA,Gandhi Nagar_EWMA,Gandhi Nagar_DES,Gandhi Nagar_TES,Gandhi Nagar_ARIMA
1996-02-29,POMRB,7.6,10.37,14.49,3.55,20.218,4.507277777777778,,,7.6,7.698493695878304,7.737088260482631,0.0,,,10.37,10.988296298684576,10.788995083895689,0.0,,,14.49,14.00851589676746,12.137991011092108,0.0,,,3.55,3.6793186327179543,3.6786148884201286,0.0,,,20.218,20.305328921696262,20.167343702890527,0.0,,,4.507277777777778,4.5580687279545264,4.50733004124162,0.0
1996-05-31,PREMON,10.56,12.31,13.52,4.25,22.092,5.100214285714285,,,8.783999999999999,9.794223959662721,9.563332276692332,7.419761623294531,,,11.146,11.481028853392985,12.3746629447386,10.369943073557238,,,14.102,13.848953713966374,16.41540629228848,14.489846178243218,,,3.83,4.048845751623308,3.9424271897359096,3.54999835526453,,,20.967599999999997,21.59263053915399,21.199857201623654,20.21792374046003,,,4.7444523809523815,4.8043874968188724,5.1111286251371695,4.358457140098658
1996-08-31,MONSOON,8.67,9.51,11.74,3.75,17.204,4.232777777777779,9.3175,,8.738399999999999,8.87930433455289,6.7016663946594655,10.225198227571278,12.36,,10.491600000000002,10.532159907579175,10.968509908959653,11.489539529271898,12.711250000000001,,13.1572,12.962623919253069,14.356284634840032,13.924298573431884,3.96625,,3.798,3.92147825122916,3.7384702069255042,3.9500853868758052,19.22475,,19.462159999999997,18.6837775917872,20.910786492228485,21.717862004286573,4.548079365079365,,4.53978253968254,4.51478507873549,4.180306651543543,4.861573563470261
1996-11-30,POMKH,9.17,11.47,12.115,4.0,17.736,4.352047619047618,9.635,9.0,8.91104,9.034375262198623,10.720265383883733,8.442123915836783,14.01625,10.915,10.88296,10.86077703055553,10.763086799255571,10.529490263914381,12.4540625,12.96625,12.74032,12.637721351733525,12.810878304048071,12.842079928142658,4.06625,3.8875,3.8788,4.010124169421167,3.8212135216872696,3.978231059663984,18.998,19.3125,18.771696,18.105241586526905,17.228824450292393,18.021759428971702,4.548079365079365,4.548079365079365,4.464688571428571,4.422545066887236,4.408955571735358,4.196338131101723
1997-02-28,POMRB,10.14,21.93,12.45,4.18,19.516,4.507277777777778,9.786249999999999,9.635,9.402624,9.800840829331097,9.726154224769692,8.918637791163862,14.70625,13.805000000000001,15.301776,15.610876252540026,10.204629192397993,10.961502809544609,12.681458333333333,12.456249999999999,12.624192,12.607134227839953,11.352970150736454,12.498824970061357,4.14375,4.045,3.9992799999999997,4.1523856251780655,4.29169596777159,3.847969693610054,19.1035,19.136999999999997,19.0694176,19.129037226549354,19.755520462172708,18.327685513625614,4.5480793650793645,4.548079365079365,4.481724253968254,4.449500424632261,4.508296530703146,4.323168114168747
1997-05-31,PREMON,10.56,14.0,13.5025,4.42,20.98,5.100214285714285,9.913750000000002,9.635,9.8655744,10.301428112245247,12.042678449113136,10.858231192984327,15.472499999999998,14.2275,14.781065600000002,14.787549131980294,17.53547089402769,15.916369927772042,13.219583333333333,12.451874999999998,12.9755152,13.061731239680762,15.046538335442229,12.476096382214273,4.2250000000000005,4.0875,4.167568,4.352534520975271,4.565823961940497,4.224687284474163,19.456,18.858999999999998,19.833650560000002,20.455906078315284,20.584672908334902,19.828141129146992,4.5480793650793645,4.548079365079365,4.7291202666666665,4.748323575234365,5.111444807080323,4.778257932409424
1997-08-31,MONSOON,9.88,13.34,13.576666666666664,4.2,19.16,4.232777777777779,9.838750000000001,9.9375,9.87134464,9.91110863794031,6.974624363314572,9.58672520869731,14.96,15.185,14.204639360000002,14.041865469969574,14.487371690388427,15.05507403656922,13.954374999999999,12.911041666666664,13.215975786666666,13.347789084029047,13.616106217900162,12.951960220273484,4.2525,4.2,4.1805408,4.312826751164254,4.085424899644667,4.2735219838419845,19.957833333333333,19.348,19.564190336000003,19.646835098661708,19.947424883246768,19.85503132558997,4.548079365079365,4.548079365079365,4.530583271111111,4.48583405705374,4.180410088799465,4.41212636004007
1997-11-30,POMKH,8.98,13.77,14.583333333333336,4.2,18.6,4.352047619047618,9.787500000000001,9.89,9.514806784000001,9.140500041264067,11.827103876117905,9.754510337446728,15.52,15.760000000000002,14.030783616,13.815288122094637,14.429139728430036,14.285443355975023,14.764687499999999,13.528124999999998,13.762918805333335,13.957951611425493,13.269511463048907,13.241248343836695,4.25375,4.25,4.18832448,4.295557411823098,4.230996317336361,4.31293152989666,20.796041666666667,19.563999999999997,19.178514201600002,19.004327259053373,18.311403568123485,19.255846266007893,4.548079365079365,4.548079365079365,4.459169010285715,4.40759495935411,4.4089894106846605,4.221794711286441
1998-02-28,POMRB,9.73,15.53,15.86,4.2,22.66666666666667,4.507277777777778,9.6125,9.787500000000001,9.600884070400001,9.518287342486218,9.678926704244946,9.069062847996886,17.042499999999997,14.160000000000002,14.6304701696,14.457917314452766,13.224439112762177,14.054249926945756,15.452916666666667,14.380624999999998,14.601751283200002,14.869348158111071,12.74656515454787,13.862528499471287,4.2525,4.255,4.192994688000001,4.288046789023092,4.5735713853569235,4.224449212325767,21.223333333333336,20.351666666666667,20.57377518762667,21.562933241866897,20.684915432525138,19.074764348214675,4.5480793650793645,4.548079365079365,4.47841251728254,4.441780292413476,4.508307600932321,4.365736229985336
1998-05-31,PREMON,10.56,24.88,16.575,4.41,24.535,5.100214285714285,9.337500000000002,9.787500000000001,9.98453044224,10.233260348903984,11.672617058809113,9.60600296841601,16.9125,16.880000000000003,18.73028210176,18.897802224565005,16.099021342043276,14.716077712271366,15.846666666666666,15.14875,15.39105076992,15.696602882426395,17.378214431746915,14.787110841053476,4.27125,4.2524999999999995,4.279796812800001,4.405773454109348,4.688030432955019,4.337569281174361,21.371250000000003,21.240416666666665,22.158265112576004,23.66104856014593,23.07077473353962,22.08266234540908,4.5480793650793645,4.548079365079365,4.727133224655238,4.744336952305837,5.1114484286423,4.834259746902543
