Date,Season,Kahnapas(ghansaur),Chhapara,Keolari,Barghat,Dhanaura,Seoni,Kurai,Lakhnadon,Kahnapas(ghansaur)_Trend,Kahnapas(ghansaur)_SMA,Kahnapas(ghansaur)_EWMA,Kahnapas(ghansaur)_DES,Kahnapas(ghansaur)_TES,Kahnapas(ghansaur)_ARIMA,Chhapara_Trend,Chhapara_SMA,Chhapara_EWMA,Chhapara_DES,Chhapara_TES,Chhapara_ARIMA,Keolari_Trend,Keolari_SMA,Keolari_EWMA,Keolari_DES,Keolari_TES,Keolari_ARIMA,Barghat_Trend,Barghat_SMA,Barghat_EWMA,Barghat_DES,Barghat_TES,Barghat_ARIMA,Dhanaura_Trend,Dhanaura_SMA,Dhanaura_EWMA,Dhanaura_DES,Dhanaura_TES,Dhanaura_ARIMA,Seoni_Trend,Seoni_SMA,Seoni_EWMA,Seoni_DES,Seoni_TES,Seoni_ARIMA,Kurai_Trend,Kurai_SMA,Kurai_EWMA,Kurai_DES,Kurai_TES,Kurai_ARIMA,Lakhnadon_Trend,Lakhnadon_SMA,Lakhnadon_EWMA,Lakhnadon_DES,Lakhnadon_TES,Lakhnadon_ARIMA
1996-02-29,POMRB,4.776666666666666,5.48,5.8500000000000005,5.2360000000000015,5.026666666666666,5.952000000000001,7.0475,4.331999999999999,,,4.776666666666666,4.733512801179452,5.096812798231366,0.0,,,5.48,4.634334781693278,4.626913711253169,0.0,,,5.8500000000000005,4.550554848508372,6.045729166666667,0.0,,,5.2360000000000015,4.079356225985336,4.765461187437039,0.0,,,5.026666666666666,4.4446822803630095,5.043154731415373,0.0,,,5.952000000000001,4.584064144187983,5.806962028869041,0.0,,,7.0475,6.160699897573446,7.607006755964922,0.0,,,4.331999999999999,6.734413674621396,4.365433642430407,0.0
1996-05-31,PREMON,7.446666666666667,6.325,8.7075,6.684,6.723333333333333,7.818,9.5725,6.516,,,5.844666666666667,5.843615931075121,7.139146024264658,4.776635521388424,,,5.8180000000000005,4.641570520473973,6.425501448373153,1.4509730836044739,,,6.993,5.518867230812221,9.0761865189289,5.849974471810925,,,5.815200000000001,4.3769373525662365,6.568828033509133,1.3090122341200034,,,5.705333333333333,4.727491764079573,6.270456744909351,5.026656801449167,,,6.698400000000001,4.901641738546941,7.746425266980147,2.4936407102145634e-06,,,8.057500000000001,6.127040151241167,10.061519328851546,6.617005079011483e-06,,,5.2056,8.882689226304082,7.057531351230419,-1.9400282708905864e-09
1996-08-31,MONSOON,2.3,1.39,3.685,1.842,4.043333333333333,2.774,7.9899999999999975,1.3575,4.952083333333333,,4.4268,5.593345297547505,2.450725557956559,6.233030453079459,4.081875,,4.0468,4.054201519841825,1.9310181048936834,1.882822800587808,6.061041666666667,,5.6698,5.122663159577195,4.204352664926091,7.665117718075511,4.52575,,4.22592,3.520875937466469,2.889861656337112,1.4333452765858268,5.309583333333333,,5.040533333333332,4.177551510857513,3.4313337305537166,5.920858761745995,5.218,,5.128640000000001,3.973703561392436,2.771825108872725,3.5693862094764657e-06,7.9546874999999995,,8.0305,5.900221166271321,4.919470344333337,1.042207069691759e-05,3.635875,,3.6663599999999996,7.792957605726251,1.042282222541365,-5.230958514336413e-09
1996-11-30,POMKH,4.79,3.92,5.656666666666666,4.07,4.983333333333333,4.354,7.1425,2.5660000000000003,5.065833333333333,4.828333333333333,4.57208,5.868173641351843,4.806721237301528,4.5532420932556565,3.97625,4.2787500000000005,3.99608,3.8404385903947826,3.4010189243819857,1.5287046686245866,6.221666666666667,5.9747916666666665,5.664546666666666,5.257599898057736,6.3050712831090685,5.108335965155375,4.61425,4.458,4.163552,3.3662477973953813,3.7339789756850283,1.0311220875628957,5.372083333333332,5.194166666666667,5.017653333333333,4.1124729780397224,4.40558827869633,5.160732261150296,5.301499999999999,5.2245,4.818784000000001,3.672634221824315,4.498382113829645,4.1753425260641733e-07,8.034687499999999,7.938124999999999,7.6753,5.624524943454097,6.665372152681674,7.63825976538696e-06,3.6648749999999994,3.692875,3.226216,6.853683313475538,2.946950015506511,-6.020606934917794e-09
1997-02-28,POMRB,5.7666666666666675,3.905,6.539999999999999,5.778,5.95,5.9,7.179999999999999,3.876,5.087083333333333,5.075833333333333,5.049914666666667,6.30801833650016,5.037745192964318,4.589822515461696,4.1968749999999995,3.8850000000000007,3.9596479999999996,3.6601021113503363,4.845857412462699,5.172903198970692,6.573541666666667,6.147291666666666,6.014728,5.615625578961713,6.555179937884689,5.832418330152158,4.80475,4.5935,4.8093312,3.711318033150734,4.780027947267265,5.1030489903555845,5.2804166666666665,5.425,5.390592,4.46823905846055,5.101871800080114,5.055429038848651,5.319500000000001,5.2115,5.251270400000001,3.901869128711675,5.821805397604925,5.951994939528287,7.897812500000001,7.9712499999999995,7.47718,5.456410921228221,8.147812737743198,7.047498367004251,3.7381874999999996,3.5788750000000005,3.4861296,6.316244601226073,4.504321435664316,4.092318380447764
1997-05-31,PREMON,7.366666666666667,7.055,9.3025,6.85,6.3,8.538,10.08,7.203999999999999,5.075833333333334,5.055833333333332,5.976615466666667,7.070473811594111,7.424195298254368,5.656200811204461,4.301875,4.067500000000001,5.1977888,3.9079080635481693,6.2799955247341215,5.572301670179968,6.804375,6.2960416666666665,7.3298368,6.696018187003046,9.541934872629124,8.318963711880834,4.967,4.634999999999999,5.62559872,4.353179016298723,6.585127486453663,6.600306733103441,5.215,5.319166666666667,5.7543552,4.962657070248297,6.437757288572614,6.492786009414887,5.23775,5.391500000000001,6.565962240000001,4.916626379304212,7.761268635715404,7.806483112734598,7.626875,8.098125,8.518308,5.90405652131295,10.513968885779073,9.614773881281826,3.866,3.750875,4.97327776,7.200614828820244,7.119113694468852,6.155481663829969
1997-08-31,MONSOON,2.55,2.425,5.905,3.2,3.733333333333333,2.198,6.387500000000001,1.256,4.750416666666666,5.118333333333332,4.60596928,6.557428633121476,2.6160307694003113,5.032392058216681,3.94125,4.326250000000001,4.08867328,3.5785527385474545,1.825901775863151,1.6366319107833829,6.4442708333333325,6.851041666666667,6.75990208,6.787703943522235,4.628297113701464,4.65854134475355,4.608999999999999,4.974499999999999,4.655359232,4.026641570098256,2.8974549110243704,1.8387914082000683,4.952916666666667,5.241666666666667,4.945946453333333,4.519948714085269,3.6349689696652843,4.285251928288487,4.74475,5.2475000000000005,4.818777344000001,4.133780274216399,2.786668477614593,2.9384424959529682,7.188750000000001,7.697500000000001,7.6659848,5.672175466990798,5.38383268371673,8.153027529956116,3.766,3.7255,3.4863666560000004,5.22874293276905,1.195699341483448,1.2823920129913646
1997-11-30,POMKH,4.45,3.725,5.283333333333333,4.01,4.77,4.276,6.5775,3.69,4.402916666666667,5.033333333333332,4.5435815680000005,6.432032922274658,4.999808172421732,4.741115970141708,3.3987499999999997,4.277500000000002,3.943203968,3.447442156461785,3.596413904258588,4.1042925249169615,5.693020833333334,6.757708333333333,6.169274581333333,6.6563303843682675,6.888253708033627,6.288963283401716,4.12725,4.9594999999999985,4.3972155392,3.944762434322125,3.7659654767645807,4.223431557639599,4.677083333333333,5.1883333333333335,4.8755678719999995,4.507937924394792,4.601056127266136,4.9810324773893475,4.1085,5.228000000000001,4.6016664064,4.016746904065305,4.513225482565973,4.230436226657402,6.5228125000000015,7.55625,7.23059088,5.541993873386489,6.682470491250725,6.604294570801254,3.22425,4.0065,3.5678199936,4.551082912324237,3.036780858612845,2.424027923223297
1998-02-28,POMRB,3.5033333333333334,1.215,4.0325,2.9739999999999998,4.066666666666666,2.0340000000000003,4.24,1.9520000000000004,4.253958333333333,4.467499999999999,4.1274822741333335,6.027983263881187,5.055968075887179,4.685772851599132,3.1224999999999996,3.6050000000000018,2.8519223808,3.0279945079646557,4.771896405784532,4.416331865987633,4.820833333333334,6.130833333333333,5.3145647488,6.161665968075378,7.197856591212354,6.047473890631568,3.98125,4.258499999999999,3.8279293235200003,3.622287565507112,4.817017810737216,5.356959346961508,4.60625,4.7175,4.552007389866667,4.275036614013801,5.3594004891155125,5.473938312253019,3.9099999999999997,4.2615,3.5745998438399997,3.3471879664484607,5.836648766340384,5.911089476517581,6.0490625,6.821250000000001,6.034354528,5.031749815087555,8.038946406670307,6.971697088512899,2.944,3.5255000000000005,2.9214919961600003,3.3482148157515637,4.650971200788414,3.9800218109890886
1998-05-31,PREMON,6.85,5.404999999999999,5.8000000000000025,5.8,5.976666666666668,7.313999999999997,7.692500000000001,4.794,6.01125,4.338333333333333,5.21648936448,6.395612511635778,6.69401836304808,5.511795797910805,2.865625,3.1925000000000017,3.87315342848,3.175300777598311,6.145987824787431,5.640881644684102,4.626041666666667,5.255208333333334,5.50873884928,6.134089067168181,9.752636546909295,7.882884921168382,3.8930000000000002,3.995999999999999,4.616757594112,4.0741297439119695,6.589862118340539,6.0079867226307035,4.435833333333334,4.636666666666668,5.1218711005866675,4.770214292141138,6.46703561919198,6.232226060526546,3.7308333333333326,3.955499999999999,5.070359906303999,4.242548728166587,7.7761120044144825,7.307572306681807,5.5084375,6.224375000000002,6.6976127168,5.254062657824752,9.79245209053343,8.94329069984078,3.147857142857143,2.9230000000000005,3.670495197696,3.613636849080252,7.157811827463964,6.667939412210049
