Date,Season,Nadaun,Barsar,Nadaun_Trend,Nadaun_SMA,Nadaun_EWMA,Nadaun_DES,Nadaun_TES,Nadaun_ARIMA,Barsar_Trend,Barsar_SMA,Barsar_EWMA,Barsar_DES,Barsar_TES,Barsar_ARIMA
1996-02-29,POMRB,4.66,1.9933333333333332,,,4.66,4.3209699582792425,4.40722095007888,0.0,,,1.9933333333333332,2.9000824424061484,2.003333333333333,0.0
1996-05-31,PREMON,4.52,2.544,,,4.603999999999999,4.35960393371136,5.007470090097582,1.8699943231341933,,,2.2136,3.372823383267477,2.5634459833795016,5.055158911958696e-08
1996-08-31,MONSOON,2.915,1.4240000000000002,4.13625,,3.9284,4.089209280102901,3.0870667090018586,2.1261080158747787,2.0617619047619047,,1.8977600000000001,2.9802621708857457,1.4523409427490581,1.2561827963750848e-07
1996-11-30,POMKH,4.45,2.2857142857142856,4.178125,4.1362499999999995,4.137040000000001,4.158192829701527,3.786213738081627,2.374388302529246,2.0617619047619047,2.0617619047619047,2.0529417142857143,2.9615834126760165,2.3224035253099897,1.4695937569790663e-07
1997-02-28,POMRB,4.66,1.9933333333333332,4.175625,4.1362499999999995,4.346224,4.253709932763955,4.524875340105395,4.565897753046568,2.0617619047619047,2.061761904761905,2.029098361904762,2.7060018640104704,2.0378288534884756,1.9675602961587009
1997-05-31,PREMON,4.855,2.544,4.0175,4.22,4.5497344,4.367958806591022,5.083766084581577,4.407770960452088,2.0617619047619047,2.061761904761905,2.2350590171428575,2.726729706831587,2.5957677429561756,2.5111070534118776
1997-08-31,MONSOON,2.56,1.4240000000000002,3.9283333333333332,4.13125,3.75384064,4.029247760414177,3.2543034884899185,2.985727854451132,2.0617619047619047,2.061761904761905,1.9106354102857146,2.1649208603719647,1.4825138713411172,1.405588225776375
1997-11-30,POMKH,3.54,2.2857142857142856,3.9110416666666663,3.9037499999999996,3.668304384,3.9383884961569495,3.7698715173567825,4.186887938516032,2.0617619047619047,2.061761904761905,2.060666960457143,2.1450519694839634,2.350457192431652,2.2561608745333985
1998-02-28,POMRB,4.8566666666666665,1.9933333333333332,3.9579166666666663,3.952916666666666,4.143649297066666,4.112149689275948,4.194390553981087,4.209546002002226,2.0617619047619047,2.061761904761905,2.033733509607619,2.0088155127079546,2.0637971424295025,1.9776354393065954
1998-05-31,PREMON,4.52,2.544,4.024166666666667,3.8691666666666658,4.294189578239999,4.18998791489783,4.938587926534344,4.800740097175,2.0617619047619047,2.061761904761905,2.2378401057645716,2.1978609340514894,2.619688529550295,2.5239654970307637
