Date,Season,Pataspur-ii,Nandigram-i,Kanthi-iii,Mahisadal-ii,Mahisadal-i,Haldia,Bhagwanpur-i,Panskura-i,Bhagwanpur-ii,Panskura-ii,Khejuri-i,Pataspur-i,Ramnagar-ii,Mayna,Egra-ii,Egra-i,Sutahata,Tamluk-i,Ramnagar-i,Pataspur-ii_Trend,Pataspur-ii_SMA,Pataspur-ii_EWMA,Pataspur-ii_DES,Pataspur-ii_TES,Pataspur-ii_ARIMA,Nandigram-i_Trend,Nandigram-i_SMA,Nandigram-i_EWMA,Nandigram-i_DES,Nandigram-i_TES,Nandigram-i_ARIMA,Kanthi-iii_Trend,Kanthi-iii_SMA,Kanthi-iii_EWMA,Kanthi-iii_DES,Kanthi-iii_TES,Kanthi-iii_ARIMA,Mahisadal-ii_Trend,Mahisadal-ii_SMA,Mahisadal-ii_EWMA,Mahisadal-ii_DES,Mahisadal-ii_TES,Mahisadal-ii_ARIMA,Mahisadal-i_Trend,Mahisadal-i_SMA,Mahisadal-i_EWMA,Mahisadal-i_DES,Mahisadal-i_TES,Mahisadal-i_ARIMA,Haldia_Trend,Haldia_SMA,Haldia_EWMA,Haldia_DES,Haldia_TES,Haldia_ARIMA,Bhagwanpur-i_Trend,Bhagwanpur-i_SMA,Bhagwanpur-i_EWMA,Bhagwanpur-i_DES,Bhagwanpur-i_TES,Bhagwanpur-i_ARIMA,Panskura-i_Trend,Panskura-i_SMA,Panskura-i_EWMA,Panskura-i_DES,Panskura-i_TES,Panskura-i_ARIMA,Bhagwanpur-ii_Trend,Bhagwanpur-ii_SMA,Bhagwanpur-ii_EWMA,Bhagwanpur-ii_DES,Bhagwanpur-ii_TES,Bhagwanpur-ii_ARIMA,Panskura-ii_Trend,Panskura-ii_SMA,Panskura-ii_EWMA,Panskura-ii_DES,Panskura-ii_TES,Panskura-ii_ARIMA,Khejuri-i_SMA,Khejuri-i_EWMA,Khejuri-i_TES,Khejuri-i_ARIMA,Pataspur-i_Trend,Pataspur-i_SMA,Pataspur-i_EWMA,Pataspur-i_DES,Pataspur-i_TES,Pataspur-i_ARIMA,Ramnagar-ii_Trend,Ramnagar-ii_SMA,Ramnagar-ii_EWMA,Ramnagar-ii_DES,Ramnagar-ii_TES,Ramnagar-ii_ARIMA,Mayna_Trend,Mayna_SMA,Mayna_EWMA,Mayna_DES,Mayna_TES,Mayna_ARIMA,Egra-ii_Trend,Egra-ii_SMA,Egra-ii_EWMA,Egra-ii_DES,Egra-ii_TES,Egra-ii_ARIMA,Egra-i_Trend,Egra-i_SMA,Egra-i_EWMA,Egra-i_DES,Egra-i_TES,Egra-i_ARIMA,Sutahata_Trend,Sutahata_SMA,Sutahata_EWMA,Sutahata_DES,Sutahata_TES,Sutahata_ARIMA,Tamluk-i_Trend,Tamluk-i_SMA,Tamluk-i_EWMA,Tamluk-i_DES,Tamluk-i_TES,Tamluk-i_ARIMA,Ramnagar-i_Trend,Ramnagar-i_SMA,Ramnagar-i_EWMA,Ramnagar-i_DES,Ramnagar-i_TES,Ramnagar-i_ARIMA
1996-02-29,POMRB,2.7,15.19,3.46,2.87,5.45,6.22,4.865,13.840625,6.752105263157897,4.71,12.95,8.816625000000002,8.161,12.235333333333333,2.23,1.2,6.1433333333333335,5.49,2.0533333333333332,,,2.7,15.306637150384397,4.051498710972552,0.0,,,15.19,12.882291456010234,15.19,0.0,,,3.46,3.8968483174531103,3.059502095867228,0.0,,,2.87,4.469306578462283,3.2948655901960353,0.0,,,5.45,6.359421547939789,6.019338560562532,0.0,,,6.22,7.5201594305837896,5.92244617426613,0.0,,,4.865,6.421759181861692,5.40359398275216,0.0,,,13.840625,22.123848097257802,13.840625,0.0,,,6.752105263157897,6.5381543974243295,6.598595198697344,0.0,,,4.71,8.780684034598346,5.916282106694645,0.0,,12.95,12.95,0.0,,,8.816625000000002,5.382167643607855,5.623824949607608,0.0,,,8.161,14.346703547728302,8.058480942055512,0.0,,,12.235333333333333,12.136039208801009,11.955901680995977,0.0,,,2.23,16.246190769944565,2.2300000000000004,0.0,,,1.2,18.52520390689689,2.871221021601783,0.0,,,6.1433333333333335,6.338981566400088,6.071893937691287,0.0,,,5.49,10.630152438222847,5.5725,0.0,,,2.0533333333333332,2.8365616460446352,2.2550911535216045,0.0
1996-05-31,PREMON,9.085,13.75,5.56,4.265,8.28,7.895,10.365,18.744166666666672,5.9,11.36,,4.575,11.97,14.076,8.98,8.855,6.663333333333334,8.57,4.3533333333333335,,,5.2540000000000004,20.165696854342837,6.698855157358831,2.6999618625793422,,,14.613999999999999,12.009589495655106,13.75,3.0517737927788127e-19,,,4.3,4.2552456766860045,5.833134270890769,3.4599908455306165,,,3.428,4.074892641025338,4.814466945688222,2.6118744176778788,,,6.582,6.555664354318488,8.070988211442288,5.449954054463398,,,6.89,7.588428178931472,7.979142651929701,6.219990923754607,,,7.0649999999999995,7.065713928413757,9.435402358928837,4.8649450068727145,,,15.802041666666668,26.706228800027397,18.744166666666672,9.532341290604122e-06,,,6.411263157894738,6.363363674065237,6.625763466284505,6.752083071564777,,,7.369999999999999,8.75285318374712,9.817109543097718,1.7787456337176655,,,,,,,7.119975000000001,5.288141763204909,8.12558189545936,8.816576419263804,,,9.6846,17.928201892512206,12.06007265625201,1.95129179666403e-05,,,12.9716,12.491643409397776,14.262558895991267,12.235265725974577,,,4.930000000000001,25.993013766406744,8.98,-1.2959190746683133e-06,,,4.2620000000000005,29.01773281994919,6.931983442427783,1.199987448820962,,,6.351333333333334,6.437127769578043,6.5971187326357565,6.1433292652070985,,,6.722,13.778542503857281,8.730429362880887,5.4899197265864235,,,2.9733333333333336,5.094181363866028,3.6562045477393825,2.0533296460825317
1996-08-31,MONSOON,2.555,11.14,4.33,6.065,6.68,6.904999999999999,6.205,8.908333333333333,4.73,5.94,6.35,3.225,5.8020000000000005,9.155,1.7,2.23,6.099999999999999,6.72,1.37,4.0125,,4.1744,11.380539594054142,1.6077618526227013,5.629886980641039,12.962499999999999,,13.2244,10.737276835401163,11.14,2.325116392349598e-19,3.9612499999999997,,4.311999999999999,4.316408408535139,3.976913284838836,4.590753203768177,4.341875,,4.4828,4.588817747811361,2.4451658066873616,3.424043135353638,6.202500000000001,,6.6212,6.596336293444657,5.8014528600368,6.872177176304905,6.314999999999999,,6.895999999999999,7.6372138908164535,6.999860618737633,7.268808972345014,6.699374999999999,,6.721,7.055534378363038,6.0381356482547135,8.222727150968588,13.061093750000001,,13.044558333333335,23.441633816627288,8.908333333333333,1.4717568794383146e-05,5.334013157894737,,5.7387578947368425,6.078508729299604,4.604532079755926,6.324922364024407,6.6325,,6.798,8.721782252789389,5.981886785536251,4.328707745796883,,10.309999999999999,6.35,11.99211174850046,4.4095781249999995,,5.561985000000001,4.994240211843656,3.226089926439167,6.031898944656224,8.64625,,8.13156,15.159428699200259,5.77787012563414,2.6987179065331096e-05,11.489651515151515,,11.44496,11.91861582801126,9.54364642260391,13.439509625415852,3.69,,3.6380000000000003,15.764445406824338,1.7000000000000002,-4.232084380861899e-06,4.0025,,3.4492000000000003,12.31569264492967,2.4414259156015543,5.3512650685744685,6.14875,,6.2508,6.429367047450273,6.132681921869148,6.480295950189245,6.1812499999999995,,6.7212,13.86653882096366,6.9538127776797305,6.438845622284896,2.659375,,2.332,5.106178332661299,2.1790619154110624,3.5440269502046373
1996-11-30,POMKH,1.69,11.77,2.83,3.05,4.33,4.415,4.955,10.75125,3.693333333333333,3.62,11.21,2.77,8.652000000000001,10.492272727272725,2.03,2.85,6.04,3.9,2.5,3.72125,4.0075,3.1806400000000004,4.560805627131202,2.6995959259820053,5.413681415267057,12.9625,12.962499999999999,12.64264,10.100759410331555,11.770000000000001,-1.2597892726470992e-19,3.8687500000000004,4.045,3.7192,4.08221858621185,3.6850598599536255,4.4829204341500795,4.93875,4.0625,3.90968,3.670069116420796,4.223726348701808,4.7118688144128065,6.2,6.1850000000000005,5.70472,6.42895064699251,5.5756345050601475,6.807000795842892,6.359999999999999,6.358749999999999,5.903599999999999,7.637787289348798,6.654064937310251,6.824294476138894,6.7631250000000005,6.5975,6.0146,6.8738179240372865,5.06855099693426,6.336271307964289,13.061093750000001,13.061093750000001,12.127235,20.228482959732652,10.75125,5.838583349320113e-06,5.566458333333332,5.268859649122807,4.920588070175439,5.70347054019504,3.643295077721838,5.788620704222614,6.8875,6.407500000000001,5.526800000000001,8.689399334053693,4.665418078072009,3.1526124403641926,,10.67,11.21,8.178633954755618,4.2115625,4.8466562500000006,4.445191,4.6729186929784365,3.3754960634079554,5.178341600439161,8.64625,8.64625,8.339736000000002,13.565594527303237,8.503874483029017,-8.491625829708535e-06,11.489651515151515,11.489651515151515,11.063885090909091,11.616532958412623,10.351697459761018,10.80189756764881,3.02,3.735,2.9948,6.9968625786420615,2.0299999999999994,2.2947845468666986e-06,3.784375,3.78375,3.2095200000000004,4.162913423390442,2.0911719171029635,3.657711919975145,6.019166666666666,6.236666666666666,6.16648,6.413130258503692,6.368809894995307,6.211125686028469,6.14875,6.17,5.59272,10.82721186126262,4.202686226664564,7.675787766220725,2.4629166666666666,2.569166666666667,2.3991999999999996,5.489369465630787,1.956661833288189,1.957642132327421
1997-02-28,POMRB,2.74,15.19,2.79,5.105,5.59,5.87,5.68,13.840625,7.273333333333331,6.51,12.95,5.32,8.161,12.235333333333333,1.87,2.95,5.44,5.58,2.775,3.335,4.017500000000001,3.004384,2.438739797452518,4.764364333477431,2.5808739865644696,12.9625,12.962499999999999,13.661584000000001,10.862426534348907,15.190000000000001,15.189964294523728,3.7225,3.8774999999999995,3.34752,3.882265069724329,3.2156368272488356,3.6022324787409667,5.030625,4.62125,4.387808,3.9947403092378297,4.246161996208409,3.5432557767440516,6.14625,6.220000000000001,5.658832,6.385137422446781,5.974331241071006,5.715049647947619,6.455625,6.271249999999999,5.89016,7.6649746166384665,6.275713516321527,5.829876000337746,6.7575,6.80125,5.8807599999999995,6.814638682329828,5.924823127606535,5.1002593628133965,13.061093750000001,13.061093750000001,12.812591000000001,18.44200040262506,13.840624999999998,13.840617736788996,5.785312499999999,5.399166666666665,5.861686175438596,5.738055984911185,6.8322191432548145,6.32670318339434,6.925,6.8575,5.9200800000000005,8.658930429572294,5.590991573683022,4.299456267368228,10.864999999999998,11.582,12.95,10.9389673004358,4.444687500000001,3.9725,4.7951146,4.805146983125762,5.609919952609621,5.620225622612527,8.64625,8.64625,8.268241600000001,11.460860504242305,8.137373169783626,8.160962283833943,11.489651515151515,11.489651515151515,11.532464387878788,11.657582462707072,12.101036649674516,11.776798145946518,2.345,3.6449999999999996,2.54488,2.6564925136423216,2.2300000000000004,2.2299923506959556,3.3837499999999996,4.22125,3.1057120000000005,2.1271714264511297,2.9916100291574104,2.0795844482787325,6.015,6.060833333333333,5.875888,6.302685193275442,6.321947215372361,6.146317824016245,6.008750000000001,6.192499999999999,5.587632,8.82003112523226,5.809333133385198,5.72090725677781,2.420625,2.7495833333333337,2.54952,5.705845842882687,2.5230948834752844,2.221005478905063
1997-05-31,PREMON,6.715,13.75,5.49,6.805,8.12,8.605,10.06,18.744166666666672,7.238333333333332,11.6,,6.487500000000002,11.97,14.076,3.98,5.359999999999999,6.329999999999999,8.22,2.06,3.380625,3.4250000000000007,4.4886304,5.781768253347221,7.243313459292838,7.087250681792169,12.9625,12.962499999999999,13.6969504,11.23866092557083,13.750000000000002,13.749967679374674,3.73125,3.8600000000000003,4.204511999999999,4.229993262356722,5.720157853623952,4.242850139709146,4.975,5.25625,5.354684799999999,4.873702365773099,6.467453455014241,4.600240080419202,6.40875,6.18,6.6432991999999995,6.565320254601623,8.22198361332342,7.425125895443291,6.824375000000001,6.4487499999999995,6.976096,7.743361962229129,8.332409992906797,7.012203667136771,6.88,6.725,7.552455999999999,7.368175167721388,10.583265206119794,9.626929686386962,13.061093750000001,13.061093750000001,15.18522126666667,19.184346444075526,18.744166666666672,18.744148518129336,5.888333333333334,5.733749999999999,6.412345038596491,5.780071599650415,6.575632135114998,5.772031439680144,7.18625,6.9175,8.192048,8.631729101277337,10.481480660440575,10.689168060665214,,,,,4.420312500000001,4.4506250000000005,5.472068760000001,5.102474529669777,7.147614450197942,4.379821858448263,8.64625,8.64625,9.748944960000001,11.945294117970308,12.126235034643111,11.969948889334326,11.489651515151515,11.489651515151515,12.549878632727273,12.04881562748781,14.248738138049571,13.487557508077872,2.3262500000000004,2.3949999999999996,3.1189280000000004,2.8511577881424093,8.938116343490305,9.010621754451552,3.498125,3.3475,4.0074272,5.238807202517392,7.50131480736062,7.146077413590604,6.191249999999999,5.977499999999999,6.0575328,6.352692430922003,6.684244293754068,5.942692206022059,6.20625,6.104999999999999,6.6405792,8.662620306918088,8.911851615720284,7.669470244528638,2.7525,2.1762500000000005,2.353712,5.231166255503629,4.332374927698695,4.064959038047643
1997-08-31,MONSOON,1.835,11.14,3.23,4.26,6.41,6.96,6.465,8.908333333333333,5.1425,6.0,6.35,3.1775,5.8020000000000005,9.155,1.3,2.52,6.4,5.95,3.325,3.5887500000000006,3.245000000000001,3.42717824,2.9493217009239787,1.4227786477710396,2.731527947780953,12.962499999999999,12.962499999999999,12.674170239999999,10.835973967274146,11.140000000000002,11.13997381441701,4.15625,3.5850000000000004,3.8147072,4.087083335612941,3.877936318969234,4.126678987308576,5.27125,4.804999999999999,4.91681088,4.340209347598344,4.58300613406894,6.491669796953707,6.9825,6.1125,6.549979519999999,6.5816763406966725,6.077340085490017,6.519145940409108,7.46625,6.462499999999999,6.9696576,7.7898574138086785,7.353127960254909,7.153996194343966,7.047500000000001,6.789999999999999,7.117473599999999,7.356783460045995,6.622222291716815,6.4958952331035675,13.061093750000001,13.061093750000001,12.674466093333336,14.7645400496602,8.908333333333331,8.908323674235165,5.924270833333333,5.836874999999998,5.904407023157894,5.605856765172252,4.937273408284362,5.022079532627733,7.508750000000001,6.9325,7.3152288,8.601174008707092,6.255847012379601,5.724574659720723,9.215,9.4892,12.95,9.72573592042518,4.318125,4.438750000000001,4.554241256000001,4.829321053667025,3.0482416752274917,5.107675660478117,8.64625,8.64625,8.170166976,8.702103804739467,5.833356710820361,5.801980157801003,11.489651515151515,11.489651515151515,11.191927179636362,11.518143517069253,9.478410964533193,10.096112624447093,2.5025,2.295,2.3913568,1.2376193047636812,1.0772828630842302,2.0800198799051124,3.7368749999999995,3.42,3.41245632,2.7673680794793545,2.744152284764403,2.562147652105243,6.655416666666667,6.052499999999999,6.19451968,6.406283936201961,6.147953728392945,6.132701063960217,6.715,5.912499999999999,6.364347520000001,7.181919282358624,7.060742398246669,6.543452241275319,2.956875,2.665,2.7422272,5.31083579188178,1.3719667361570345,0.9119852162290301
1997-11-30,POMKH,2.775,11.77,4.0,4.41,6.7,7.31,5.675,10.75125,4.105,5.65,11.21,2.6225,8.652000000000001,10.492272727272725,2.28,3.475,7.15,6.25,3.2,3.755208333333333,3.516250000000001,3.1663069439999996,2.4127496711897938,2.38070671981625,2.053639187936648,12.9625,12.962499999999999,12.312502144,10.773373577213414,11.770000000000001,11.76997233354472,4.2625,3.877500000000001,3.88882432,4.115701480880927,3.2600023550289237,3.155654684025001,5.081875,5.144999999999999,4.714086528,4.1094597620241,4.206355729656174,3.592340228769439,7.27,6.705,6.609987711999999,6.621943004663812,5.312803679715596,5.078334212601889,7.751874999999999,7.186249999999999,7.10579456,7.842233945586967,7.007332278304349,5.4914303864912934,7.018125000000001,6.969999999999999,6.54048416,7.237589458305983,5.483854467220395,5.385287720731403,13.061093750000001,13.061093750000001,11.905179656000001,12.269009106793165,10.751249999999999,10.751241801069575,5.741458333333333,5.9397916666666655,5.184644213894737,5.336374615764965,3.955268688594832,4.2748302700848955,7.3425,7.44,6.64913728,8.57052303381693,4.704473935631439,3.3352395893004187,10.43,10.177520000000001,5.58213296398892,10.446695521630055,3.9953125000000003,4.401875,3.7815447536000004,4.509720185824784,3.2337299129913504,3.9903776783590157,8.64625,8.64625,8.362900185600001,8.063766276428467,8.550407893866032,8.651993069705922,11.489651515151515,11.489651515151515,10.912065398690908,11.262086561169495,10.444255620060034,10.511449700759767,3.08125,2.3575,2.3468140799999997,1.6163678261487768,1.3742680552629034,1.7984718684977339,3.778125,3.5762500000000004,3.437473792,3.161821044014952,2.5150889697199226,3.0034174712671033,7.002083333333333,6.33,6.576711808000001,6.57251014238685,6.432739941385444,6.21852634051708,6.978125,6.499999999999999,6.318608512000001,6.334733228761183,4.217120481573279,4.614574434140879,3.72,2.84,2.9253363200000004,5.138349730745171,2.5160406977614675,3.1107331379447904
1998-02-28,POMRB,3.32,15.19,5.02,6.115,7.81,8.11,6.3000000000000025,13.840625,7.149166666666666,7.06,12.95,4.65,8.161,12.235333333333333,3.03,4.235,8.043333333333333,7.3,3.71,4.156354166666667,3.6612500000000012,3.2277841663999998,2.8534349837348123,4.7968457601411565,2.826802371817398,12.9625,12.962499999999999,13.4635012864,11.932912113301866,15.190000000000001,15.189999425946954,4.1937500000000005,4.4350000000000005,4.341294592,4.332621626680592,3.3101649794804775,3.3750541504995666,4.303750000000001,5.397499999999998,5.2744519168,4.681203279930015,4.981681169597854,4.27452349883253,7.296875,7.260000000000001,7.089992627199999,6.755573537884315,6.154136070722928,5.860584683952931,7.941249999999999,7.746249999999999,7.507476735999999,7.909102523785818,6.628980861227868,6.843146875280648,7.0512500000000005,7.125,6.444290496000001,7.219429930534443,6.34473917470869,5.852517730942888,13.061093750000001,13.061093750000001,12.679357793600001,12.070886254363675,13.840624999999998,13.840626834216378,5.522604166666667,5.9087499999999995,5.970453195003509,5.414220619276973,7.285169035198461,6.865485773723015,7.39875,7.577500000000001,6.813482367999999,8.540864712855958,6.443431529310793,6.1529323470806885,10.865,11.286512,11.023768464023453,9.965268715327307,3.7621875000000005,4.234375,4.128926852160001,4.560503796967607,5.466566597633842,5.376705380885923,8.64625,8.64625,8.28214011136,7.544535747085,8.176398067727133,8.161005349515257,11.489651515151515,11.489651515151515,11.441372572547877,11.350625956151127,12.170773972635484,11.96671876328098,3.6009375,2.6475,2.6200884479999997,2.846394315484409,1.3958169329711039,2.226095967827576,4.3675,3.897500000000001,3.7564842752,4.479976574421698,3.3155474465113612,2.284823751405342,7.132083333333334,6.980833333333332,7.163360418133333,6.857134042823603,6.564643972913605,6.487881504575322,7.135833333333333,6.93,6.7111651072,6.459510951254566,5.989162119660109,5.559947548779059,4.696875,3.07375,3.2392017920000002,5.124161430589846,3.054231127868385,2.8118117007017274
1998-05-31,PREMON,7.466666666666666,13.75,4.11,4.279999999999999,8.2,8.65,9.205,18.744166666666672,5.9,9.72,,4.575,11.97,14.076,7.45,4.405,6.5,8.605,7.23,4.466354166666666,3.849166666666668,4.923337166506666,8.620305754193703,7.4128298789988465,6.735564807300149,12.9625,12.962499999999999,13.578100771839999,12.539102509883469,13.750000000000002,13.749999480366732,4.15625,4.09,4.2487767552,4.33825029255401,6.5103101698313885,5.471653769121791,3.6793750000000003,4.766249999999998,4.87667115008,4.261401121785012,7.353007636783088,6.2064918511947935,7.165625,7.280000000000001,7.533995576319999,6.912143770411267,8.656328577553998,8.05118230850805,8.282499999999999,7.757499999999999,7.964486041599999,7.98560547268938,8.685677340694527,8.539540357113761,7.265625,6.911249999999999,7.5485742976,7.6050586087105945,10.931208644896213,9.818704515065004,13.061093750000001,13.061093750000001,15.10528134282667,14.67495243039382,18.744166666666672,18.744165081576362,5.419583333333334,5.574166666666666,5.942271917002106,5.365500996946811,7.067345072796599,6.454107729579265,7.7475000000000005,7.1075,7.976089420799999,8.512968427621736,11.303039162188723,11.078585317457911,,,,,3.7865625,3.7562499999999996,4.307356111296,4.591651000992056,6.858478415726357,4.63004207168783,8.64625,8.64625,9.757284066816,9.668369728627665,12.158962974248377,11.970004777187652,11.489651515151515,11.489651515151515,12.495223543528727,11.789585074007789,14.219650854973448,13.614959522390226,3.6656250000000004,3.5149999999999997,4.5520530688,10.480198856865082,5.385447108738623,5.477820060255556,4.983750000000001,3.6587500000000013,4.01589056512,4.984337841391175,7.56298620703808,6.969985138723483,7.240208333333333,7.023333333333333,6.89801625088,6.849187774922947,7.330358848949404,7.205082452122734,7.105104166666667,7.026250000000001,7.46869906432,7.4706920584452305,8.909237415949606,8.456580287221595,5.327500000000001,4.36625,4.835521075200001,6.862417400648924,4.324329576727455,3.905570698930157
