Date,Season,Bangana,Haroli,Una,Amb,Bangana_Trend,Bangana_SMA,Bangana_EWMA,Bangana_DES,Bangana_TES,Bangana_ARIMA,Haroli_Trend,Haroli_SMA,Haroli_EWMA,Haroli_DES,Haroli_TES,Haroli_ARIMA,Una_Trend,Una_SMA,Una_EWMA,Una_DES,Una_TES,Una_ARIMA,Amb_Trend,Amb_SMA,Amb_EWMA,Amb_DES,Amb_TES,Amb_ARIMA
1996-02-29,POMRB,1.9944444444444445,57.77,5.75,4.56,,,1.9944444444444445,1.4121105200200499,2.0044444444444443,0.0,,,57.77,46.65579342520155,35.20010430176997,0.0,,,5.75,8.328730908902406,7.357165857092125,0.0,,,4.56,4.32997993144239,4.5385082672272645,0.0
1996-05-31,PREMON,3.0636666666666668,35.095,9.3325,5.218571428571429,,,2.422133333333333,1.445431878493719,3.0831126500461683,1.346779126335266e-07,,,48.7,39.41162042448181,40.94443832697517,57.76574214967689,,,7.183,8.303490661491564,8.510710637431371,5.749982322973311,,,4.823428571428572,4.533983558926319,4.978500629493591,4.559991915177767
1996-08-31,MONSOON,0.8816666666666666,32.0775,6.467499999999999,3.2678571428571432,1.7926825396825397,,1.8059466666666664,1.0756436685401096,0.910007609415725,2.314741300016967e-07,30.625625,,42.051,33.47649148472757,40.93305758295892,46.117403295889886,7.891388888888889,,6.8968,8.278326880141002,4.996658289091206,8.124441031676898,4.175178571428572,,4.2012,4.30760036257512,3.139812993321488,4.9077261697178605
1996-11-30,POMKH,1.2309523809523808,9.32,8.965555555555557,3.55,1.7926825396825397,1.7926825396825399,1.5759489523809522,0.9026929419578598,1.2676416205480858,3.6956073891965944e-08,26.207187499999996,33.565625000000004,28.9586,25.062723078824433,32.51595924993664,41.01632055094063,8.395138888888889,7.628888888888889,7.724302222222223,8.25323937961927,6.467102738265504,6.47433831987138,4.225625,4.149107142857143,3.94072,4.181720333296324,4.143878304572343,4.263717908387065
1997-02-28,POMRB,1.9944444444444445,34.25,7.85,4.768571428571428,1.7926825396825394,1.7926825396825399,1.743347149206349,0.9681814894776517,2.038939964599588,1.9944442387379502,24.5378125,27.685625,31.075160000000004,23.178149912781766,32.09976899444261,31.638385676802592,8.617496843434344,8.153888888888888,7.774581333333334,8.228227897424787,8.540432068794814,6.91903462084211,4.134732142857143,4.20125,4.271860571428571,4.32439166851473,4.6695196118994895,4.104474446116846
1997-05-31,PREMON,3.0636666666666668,23.2675,11.2625,5.413571428571428,1.7926825396825399,1.79268253968254,2.271474956190476,1.3152373165776468,3.1154344096228432,3.063666332381564,27.287499999999998,24.728749999999998,27.952096000000004,20.14342298197842,33.58598112185132,32.31937435116838,8.315535353535353,8.636388888888888,9.1697488,8.203292242443164,10.034018500962143,9.289123461746001,4.044821428571429,4.25,4.728544914285714,4.568541628163759,5.131883619979376,4.48127578170199
1997-08-31,MONSOON,0.8816666666666666,30.55,6.316363636363636,2.345714285714286,1.7926825396825397,1.7926825396825399,1.7155516403809523,1.1320238921988954,0.9401805380077846,0.8816665316135909,30.118125,24.346875,28.991257600000004,19.406005421457998,32.58929442608198,30.137392176117917,7.765465909090909,8.598604797979796,8.028394734545454,8.178432112406139,6.670819396588151,7.964891038750423,4.018035714285714,4.019464285714286,3.775412662857143,4.150728944078969,3.3052001095103916,4.2072984040196015
1997-11-30,POMKH,1.2309523809523808,32.845,6.7010000000000005,3.752857142857143,1.7926825396825397,1.7926825396825397,1.5217119366095238,1.0689136343482402,1.2956952876697478,1.2309522376404431,31.4865625,30.228125000000006,30.53275456,19.647584367249184,25.518896856929878,30.23209934525569,7.042585227272727,8.032465909090906,7.497436840727273,8.15364732465442,7.4642110586419195,8.003465373913285,3.9415178571428573,4.070178571428571,3.766390454857143,4.095963955318846,3.995575257576001,3.745668867105911
1998-02-28,POMRB,1.9944444444444445,33.370000000000005,5.714,4.351428571428571,1.7926825396825394,1.7926825396825394,1.710804939743492,1.213217415279454,2.0649082535406142,1.9944443516615684,33.346875000000004,30.008125000000007,31.667652736,20.34714441006149,31.37469446291111,30.813818413885624,6.533617424242425,7.498465909090905,6.784062104436364,8.128937638969559,8.32769999107459,6.4545161787854015,4.147678571428571,3.9658928571428573,4.000405701485715,4.17174003089216,4.62250618446355,4.107918693610224
1998-05-31,PREMON,3.0636666666666668,35.095,7.615454545454546,5.218571428571429,1.7926825396825399,1.7926825396825397,2.2519496305127618,1.6378541401800983,3.139355196216963,3.063666514951324,33.89625,32.965,33.0385916416,21.640614962275233,32.82404410984428,31.372194504811468,6.398217803030304,6.586704545454542,7.116619080843638,8.104302852797872,9.107893714629395,9.12605524469838,4.468571428571429,3.9171428571428577,4.48767199232,4.406490219557072,4.978109032803893,4.46726948280848
1998-08-31,MONSOON,0.8816666666666666,33.605000000000004,5.8916666666666675,4.19,1.7926825396825397,1.7926825396825394,1.7038364449743237,1.4880902624741772,0.9620953755791124,0.8816666022558235,31.271250000000002,33.728750000000005,33.26515498496,22.783126903029494,34.43206241181623,32.175845730993835,6.416863636363637,6.4805303030303,6.626638115172849,8.079742707723025,4.735430667322091,5.697030267410669,4.593392857142858,4.378214285714286,4.368603195392,4.389594156065905,3.139534349867469,3.5973384885708293
