Date,Season,Samalkha,Israna,Panipat,Bapoli,Madlauda,Samalkha_Trend,Samalkha_SMA,Samalkha_EWMA,Samalkha_DES,Samalkha_TES,Samalkha_ARIMA,Israna_Trend,Israna_SMA,Israna_EWMA,Israna_DES,Israna_TES,Israna_ARIMA,Panipat_Trend,Panipat_SMA,Panipat_EWMA,Panipat_DES,Panipat_TES,Panipat_ARIMA,Bapoli_Trend,Bapoli_SMA,Bapoli_EWMA,Bapoli_DES,Bapoli_TES,Bapoli_ARIMA,Madlauda_Trend,Madlauda_SMA,Madlauda_EWMA,Madlauda_DES,Madlauda_TES,Madlauda_ARIMA
1997-08-31,MONSOON,10.73,5.675,8.3,9.533333333333333,6.672499999999999,11.300416666666667,11.121666666666664,11.14992192,11.421039573427205,13.207631436074493,12.160597586999378,4.308354166666667,3.933958333333333,4.42590112,5.278931367934656,4.1348039982840366,3.712980593352129,8.365833333333333,8.387083333333333,8.569099520000002,9.679770542375985,8.576920305140238,8.675762887056255,8.666666666666668,10.100833333333334,9.824268693333334,9.742974196087694,11.591086988606966,10.558126955098324,5.917583333333333,6.272125000000001,6.441955519999999,6.303530176934177,5.719466816743857,5.928798363799332
1997-11-30,POMKH,12.1,3.4680000000000013,8.006666666666666,5.935,4.528333333333333,11.265416666666665,11.366666666666665,11.529953152000001,11.613938975048432,11.189923510944206,10.70051102855445,4.172208333333334,4.313458333333333,4.042740672000001,4.256158064794889,2.296367900943761,2.999819102266835,7.982291666666667,8.29875,8.344126378666667,9.392986534777604,8.280904469181602,8.302337115085853,7.87875,9.009583333333335,8.268561216,9.068729940599626,10.432180415178529,10.001190823400844,5.712458333333333,5.964208333333334,5.676506645333332,6.088153190279193,6.410156506337776,6.103206339129504
1998-02-28,POMRB,10.84,4.466666666666667,7.35,7.7666666666666675,5.305,11.556666666666667,11.234166666666665,11.2539718912,11.428366541556208,11.761533002776204,11.559383728190388,3.858041666666667,4.30325,4.212311069866667,4.425075081198117,4.192836654808717,4.274163355708291,7.561041666666666,8.432916666666667,7.9464758272000005,8.922516455943073,6.870629433779007,6.560879488595266,7.057083333333333,8.323750000000002,8.067803396266667,8.808114976018762,8.59839502429751,8.41639132081466,5.484145833333333,5.870958333333333,5.527903987199999,6.008977663686949,6.405652461958237,6.195484692907804
1998-05-31,PREMON,11.516666666666666,2.555,6.47,6.5,5.71,11.640416666666667,11.296666666666665,11.359049801386668,11.455665065070908,11.836389861404719,11.285313751914712,3.5480833333333335,4.041166666666667,3.54938664192,2.975964831150001,4.426328991988363,3.865016321415845,7.208333333333333,7.531666666666667,7.35588549632,8.247109578788,10.085740739573207,10.07575982513092,7.073333333333333,7.433750000000002,7.44068203776,8.320222726682985,8.619093222296925,8.544086948997252,5.460613095238095,5.553958333333334,5.60074239232,5.9964006956142155,6.18809861161866,5.8966153041800276
1998-08-31,MONSOON,12.81,4.21,8.535,6.52,6.114,11.428541666666668,11.816666666666666,11.939429880832002,11.835634253049502,12.070655402561517,10.574956305808223,3.156354166666667,3.6749166666666673,3.813631985152,3.6348522240575503,5.338027240256828,4.703252635185884,7.35125,7.590416666666667,7.8275312977919995,8.198462804243375,7.938856437438951,7.69420460676796,7.599166666666666,6.68041666666667,7.072409222656001,7.886108104969285,9.573479853196643,8.833119020507288,5.701267857142858,5.414333333333334,5.806045435392,6.041390120160541,5.56538716365753,6.0363300528592765
1998-11-30,POMKH,10.69,2.453333333333333,4.95,9.078333333333333,4.898571428571429,11.464062499999999,11.464166666666666,11.439657928499201,11.570060155652044,12.642066806228176,12.749659334298167,2.9008333333333334,3.42125,3.269512524424533,2.6569300463927727,3.01387530612594,3.5942024285317125,8.08078125,6.82625,6.6765187786752,7.2265456058033095,7.721549594538509,7.847362428419311,7.997083333333334,7.466250000000003,7.874778866926933,8.007693569450431,7.770816978235027,7.212389658573608,5.875392857142858,5.506892857142859,5.443055832663772,5.912236748658406,6.202128371682439,5.5456958996220465
1999-02-28,POMRB,10.555,2.3475,11.55,8.83,6.860000000000001,11.758958333333332,11.392916666666665,11.08579475709952,11.304594199798865,11.568537570105015,11.09579498577348,2.9502083333333333,2.891458333333333,2.9007075146547194,2.137471425561566,4.1702076648922475,3.941009986986971,8.6371875,7.876250000000001,8.625911267205119,8.156667009941733,6.693252682665413,7.305688844364317,8.877083333333333,7.732083333333337,8.25686732015616,8.082474727156754,7.887076203096777,8.483772163177905,5.960267857142857,5.8956428571428585,6.009833499598264,6.071662696835154,6.274763336958229,5.6601399652312985
1999-05-31,PREMON,12.085833333333332,2.63,8.10625,8.620000000000001,5.547999999999999,11.752708333333333,11.535208333333332,11.485810187593046,11.5015507291314,11.958393589762265,10.988443275916728,3.0341666666666667,2.9102083333333333,2.7924245087928314,2.2226898192411007,2.8250426293990794,2.848578671867245,9.5559375,8.2853125,8.41804676032307,8.108403285971189,6.69991680248277,5.663686241068698,9.732291666666667,8.262083333333337,8.402120392093696,8.119206983574053,8.092685943066632,7.928055077648576,6.295571428571429,5.855142857142858,5.8251000997589575,6.0283044645512485,6.282102123899508,5.642671593448132
1999-08-31,MONSOON,14.6,4.53,11.35,11.44,6.955,11.582291666666666,11.982708333333331,12.731486112555828,12.367896497436845,12.880054635145065,12.687245085144472,3.1165625,2.9902083333333334,3.487454705275699,4.271396284517367,4.372016610791728,3.613370770733602,9.4603125,8.9890625,9.590828056193843,8.9667137353661,8.872846317978844,8.932127104509139,9.6475,9.492083333333337,9.617272235256216,8.726318164225221,9.49111150900768,7.839480684098472,6.425333333333334,6.065392857142858,6.2770600598553745,6.185371977172986,5.625240562401105,5.745408964214631
1999-11-30,POMKH,8.85,2.805,9.485,11.0,6.74,11.758333333333333,11.522708333333332,11.178891667533495,11.511103029671654,12.167062363741634,11.762221105387935,3.23625,3.078125,3.214472823165419,3.7606615708462012,2.533454177288834,2.8787893306868337,8.72078125,10.122812499999998,9.548496833716305,9.247655220520986,5.873408904444039,5.1212053504959645,9.12875,9.972500000000004,10.170363341153731,9.204593251234058,9.57428247077934,7.730858918104298,6.423916666666667,6.52575,6.462236035913225,6.29172233368593,6.366184423289993,5.913263029893361
