Date,Season,Jakhama,Jakhama_Trend,Jakhama_SMA,Jakhama_EWMA,Jakhama_DES,Jakhama_TES,Jakhama_ARIMA
1996-02-29,POMRB,6.185,,,6.185,4.259412452311053,6.195000120342245,0.0
1996-05-31,PREMON,4.924666666666666,,,5.680866666666666,3.6322989559237295,4.944112669393043,-6.4285826495201035e-12
1996-08-31,MONSOON,4.29875,5.0149375,,5.128019999999999,3.1585154125755035,4.327090886027892,-8.283801554119928e-12
1996-11-30,POMKH,4.6513333333333335,5.0149375,5.0149375,4.937345333333333,3.04231772429015,4.688022425313667,-1.3399983050275792e-11
1997-02-28,POMRB,6.185,5.014937499999999,5.0149375,5.4364072,3.5518405102517874,6.221601648276557,6.07790926556769
1997-05-31,PREMON,4.924666666666666,5.014937499999999,5.0149375,5.231710986666666,3.688166576563066,4.9615214604741125,4.839398086203021
1997-08-31,MONSOON,4.29875,5.0149375,5.0149375,4.858526592,3.669186401097503,4.336177536151577,4.224318909516429
1997-11-30,POMKH,4.6513333333333335,5.0149375,5.0149375,4.775649288533334,3.81371605234895,4.689631352654858,4.570797407261199
1998-02-28,POMRB,6.185,5.014937499999999,5.0149375,5.33938957312,4.4945552044919035,6.222781651606527,6.0779092655676905
1998-05-31,PREMON,4.924666666666666,5.014937499999999,5.0149375,5.173500410538667,4.697663265364894,4.962022960655469,4.839398086203021
1998-08-31,MONSOON,4.29875,5.0149375,5.0149375,4.8236002463232,4.654777794755463,4.335782542275496,4.224318909516429
1998-11-30,POMKH,4.6513333333333335,4.975604166666667,5.0149375,4.754693481127253,4.716548554069662,4.688153085169006,4.5707974072612
1999-02-28,POMRB,6.185,4.936270833333333,5.0149375,5.3268160886763525,5.2832158755429806,6.221376097234116,6.0779092655676905
1999-05-31,PREMON,4.61,4.9362708333333325,4.936270833333333,5.040089653205811,5.239745334312275,4.960618336455651,4.839398086203021
1999-08-31,MONSOON,4.29875,4.936270833333333,4.936270833333333,4.743553791923487,5.059111519898972,4.316869427223562,4.224318909516429
1999-11-30,POMKH,4.6513333333333335,4.936270833333333,4.936270833333333,4.706665608487426,4.990245540785361,4.669179097788248,4.5707974072612
2000-02-29,POMRB,6.185,4.936270833333333,4.936270833333333,5.297999365092456,5.434473129895699,6.2025792652251495,6.0779092655676905
2000-05-31,PREMON,4.61,4.9362708333333325,4.936270833333333,5.022799619055474,5.289033838556875,4.693606296595661,4.530179743616339
2000-08-31,MONSOON,4.29875,4.936270833333333,4.936270833333333,4.733179771433284,5.031274102492882,4.3260285967564585,4.224318909516429
2000-11-30,POMKH,4.6513333333333335,4.936270833333333,4.936270833333333,4.700441196193304,4.9082726955520055,4.677666934816526,4.5707974072612
2001-02-28,POMRB,6.185,4.936270833333333,4.936270833333333,5.294264717715983,5.313803132900259,6.210401933663619,6.0779092655676905
2001-05-31,PREMON,4.61,4.9362708333333325,4.936270833333333,5.020558830629589,5.148942562870657,4.6484403721377285,4.530179743616339
