Date,Season,Dadri,Dankaur,Jewar,Bisarakha,Dadri_Trend,Dadri_SMA,Dadri_EWMA,Dadri_DES,Dadri_TES,Dadri_ARIMA,Dankaur_Trend,Dankaur_SMA,Dankaur_EWMA,Dankaur_DES,Dankaur_TES,Dankaur_ARIMA,Jewar_Trend,Jewar_SMA,Jewar_EWMA,Jewar_DES,Jewar_TES,Jewar_ARIMA,Bisarakha_Trend,Bisarakha_SMA,Bisarakha_EWMA,Bisarakha_DES,Bisarakha_TES,Bisarakha_ARIMA
1998-11-30,POMKH,4.33,14.9,12.84,5.2,4.98125,5.119999999999999,4.9062599452672,5.04120011893826,5.346753584203824,5.5476521753823915,14.9875,15.099999999999998,14.840908086272,15.083693109908586,14.601585693916594,15.165399608739738,12.776250000000001,12.595000000000006,12.67475006976,12.131514235548634,11.658725873124451,12.387685212927753,5.98125,5.9275,5.7056819433472,5.805726496545748,6.635289030069011,5.768678141909218
1999-02-28,POMRB,4.83,14.53,12.805,6.43,5.036250000000001,4.972499999999998,4.87575596716032,4.838123362919015,5.0675760076956635,5.165626695140541,14.875,15.032499999999999,14.7165448517632,15.055140293828142,14.822148120332166,15.213580462315218,12.93,12.726250000000006,12.726850041856,12.176245546525115,12.432489449905898,12.369372426844427,6.051875,5.98125,5.99540916600832,6.097947406600148,6.4204890303926625,5.869666689257524
1999-05-31,PREMON,6.61,15.14,13.93,6.43,5.1499999999999995,4.989999999999998,5.569453580296192,5.306977469005659,6.269728992908244,5.686258402525231,14.70875,14.942499999999999,14.88592691105792,15.241453676068817,14.939841314783813,15.001879139856857,13.020000000000001,12.826250000000005,13.2081100251136,12.611699843860679,14.527346630853446,12.968851813681955,7.644814814814815,5.98125,6.169245499604992,6.274001170422796,7.817521939899166,6.111990085921376
1999-08-31,MONSOON,4.56,14.66,12.56,6.43,5.29875,5.082499999999998,5.165672148177714,5.035669887910539,4.289608995378373,4.6319620587673,14.553749999999999,14.807499999999997,14.795556146634752,15.196473117050612,14.5479541710457,14.88625451578538,12.940625,13.033750000000005,12.94886601506816,12.40893151620428,12.647819008364284,12.620581125091,10.461782407407409,6.1225000000000005,6.2735472997629955,6.3800679393968265,4.740765386710645,6.267595679720551
1999-11-30,POMKH,4.87,14.11,12.73,17.37851851851852,5.38625,5.217499999999998,5.0474032889066285,4.912509358215329,4.631187454314206,4.6918326452494385,14.43125,14.609999999999998,14.521333687980851,14.963168011799791,14.714458538837427,14.864736491074806,12.825,13.006250000000005,12.861319609040898,12.341972265032888,12.061306040535003,13.007862762040574,13.309638310185186,9.16712962962963,10.715535787265205,10.871364469073013,6.897553783840468,6.0305546727300845
2000-02-29,POMRB,5.48,14.08,12.28,16.787222222222226,5.342499999999999,5.379999999999997,5.220441973343977,5.03106189970738,5.056896124903547,4.981202344296535,14.319999999999999,14.497499999999999,14.34480021278851,14.780261816158827,14.615023469359421,14.645345369738731,12.67125,12.875000000000005,12.628791765424538,12.141516516588153,12.623718351291721,12.904951433046673,15.999021990740744,11.756435185185186,13.144210361248014,13.338116995445146,12.029054483673972,11.260530213770007
2000-05-31,PREMON,6.66,14.61,13.53,18.855625000000003,5.3525,5.392499999999997,5.796265184006386,5.567103028170353,6.734482348818631,5.9878374067036795,14.305,14.364999999999998,14.450880127673106,14.830779757942828,14.646636432310668,14.355256006155638,12.392211538461538,12.775000000000004,12.989275059254723,12.46233349733231,14.423254147028016,13.114769316207408,17.1352025462963,14.862841435185187,15.42877621674881,15.660683502890546,15.556601521758678,13.779139494777484
2000-08-31,MONSOON,4.16,14.3,11.73,15.519444444444444,5.44,5.292499999999998,5.141759110403832,5.170607686781001,4.638282970478352,5.044908002293623,14.4059375,14.274999999999999,14.390528076603864,14.752040814073817,14.170824021488654,14.291424723809246,12.199707167832166,12.567500000000003,12.485565035552835,12.03080150532864,12.421715506270676,12.747145950453307,17.1352025462963,17.1352025462963,15.465043507827064,15.710860954438203,14.582492456778162,15.82084668105814
2000-11-30,POMKH,5.35,14.35,11.327692307692304,17.37851851851852,5.460416666666666,5.412499999999997,5.225055466242299,5.220519712904112,4.829212941907634,5.0515363106875855,14.513125,14.334999999999997,14.37431684596232,14.708570610517233,14.343399681587274,14.348100725621478,12.154626675407926,12.216923076923077,12.022415944408623,11.610321068469652,11.586198972764237,12.47972000667041,17.1352025462963,17.1352025462963,16.230433512103644,16.492869204796083,16.401764617095623,18.09293281509987
2001-02-28,POMRB,5.7,14.6475,12.142272727272728,16.787222222222226,5.497916666666666,5.467499999999997,5.41503327974538,5.388865866500724,5.419018553951313,5.418641728627957,14.580625,14.476874999999996,14.483590107577392,14.7773406271244,14.4605369736103,14.35037301037521,12.237855842074591,12.182491258741258,12.070358657554266,11.632070947719734,11.76630030405969,11.941277490174878,17.1352025462963,17.1352025462963,16.45314899615108,16.72489402959595,17.269142545689242,17.826288112336687
2001-05-31,PREMON,6.603333333333333,14.9,13.307083333333333,18.855625000000003,5.518749999999999,5.45333333333333,5.890353301180561,5.856801408215691,6.761876328469424,6.077400096628002,14.626875000000002,14.549374999999998,14.650154064546436,14.909930688111958,14.748037431691703,14.418013066421933,11.102988053613053,12.12676209207459,12.565048527865892,12.066896050903122,13.862584912974217,12.464682901796817,17.1352025462963,17.1352025462963,17.414139397690647,17.701108481306218,18.445691776532982,17.76228500677524
2001-08-31,MONSOON,4.516666666666667,14.55,12.61875,15.519444444444444,5.549374999999999,5.542499999999996,5.340878647375003,5.526415299820842,4.399510069840751,4.876487354119125,14.664687500000001,14.611874999999998,14.610092438727861,14.876174935587267,14.33906855068377,14.590916222258207,9.857026515151516,12.34894959207459,12.586529116719536,12.106868644242693,12.000311185802747,12.07790663273558,17.1352025462963,17.1352025462963,16.656261416392166,16.940151826131647,16.175374561324382,17.673553077189112
2001-11-30,POMKH,5.159999999999998,14.47,1.36,17.37851851851852,5.636666666666666,5.494999999999996,5.268527188425002,5.434539906659966,5.316768861194525,5.429119185392053,14.719999999999999,14.641874999999997,14.554055463236717,14.81963511991918,14.540620102662125,14.68522023060437,9.261141098484849,9.857026515151514,8.095917470031722,8.130794586458618,11.705008246040395,12.105757464293884,17.1352025462963,17.1352025462963,16.945164257242705,17.23347768744767,17.27999034742418,18.426590493102665
2002-02-28,POMRB,6.135,14.83,12.142272727272728,16.787222222222226,5.745416666666666,5.603749999999995,5.615116313055001,5.6881083228038944,5.638698374130129,5.5633144830083054,14.844999999999999,14.687499999999998,14.66443327794203,14.901637653754547,14.63038882167703,14.62773011659838,7.559161931818182,9.857026515151514,9.714459572928124,9.40418289697983,7.726160373995487,8.920727726097272,17.1352025462963,17.1352025462963,16.881987443234515,17.171086982952783,17.753346889004675,17.60255864350264
2002-05-31,PREMON,6.866666666666667,15.16,8.54,18.855625000000003,5.86,5.669583333333329,6.115736454499668,6.169905810507131,6.745520734004009,6.129462809442358,15.00375,14.7525,14.862659966765218,15.071266590031934,14.92237205601138,14.627255074981772,6.663068181818181,8.66525568181818,9.244675743756874,8.947839245718557,11.488308672973211,10.392130723607504,17.1352025462963,17.1352025462963,17.67144246594071,17.96992548285135,18.712654856740254,18.013910672800563
2002-08-31,MONSOON,5.123333333333334,15.29,3.77,15.519444444444444,5.980625,5.8212499999999965,5.7187752060331345,5.9648720278835095,4.60377452220184,5.178865590890647,15.11,14.9375,15.03359598005913,15.232575719561593,14.543764821008415,14.791261919561281,5.78403409090909,6.453068181818182,7.054805446254124,6.961823577969414,8.639413065589794,9.539350854852906,17.1352025462963,17.1352025462963,16.810643257342207,17.10210548267433,16.322563010121897,17.07844345693333
2002-11-30,POMKH,5.47,15.0,3.04,17.37851851851852,6.0216666666666665,5.898749999999996,5.619265123619881,5.873300564790922,5.420852671030184,5.501753543309182,15.184999999999999,15.07,15.020157588035477,15.240381798625691,14.935039492921,15.01858153395931,4.694999999999999,6.873068181818182,5.448883267752475,5.429988073083518,6.081313950137062,3.541580159806645,17.1352025462963,17.1352025462963,17.03779336181273,17.33104959218875,17.361141791446567,15.85718567617426
2003-02-28,POMRB,6.79,15.15,3.43,16.787222222222226,5.944166666666666,6.0624999999999964,6.087559074171929,6.240732706763567,6.185496851690799,6.000201324074034,15.19625,15.150000000000002,15.072094552821287,15.293968480315971,15.072860887191904,15.12153853084755,4.695,4.695,4.641329960651485,4.588528953539656,5.113985317891783,7.331712068549439,17.1352025462963,17.1352025462963,16.93756490597653,17.229870938795692,17.798089237474823,16.531086603963224
2003-05-31,PREMON,6.54,15.44,8.54,18.855625000000003,5.8812500000000005,5.9808333333333294,6.268535444503158,6.466360191115257,7.07762752539544,6.515477615608983,15.143749999999999,15.220000000000002,15.219256731692772,15.429177036878768,15.321437395433682,15.123986080655529,4.484999999999999,4.695,6.200797976390891,5.862803650527991,6.3608912262182695,4.746242737421065,17.1352025462963,17.1352025462963,17.704788943585918,18.005340938496197,18.737323274792026,17.07998854956422
2003-08-31,MONSOON,4.83,15.1,3.77,15.519444444444444,6.1656249999999995,5.907499999999995,5.693121266701895,6.041050630315344,5.068731248587538,5.618637362144527,15.121250000000002,15.172500000000001,15.171554039015664,15.401070252555431,14.900630851112684,15.201607042522397,4.2749999999999995,4.695,5.228478785834534,4.996547733716517,5.626174507735341,4.227472346708258,17.1352025462963,17.1352025462963,16.83065114392933,17.12344216341565,16.336163790366374,17.214515990567637
2003-11-30,POMKH,5.26,14.77,1.36,17.37851851851852,6.583749999999999,5.854999999999995,5.519872760021137,5.792411818904706,5.46020255911531,5.660933275398313,15.110000000000001,15.115000000000002,15.010932423409397,15.261211269516282,15.098084475905313,15.246516484705841,4.2749999999999995,4.275,3.6810872715007203,3.5961139667597157,4.310518671455943,3.8115499372160593,17.1352025462963,17.1352025462963,17.049798093765006,17.343904260772504,17.368640497803675,17.994362431421568
