Date,Season,Bongaigaon,Bongaigaon_Trend,Bongaigaon_SMA,Bongaigaon_EWMA,Bongaigaon_DES,Bongaigaon_TES,Bongaigaon_ARIMA
1996-02-29,POMRB,3.8339999999999996,,,3.8339999999999996,3.321025415909705,3.8439987738447154,0.0
1996-05-31,PREMON,4.43,,,4.0724,3.3381402564209064,4.4488301997105095,3.8339955996912782
1996-08-31,MONSOON,2.233333333333333,3.1316666666666664,,3.336773333333333,3.1113410176289706,2.2598668661733043,4.131997632568931
1996-11-30,POMKH,2.15,3.00275,3.161833333333333,2.8620639999999997,2.896648038973215,2.18314080563026,3.499106435404057
1997-02-28,POMRB,3.5926666666666662,2.8825833333333333,3.1014999999999997,3.1543050666666663,2.8698279139192864,3.8684478802793762,3.7163649139808226
1997-05-31,PREMON,3.64,2.927416666666667,2.904,3.34858304,2.8605245393801795,4.43765805219712,4.2051636260962715
1997-08-31,MONSOON,2.0620000000000003,2.9855833333333335,2.861166666666667,2.833949824,2.679080666737437,2.1509139136231026,2.380003229284663
1997-11-30,POMKH,2.68,3.0287500000000005,2.993666666666667,2.7723698943999997,2.5870533510493523,2.0515921940000563,2.3041413532543302
1998-02-28,POMRB,3.528,2.9947500000000002,2.9775000000000005,3.07462193664,2.6069414081217555,3.698453122456752,3.602017297502303
1998-05-31,PREMON,4.05,2.8814999999999995,3.08,3.4647731619839996,2.6958926295667998,4.054260652300608,3.807343115128874
1998-08-31,MONSOON,1.38,2.8395,2.9094999999999995,2.6308638971904,2.47850085253728,2.1534955409964405,2.2397651414278936
1998-11-30,POMKH,2.456,2.8364374999999997,2.8534999999999995,2.5609183383142398,2.4025107768190908,2.280603212892895,2.5618197847296127
1999-02-28,POMRB,3.4159999999999995,2.8558124999999994,2.8254999999999995,2.9029510029885435,2.4490077817743723,3.534849174769512,3.5231450310046295
1999-05-31,PREMON,4.137499999999998,2.8759999999999994,2.8473749999999987,3.3967706017931256,2.5857791791464146,3.9580735079801515,3.8872496254656714
1999-08-31,MONSOON,1.4475,2.8663749999999992,2.8642499999999984,2.6170623610758756,2.4085164747537093,1.7467952566777445,1.8160802966426015
1999-11-30,POMKH,2.55,2.764375,2.8877499999999987,2.5902374166455253,2.371618936220795,2.3226549496693725,2.5281223948246154
2000-02-29,POMRB,3.245,2.7465625,2.844999999999999,2.852142449987315,2.4229828322690876,3.45834859216935,3.433549305147393
2000-05-31,PREMON,3.4925,2.892625,2.683749999999999,3.1082854699923894,2.5069999615339547,3.9960437530461212,3.966578751556141
2000-08-31,MONSOON,1.95,2.97525,2.809374999999999,2.6449712819954336,2.4106725145946406,1.5025639004903193,1.6813254839934837
2000-11-30,POMKH,3.216,2.9488125000000003,2.9758749999999985,2.8733827691972604,2.469907240334288,2.3783054729426247,2.5639201132293623
2001-02-28,POMRB,3.24,2.9245,2.9746249999999987,3.0200296615183566,2.5338716818467257,3.3989851617242506,3.3083486434878058
2001-05-31,PREMON,3.286,2.82325,2.9229999999999987,3.1264177969110136,2.6043810102256764,3.8271129476503774,3.6574709977738618
2001-08-31,MONSOON,1.962,2.70675,2.925999999999999,2.660650678146608,2.517744476439296,1.7365785046383988,1.902570778070953
2001-11-30,POMKH,2.394,2.5369375000000005,2.7204999999999986,2.553990406887965,2.4857760515060723,2.757294196313833,2.9378107886058475
2002-02-28,POMRB,3.13,2.3581250000000002,2.6929999999999983,2.7843942441327787,2.54379619395037,3.222609987288798,3.2475482346284843
2002-05-31,PREMON,2.0375,2.3753749999999996,2.3808749999999983,2.4856365464796673,2.4724335348039577,3.488276697629456,3.4135193410620395
2002-08-31,MONSOON,1.78,2.450125,2.335374999999998,2.2033819278878,2.3738930357290133,1.606114012790717,1.983857887120524
2002-11-30,POMKH,2.7139999999999995,2.5239375,2.415374999999998,2.40762915673268,2.3904353348556944,2.354320596025364,2.634239870024172
2003-02-28,POMRB,3.408,2.5735,2.484874999999998,2.807777494039608,2.491466705741932,2.998521985988661,3.15570187592132
2003-05-31,PREMON,2.35,2.5267500000000003,2.562999999999998,2.6246664964237647,2.466085057370723,2.7395470366416443,2.6413454466409645
2003-08-31,MONSOON,1.864,2.464,2.5839999999999983,2.3203998978542586,2.3846090406058105,1.659301611772546,1.9241212551629472
2003-11-30,POMKH,2.256,2.3204999999999996,2.4694999999999983,2.294639938712555,2.3528800598067323,2.4954560502654446,2.6879832470831877
2004-02-29,POMRB,3.364,2.26025,2.4584999999999986,2.722383963227533,2.455440411532555,3.0973948737795256,3.2679537642864154
2004-05-31,PREMON,1.246,2.38725,2.1824999999999988,2.1318303779365197,2.3058632191957757,2.485197785376575,2.4932577096607016
2004-08-31,MONSOON,2.4859999999999998,2.4175625,2.3379999999999983,2.2734982267619115,2.3080824825226554,1.5545652422767748,1.9345942589128242
2004-11-30,POMKH,2.65,2.56975,2.4364999999999983,2.424098936057147,2.3315881474657907,2.277093514487433,2.458454370909046
2005-02-28,POMRB,3.2125000000000004,2.575375,2.3986249999999982,2.7394593616342884,2.4232791475205353,3.160248008296159,3.2888531586610203
2005-05-31,PREMON,2.615,2.3396250000000003,2.740874999999998,2.689675616980573,2.4429380902188975,1.8927587838190725,1.8411057290237989
2005-08-31,MONSOON,1.162,2.301979166666667,2.4098749999999978,2.078605370188344,2.2899741487538288,2.1055886421160097,2.2846333588477012
2005-11-30,POMKH,2.088,2.4204583333333334,2.269374999999998,2.0823632221130066,2.2511841819058143,2.3978335966463407,2.5769722273992146
