Date,Season,Hussainabad,Chhatarpur,Chainpur (bashandi),Daltonganj,Panki,Bishrampur,Patan,Leslieganj,Hussainabad_Trend,Hussainabad_SMA,Hussainabad_EWMA,Hussainabad_DES,Hussainabad_TES,Hussainabad_ARIMA,Chhatarpur_Trend,Chhatarpur_SMA,Chhatarpur_EWMA,Chhatarpur_DES,Chhatarpur_TES,Chhatarpur_ARIMA,Chainpur (bashandi)_Trend,Chainpur (bashandi)_SMA,Chainpur (bashandi)_EWMA,Chainpur (bashandi)_DES,Chainpur (bashandi)_TES,Chainpur (bashandi)_ARIMA,Daltonganj_Trend,Daltonganj_SMA,Daltonganj_EWMA,Daltonganj_DES,Daltonganj_TES,Daltonganj_ARIMA,Panki_Trend,Panki_SMA,Panki_EWMA,Panki_DES,Panki_TES,Panki_ARIMA,Bishrampur_Trend,Bishrampur_SMA,Bishrampur_EWMA,Bishrampur_DES,Bishrampur_TES,Bishrampur_ARIMA,Patan_Trend,Patan_SMA,Patan_EWMA,Patan_DES,Patan_TES,Patan_ARIMA,Leslieganj_Trend,Leslieganj_SMA,Leslieganj_EWMA,Leslieganj_DES,Leslieganj_TES,Leslieganj_ARIMA
1997-02-28,POMRB,7.62,6.493333333333332,4.99,3.42,3.4,4.785,8.219545454545456,3.41,6.046875000000001,6.055,6.44244,7.869917637542782,5.505163913402673,6.203094746139388,4.840166666666667,5.336791666666667,5.557645333333333,5.1996482424639385,5.683431732229511,5.497487536717299,4.400625,4.400625,4.399288,4.160490744163508,5.034474536997139,4.9899970029375975,3.6525,4.337500000000001,4.077648,3.5769311469177376,5.260051608379739,5.033607930184703,5.15,5.06,4.64848,3.584880844742663,5.415502036545239,5.119182498707754,4.331875,4.6137500000000005,4.545624000000001,7.4525667776076014,4.586819299567856,4.220182278386557,9.347389039855072,9.607069746376812,9.39260615019763,8.759363501845831,9.793383252606132,11.516512068096286,5.16625,5.3500000000000005,4.94792,5.3307046246874075,6.1224571113508715,6.168009178868239
1997-05-31,PREMON,6.37,6.2,6.7225,5.57,7.47,5.9350000000000005,9.430454545454547,7.3,6.321875,5.8875,6.413464,7.841426509116123,8.4928264757927,6.75480077538285,4.388125,5.203666666666667,5.8145872,5.333379749680107,7.291600644827534,6.609399843933362,4.400625,4.400625,5.3285728,4.844585824843411,6.774257311032619,6.7224964360439525,3.3850000000000002,3.7050000000000014,4.6745888,3.9688757017516183,6.232029355579224,6.32029776112062,5.11875,5.145,5.777088,4.317583147768691,6.937240408310514,6.7843440921535905,4.0981250000000005,4.34375,5.101374400000001,7.0916182696540915,7.004732131402852,6.720676183749335,8.466102807971014,9.420819746376813,9.407745508300398,8.887049904903295,12.505010782838688,8.150236725865623,4.81625,5.322500000000001,5.888752,5.658384017048482,7.250220928034773,5.361242592654305
1997-08-31,MONSOON,4.88,0.61,2.4775,0.82,3.74,1.39,5.721249999999999,3.46,6.172499999999999,6.20625,5.8000784,7.367051389994316,4.898972187187907,3.458956931141551,4.060416666666666,4.476666666666667,3.7327523200000003,4.7408190273754744,3.829458885989254,4.039305571462977,4.400625,4.400625,4.18814368,4.422528018931529,2.536055412640802,2.4774990154906726,3.1449999999999996,3.6000000000000014,3.13275328,2.9794769406916237,2.4638764898418946,0.7126200186138152,5.2316666666666665,5.155,4.9622528,4.0376027663102425,3.553479645939373,3.5206273690000365,3.7643750000000002,4.32,3.6168246400000004,4.375518110390103,2.473912192938248,1.4226948562438224,7.550866600790513,9.273958333333333,7.933147304980238,8.63093264435359,7.625406706988038,8.618553224992578,4.779583333333333,5.010000000000001,4.9172512,5.249639097865856,4.235890690511191,4.677818618451302
1997-11-30,POMKH,6.88,3.895,3.4125,2.87,5.72,3.395,7.2617391304347825,4.32,6.18125,6.4375,6.23204704,7.3928327591679235,4.5983482297550395,5.713755485425244,3.8941666666666666,4.299583333333333,3.7976513920000006,4.639634275927714,3.260194615122738,3.251977887549681,4.400625,4.400625,3.877886208,4.234618184314551,3.4772243547115673,3.4124987678460816,3.21875,3.1700000000000017,3.0276519680000002,2.742373419418326,2.9579966364960892,3.996277195475011,5.454583333333334,5.0825,5.26535168,4.340486559462342,5.875688079006281,5.718640672348767,3.725,3.87625,3.5280947840000003,3.4819375934009433,3.895461322286703,4.953085668738308,7.541206878568291,7.658247282608695,7.664584035162056,8.55074607146458,7.399224591755364,9.310828596325507,4.854166666666667,4.6225000000000005,4.67835072,5.066223059851731,4.156226061429429,5.1449791668922575
1998-02-28,POMRB,5.5,4.579999999999999,4.99,3.22,4.593333333333333,3.89,7.360499999999997,4.666666666666667,6.1450000000000005,5.9075,5.939228224000001,7.037115069165778,5.836264641477305,6.9453021026547335,4.3133333333333335,3.821249999999999,4.1105908352,4.638101849036457,4.954452253807124,5.642253429876702,4.400625,4.400625,4.322731724800001,4.43949200297785,5.060442968647604,4.989998577082739,3.4412499999999997,3.120000000000002,3.1045911808000004,2.6826147639340783,4.3851042339882405,3.2698556890075476,5.403333333333333,5.380833333333333,4.996544341333333,4.337859908567675,4.5930607597204975,4.572535497812874,3.914375,3.6525,3.6728568704,3.239761806503353,4.651503728104377,4.5304391641899695,7.702521588164251,7.44348591897233,7.542950421097233,8.486814296850664,8.240509226723834,7.370273223191842,4.629166666666667,4.936666666666667,4.6736770986666665,4.976996387122887,5.141419641123994,3.4046022040732087
1998-05-31,PREMON,8.56,6.783333333333334,6.7225,6.36,8.06,6.515,10.212222222222222,6.64,5.42625,6.454999999999999,6.987536934400001,7.473721026029644,8.463983474508598,6.513301028626149,4.638541666666667,3.967083333333333,5.179687834453334,4.916412927501995,5.854503698455389,5.502109383797639,4.400625,4.400625,5.282639034880001,5.066821032410466,6.798178175479076,6.722498463269817,3.5412500000000002,3.3175000000000017,4.406754708480001,3.6324000973793726,5.499538111802181,5.52629846595774,5.216666666666667,5.528333333333334,6.2219266048,5.313994405215779,7.137947936378272,7.121665398725691,4.233124999999999,3.7975,4.80971412224,4.670655137279766,7.0666451656679605,6.084900221147144,7.5854088164251205,7.63892783816425,8.610659141547227,8.714141513527146,11.149402422288587,9.181343625012492,4.460416666666667,4.771666666666667,5.4602062592,5.251951942494711,6.939537402240047,6.998455545384859
1998-08-31,MONSOON,2.4,3.3799999999999994,2.4775,1.81,2.74,2.325,6.23,2.32,4.89375,5.834999999999999,5.15252216064,6.310783202101487,5.195965906647384,4.216401747704733,4.6325,4.659583333333333,4.459812700672,4.727805224104577,2.6625504598393146,2.8017081317738044,4.400625,4.400625,4.160583420928001,4.5906738373102876,2.5579702526678134,2.4774994175663743,3.7612500000000004,3.5650000000000017,3.3680528250880006,3.138832102779825,2.0527261679075686,1.203940983738924,5.2058333333333335,5.278333333333334,4.82915596288,4.759286491216464,3.6963879177547514,3.6468002983170424,4.995,4.03125,3.815828473344,3.5511192553020337,2.5358188669973343,1.3777004780238207,7.415020229468599,7.766115338164251,7.658395484928336,8.521894392377515,6.877485783198614,7.517123839544312,4.348333333333333,4.486666666666667,4.2041237555199995,4.715303283848111,3.82056166109921,3.5946097207938568
1998-11-30,POMKH,3.61,3.7266666666666666,3.4125,2.68,5.226666666666667,5.01,5.81608695652174,4.11,4.633125,5.017499999999999,4.535513296384,5.549921720459688,4.487540891091239,6.321784026830569,4.615,4.6175,4.166554287069866,4.606890108780485,4.01652335298564,4.739809064782463,4.400625,4.400625,3.8613500525568005,4.35325899524146,3.49717809869567,3.4124991962807343,3.96,3.517500000000002,3.0928316950528005,2.954334129133095,2.842576709026623,3.669235875714664,5.19875,5.155000000000001,4.988160244394667,4.905880199244982,5.788121887839062,5.796428219289544,5.680624999999999,4.435,4.2934970840064,4.168967509690205,3.958663396044464,3.8280906766394263,7.285546497584542,7.4047022946859915,6.921472073565697,8.304076129189548,7.00859369049648,8.869563492680943,4.277083333333334,4.434166666666667,4.166474253312,4.591079381412127,3.5238057572938564,4.017771244858105
1999-02-28,POMRB,4.51,4.7,4.99,5.17,5.0,8.37,7.443043478260868,3.98,4.715,4.77,4.5253079778303995,5.109694301015296,5.261530393106217,6.275288681096755,4.5408333333333335,4.6475,4.37993257224192,4.624701642050465,5.240912244007162,5.128806237621079,4.400625,4.400625,4.31281003153408,4.512698943494707,5.078483595566258,4.989999010273828,3.925,4.005000000000003,3.92369901703168,3.562838526836814,4.253943244390228,3.6717443959158342,5.144583333333334,5.256666666666668,4.9928961466368005,4.97465929994075,4.505434427249947,3.7654219739384915,5.8625,5.555,5.924098250403841,6.816168881726039,4.714216731291728,4.051124342042751,7.206048948564933,7.425338164251209,7.130100635443766,8.267694918486166,7.549920263938358,6.50547346705373,4.382083333333334,4.2625,4.091884551987199,4.46629607628927,4.635544715527281,4.315069050393658
1999-05-31,PREMON,7.465,6.5233333333333325,6.7225,6.0,7.596666666666668,7.52,9.093888888888893,6.756666666666668,4.88875,4.49625,5.70118478669824,5.482620962630479,7.828267520757501,7.384754598319128,4.429583333333333,4.5825,5.2372928766784845,4.87169639994615,6.315629266582594,5.992900912935207,4.400625,4.400625,5.276686018920448,5.096697240333839,6.8143564426215235,6.72249895062198,3.88375,3.9150000000000027,4.754219410219008,4.410663317653522,5.807632318997714,6.926493694843043,4.9887500000000005,5.140833333333335,6.034404354648748,5.758916059637573,7.392319093708293,7.545014933197234,5.885,5.8062499999999995,6.562458950242304,8.42657940087582,7.13001530818979,6.398178209800838,7.273309469374048,7.145754830917877,7.915615936821817,8.39964300585172,10.678626381128947,9.66140517974767,4.22625,4.291666666666667,5.157797397858987,4.853813461931102,6.3795022975778055,6.137052689199515
1999-08-31,MONSOON,4.15,3.046666666666667,2.4775,1.89,2.77,2.775,6.712352941176469,3.043333333333333,4.944583333333332,4.93375,5.080710872018944,5.033177896265889,4.492804167368977,3.3957039507724405,4.3566666666666665,4.4991666666666665,4.361042392673758,4.6463987571538565,2.8577463488897603,3.0143955202384367,4.400625,4.400625,4.157011611352269,4.58686428640869,2.572339401453205,2.47749958716424,3.8556250000000003,3.9350000000000027,3.6085316461314045,3.8907234587548962,2.219810691601775,1.2568571899238208,4.729791666666666,5.148333333333335,4.728642612789249,5.141569420923845,3.272945644350698,3.313522067646013,5.4009374999999995,5.918749999999999,5.047475370145382,6.581423793525929,2.599965849129119,1.9427566815066581,7.265224385121916,7.266343066211994,7.434310738563678,8.280918402665545,6.222599681775365,6.389559891709958,4.0375000000000005,4.4725,4.312011772048725,4.516474289163307,3.4632475927440596,3.087642987413724
1999-11-30,POMKH,3.25,3.17,3.4125,2.27,3.95,4.74,5.871818181818182,2.14,5.182291666666667,4.84375,4.348426523211367,4.435788443910482,4.1446255396109555,5.0964016509436885,4.329166666666667,4.359999999999999,3.8846254356042547,4.465056853653461,3.868001086290197,4.206226988916766,4.400625,4.400625,3.8592069668113615,4.324063625894174,3.509793594565507,3.4124994013925023,4.55,3.832500000000003,3.0731189876788427,3.493992178759981,2.9912809489349614,3.4589274385921036,4.638333333333334,4.829166666666668,4.417185567673549,4.8657684397129985,5.533076243023606,5.4388830439125915,4.911875,5.85125,4.924485222087229,5.950605366161244,4.02554265715605,4.697987898637922,7.155450675485505,7.280275872536104,6.809313715865479,8.087658643208798,6.6770413715781505,8.580232001048179,4.061041666666667,3.9800000000000004,3.4432070632292353,4.0805371360841916,3.49022360520582,4.511045928688866
2000-02-29,POMRB,5.316666666666666,4.673333333333334,4.99,5.355,4.205,4.7675,7.322631578947369,4.44,5.446666666666667,5.045416666666666,4.735722580593486,4.439729600356404,4.916106163913827,5.527081843423742,4.567916666666667,4.353333333333333,4.200108594695886,4.497301001798831,4.918934916041268,4.710963524694404,4.400625,4.400625,4.311524180086817,4.463716640027245,5.08940282496921,4.989999240092331,5.595,3.8787500000000033,3.985871392607306,4.070991438926413,4.284725928937809,3.9163263295681747,4.644375,4.630416666666669,4.33231134060413,4.676788778877892,4.4609603522687005,4.655176577852436,5.1025,4.9506250000000005,4.861691133252338,5.400890207085796,4.786681216344173,6.522332439096887,6.770851002282891,7.2501728977077295,7.014640861098235,8.056116826662143,7.328478351506573,6.4001237775843185,4.065416666666667,4.095000000000001,3.8419242379375413,4.128853949477806,4.021865614512558,3.121523273282839
2000-05-31,PREMON,8.56,6.33,6.7225,11.37,7.66,7.21,8.33611111111111,6.4849999999999985,5.695,5.319166666666667,6.265433548356092,5.308428521720396,7.652027645217451,7.38247440512974,5.012500000000001,4.305,5.052065156817531,4.735761708156317,6.218137807799202,6.103747501076629,4.400625,4.400625,5.2759145080520895,5.031152173065117,6.8236384741404335,6.722499203299245,6.00125,5.221250000000003,6.939522835564384,6.676516223583215,5.870964507205117,6.221428495203439,4.5675,4.646250000000002,5.663386804362478,5.460836554680525,7.15350879769186,7.746922426590276,5.048125,4.873125000000001,5.801014679951402,6.341337175245115,7.1952853991189745,6.981147276027556,6.393662945241893,7.060728453263284,7.543228961103385,8.128541990183022,10.48590878703679,9.464103790986698,4.17,4.027083333333334,4.899154542762524,4.529222969954295,6.087467603679458,6.627306050741375
2000-08-31,MONSOON,5.17,5.15,2.4775,4.88,2.755,4.61,4.3933333333333335,3.35,5.89375,5.574166666666667,5.827260129013656,5.274449443367248,4.5032456529176885,3.6866531313857105,5.183333333333334,4.830833333333333,5.091239094090518,4.794499101637678,2.7265366206819093,3.034981593948368,4.400625,4.400625,4.156548704831254,4.512747977918351,2.580044726319724,2.4774996804600455,5.866875,5.968750000000003,6.11571370133863,7.005064917022135,3.403181851150067,3.3349676250895257,4.3931249999999995,4.642500000000002,4.500032082617487,4.845580946340311,2.8222463372337585,2.700739006640992,4.740937499999999,5.331875000000001,5.324608807970842,5.613582416679733,2.6647562009690438,2.266687279718426,6.253654970760234,6.480973551302499,6.283270709995365,7.799040373135312,5.86922716845345,5.972867656782037,4.289999999999999,4.103750000000001,4.279492725657515,4.30444340187062,3.1773145935037324,3.1882641900132076
2000-11-30,POMKH,4.216666666666666,4.623333333333332,3.4125,2.53,3.35,2.47,5.173333333333333,2.67,5.977916666666666,5.815833333333333,5.18302274407486,5.00226873538417,4.303320522381105,4.320757972341847,5.266249999999999,5.194166666666666,4.904076789787644,4.779012387666034,4.291629092608658,4.751836865056081,4.400625,4.400625,3.858929222898752,4.2471609298656485,3.515983902360311,3.412499522562533,5.805,6.033750000000003,4.681428220803178,6.388380782604713,4.555963843044326,4.022063825772531,4.24375,4.492500000000002,4.040019249570492,4.431830818518515,4.771635989925671,4.673948298169288,4.4175,4.764375000000001,4.182765284782505,3.9570753269193175,4.091575538185811,4.606137382901592,6.206365588450291,6.306352339181287,5.839295759330552,7.5758820214627605,5.764806485145365,6.953788552282475,4.324375,4.23625,3.6356956353945087,4.000190831713709,3.381816989786653,3.4041351639627244
