Date,Season,Lakhaothi,Syana,Khurja,Bulandshahr,Pahasu,Anupshahr,Gulaothi,Unchagaon,Araniya,Sikandrabad,Dibai,Bhawan Bahadur Nagar,Lakhaothi_Trend,Lakhaothi_SMA,Lakhaothi_EWMA,Lakhaothi_DES,Lakhaothi_TES,Lakhaothi_ARIMA,Syana_Trend,Syana_SMA,Syana_EWMA,Syana_DES,Syana_TES,Syana_ARIMA,Khurja_Trend,Khurja_SMA,Khurja_EWMA,Khurja_DES,Khurja_TES,Khurja_ARIMA,Bulandshahr_Trend,Bulandshahr_SMA,Bulandshahr_EWMA,Bulandshahr_DES,Bulandshahr_TES,Bulandshahr_ARIMA,Pahasu_Trend,Pahasu_SMA,Pahasu_EWMA,Pahasu_DES,Pahasu_TES,Pahasu_ARIMA,Anupshahr_Trend,Anupshahr_SMA,Anupshahr_EWMA,Anupshahr_DES,Anupshahr_TES,Anupshahr_ARIMA,Gulaothi_Trend,Gulaothi_SMA,Gulaothi_EWMA,Gulaothi_DES,Gulaothi_TES,Gulaothi_ARIMA,Unchagaon_Trend,Unchagaon_SMA,Unchagaon_EWMA,Unchagaon_DES,Unchagaon_TES,Unchagaon_ARIMA,Araniya_Trend,Araniya_SMA,Araniya_EWMA,Araniya_DES,Araniya_TES,Araniya_ARIMA,Sikandrabad_Trend,Sikandrabad_SMA,Sikandrabad_EWMA,Sikandrabad_DES,Sikandrabad_TES,Sikandrabad_ARIMA,Dibai_Trend,Dibai_SMA,Dibai_EWMA,Dibai_DES,Dibai_TES,Dibai_ARIMA,Bhawan Bahadur Nagar_Trend,Bhawan Bahadur Nagar_SMA,Bhawan Bahadur Nagar_EWMA,Bhawan Bahadur Nagar_DES,Bhawan Bahadur Nagar_TES,Bhawan Bahadur Nagar_ARIMA
1996-02-29,POMRB,5.41,9.94,5.7139999999999995,5.57,4.595,8.84,7.835,8.5,11.5,8.975,8.120000000000001,14.9,,,5.41,5.126570314060814,5.304455891206564,0.0,,,9.94,10.10193839345792,10.02686525018139,0.0,,,5.7139999999999995,7.781135588329204,5.67940574344447,0.0,,,5.57,5.498913179672093,5.35288472605617,0.0,,,4.595,6.183662788032084,4.571132298549314,0.0,,,8.84,8.675545602287063,8.5657884253907,0.0,,,7.835,7.3725493174083505,7.211937528855749,0.0,,,8.5,8.758136723167464,9.26288393680293,0.0,,,11.5,11.01939296549641,11.518091406360387,0.0,,,8.975,7.660723013962895,7.445152776631027,0.0,,,8.120000000000001,6.847290602099231,6.543286682872891,0.0,,,14.9,8.001647563160173,14.900000000000002,0.0
1996-05-31,PREMON,6.5371428571428565,11.195,6.991666666666666,9.69,5.58,9.14,8.375,10.85,11.5,8.245000000000001,5.8450000000000015,7.6,,,5.860857142857142,5.557452679279612,6.575041644728575,1.9586357568457147,,,10.442,10.531234845467797,10.839288613347039,9.93999703339671,,,6.225066666666667,8.814705633009659,7.040709630886799,5.713993721363441,,,7.218,5.938730553544095,7.944739068194892,4.231748223005988,,,4.989,6.972060698667421,5.791795126562873,4.594997043769508,,,8.96,8.852195533293363,9.312695252793178,8.839991199231445,,,8.051,7.402601257948568,8.651202896223653,7.834995237007508,,,9.44,10.211125348631409,9.863047871198578,8.499997186424201,,,11.5,11.013107457567582,11.526151180072587,11.499995068298185,,,8.683,7.310390235005541,8.357343874656054,8.974991880509616,,,7.210000000000001,6.296286984533282,7.3299922652242815,8.119997326381958,,,11.98,4.240270819988379,7.599999999999999,14.900000000000002
1996-08-31,MONSOON,5.3342857142857145,9.989999999999998,3.42,3.45,2.33,7.34,5.555,10.46,8.326666666666666,3.47,4.96,1.91,5.481919642857143,,5.650228571428571,5.486476096378262,5.424545077545579,2.6576078196170236,10.224999999999998,,10.261199999999999,10.277701116428824,10.060100799179354,10.855078914651749,5.393916666666667,,5.10304,7.366939759368166,3.586682555056671,6.542073207281405,5.715,,5.7108,4.317968538155073,6.468575128239054,6.9499693929744195,3.94375,,3.9254,5.597872919350673,2.756802117916569,5.252821134068471,8.2975,,8.312000000000001,8.26147173067901,7.9514529409536765,9.00307719765749,6.731250000000001,,7.0526,6.649341773239157,7.098750899335417,8.195275548372859,10.031666666666668,,9.847999999999999,10.961154228313221,9.54079595859396,9.868118836055581,10.706666666666667,,10.230666666666666,10.50426613014255,8.336016692744256,11.499994542027874,5.719375,,6.597799999999999,5.314776823251325,6.799185029820988,8.448920433068505,5.63875,,6.3100000000000005,5.63677109473261,6.129034717436909,6.808395035375398,5.655,,7.952,1.646401756754336,1.9099999999999993,7.60000000000032
1996-11-30,POMKH,4.64625,9.866666666666667,5.45,4.6,3.595,8.07,6.025,10.2,11.5,4.25,5.08,3.41,5.481919642857143,5.481919642857143,5.2486371428571434,5.163623266055908,4.521970750038012,3.1771125840195324,10.084791666666666,10.247916666666665,10.103386666666665,10.079145236249358,9.788713227184346,10.025353219269164,5.393916666666667,5.393916666666667,5.241824,6.933444744054887,5.242194173048193,4.667815017737,5.124999999999999,5.827500000000001,5.26648,3.7096791973224854,5.697132965195979,3.895353901913293,3.7706250000000003,4.025,3.79324,4.919257302831617,3.54957350751598,3.4487028241417788,8.26,8.3475,8.215200000000001,8.183676933875448,7.943720397612829,8.29871750724356,6.363125,6.9475,6.64156,6.223726474334679,6.149042744292279,6.625124270307271,10.023333333333333,10.002500000000001,9.9888,11.153822144545996,9.681629619893519,10.16039493592788,10.706666666666667,10.706666666666667,10.7384,10.569116682775848,11.401486949004699,9.83609973647247,4.8168750000000005,6.234999999999999,5.6586799999999995,4.45917058075876,5.315911218434682,5.929099671192649,5.273125,6.001250000000001,5.818,5.221859329785545,5.58564925507391,5.913779916053059,4.19875,6.955,6.135199999999999,1.378865533924439,3.4099999999999993,1.910000000000639
1997-02-28,POMRB,5.41,9.756666666666666,5.7139999999999995,4.67,3.945,8.44,6.105,8.733333333333333,11.5,4.85,5.22,4.5,5.481919642857143,5.481919642857143,5.313182285714286,5.183150762016468,5.386295526801963,5.342474529539363,9.93125,10.202083333333333,9.964698666666667,9.918051445980442,10.14985974691179,9.933481688646872,5.393916666666667,5.393916666666667,5.4306944,6.588559657619928,5.72043519147239,5.666923414078583,4.74625,5.602500000000001,5.027888,3.4612299989333954,4.411983068917687,5.2638091881652365,3.7150000000000003,3.8625000000000007,3.8539440000000003,4.491863618469697,4.398835117208726,4.3616636347467646,8.335,8.247499999999999,8.30512,8.279740600006454,8.539309761296087,8.31174941987471,6.613125,6.514999999999999,6.4269359999999995,5.941909666972589,6.764384219418991,6.987774541890735,9.948333333333334,10.060833333333335,9.486613333333333,10.18679236669382,10.07066477860569,9.701361254394033,10.706666666666667,10.706666666666667,11.043040000000001,10.630244218640604,11.519884868678853,11.458767825737988,4.54875,5.203749999999999,5.335208,4.206958653803739,6.920989201307792,6.738149483181794,5.260625,5.27625,5.578799999999999,4.988492384166413,5.921959033892427,5.832802520448714,4.17875,4.355,5.48112,1.8785353367450937,14.9,3.4100209750621167
1997-05-31,PREMON,6.5371428571428565,10.256666666666666,6.991666666666666,5.87,4.8450000000000015,9.24,7.16,10.55,11.5,5.15,5.82,6.35,5.481919642857143,5.481919642857143,5.8027665142857145,5.652122619665513,6.639198215300719,6.440255286079081,9.825416666666666,9.9675,10.081485866666668,10.03313805623963,10.922628754499822,10.572751592797877,5.393916666666668,5.393916666666667,6.055083306666667,6.902377378449319,7.03951142633866,6.812378433215455,4.816249999999999,4.647500000000001,5.3647328000000005,3.8844145006048176,7.021709452751406,8.503184464181619,3.694375000000001,3.6787500000000013,4.250366400000001,4.601164907646041,5.2887862028452375,5.030291372378104,8.3975,8.272499999999999,8.679072,8.649019213654707,9.063660726757032,8.446518666408432,6.9018749999999995,6.21125,6.7201616,6.046988590955381,7.562228986141327,6.867775029168075,9.864583333333334,9.985833333333334,9.911968,10.482854564919379,10.39922693297122,10.216028838551564,10.706666666666667,10.706666666666667,11.225824000000001,10.68783742950175,11.522996418784178,11.443458818358515,4.640000000000001,4.429999999999999,5.261124799999999,4.19657840911919,6.262658343851236,4.467917273902867,5.25625,5.27,5.67528,5.031315432749247,5.814264551057158,5.088687431313888,4.3149999999999995,4.0425,5.828671999999999,3.159277494533613,5.064819944598337,0.8845662750751813
1997-08-31,MONSOON,5.3342857142857145,9.7,3.42,4.24,2.62,7.84,8.77,10.16,8.326666666666666,4.42,4.885,3.0,5.481919642857143,5.481919642857143,5.615374194285715,5.599501114506909,5.474839357543669,5.272560031432609,9.740625,9.895,9.92889152,9.867719312696304,9.481309632958766,9.745160313168649,5.393916666666667,5.393916666666666,5.001049984,5.363016536526169,3.5503017496498694,3.7613271534149306,4.786250000000001,4.8450000000000015,4.91483968,3.716142751619463,4.279709878222498,1.499583616093798,3.5543750000000007,3.751250000000001,3.5982198400000005,3.628604382782065,2.0410906738886885,2.414589451861175,8.3675,8.397499999999997,8.3434432,8.331340984302452,7.722367892341694,8.19458630395535,6.7006250000000005,7.014999999999999,7.54009696,6.614182594975372,5.798314409537514,5.856100166944055,9.945416666666667,9.910833333333334,10.0111808,10.425513419881321,9.6816251938526,10.207083553277,10.706666666666667,10.706666666666667,10.066161066666666,10.234752365853272,8.343166676667035,8.787550474859371,4.508750000000001,4.667499999999999,4.9246748799999995,3.9343337367313533,3.6560084899458705,4.410926852507995,5.25125,5.251249999999999,5.3591679999999995,4.780341329177476,5.198431478044823,5.235036994001279,4.1625,4.315,4.6972032,2.488638678657328,-0.6576015377414235,3.531942754236259
1997-11-30,POMKH,4.64625,9.31,5.45,4.37,3.14,8.07,5.12,9.83,11.5,4.03,5.12,3.41,5.481919642857143,5.481919642857143,5.2277245165714294,5.277925524056355,4.561397960345026,4.5980889942549155,9.723958333333334,9.755833333333333,9.681334912,9.609059452725512,9.404798374470616,9.754324529657751,5.393916666666667,5.393916666666666,5.1806299904,5.160253649172956,5.334333123233127,5.3391553353605925,4.822500000000001,4.787500000000001,4.696903808,3.708915460578475,4.809887436037963,5.028695036463706,3.44625,3.6375000000000006,3.4149319040000004,3.173348957332054,3.5177230969349775,3.7244802017887935,8.3375,8.397499999999997,8.234065919999999,8.226394876000393,8.119496775909074,8.285658009356949,6.4925,6.7887499999999985,6.572058176,6.030915559797122,6.887168427586587,7.502886096141373,10.0725,9.818333333333335,9.938708479999999,10.142341365080274,9.614032490637603,10.073466626736135,10.706666666666667,10.706666666666667,10.63969664,10.348371150546566,11.467193636021857,11.17904787070393,4.3675,4.612499999999999,4.566804928,3.649822071909421,4.045931324696263,4.433320883207025,5.25375,5.261249999999999,5.263500799999999,4.691363472314119,4.990878234878917,5.103025529892195,3.9725,4.315,4.18232192,2.4162577581331997,1.4310164566798096,3.742897340711206
1998-02-28,POMRB,5.41,9.635,5.7139999999999995,4.66,3.28,8.2,5.4,9.75,11.5,4.02,5.1400000000000015,3.28,5.481919642857143,5.481919642857143,5.300634709942858,5.288371320396523,5.417203711841125,5.362593679079332,9.509375,9.725416666666666,9.662800947200001,9.594538047911813,9.542783835465906,9.489867845706096,5.393916666666667,5.393916666666666,5.39397799424,5.205529626004529,5.709732737429334,5.689463861920058,4.71375,4.785000000000002,4.6821422848,3.884771247154554,3.811921977674226,4.682002411819309,3.318125,3.4712500000000004,3.3609591424000005,2.9697158852585273,3.9235378505444194,3.8073136265555694,8.2125,8.337499999999999,8.220439551999998,8.212694640975046,8.606998624161172,8.367850860134538,5.6137500000000005,6.612499999999998,6.1032349056,5.673216430829475,6.75833918516639,6.144472722677039,9.93375,10.072500000000002,9.863225088,9.876095483997965,9.860089991586564,9.116714922325484,10.706666666666667,10.706666666666667,10.983817984000002,10.452090922381531,11.501676587235277,11.455020398963143,4.3325,4.404999999999999,4.3480829568,3.495574105082373,5.779886907188316,4.506555361287136,4.989375000000001,5.241249999999999,5.21410048,4.64918066737851,5.576341535154199,5.713603025808544,4.128749999999999,4.010000000000001,3.8213931519999997,2.4055645948236624,5.011498259809709,3.9498478130367696
1998-05-31,PREMON,6.5371428571428565,10.245,6.991666666666666,6.17,4.645,9.24,6.2,10.55,11.5,4.85,5.92,6.05,5.481919642857143,5.481919642857143,5.795237968822857,5.742616289637195,6.663428078255141,6.474336529939731,9.02125,9.722499999999998,9.89568056832,9.840555412455565,10.497781801402054,10.201026685404626,5.393916666666668,5.393916666666666,6.033053463210667,5.955075220721942,7.020650161599146,6.879006446872607,4.4675,4.860000000000002,5.27728537088,4.715496274966263,6.679476456413181,7.013835592597264,3.015625,3.4212499999999997,3.8745754854400003,3.56958381144728,4.735847090802418,4.469241605090453,7.93375,8.337499999999999,8.628263731199999,8.608027429012912,9.089363528899522,8.553750284474438,4.665,6.372499999999998,6.14194094336,5.6404000128253715,7.300662343014506,6.605963778169412,9.56625,10.072500000000002,10.1379350528,10.191241102421131,10.768898314416306,10.687345486192092,10.706666666666667,10.706666666666667,11.190290790400002,10.546812559545268,11.507902002780792,11.450711700434645,4.0,4.33,4.54884977408,3.7428612191861856,5.43830067312741,4.342669790202983,4.529375,5.266249999999999,5.496460288,4.885171913221906,5.572904388187043,4.630165078471132,4.210416666666667,3.935000000000001,4.712835891199999,3.923930529023229,6.398937735055633,1.7747637370553526
