Date,Season,Subansiri,Subansiri_Trend,Subansiri_SMA,Subansiri_EWMA,Subansiri_DES,Subansiri_TES,Subansiri_ARIMA
1996-02-29,POMRB,2.7150000000000003,,,2.7150000000000003,2.8576324075480546,2.747343043827731,0.0
1996-05-31,PREMON,1.231428571428571,,,2.1215714285714284,2.5611433504114376,1.7701162837389446,2.0205866231112717
1996-08-31,MONSOON,1.365,1.6784821428571428,,1.818942857142857,2.3057619343344804,1.5915649712197752,1.6727071451282893
1996-11-30,POMKH,1.5575,1.9399107142857144,1.7172321428571429,1.714365714285714,2.112494903169149,1.902687139725584,1.579271506323284
1997-02-28,POMRB,2.405,2.2446726190476194,1.639732142857143,1.9906194285714283,2.127536581956585,3.06305901504871,2.3910793876130123
1997-05-31,PREMON,3.6328571428571435,2.3890684523809522,2.240089285714286,2.6475145142857146,2.429058911264124,1.764327458480972,1.3042399775840234
1997-08-31,MONSOON,1.4016666666666666,2.5724226190476194,2.2492559523809526,2.1491753752380953,2.213670670711745,2.099204306793567,1.648001959192079
1997-11-30,POMKH,2.676,2.566357142857143,2.528880952380953,2.359905225142857,2.298044837322899,2.2977585412821497,1.7314546419854364
1998-02-28,POMRB,2.7533333333333334,2.6246666666666667,2.6159642857142864,2.517276468419048,2.3979968655251223,3.490992234172122,2.6843167322983392
1998-05-31,PREMON,3.236,2.6005833333333337,2.516750000000001,2.804765881051429,2.6041344627015834,3.068781955304443,2.498784909262691
1998-08-31,MONSOON,2.265,2.478166666666667,2.7325833333333343,2.5888595286308576,2.574034207406671,2.2233933143391247,1.7370827828046327
1998-11-30,POMKH,1.62,2.512,2.4685833333333345,2.201315717178515,2.3925933981272096,2.9072397195539086,2.3777761613103094
1999-02-28,POMRB,2.8300000000000005,2.5225000000000004,2.487750000000001,2.452789430307109,2.4919817804948945,3.4000511692043744,2.7601799838631087
1999-05-31,PREMON,3.43,2.6534999999999997,2.536250000000001,2.8436736581842657,2.724354463020011,3.272737936009803,3.011784520876941
