Date,Season,Thiruvaiyaru,Papanasam,Ammapettai,Sethubhavachatram,Pattukkottai,Orathanadu,Madukkur,Kumbakonam,Thiruppanandal,Thanjavur,Budalur,Thiruvonam,Thiruvaiyaru_Trend,Thiruvaiyaru_SMA,Thiruvaiyaru_EWMA,Thiruvaiyaru_TES,Thiruvaiyaru_ARIMA,Papanasam_Trend,Papanasam_SMA,Papanasam_EWMA,Papanasam_DES,Papanasam_TES,Papanasam_ARIMA,Ammapettai_Trend,Ammapettai_SMA,Ammapettai_EWMA,Ammapettai_DES,Ammapettai_TES,Ammapettai_ARIMA,Sethubhavachatram_Trend,Sethubhavachatram_SMA,Sethubhavachatram_EWMA,Sethubhavachatram_DES,Sethubhavachatram_TES,Sethubhavachatram_ARIMA,Pattukkottai_Trend,Pattukkottai_SMA,Pattukkottai_EWMA,Pattukkottai_DES,Pattukkottai_TES,Pattukkottai_ARIMA,Orathanadu_Trend,Orathanadu_SMA,Orathanadu_EWMA,Orathanadu_TES,Orathanadu_ARIMA,Madukkur_Trend,Madukkur_SMA,Madukkur_EWMA,Madukkur_DES,Madukkur_TES,Madukkur_ARIMA,Kumbakonam_Trend,Kumbakonam_SMA,Kumbakonam_EWMA,Kumbakonam_DES,Kumbakonam_TES,Kumbakonam_ARIMA,Thiruppanandal_Trend,Thiruppanandal_SMA,Thiruppanandal_EWMA,Thiruppanandal_DES,Thiruppanandal_TES,Thiruppanandal_ARIMA,Thanjavur_Trend,Thanjavur_SMA,Thanjavur_EWMA,Thanjavur_DES,Thanjavur_TES,Thanjavur_ARIMA,Budalur_Trend,Budalur_SMA,Budalur_EWMA,Budalur_DES,Budalur_TES,Budalur_ARIMA,Thiruvonam_Trend,Thiruvonam_SMA,Thiruvonam_EWMA,Thiruvonam_DES,Thiruvonam_TES,Thiruvonam_ARIMA
2011-02-28,POMRB,1.65,1.0,4.409999999999998,1.19,2.7050000000000005,5.366666666666667,2.85,2.4966666666666666,1.87,2.9599999999999995,3.755,2.5,2.00875,2.157499999999999,1.9151900082692004,1.7102567219377747,1.7061412513237535,1.97875,2.0400000000000005,1.5618389052496804,1.0485732358309818,1.2647289374435846,1.3362291136646125,5.242187499999999,5.357500000000001,4.664044374840326,5.469045679043215,4.765713840068627,4.331298189064384,3.3656250000000005,3.02375,2.7457777323548513,3.2494529957616733,0.7682907158859718,1.3992284010989922,6.0408333333333335,5.65125,4.587905403198327,3.750537676059521,1.4613642985209125,1.836502315214438,6.0704166666666675,6.58166666666667,5.449998694822446,4.291959085017945,2.9137769474516633,4.202638888888889,4.202638888888888,3.6972085880057532,3.5207787299195097,2.7414814261949134,2.440387083284785,3.6725,3.847499999999997,3.4541195882698577,2.607807605376039,3.140141825393812,3.0684267015523794,4.612500000000001,3.189583333333332,2.7361840335541663,3.1410615759370053,2.5820718818518964,2.1111755742134397,6.87875,6.670000000000005,5.497333876032109,5.662253905842865,4.421972571241596,3.7801939427352527,2.6799999999999997,2.5049999999999986,2.6386399819581667,2.6281561673656526,2.7772774304157766,2.0067013285828006,5.41625,4.807500000000001,4.00904460358797,3.856630565689491,3.1609824336876984,3.3000540700462366
2011-05-31,PREMON,2.7,3.78,7.7875,3.0500000000000003,6.633333333333333,7.58,4.841666666666666,4.975,9.82,9.445,4.97,6.95,1.80125,2.1524999999999985,2.22911400496152,3.166037670416439,2.9913207979371412,1.6487500000000002,2.2950000000000004,2.449103343149808,3.860988030529882,3.303008368585958,2.96222929156878,4.913541666666667,5.509375,5.913426624904195,5.459288190190562,7.545310727160212,7.467299609217252,3.4975,3.2212500000000004,2.867466639412911,3.276435303048483,3.05175427910269,3.3797636361256638,6.2595833333333335,5.8220833333333335,5.40607657525233,5.336434847798774,6.609786192829257,5.9392306071630845,5.576666666666667,6.45166666666667,6.301999216893467,7.018903617163315,6.867605352119694,3.954911616161616,4.202638888888888,4.154991819470118,4.2075782605878596,5.720256507991894,5.110891709304087,3.1735416666666665,3.9845833333333305,4.0624717529619145,4.044209197725014,4.850341998580232,4.825853863600658,4.533072916666667,4.731249999999998,5.5697104201325,3.524597444597078,4.773177965554331,4.342848666783804,6.378749999999999,7.326250000000005,7.076400325619266,5.927886407003081,7.036611030124917,5.152871946358808,2.775,2.7212499999999986,3.5711839891748998,4.97365826065344,4.625445091048945,3.6590822671104477,5.562500000000001,4.82,5.185426762152782,6.097550266325669,5.611551662394934,6.254827115930754
2011-08-31,MONSOON,1.6,1.1,5.8375,4.9,11.25,7.38,5.28888888888889,2.55,3.27,6.89,1.4,8.9,1.7375,1.8649999999999984,1.977468402976912,2.575547752213312,2.3791550013922476,1.6537499999999998,1.6625000000000003,1.909462005889885,2.4167193299421,2.8500116105683313,2.642301469564933,4.5320833333333335,4.975,5.8830559749425175,5.448945321744332,6.162841443376183,6.374575178783793,3.7987500000000005,3.5100000000000007,3.6804799836477464,3.768456396693943,4.279913444419423,4.282282430747093,6.752708333333333,6.2595833333333335,7.743645945151398,11.244375469190903,10.378396145122469,9.711990227089705,4.975833333333334,5.6891666666666705,6.73319953013608,7.378024587419514,8.583814629550668,3.7071843434343434,4.202638888888888,4.608550647237626,5.065511263708177,5.853015166839074,5.323633728248339,3.0058333333333334,3.360416666666664,3.4574830517771487,3.068930777760586,4.69293464821148,4.638508040110383,4.609114583333334,4.493749999999998,4.6498262520795,3.514119906854916,4.496006845841937,4.413699786693514,6.766250000000001,6.431250000000006,7.001840195371559,6.007189174305784,9.81293732536732,10.407959007225035,2.645625,2.6387499999999986,2.70271039350494,3.6621717432964727,3.7417302262816503,1.542073647284062,5.300000000000001,6.0125,6.67125605729167,9.378795299559425,7.047939461649318,6.206024775366649
2011-11-30,POMKH,1.0,0.66,1.3733333333333333,4.800000000000002,4.45,1.53,1.8481818181818181,1.925,3.3295833333333333,6.01,1.52,2.1,1.79375,1.7374999999999985,1.586481041786147,1.4296008364736759,1.427540495737758,1.6562500000000002,1.6350000000000002,1.409677203533931,1.1137421018376346,0.6084381585916259,0.8547021922981777,4.292395833333333,4.852083333333334,4.079166918298844,5.437235135535867,4.125809158645475,3.4557741905296,4.160833333333334,3.4850000000000008,4.128287990188649,4.2025014235765505,4.488282335699481,3.346534215441902,7.288541666666666,6.2595833333333335,6.426187567090839,8.39888477480764,4.710273180049069,4.892380559475864,4.20625,5.464166666666671,4.651919718081648,5.45340230371273,4.178183208917283,3.707184343434343,3.7071843434343426,3.504403115615303,3.2592587701679774,2.354259038550949,2.518839111279993,2.828125,2.986666666666664,2.844489831066289,2.083911918691226,3.36459936057831,3.307123352014628,4.1009375,4.5723958333333306,4.121729084581034,3.5072261905432534,2.9208259710627207,2.4091313659949107,6.874375000000001,6.326250000000005,6.605104117222935,6.021608555322333,5.802990653985542,4.255111069757028,2.3521875,2.9112499999999986,2.229626236102964,2.5672859388485363,1.9920989638106916,0.3832899816948826,5.15,5.112500000000001,4.8427536343750015,5.576688213898917,4.461481855697916,5.838246526664814
2012-02-29,POMRB,1.65,1.15,1.85,3.7,6.65,1.46,2.85,2.6500000000000004,2.1637500000000003,6.48,1.63,4.0,1.95,1.7374999999999985,1.6118886250716882,1.459699214618727,1.4695844087980268,1.9359374999999999,1.6725000000000003,1.3058063221203584,0.928860421081497,0.9468092717515902,0.9993213330576303,4.435598958333333,4.212083333333334,3.1875001509793064,5.425699100703936,4.765713821366419,3.8610281260306105,4.209166666666667,4.112500000000001,3.956972794113189,4.302777264884247,1.231416730206074,1.783892994462696,6.8375,7.245833333333333,6.515712540254503,7.734443367695731,2.5621372946395446,1.9092246395608876,3.89234375,4.487500000000004,3.3751518308489885,4.087668106958784,3.425310755943839,3.707184343434344,3.7071843434343426,3.242641869369182,2.741607753283315,2.148470458548035,1.9933587399798907,2.918645833333333,3.0249999999999977,2.7666938986397733,2.1635069154897466,3.1279681051006865,2.9017340021497944,3.6452083333333336,4.64583333333333,3.3385374507486203,3.431742000107205,2.608625335803498,2.0715427074782116,6.67203125,7.206250000000005,6.555062470333762,6.069086869056582,3.4592931698790443,2.919826143630406,2.3784375,2.379999999999999,1.9897757416617785,1.8903399165372772,2.6681725456554717,3.347102049451822,4.582343750000001,5.487500000000001,4.505652180625001,4.427761010296005,3.3098682688134513,2.563460076130504
2012-05-31,PREMON,3.15,3.65,8.43,3.436666666666667,6.975,5.33,4.841666666666666,3.4,5.4608333333333325,6.79,4.7475000000000005,4.25,2.0662499999999997,1.8499999999999985,2.227133175043013,2.956198567864099,2.7585696021416686,2.2331250000000002,1.6400000000000006,2.243483793272215,4.211489770607916,3.0962627307919237,2.8363852498344935,4.854322916666666,4.372708333333334,5.284500090587583,5.416237800487297,7.545310693455646,7.280445527705015,4.196666666666667,4.209166666666667,3.7488503431345803,4.29149532213896,3.744500942924078,4.253405529124902,6.102321428571428,7.331249999999999,6.699427524152702,7.3803760069621855,7.692202649698394,8.307342459830597,4.0296875,3.925000000000004,4.157091098509393,6.205839213023354,5.924908445484753,3.7071843434343434,3.707184343434343,3.8822517882881753,3.9160518521633367,5.3183376605522055,5.082265524902927,3.3516666666666666,2.631249999999998,3.020016339183864,2.961009822187435,4.843654478057855,4.721982266543294,3.923177083333333,3.5560416666666637,4.187455803782505,3.5520538408550473,4.799800898267215,5.183965522051882,6.6634375,6.542500000000006,6.6490374822002565,6.137849557054455,8.55471515348664,9.59842164007675,2.3643750000000003,2.324374999999999,3.0928654449970674,3.8671949087931834,4.234539951539922,4.430119090752478,4.1759375,4.812500000000001,4.403391308375001,3.9999280615590456,6.058201263608425,6.691283911124584
2012-08-31,MONSOON,2.4,3.4675,6.340624999999998,4.9,7.3,7.11875,5.28888888888889,4.849166666666666,3.983333333333333,7.92625,1.8325,7.058750000000002,1.80375,2.0499999999999985,2.2962799050258074,2.472939903460226,2.1948124865454566,2.284375,2.2318750000000005,2.733090275963329,5.865897819724946,2.661500130012743,2.310530617743775,5.86140625,4.498489583333333,5.706950054352549,5.406147119011572,6.162841413436858,6.498806503839565,4.1779166666666665,4.209166666666668,4.209310205880748,4.62588533252589,5.263259072104512,5.14386212411129,5.579642857142858,6.343749999999998,6.939656514491621,7.36441447609245,11.731513282834456,9.14132736298504,4.5209375000000005,3.859687500000004,5.341754659105636,6.328688049027777,6.38263170607041,3.7071843434343434,3.7071843434343426,4.444906628528461,5.162391917769982,5.580610829626003,5.323597324384584,3.5741666666666667,3.206041666666664,3.751676470176985,4.895943899010296,4.648035293257152,4.307165530625483,4.1115104166666665,3.7343749999999973,4.105806815602836,3.5826430612286746,4.522507917436664,4.2320648786916735,6.809687499999999,6.801562500000006,7.159922489320154,6.287707176532793,8.585897533116734,4.994817261906539,2.3987499999999997,2.4324999999999988,2.5887192669982406,3.052803079494572,3.3743662972494306,1.2479208706345009,3.9565625000000004,4.352187500000001,5.465534785025001,6.146339606156177,6.801118251795433,7.499712399804649
2012-11-30,POMKH,1.13,0.67,4.22,4.7,2.518571428571429,2.89,1.8481818181818181,3.09,4.84,4.904999999999999,0.975,0.69,1.6437499999999998,2.0824999999999987,1.8297679430154843,1.473676885259418,1.4366545669652018,2.4818749999999996,2.2343750000000004,1.9078541655779973,2.9926300544645077,1.0272148771106344,1.2417267439582553,6.568593749999999,5.210156249999999,5.112170032611529,5.395418523144576,4.125809131654612,3.8709891898614424,4.135833333333334,4.184166666666668,4.405586123528449,4.863395678032797,5.2391074537418385,3.740343231216374,5.426517857142857,5.860892857142856,5.171222480123545,3.9145890775741634,4.389283137035607,3.1791128881410806,5.101562500000001,4.199687500000004,4.361052795463381,4.533649087591899,3.083820976748222,3.707184343434343,3.707184343434343,3.406216704389804,3.476394343583915,2.1696343974325805,1.9028261424915038,4.024791666666667,3.497291666666664,3.4870058821061907,4.385312844644895,3.3604003221484033,3.137111571224937,3.9784375,4.111979166666664,4.399484089361701,3.6629266348523313,2.947353656257001,2.5485902161038125,7.374479166666666,6.525312500000007,6.257953493592092,6.216361602195272,6.124907078904682,6.13480897069171,2.3953125,2.296249999999999,1.9432315601989445,1.8428702374413992,1.7365473296014327,1.354885516688887,4.3459375,3.9996875000000016,3.5553208710150006,2.8161071296249305,3.8632742614236752,3.4077615073761307
2013-02-28,POMRB,-0.58,1.55,7.06,3.65,4.4,4.03,2.85,3.265,2.16,8.754999999999999,2.45,3.655,1.8187499999999999,1.5249999999999986,0.8658607658092905,1.5177388690539122,1.545203479839711,2.6921875,2.3343750000000005,1.7647124993467984,1.9065538983992634,1.2684638615675827,1.3287998843198885,6.319453125,6.512656249999998,5.8913020195669175,5.385598248370401,4.765713811057866,4.701872774223666,4.1000000000000005,4.171666666666668,4.10335167411707,4.780833959357689,2.787427395383596,2.6299080820941256,5.554642857142857,5.298392857142856,4.862733488074127,3.5292847956123716,4.0855135328306345,4.502783049219835,5.28359375,4.842187500000004,4.228631677278029,3.5427696578101857,2.7862051137274877,3.707184343434344,3.7071843434343434,3.1837300226338825,2.9525172951761562,2.023339345441304,2.1788304501733142,4.511145833333334,3.651041666666664,3.3982035292637143,3.9202872092755072,3.1470122479568596,2.866642794874092,3.8529166666666668,4.111041666666664,3.503690453617021,3.583307235021813,2.6351599051844325,2.083408675920779,7.626614583333334,7.094062500000008,7.256772096155255,6.423123248125702,4.011433746341111,5.095502822511735,2.2790625,2.501249999999999,2.1459389361193666,2.038296729528906,2.3721591718424593,1.4529364422387403,4.8685937500000005,3.9134375000000015,3.5951925226090005,2.9936621261816776,2.532754723984532,2.865057656117447
2013-05-31,PREMON,4.1,4.83,8.8775,3.15,8.0,7.4049999999999985,4.841666666666666,6.3900000000000015,4.4,9.033333333333333,3.9,7.710000000000001,1.9775,1.7624999999999984,2.159516459485574,2.642406119687392,2.4430848379337347,2.79625,2.6293750000000005,2.9908274996080793,4.985046205789152,3.4365315734396122,3.2432512106526246,6.634791666666667,6.624531249999999,7.085781211740151,5.376366083551537,7.545310713679235,8.257092694546014,4.1000000000000005,4.1000000000000005,3.722011004470242,4.53806410077399,3.8692464316686133,4.278414802803483,5.412321428571429,5.554642857142856,6.117640092844477,6.779889252436664,6.018722972979007,6.280801463971061,5.4468749999999995,5.360937500000004,5.499179006366817,6.173116609944876,6.263966701350531,3.7071843434343434,3.707184343434344,3.846904680246996,4.085403088386896,5.233528852919027,5.0707796665555716,4.660000000000001,4.398541666666665,4.594922117558229,6.332389476755865,4.867173341299637,4.635757330657819,3.6308333333333334,3.8458333333333314,3.862214272170213,3.6371365927614723,4.826347889816914,5.220763369392907,7.401458333333333,7.654895833333342,7.967396591026486,6.648240460389489,8.478934061871529,7.390135904198756,2.4715625,2.289374999999999,2.84756336167162,3.366393893143716,4.094533133156469,4.2317888095266385,5.510000000000001,4.778437500000002,5.241115513565401,6.980248562362616,5.376318573277593,5.327110108510996
