Date,Season,Surajgarha,Lakhisarai,Surajgarha_Trend,Surajgarha_SMA,Surajgarha_EWMA,Surajgarha_DES,Surajgarha_TES,Surajgarha_ARIMA,Lakhisarai_Trend,Lakhisarai_SMA,Lakhisarai_EWMA,Lakhisarai_DES,Lakhisarai_TES,Lakhisarai_ARIMA
1996-02-29,POMRB,4.74,6.02,,,4.74,4.588570187256064,4.595590137766881,0.0,,,6.02,8.615733519846124,5.942416343859683,0.0
1996-05-31,PREMON,4.22,7.603333333333333,,,4.532,4.443184863656489,4.716077645579141,2.8440755202299387e-06,,,6.653333333333332,9.95506991249137,7.474186038423574,3.713833098413981e-07
1996-08-31,MONSOON,3.79,3.706666666666667,4.06,,4.2352,4.240807535516236,3.573631536976479,3.367035154048658e-06,5.62625,,5.474666666666666,8.45540282606269,4.049123692871412,1.7284841045777794e-06
1996-11-30,POMKH,3.875,5.4,3.96375,4.15625,4.09112,4.078665119418385,3.9752956142862637,2.3958534700755047e-06,5.580416666666666,5.682499999999999,5.444799999999999,7.7010057893535695,5.129834891398789,2.2278837836002283e-06
1997-02-28,POMRB,3.97,5.57,3.9475000000000002,3.9637499999999997,4.042672,3.957592526385852,4.5916278319743915,4.740000452839702,5.589375,5.569999999999999,5.494879999999999,6.9932947860718,5.986693174096801,5.878100682586636
1997-05-31,PREMON,4.22,7.6866666666666665,3.9281250000000005,3.96375,4.1136032,3.9032685756734007,4.142554683698744,3.8555288006640307,5.5372916666666665,5.590833333333333,6.371594666666667,7.428512647689291,7.355675262843608,7.424112758506216
1997-08-31,MONSOON,3.66,3.695,3.973125,3.9312500000000004,3.9321619200000004,3.7662987082395176,3.5227480410423286,3.874427957672686,5.476666666666667,5.587916666666667,5.3009568,5.779949442967488,3.997089265610816,3.619295683496356
1997-11-30,POMKH,3.85,4.995,4.158125,3.9250000000000007,3.8992971520000004,3.6852688664970565,3.762103771733883,3.934116199536744,5.414166666666666,5.486666666666666,5.178574080000001,5.146415085202307,5.09109538556383,5.272714916455374
1998-02-28,POMRB,4.355,5.4899999999999975,4.305416666666667,4.021250000000001,4.0815782912000005,3.7134312405371266,4.238006101980129,4.166488264594844,5.279375,5.466666666666666,5.303144447999999,4.987099488212189,5.827327601989631,5.6423458941209725
1998-05-31,PREMON,5.315,7.2666666666666675,4.3220833333333335,4.295000000000002,4.5749469747200004,3.9272536583712756,4.3717793490549095,4.341179076310434,5.177083333333333,5.361666666666666,6.088553335466667,5.852925801061496,7.222448346709906,7.539761129003069
1998-08-31,MONSOON,3.7433333333333336,3.036666666666667,4.280208333333333,4.315833333333335,4.242301518165334,3.8548002151092056,4.121370919842884,4.268875815909385,5.178020833333333,5.1970833333333335,4.867798667946667,4.520931333988735,3.7694150648114126,3.642502517285643
1998-11-30,POMKH,3.9,4.835,4.3620833333333335,4.328333333333334,4.1053809108992,3.820112362886211,4.135185194640762,3.8655836568450908,5.283125,5.1570833333333335,4.854679200768,4.394190416881043,4.721585749809316,5.060386964690183
1999-02-28,POMRB,3.97,5.6575,4.473333333333334,4.232083333333334,4.0512285465395195,3.8059076028952523,4.494478294631885,4.250479971770161,5.429635416666668,5.198958333333334,5.1758075204608005,4.7852306912160625,5.526818917505544,5.579410595207831
1999-05-31,PREMON,6.355,7.94,4.501250000000001,4.492083333333333,4.972737127923712,4.237348497833136,4.714163683253116,4.852047421989383,5.6232291666666665,5.367291666666667,6.28148451227648,6.3805418063195445,7.076075985730494,7.349389712519013
1999-08-31,MONSOON,3.5933333333333333,3.535416666666667,4.710416666666667,4.454583333333334,4.42097561008756,4.147376030909409,4.195705002916511,4.36969874513568,5.761666666666667,5.491979166666667,5.183057374032554,5.374339463471283,3.89300867955221,3.2979653553575563
1999-11-30,POMKH,4.273333333333333,5.885,4.879791666666666,4.5479166666666675,4.361918699385869,4.1824668964037715,4.179215024298339,3.7606594746385484,5.5763541666666665,5.754479166666666,5.463834424419533,5.678597548585244,4.96873524858782,4.955810015409564
2000-02-29,POMRB,5.27,5.715,4.91,4.872916666666668,4.725151219631522,4.398733900227998,4.550111448670035,4.210037636657669,5.398177083333333,5.768854166666666,5.56430065465172,5.815889128926996,6.038383220525259,5.642500117997496
2000-05-31,PREMON,6.41,6.4,4.959791666666667,4.886666666666668,5.399090731778913,4.8192232754577145,6.159680550627975,6.554118754822808,5.385208333333333,5.383854166666667,5.8985803927910325,6.246354453447481,7.438096480112895,7.662250015795529
2000-08-31,MONSOON,3.78,3.65,4.84875,4.9333333333333345,4.751454439067348,4.7301959114428715,4.160974477641213,3.677835173521279,5.391041666666668,5.4125,4.999148235674619,5.16951248479522,3.6286082197633505,3.4878175930707593
2000-11-30,POMKH,4.485,5.666666666666668,4.6975,4.986250000000001,4.644872663440409,4.761195014490315,4.520340150633533,4.096422362135467,5.443854166666667,5.357916666666666,5.266155608071438,5.299237319437871,4.8291512105788215,5.4458762338529105
2001-02-28,POMRB,4.17,5.98,4.62875,4.711250000000001,4.454923598064245,4.722415965412741,5.098192001949772,4.908509094837238,5.477291666666667,5.424166666666666,5.551693364842864,5.590446861067502,5.872863492756679,5.671009254853795
2001-05-31,PREMON,6.3,6.5575,4.646875,4.683750000000001,5.192954158838547,5.072255960768721,5.857634922767229,5.899260045490223,5.425520833333334,5.463541666666666,5.954016018905719,6.1306634627582355,7.414366273362791,7.00679845169277
2001-08-31,MONSOON,3.34,3.76,4.8575,4.57375,4.451772495303128,4.853255186177972,3.674609623701728,3.573146046392923,5.3290625,5.491041666666666,5.076409611343431,5.135397161015894,3.66456527860172,3.5483035729528996
2001-11-30,POMKH,5.07,5.1425,4.941666666666666,4.720000000000001,4.699063497181877,4.9491041671267855,4.195211368299886,4.142397503605812,5.345104166666666,5.3599999999999985,5.102845766806059,5.019856415955489,4.889493943955268,5.422961826223578
2002-02-28,POMRB,5.27,5.7325,4.857083333333334,4.995000000000001,4.927438098309127,5.071042841696317,4.766589978084942,4.709413442066887,5.429895833333333,5.298124999999998,5.3547074600836355,5.2603795644328715,5.740700972582599,5.792044330028462
2002-05-31,PREMON,5.873333333333334,6.933333333333333,4.825833333333334,4.8883333333333345,5.305796192318809,5.292785908160206,6.66215764845648,6.589513347638864,5.4528125,5.392083333333331,5.986157809383515,6.104847789262865,7.244217928082335,6.98227331163064
2002-08-31,MONSOON,3.09,4.0625,4.550833333333333,4.8258333333333345,4.419477715391285,4.982195914572309,3.667998925971523,3.104578418799458,5.435763888888888,5.467708333333331,5.2166946856301095,5.307685207917316,3.67423327440527,3.6111396556878184
2002-11-30,POMKH,5.07,5.023333333333333,4.319583333333334,4.8258333333333345,4.679686629234771,5.03656527868747,4.591285197062272,4.6092941921487505,5.458194444444445,5.4379166666666645,5.139350144711399,5.121935880539305,4.995604698470196,5.232621499996153
2003-02-28,POMRB,3.07,5.715277777777778,4.404166666666667,4.275833333333335,4.035811977540862,4.717303870788244,4.851562773758365,4.938427569366661,5.401527777777778,5.433611111111109,5.369721197937951,5.340072189288051,5.772617733008254,5.714060476477527
2003-05-31,PREMON,6.223333333333334,7.13,4.445,4.363333333333334,4.91082051985785,4.98641995824203,5.303605464548136,5.019437454195576,5.323611111111111,5.482777777777775,6.0738327187627705,6.271931760889994,7.259951009433398,7.080824069073139
2003-08-31,MONSOON,3.4166666666666665,3.4125,4.54375,4.445000000000001,4.313158978581377,4.730137381210017,3.0767651856534015,3.2724626397834857,5.291701388888889,5.320277777777775,5.0092996312576625,5.117811041611754,3.749555929961164,3.7565706909816283
2003-11-30,POMKH,5.07,5.05,4.4783333333333335,4.445000000000001,4.615895387148827,4.78442957871995,4.802010794931196,5.180585187237518,5.267708333333333,5.326944444444442,5.025579778754597,4.98562242408173,4.8320459586009825,5.17061950875478
