Date,Season,Khirkiya,Timarni,Harda,Khirkiya_Trend,Khirkiya_SMA,Khirkiya_EWMA,Khirkiya_DES,Khirkiya_TES,Khirkiya_ARIMA,Timarni_Trend,Timarni_SMA,Timarni_EWMA,Timarni_DES,Timarni_TES,Timarni_ARIMA,Harda_Trend,Harda_SMA,Harda_EWMA,Harda_DES,Harda_TES,Harda_ARIMA
1996-02-29,POMRB,6.609999999999999,8.238,9.1,,,6.609999999999999,5.615487461573537,5.9670651498854665,0.0,,,8.238,7.667452970963339,8.105989261647105,0.0,,,9.1,8.851527007389924,8.30478140731473,0.0
1996-05-31,PREMON,7.5100000000000025,8.382,10.175,,,6.970000000000001,5.969354654875039,7.963927968144402,6.609978687802198,,,8.2956,7.7484752963904056,9.494111575665022,8.237980341276836,,,9.530000000000001,9.12592619320244,10.667604176285943,9.099964672907797
1996-08-31,MONSOON,2.9000000000000004,7.3675,5.65,5.477500000000001,,5.3420000000000005,5.097012912214471,4.457437449996869,7.050031069378088,7.804625,,7.92436,7.743035958482118,5.999361814435211,8.32478109575349,8.146875,,7.9780000000000015,8.26884601318945,7.70976887547799,9.671052925410912
1996-11-30,POMKH,4.986666666666667,7.0180000000000025,7.6,5.603333333333334,5.501666666666668,5.199866666666667,4.884139973148318,5.273041074431994,5.7358068044213955,8.044875000000001,7.7513749999999995,7.561816,7.7103438717550015,7.331630029585838,7.856184949491549,8.278125,8.13125,7.8268,8.076482400216863,7.462811662774249,8.065819411385435
1997-02-28,POMRB,6.416666666666668,8.663999999999998,9.225,5.696458333333334,5.453333333333335,5.686586666666667,5.108120602954421,5.80076304816143,6.100488799502339,8.303749999999999,7.857875,8.0026896,7.81043058912632,8.238443545235961,7.7995836936150145,8.723749999999999,8.1625,8.38608,8.312942939176944,7.801037938386937,8.080097564072878
1997-05-31,PREMON,8.71,9.878,11.1,5.781666666666668,5.753333333333335,6.895952,5.976984262518634,7.7939600796295645,6.593587254220568,8.420625,8.231875,8.752813759999999,7.999012524626519,9.701972423356827,8.249718829236809,9.147499999999999,8.39375,9.471648,8.934305252354353,10.359374313878451,8.693805008133634
1997-08-31,MONSOON,2.4450000000000003,7.9425,8.29,5.759166666666667,5.639583333333334,5.1155712,5.10076757867846,4.42392051885788,4.22151176238866,8.273125,8.375625000000001,8.428688256,8.020056471163246,6.538122219344141,8.23636816294968,9.022499999999999,9.05375,8.9989888,8.744917359704326,7.785023263842636,8.31050715586493
1997-11-30,POMKH,6.123333333333332,7.377999999999999,8.35,5.475416666666667,5.92375,5.518676053333333,5.2849697300025,5.197065523610274,5.305656048242448,7.863625,8.465625000000001,8.0084129536,7.994816647968407,7.879699728392069,7.725205814298816,8.76,9.24125,8.739393279999998,8.615061674763714,8.335597459813602,8.78513338566807
1998-02-28,POMRB,5.1000000000000005,7.124,7.475,5.8306249999999995,5.5945833333333335,5.351205632000001,5.192800284384079,5.846004164034477,6.259108963285847,7.596937500000001,8.080625000000001,7.654647772160001,7.95138794830204,8.738201553542318,8.319355662079465,8.901875,8.80375,8.233635967999998,8.310261621177235,8.635642354390365,9.13378234949439
1998-05-31,PREMON,7.756666666666668,8.142000000000001,10.75,6.236145833333333,5.35625,6.313390045866668,5.84463724311723,7.70286525714532,7.37253878071363,7.4065,7.646625000000002,7.849588663296,7.991842030931652,9.67775363884174,8.390390070492453,9.1859375,8.71625,9.240181580799998,8.84983700360866,10.390272042098825,9.187826453067032
1998-08-31,MONSOON,6.2399999999999975,7.545,9.775,6.374791666666666,6.305,6.28403402752,6.037563836309887,4.24582596255571,3.5489919552996234,7.345250000000001,7.547250000000003,7.7277531979776,7.981965124285347,6.0741779244382474,7.5902413555014006,9.433437500000002,9.0875,9.454108948479998,9.03043594025225,7.6974773147018345,8.224009651729975
1998-11-30,POMKH,5.5725,6.2520000000000024,9.1375,6.797708333333333,6.167291666666666,5.999420416512,6.016585780277151,5.416504009053285,5.616478660800197,7.44,7.265750000000004,7.137451918786562,7.870486345328034,7.432823766281926,7.381247527683987,9.674375,9.284374999999999,9.327465369088,9.017600589569478,8.737049242182994,9.09875331236733
1999-02-28,POMRB,6.76,7.76,8.6675,6.637291666666666,6.582291666666666,6.3036522499072,6.305476831804873,5.989462026992558,6.037868792071016,7.098125000000001,7.424750000000004,7.386471151271937,7.886847786607085,8.116870958150333,7.512232531242137,9.181874999999998,9.582499999999998,9.0634792214528,8.897150887732241,9.157139406561347,9.380124935475823
1999-05-31,PREMON,9.48,8.264000000000001,11.485,6.117083333333333,7.0131250000000005,7.57419134994432,7.3280631362149125,7.999287540895504,7.563878181715047,6.643500000000001,7.455250000000003,7.737482690763162,7.941862259545269,9.37940844181762,8.315458511344696,8.18375,9.766249999999998,10.03208753287168,9.469135443887794,11.120423677361845,10.179578782514904
