Date,Season,Pharasgaon,Kondagaon,Jagdalpur,Londigura,Keshkal,Makdi,Baderajpur,Tokapal,Bastar,Bakaband,Darbha,Bastanar (bade Kilew,Pharasgaon_Trend,Pharasgaon_SMA,Pharasgaon_EWMA,Pharasgaon_DES,Pharasgaon_TES,Pharasgaon_ARIMA,Kondagaon_Trend,Kondagaon_SMA,Kondagaon_EWMA,Kondagaon_DES,Kondagaon_TES,Kondagaon_ARIMA,Jagdalpur_Trend,Jagdalpur_SMA,Jagdalpur_EWMA,Jagdalpur_DES,Jagdalpur_TES,Jagdalpur_ARIMA,Londigura_Trend,Londigura_SMA,Londigura_EWMA,Londigura_DES,Londigura_TES,Londigura_ARIMA,Keshkal_Trend,Keshkal_SMA,Keshkal_EWMA,Keshkal_DES,Keshkal_TES,Keshkal_ARIMA,Makdi_Trend,Makdi_SMA,Makdi_EWMA,Makdi_DES,Makdi_TES,Makdi_ARIMA,Baderajpur_Trend,Baderajpur_SMA,Baderajpur_EWMA,Baderajpur_DES,Baderajpur_TES,Baderajpur_ARIMA,Tokapal_Trend,Tokapal_SMA,Tokapal_EWMA,Tokapal_DES,Tokapal_TES,Tokapal_ARIMA,Bastar_Trend,Bastar_SMA,Bastar_EWMA,Bastar_DES,Bastar_TES,Bastar_ARIMA,Bakaband_Trend,Bakaband_SMA,Bakaband_EWMA,Bakaband_DES,Bakaband_TES,Bakaband_ARIMA,Darbha_Trend,Darbha_SMA,Darbha_EWMA,Darbha_DES,Darbha_TES,Darbha_ARIMA,Bastanar (bade Kilew_Trend,Bastanar (bade Kilew_SMA,Bastanar (bade Kilew_EWMA,Bastanar (bade Kilew_DES,Bastanar (bade Kilew_TES,Bastanar (bade Kilew_ARIMA
1996-02-29,POMRB,3.295,4.296666666666667,4.61,3.06,3.275,4.08,5.706666666666668,6.78,2.9,5.55,6.236666666666667,4.815,,,3.295,2.522598355675315,3.635415143814153,0.0,,,4.296666666666667,5.427237434438933,4.97233039426863,0.0,,,4.61,4.205523720750376,4.937108881441771,0.0,,,3.06,2.141409177394889,2.305922011270762,0.0,,,3.275,2.71628071415683,3.912504255099583,0.0,,,4.08,4.248118923029226,4.157093547901938,0.0,,,5.706666666666668,4.494976372073345,5.940503368639266,0.0,,,6.78,10.725449466519239,6.827162824573456,0.0,,,2.9,2.708906903631447,3.189797584112922,0.0,,,5.55,5.428187937748563,5.542833254860204,0.0,,,6.236666666666667,10.02082235037228,6.3571091525874435,0.0,,,4.815,3.7261630262687166,4.843048658685683,0.0
1996-05-31,PREMON,4.995,7.392857142857142,7.436,4.24,6.505,9.1,8.4,8.99,4.68,4.98,8.969999999999997,6.58,,,3.975,1.7604494139189597,5.895230930214551,3.2949871371694788,,,5.535142857142857,5.4050405461181334,6.714133387231139,4.296655203072403,,,5.7404,4.29846691862258,6.935883942203112,1.9577042961034647,,,3.532,2.402901308118861,3.8314643892674787,3.059991878607594,,,4.567,2.8243342514381746,7.145668221747092,2.9094897117405824e-06,,,6.088,4.83584208420045,8.915022463526917,4.079981444194229,,,6.784000000000001,5.196913491271216,7.913568838893522,3.830549742665365,,,7.664,12.951593988382802,9.017621569506876,6.779926503513605,,,3.612,3.180304071797758,5.597128866064844,-1.7486936857024165e-13,,,5.322,5.313906250291454,5.392539188732156,-1.7891321584683374e-11,,,7.329999999999999,12.734788411371635,8.623385007730223,1.12176703494408e-19,,,5.521000000000001,3.9401413358827875,6.475675619829834,8.885731207007847e-07
1996-08-31,MONSOON,0.915,2.233333333333333,1.4275000000000002,0.36000000000000004,2.64,1.115,1.825,0.35,0.97,1.06,2.9966666666666666,2.425,3.00125,,2.751,1.000207936420581,0.764068614621582,4.3655555935113926,4.458839285714285,,4.214419047619047,5.382934424720678,2.7547956057654077,6.329211156458414,4.241625,,4.01524,3.1041053489004256,1.390579521305856,3.318591678224713,2.1962500000000005,,2.2632,2.0823980491525247,0.7100758886899357,3.733991240972066,3.93125,,3.7962000000000002,2.517836850201443,1.5486873306457172,6.375251605543417e-06,4.16625,,4.0988,3.523440599929956,1.234844881291162,6.7223236454313335,5.316666666666666,,4.8004,4.131382891233239,2.8411098909540713,5.665420809216311,5.49125,,4.7383999999999995,10.30994296951184,2.9223369447016947,7.7698773266427725,2.7249999999999996,,2.5551999999999997,2.6750704004752826,-0.40417883152269685,-1.1809479139044967e-12,3.99,,3.6172,4.763076978205584,1.4004230062372147,8.20905065049707e-10,5.9275,,5.596666666666667,11.277659715607566,3.6407117327768432,1.6462610167833744e-19,4.360625000000001,,4.2826,3.2189868834588964,2.7603793280155813,1.214290829625996e-06
1996-11-30,POMKH,2.6,3.545,3.285,1.97,2.62,2.08,4.743333333333333,5.5,2.3,2.92,5.076666666666667,3.6,3.33125,2.9512499999999995,2.6906,0.7667432539940597,1.662767155744922,2.3463478170244487,4.554107142857142,4.366964285714285,3.9466514285714283,5.3609187195226236,3.2004842880363458,3.4578745775869146,4.1918750000000005,4.1896249999999995,3.723144,2.6682096080761335,3.5638788482150483,1.844316344355088,2.0093750000000004,2.4075,2.14592,2.0318950265432445,2.044147356858196,2.2025732443730814,4.203749999999999,3.76,3.32572,2.2726769122650596,2.22574678519912,2.4327138683470526e-06,4.1875,4.09375,3.2912799999999995,2.7555513912457466,2.1150268992901,4.462376186070856,5.541250000000001,5.16875,4.777573333333333,4.014170382409802,4.070483005748659,4.433139934344997,5.59,5.405,5.0430399999999995,9.631827334531511,5.571060381869776,5.795211522156883,2.63,2.7125000000000004,2.4531199999999997,2.5433168434116915,1.5891814712223602,-1.6526442993488166e-12,4.43,3.6275000000000004,3.3383199999999995,4.453041374661275,3.0093861879828996,1.0329158675821604e-09,6.03125,5.819999999999999,5.388666666666667,10.274861143969074,5.044883009985678,-8.109405951682381e-20,4.3618749999999995,4.355,4.0095600000000005,2.957722555414642,3.5494218251174625,8.541276089072468e-08
1997-02-28,POMRB,3.695,5.031666666666666,5.026,1.37,4.645,4.66,6.8900000000000015,7.47,3.0,8.45,7.096666666666668,4.859999999999999,3.951249999999999,3.0512499999999996,3.0923599999999998,0.7898974081211105,3.7456562095308747,3.2002030762862597,5.100416666666666,4.550714285714285,4.380657523809523,5.338993061284372,4.956055015077275,4.167443831131653,4.3566875000000005,4.293625,4.2442864,2.819483351562088,4.988863914291274,4.231401871574839,2.17125,1.9849999999999999,1.8355519999999999,1.904104077453933,2.5951375962966483,2.8272447031157006,4.26,4.1025,3.8534319999999997,2.3118687496801584,3.9118013727755994,3.2749966985446046,4.165625,4.23875,3.838768,2.817508407162118,4.105124341607281,4.048106174928856,5.646041666666667,5.464583333333334,5.622544,4.55148111528451,5.9452129523591815,5.156700447724528,6.60875,5.5775,6.013824,9.585621391451806,6.34347843902518,6.195092474404264,2.67625,2.7375000000000003,2.671872,2.6071999407023996,3.5508052386413453,2.6937932289047826,4.755,4.3525,5.382992,4.796870118441672,5.533631355472393,5.353782786301568,6.317916666666666,6.034999999999999,6.071866666666668,9.937529780728038,6.282294097138319,6.236656574940603,4.60125,4.36625,4.349736,3.1087450789005833,4.891611146863408,4.814998746372522
1997-05-31,PREMON,7.2349999999999985,7.42,6.622000000000001,4.4350000000000005,7.314999999999999,8.69,9.013333333333334,9.09,3.82,5.6,8.94,6.545,4.217499999999999,3.611249999999999,4.749415999999999,1.311901158140278,6.071239821831917,4.880161121997681,5.807083333333333,4.5575,5.596394514285714,5.317157084578994,6.9550932532196,7.158193958351151,4.634125,4.090125,5.19537184,3.444727052580013,7.054369099721462,6.91655398697598,2.25375,2.03375,2.8753312,2.229174800160106,3.7262812889340013,3.371000117021298,4.130624999999999,4.305,5.2380591999999995,2.6884558058500367,7.388761459144496,6.988247167639764,4.18625,4.136249999999999,5.779260799999999,4.01105168116512,9.115524421655913,8.32597446157623,5.617500000000001,5.617916666666668,6.9788597333333335,5.703121855008983,8.286363867485354,8.245528807185075,7.82375,5.602499999999999,7.244294399999999,10.047645895556917,8.742787389424322,8.462707790250937,2.8187500000000005,2.5225000000000004,3.1311232,2.886875593498231,5.900058553497971,4.347224934922224,4.98125,4.507499999999999,5.4697952,4.8134626801649825,5.391368284865742,4.803934824466641,6.655833333333334,6.0275,7.21912,10.25858057159052,8.76980560364005,8.969985485390254,4.87625,4.3575,5.2278416,3.7373535138602847,6.573823210981734,6.591447571621738
1997-08-31,MONSOON,3.635,6.576666666666667,3.56,1.46,2.28,1.35,2.05,8.4,2.2,3.04,5.32,4.375,4.04625,4.29125,4.303649599999999,1.316593204360492,1.4085504136525424,2.1498250720482046,6.055833333333333,5.6433333333333335,5.9885033752380945,5.295410412377261,2.922544939070748,2.8650414283460153,4.50325,4.623249999999999,4.541223104,3.2758139997749205,1.338232254426421,1.2979160235330647,2.146875,2.30875,2.30919872,2.0919181005960987,0.6647103341551799,1.1253984048889993,3.775,4.215,4.054835519999999,2.466804182436271,2.002058078199281,2.861151010810065,4.0325,4.194999999999999,4.00755648,3.2413000041952253,1.154412021288132,1.6436736784175041,5.344166666666666,5.674166666666668,5.00731584,4.8244103034771415,3.289025286785796,2.6532543364842693,8.08,7.614999999999998,7.70657664,9.986296911767989,2.7142022934615864,1.6472857537383687,2.78375,2.8300000000000005,2.75867392,2.73470481050834,-0.36001776998273627,0.9010273903577399,4.4475,5.0024999999999995,4.49787712,4.543913128689937,1.4372809518447172,1.02252427994196,6.45375,6.608333333333333,6.459472,8.641131355743312,3.539140520064623,2.996661817675896,4.845625,4.845,4.886704959999999,3.7905327000572937,2.6864262513359947,2.412362408827904
1997-11-30,POMKH,2.01,4.855,3.372,1.53,1.945,2.01,4.29,7.17,2.21,2.75,5.456666666666666,3.85,4.189375,4.143749999999999,3.3861897599999993,1.1498091819967904,2.7783382157845162,3.563647724396384,6.245833333333334,5.970833333333333,5.535102025142857,5.27375267664872,4.797945553475496,5.437490334061816,4.34425,4.644999999999999,4.0735338624,3.1168079842128527,3.9117982799854105,3.7768538927827238,1.723125,2.1987499999999995,1.997519232,1.982827082220912,2.227019025383719,2.180616264823101,3.5149999999999997,4.04625,3.2109013119999994,2.2419823268317973,2.490350143121937,2.2705887974646615,3.67875,4.1775,3.208533888,2.7585816668881424,2.1276315348810373,2.4048729323786504,5.022916666666667,5.560833333333335,4.720389504,4.630668931310945,4.448781687451355,4.619454929772748,8.2025,8.032499999999999,7.491945984,9.267004548793043,6.832412025166905,6.956529382304437,2.8000000000000003,2.8075,2.539204352,2.59468049348586,1.8972087973937621,2.136456698786507,3.9475,4.959999999999999,3.798726272,4.258396053209498,3.1709186027191247,2.816764997510392,6.0275,6.703333333333333,6.058349866666666,7.286561945576896,5.394775939717553,5.076658451969297,4.7625,4.9075,4.472022976,3.723080007838352,3.7237905638682505,4.115396936228584
1998-02-28,POMRB,2.915,5.711666666666668,3.892,0.955,2.475,3.5,5.156666666666667,7.85,2.81,4.35,5.1000000000000005,4.365,4.2,3.9487499999999986,3.197713856,1.1685471366487648,4.474106497333645,3.338263209778252,6.116750000000001,6.140833333333333,5.605727881752381,5.252183521820914,6.4550900960034205,5.178238075855605,4.091,4.361499999999999,4.00092031744,3.1448140675100684,5.288982586186386,4.648063163325629,1.27875,2.0949999999999998,1.5805115391999998,1.8072543421993115,2.653889502228541,1.8997380212078316,3.481875,3.50375,2.9165407871999998,2.1144655132375614,4.030564181656521,3.846931667075701,3.4112499999999994,3.8875,3.3251203328,2.747284655265241,4.532300241350244,4.483954698437881,4.952708333333334,5.127500000000001,4.894900369066667,4.705183121987375,6.063792075276269,6.016459109326771,7.358749999999999,8.1275,7.6351675904,8.847409120532145,7.677546644212114,8.370878651324336,2.70125,2.7600000000000002,2.6475226112000003,2.6205487562086405,3.770265744828732,2.8277089173945082,3.7175000000000002,3.9349999999999996,4.0192357632,4.174180404206362,6.358400606881947,7.304770742345677,5.685833333333334,6.204166666666667,5.67500992,6.087127821852677,6.814709243398851,6.627327066609965,4.5225,4.7837499999999995,4.4292137856,3.810666822933068,5.038937153783128,4.780638117756829
1998-05-31,PREMON,9.16,8.26,6.484,1.46,7.4049999999999985,7.02,8.176666666666666,9.69,4.14,5.7,7.526666666666666,6.375,3.94375,4.429999999999999,5.5826283136,2.1586389699368995,6.457310687007863,5.793526349347818,5.94989880952381,6.350833333333332,6.667436729051429,5.230702590966154,8.173692297414933,7.608458599969969,3.82025,4.326999999999998,4.994152190464,3.9006649815479175,7.091755472213597,6.34681611308277,1.21,1.3512499999999998,1.5323069235199998,1.7267026249899906,3.6906285590770787,3.670117346266726,3.599375,3.52625,4.71192447232,2.605631400582886,7.049169026090821,6.352182964742065,3.3699999999999997,3.47,4.80307219968,3.724567614411036,8.67757086143883,8.033016785060488,5.106666666666667,4.918333333333335,6.207606888106667,5.65144598286518,7.826588769603935,7.719513589943598,6.46,8.2775,8.45710055424,9.229125710230434,9.90708479154447,9.044308240084922,2.53625,2.84,3.2445135667200002,2.995406205565962,6.0284081922691675,3.9580776190970353,3.4825,3.9599999999999995,4.69154145792,4.256539992357592,5.435037756810668,5.264685554754666,5.314166666666667,5.850833333333334,6.415672618666667,6.297024685441059,8.84522861964031,8.956371700796616,4.263125,4.741249999999999,5.20752827136,4.442257807688684,6.689439957476072,6.446935955840208
