Date,Season,Kollegal,Yelandur,Chamrajnagar,Gundlupet,Kollegal_Trend,Kollegal_SMA,Kollegal_EWMA,Kollegal_DES,Kollegal_TES,Kollegal_ARIMA,Yelandur_Trend,Yelandur_SMA,Yelandur_EWMA,Yelandur_DES,Yelandur_TES,Yelandur_ARIMA,Chamrajnagar_Trend,Chamrajnagar_SMA,Chamrajnagar_EWMA,Chamrajnagar_DES,Chamrajnagar_TES,Chamrajnagar_ARIMA,Gundlupet_Trend,Gundlupet_SMA,Gundlupet_EWMA,Gundlupet_DES,Gundlupet_TES,Gundlupet_ARIMA
1996-02-29,POMRB,6.196666666666666,8.526666666666667,7.337999999999999,10.61,,,6.196666666666666,5.8932421202649055,3.890121376336155,0.0,,,8.526666666666667,6.8344361164567236,6.342326176261539,0.0,,,7.337999999999999,7.017050029918729,6.321022315851756,0.0,,,10.61,8.412393142276525,8.120401716821334,0.0
1996-05-31,PREMON,5.6933333333333325,6.623333333333334,7.935,10.278333333333332,,,5.995333333333333,5.676030771474483,6.36466101939223,6.19665808049664,,,7.765333333333334,6.788336630494022,8.674378413389483,8.52665922690927,,,7.576799999999999,7.22118656360171,6.84699906922427,7.337948986413984,,,10.477333333333334,8.572062646932467,8.05704672961489,10.609950312707069
1996-08-31,MONSOON,2.67,5.593333333333334,7.9,10.034999999999998,3.5791666666666666,,4.6652,4.71727546429988,5.5922229768584435,5.8374449409382105,5.6691666666666665,,6.896533333333334,6.482857913591217,7.43549528455545,7.166083467371133,7.650083333333333,,7.706079999999999,7.391272814881118,9.18283487464847,7.7483894638392075,8.572380952380952,,10.3004,8.703226781283554,9.71807882685505,10.395108217886108
1996-11-30,POMKH,1.7299999999999998,3.9500000000000006,6.583333333333332,4.973333333333334,3.005,4.0725,3.4911199999999996,3.780879458756498,3.097398026866494,3.9109904017002934,5.087083333333334,6.173333333333334,5.71792,5.824350517868605,5.379164174244086,6.821533154317994,7.690458333333333,7.4390833333333335,7.256981333333332,7.339316605664292,6.951809864806976,7.753684214626456,7.732886904761905,8.974166666666667,8.169573333333332,8.461261844928869,6.993595390809761,10.243586731871927
1997-02-28,POMRB,2.25,4.493333333333333,9.026,7.395714285714287,3.16625,3.0858333333333334,2.9946719999999996,3.2488633382450867,3.0034007797941817,3.530007217971116,5.005000000000001,5.165,5.2280853333333335,5.481678878308145,5.075439797318592,5.617577174351114,7.285458333333333,7.861083333333333,7.9645888,7.6621228610846615,7.094083277278637,7.044090464231794,7.189553571428571,8.170595238095238,7.860029714285714,8.410214137040127,8.549785904861086,8.028235760410894
1997-05-31,PREMON,5.046666666666667,6.0,6.57,6.776666666666667,3.362916666666667,2.9241666666666672,3.8154698666666667,3.61104731600876,4.455745678161365,3.3617934113875463,4.93375,5.009166666666666,5.536851200000001,5.625936978736081,6.246834943948416,5.386376287075129,6.828791666666667,7.519833333333334,7.406753279999999,7.569968240093751,7.620060036034652,8.392248845264103,6.885699404761905,7.295178571428573,7.426684495238096,8.31815514931692,8.156457842908077,8.487687450774974
1997-08-31,MONSOON,4.6066666666666665,5.56,6.025,9.19,3.265833333333333,3.4083333333333337,4.131948586666667,3.75725918390178,4.104969956365732,4.163973855287474,4.826666666666666,5.000833333333333,5.54611072,5.616410489213352,5.764904441242866,4.8779737436085835,6.082625,7.0510833333333345,6.854051967999999,7.408827239782042,9.955895828863083,7.1272404753635845,6.636220238095238,7.083928571428574,8.132010697142857,8.406033207306871,9.491374035220483,8.062408302526666
1997-11-30,POMKH,1.3666666666666665,3.4133333333333336,4.805,3.3875,3.133333333333333,3.3175000000000003,3.0258358186666667,3.005334326850849,2.7539274881733817,4.347300999686066,5.378541666666666,4.866666666666666,4.692999765333333,5.0436102235066995,4.395481328524244,5.092371148298583,5.383125,6.606500000000001,6.0344311807999995,7.086891369834625,7.724870803448224,6.468073209065017,6.2898869047619055,6.687470238095241,6.234206418285714,8.070475916898165,6.710897390000234,7.743692749193237
1998-02-28,POMRB,1.836666666666667,4.173333333333333,4.835,6.985714285714287,2.6883333333333335,3.2141666666666673,2.5501681578666666,2.5924560824076193,2.653294946306435,3.6939739982855886,5.8625,4.786666666666666,4.485133192533333,4.821280768551535,4.279301663766574,4.373137765997762,5.1118749999999995,5.558750000000002,5.55465870848,6.81486462908899,7.867144200924949,6.47316580050488,5.421053571428572,6.584970238095241,6.534809565257143,8.016863856363727,8.149075135603645,6.339080345368573
1998-05-31,PREMON,4.4,10.735,5.165,4.416,2.2725,3.0525,3.29010089472,2.9779115003545407,4.084518290098702,3.4703092017840342,5.700416666666666,5.970416666666666,6.985079915519999,6.386617758975385,5.6504595782596265,4.954922158600889,5.255625,5.207500000000001,5.398795225088,6.630836544159215,8.393120930454266,5.40347500533248,5.0830327380952385,5.994803571428574,5.687285739154286,7.7821036694571415,7.754905834978551,7.255641238083132
