Date,Season,Imphal West I,Imphal West I_SMA,Imphal West I_EWMA,Imphal West I_TES,Imphal West I_ARIMA
1996-02-29,POMRB,3.515,,3.515,3.5578125000000003,0.0
1996-05-31,PREMON,4.2,,3.789,4.280644044321329,2.363696444335808
1996-08-31,MONSOON,,,,,
1996-11-30,POMKH,2.7325,,3.3664,2.8460997580013965,2.568563074508176
1997-02-28,POMRB,3.515,3.490625,3.42584,3.656827726108477,1.4039333853850449
1997-05-31,PREMON,4.2,3.661875,3.735504,3.6760062518540537,4.684454414858093
1997-08-31,MONSOON,,,,,
1997-11-30,POMKH,2.7325,3.295000000000001,3.3343024,4.4566015846080544,2.2209900597392727
1998-02-28,POMRB,3.515,3.490625000000001,3.40658144,2.829464930052592,2.011938546689135
1998-05-31,PREMON,4.2,3.661875000000001,3.723948864,3.714067853016993,4.957345415828064
1998-08-31,MONSOON,,,,,
1998-11-30,POMKH,2.7325,3.295000000000001,3.3273693183999997,3.8690954887930893,1.260327309101847
1999-02-28,POMRB,3.515,3.490625000000001,3.40242159104,4.219533112200225,2.31822443185306
1999-05-31,PREMON,4.2,3.661875000000001,3.721452954624,2.9459453476402024,4.720534676494848
1999-08-31,MONSOON,,,,,
1999-11-30,POMKH,2.7325,3.295000000000001,3.3258717727744,3.8682609183952454,1.4988409531917408
2000-02-29,POMRB,3.515,3.490625000000001,3.40152306366464,3.6627020552461884,2.5329353240575894
2000-05-31,PREMON,4.2,3.661875000000001,3.720913838198784,4.15458165940508,4.951796403276937
2000-08-31,MONSOON,,,,,
2000-11-30,POMKH,2.7325,3.295000000000001,3.3255483029192705,3.1662806824814815,1.2997243475028595
2001-02-28,POMRB,3.515,3.490625000000001,3.401328981751562,3.640845461893665,2.7136758507070247
2001-05-31,PREMON,4.2,3.661875000000001,3.7207973890509374,3.638265503760172,4.607869925252634
2001-08-31,MONSOON,,,,,
2001-11-30,POMKH,2.7325,3.295000000000001,3.3254784334305625,4.225677713925349,1.2138933465808497
2002-02-28,POMRB,3.515,3.490625000000001,3.401287060058338,3.0084557109715124,2.9240988536630184
2002-05-31,PREMON,4.2,3.661875000000001,3.720772236035003,3.6083138691579704,4.4383888893043775
2002-08-31,MONSOON,,,,,
2002-11-30,POMKH,3.175,3.4056250000000015,3.502463341621002,3.7554884477052783,1.5954818886737674
2003-02-28,POMRB,3.515,3.6012500000000016,3.5074780049726013,3.995551963069261,3.6618351384380423
2003-05-31,PREMON,4.2,3.7725000000000017,3.7844868029835608,3.0958312750216876,3.366592266620676
2003-08-31,MONSOON,,,,,
2003-11-30,POMKH,3.175,3.516250000000002,3.5406920817901364,3.7745935227793117,2.8644875449304847
2004-02-29,POMRB,3.515,3.601250000000002,3.530415249074082,3.6668176258232656,2.4186194483624432
2004-05-31,PREMON,4.2,3.7725000000000017,3.798249149444449,3.9611080112728745,4.184671185149478
2004-08-31,MONSOON,,,,,
2004-11-30,POMKH,3.175,3.516250000000002,3.5489494896666693,3.3104866433762203,2.3203822838484713
2005-02-28,POMRB,3.515,3.601250000000002,3.5353696938000017,3.6722353381552613,2.761383146478403
2005-05-31,PREMON,4.2,3.7725000000000017,3.801221816280001,3.655879121602354,3.970197909286056
2005-08-31,MONSOON,,,,,
2005-11-30,POMKH,3.175,3.516250000000002,3.5507330897680003,4.069986105544158,2.74212757022917
2006-02-28,POMRB,3.515,3.601250000000002,3.5364398538608004,3.2534697115063747,2.34028424667878
2006-05-31,PREMON,4.2,3.7725000000000017,3.80186391231648,3.6519882453497314,4.35094046289471
2006-08-31,MONSOON,,,,,
2006-11-30,POMKH,3.175,3.516250000000002,3.551118347389888,3.788777826635079,2.538473818348263
2007-02-28,POMRB,3.515,3.601250000000002,3.536671008433933,3.921768179725987,2.092327881301776
2007-05-31,PREMON,4.2,3.7725000000000017,3.80200260506036,3.2760437200418253,4.877117538918525
2007-08-31,MONSOON,,,,,
2007-11-30,POMKH,2.7325,3.4056250000000015,3.3742015630362157,3.7794491555544196,1.823356780789494
