Date,Season,Maya Bazar,Sohawal,Tarun,Puredalai,Rudauli,Amaniganj,Pura Bazar,Hastinganj,Bikapur,Masodha,Milkipur,Maya Bazar_Trend,Maya Bazar_SMA,Maya Bazar_EWMA,Maya Bazar_DES,Maya Bazar_TES,Maya Bazar_ARIMA,Sohawal_Trend,Sohawal_SMA,Sohawal_EWMA,Sohawal_DES,Sohawal_TES,Sohawal_ARIMA,Tarun_Trend,Tarun_SMA,Tarun_EWMA,Tarun_DES,Tarun_TES,Tarun_ARIMA,Puredalai_Trend,Puredalai_SMA,Puredalai_EWMA,Puredalai_DES,Puredalai_TES,Puredalai_ARIMA,Rudauli_Trend,Rudauli_SMA,Rudauli_EWMA,Rudauli_DES,Rudauli_TES,Rudauli_ARIMA,Amaniganj_Trend,Amaniganj_SMA,Amaniganj_EWMA,Amaniganj_DES,Amaniganj_TES,Amaniganj_ARIMA,Pura Bazar_Trend,Pura Bazar_SMA,Pura Bazar_EWMA,Pura Bazar_DES,Pura Bazar_TES,Pura Bazar_ARIMA,Hastinganj_SMA,Hastinganj_EWMA,Hastinganj_TES,Bikapur_Trend,Bikapur_SMA,Bikapur_EWMA,Bikapur_DES,Bikapur_TES,Bikapur_ARIMA,Masodha_Trend,Masodha_SMA,Masodha_EWMA,Masodha_DES,Masodha_TES,Masodha_ARIMA,Milkipur_Trend,Milkipur_SMA,Milkipur_EWMA,Milkipur_DES,Milkipur_TES,Milkipur_ARIMA
1996-02-29,POMRB,1.5133333333333334,5.783333333333334,6.45,3.9150000000000014,3.5600000000000005,1.01,3.4,7.28,6.435,3.4000000000000004,4.44,,,1.5133333333333334,4.861058644237106,1.7291169670431852,0.0,,,5.783333333333334,7.311223671991012,5.7226494246990285,0.0,,,6.45,6.335836990156601,6.2493592968071425,0.0,,,3.9150000000000014,3.8168301823600133,4.136877352950072,0.0,,,3.5600000000000005,2.9187832258016586,3.6951485946426836,0.0,,,1.01,6.204674627106975,1.848425562880128,0.0,,,3.4,3.970648734762082,3.895540130116128,0.0,,7.28,7.28,,,6.435,6.346560564810282,6.342684167708189,0.0,,,3.4000000000000004,2.1881018649059123,3.9071386918567024,0.0,,,4.44,4.748694659930548,4.53008299570835,0.0
1996-05-31,PREMON,3.536666666666666,6.608,6.630000000000001,5.44,5.09,5.25,5.1,5.98,7.37,5.4899999999999975,5.866666666666667,,,2.3226666666666667,7.571082984563022,3.3645125918712737,1.5133314628810572,,,6.113200000000001,8.10463126894719,7.515164896538591,5.783304531449937,,,6.522,6.133576650271997,7.635830128799127,2.4874213108106384,,,4.525,4.013691365388116,5.313364563370499,3.9149980668718194,,,4.172000000000001,2.9448118249091713,5.277479057356819,2.864021297637022,,,2.706,14.715429133814007,4.060157436536101,1.0099994809157278,,,4.08,4.1816356585541286,4.999336161538403,3.3999987811824206,,6.760000000000001,5.98,,,6.809,6.305689024179178,8.048117290022564,6.434991392372795,,,4.235999999999999,2.5775798029068175,5.354602339097315,3.399994857135258,,,5.010666666666667,5.073183125344891,5.225521459668032,4.439998964870547
1996-08-31,MONSOON,1.143333333333333,4.01,6.630000000000001,4.141666666666667,3.685,3.83,4.88,5.98,5.475,3.6,5.203333333333333,1.8624999999999996,,1.8509333333333333,5.82398254692408,0.9674433952758978,2.544387333171392,5.469916666666667,,5.271920000000001,8.01100560726908,3.276042575860944,6.327074510594768,5.9925,,6.565200000000001,5.979130521910702,4.678432804315321,1.876677734668169,4.2472916666666665,,4.371666666666667,3.979490376008858,3.6955019011914976,4.885121572493725,3.820625,,3.9772000000000003,2.7079985483857714,2.11482679103822,3.862996687010696,3.4650000000000003,,3.1555999999999997,10.715435217874358,2.627659276178031,4.661553973949436,4.4325,,4.4,4.320762645726332,3.7992680550150904,4.489285708622156,,6.448,5.98,6.225624999999999,,6.275399999999999,5.96463603540931,4.501937184047245,7.083573163929246,4.034999999999999,,3.9815999999999994,2.518922322684035,2.2718860181568004,4.683056384293976,5.113125,,5.087733333333333,5.105830191999731,4.8146316889462035,5.500414662545255
1996-11-30,POMKH,1.3033333333333332,5.256,4.965,3.45,2.96,2.675,3.9,,5.635,3.3666666666666667,4.7,1.856875,1.8741666666666665,1.6318933333333332,3.760262191809649,1.467692587633762,2.0480182853021356,5.76925,5.414333333333333,5.2655520000000005,8.094112904738383,4.7010332723317,4.920119355829615,5.8975,6.16875,5.925120000000001,5.559511335354179,5.727160155527774,4.2822747383288,4.332023809523809,4.236666666666667,4.003,3.831375412649248,3.8648409065046057,4.189935431099104,3.8831250000000006,3.8237500000000004,3.5703199999999997,2.412631002857502,3.3631489309875753,3.777174417303418,3.7356249999999998,3.19125,2.9633599999999998,4.544298230898584,2.7845040292350114,1.4816504328483941,4.5575,4.319999999999999,4.2,4.271243847979058,3.908984642701651,4.39662982974877,,,,6.2056249999999995,6.22875,6.01924,5.712325077562245,5.22066676677995,5.9299063286988005,4.100833333333333,3.964166666666666,3.735626666666666,2.458126853039897,3.5041659038061646,3.8586450822724814,5.121666666666667,5.0525,4.93264,4.980290291753862,4.985044019748011,4.998027010213952
1997-02-28,POMRB,1.4200000000000002,6.228,5.04,4.0,3.535,3.2,4.3,7.28,6.41,3.966666666666667,4.925,1.8704166666666666,1.850833333333333,1.547136,2.284327430773586,1.6934063715997434,1.5532001707722665,6.01875,5.5255,5.6505312,8.302754247594057,6.000229007354953,5.671048648254501,6.0600000000000005,5.81625,5.571072000000001,5.237986016362761,6.411602044925102,6.2149162787758705,4.367672619047619,4.257916666666667,4.0018,3.797590635590963,4.1670920548738035,3.874565879938528,3.620625,3.8175000000000003,3.556192,2.4066005920796205,3.905878635065558,3.53224576905583,3.34125,3.73875,3.0580160000000003,2.8294407063123317,2.2779423626102417,2.7249997563001043,4.51,4.545,4.24,4.297530162132594,3.9709780711378015,3.7468575811939,6.630000000000001,6.780800000000001,7.28,6.199375,6.2225,6.175544,5.637168858285054,6.674192930775138,6.124824912229441,3.9979166666666663,4.105833333333333,3.8280426666666667,2.5812905293462953,4.166711525731912,3.501703190625738,4.9191666666666665,5.17375,4.929584,4.958325450542497,5.157602007732823,4.62473943020608
1997-05-31,PREMON,3.585,8.558,7.28,6.032857142857143,5.615,5.225,5.2,5.98,7.2349999999999985,5.45,5.45,1.8666666666666665,1.8629166666666668,2.3622816,3.1051864669671754,3.379707718003561,3.038894010253561,5.943125,6.013,6.813518719999999,9.021450650354144,7.624268141086221,6.651804256438843,6.045625,5.97875,6.2546432,5.393419598708212,7.134165302780451,5.888146632735971,4.417547619047619,4.406130952380952,4.814222857142857,4.14269104337848,5.357435663123245,5.189778123807546,3.1950000000000003,3.9487500000000004,4.3797152,3.0879924191605688,5.429379633542769,4.775698296916843,2.7156249999999997,3.7325,3.9248095999999997,5.339694767530674,5.673422944851596,6.048789565095676,4.4174999999999995,4.57,4.6240000000000006,4.471770706415424,5.36684346871539,4.928909010137867,6.305,6.4604800000000004,7.28,6.173125000000001,6.18875,6.5993264,5.719994083302653,8.165313674044487,6.981941478694042,3.8270833333333334,4.095833333333333,4.4768256,3.0712114368453456,5.703686393731865,5.065338587267678,4.571875,5.069583333333333,5.1377504,5.097776598397911,5.729241425273532,5.5823831334781415
1997-08-31,MONSOON,1.2033333333333334,4.056,7.28,3.8340000000000014,1.06,0.7,4.4,5.98,5.5600000000000005,2.8166666666666664,4.0,1.91125,1.8779166666666671,1.8987022933333335,1.827418558000463,0.98786562177073,1.3631357708479896,5.647312500000001,6.0245,5.710511231999999,8.400725989668807,4.141490758899471,5.302665098353074,5.9,6.141249999999999,6.66478592,5.534513846456172,4.663079019258783,6.983667697470667,4.4837976190476185,4.329214285714286,4.4221337142857156,4.081041945082337,3.878372970931331,4.488378406740687,3.01125,3.2925,3.05182912,2.406864514392557,2.3598391336232396,3.748684038718609,2.26875,2.9499999999999997,2.6348857599999995,1.1792922246752207,3.631840618725559,4.527365008787219,4.34625,4.45,4.534400000000001,4.482054702038124,4.3652394899280065,4.822234810744944,6.305,6.268288,5.828753462603879,6.013124999999999,6.209999999999999,6.18359584,5.518408428521518,4.731683117737028,5.926948831364357,3.6870833333333333,3.9,3.8127620266666664,2.8887363030963606,2.5075604796400155,3.95660735227258,4.309375,4.76875,4.68265024,4.768075546553304,4.518858402148808,5.049996056541476
1997-11-30,POMKH,1.2133333333333334,4.605,4.2,4.156666666666666,2.18,0.8,3.64,,5.34,2.783333333333333,3.125,1.9397916666666666,1.8554166666666672,1.6245547093333335,1.1847455041587587,1.440639009879551,1.4503674951143137,5.219125,5.86175,5.2683067392,7.8459898117197975,5.3469093280306055,5.165187508373356,5.702500000000001,5.949999999999999,5.678871552,5.097292526247814,5.992763880060907,5.050042874234578,4.386892857142858,4.505880952380953,4.3159468952380955,4.0815822487751925,3.9236442745235873,3.4833869190663407,2.91625,3.0975,2.7030974719999996,2.1718576222901476,2.8919127661546304,2.7480013402195906,1.678125,2.48125,1.9009314559999997,0.455937518034756,1.9034380682003733,2.023071482196429,4.2475000000000005,4.385000000000001,4.176640000000001,4.36206699955127,4.021149477697404,4.031149841488481,,,,5.856875,6.136249999999999,5.846157504,5.3188026738206915,5.333820063107765,5.767997181141933,3.5512499999999996,3.7541666666666664,3.4009905493333332,2.7415560771363086,3.442821600553406,3.2504156279124716,4.14,4.375,4.0595901439999995,4.27784904702516,3.9009192852599557,4.03046867818529
1998-02-28,POMRB,1.8666666666666665,4.5125,4.64,3.823333333333333,2.845,1.5,3.99,7.28,5.425,3.43,4.4,1.8064583333333335,1.967083333333334,1.7213994922666667,1.4096557250001915,1.6382481882845958,1.4696330709456373,5.001500000000001,5.432874999999999,4.96598404352,7.235007801999668,6.289279983885869,5.713989246197107,4.7725,5.85,5.263322931199999,4.824674814131316,6.2420149448514115,4.762034226440539,4.2430714285714295,4.461714285714287,4.118901470476191,4.023595914943091,4.389754193601071,4.180159910744229,2.9,2.9250000000000003,2.7598584832,2.198736406786052,3.3575864830161426,3.1969463384642443,1.2262499999999998,2.0562500000000004,1.7405588736,1.392708862136933,1.292769755450592,1.7580622631963134,3.6775,4.3075,4.101984,4.320994099423304,4.103013555843276,4.144377350485152,6.63,6.6729728,5.831945580528081,5.206250000000001,5.889999999999999,5.6776945024,5.1715887440110935,6.566466531343679,6.1124607088050045,3.1616666666666666,3.6199999999999997,3.4125943296,2.7860998159210055,3.9532186956994604,3.438445013880391,3.83875,4.2437499999999995,4.1957540864,4.309038168074942,3.647078791671615,3.7653606325621896
1998-05-31,PREMON,3.3666666666666667,6.848000000000001,6.1,5.434285714285715,5.545,2.2,4.72,5.98,6.9700000000000015,4.9,4.62,1.715,1.9125000000000008,2.3795063620266665,3.084662487309532,3.4846441446499044,3.371574266402542,5.091375000000001,5.005374999999999,5.718790426112,7.227281280815095,7.619056945085511,6.766589630415192,3.8274999999999997,5.555,5.5979937587199995,4.875856666969324,6.867282244948138,6.849434949557287,4.195738095238095,4.312071428571429,4.645055168000001,4.263094757999222,5.479098829893366,5.509704341963902,2.953125,2.9075,3.8739150899199997,3.100196285305212,4.845722466566471,4.805563426949152,1.23375,1.3000000000000003,1.92433532416,2.970214830644849,4.065833712609992,2.982605731487143,3.0937500000000004,4.1875,4.3491903999999995,4.410171958840531,5.2982657622286355,4.666563931485781,6.305,6.39578368,7.287688715617845,4.1937500000000005,5.8237499999999995,6.19461670144,5.312841504908453,7.678129688677327,6.522145418458308,2.831666666666667,3.4825,4.00755659776,3.199686597432992,5.395995371066508,4.901852039284232,3.6125,4.03625,4.36545245184,4.395903690997642,5.07479231239244,5.12952770447202
