Date,Season,Tinsukia,Tinsukia_Trend,Tinsukia_SMA,Tinsukia_EWMA,Tinsukia_DES,Tinsukia_TES,Tinsukia_ARIMA
1996-02-29,POMRB,4.171333333333333,,,4.171333333333333,3.2267660906407896,4.315198499417249,0.0
1996-05-31,PREMON,2.09,,,3.3387999999999995,2.474133361268094,2.3514281134378088,0.0
1996-08-31,MONSOON,1.8715384615384616,2.583283653846154,,2.751895384615384,1.9238939596034301,2.225449353299382,0.0
1996-11-30,POMKH,2.4738461538461536,2.6973878205128208,2.651679487179487,2.640675692307692,1.7497252292402423,2.8968140167549334,0.0
1997-02-28,POMRB,3.624166666666667,2.9949038461538464,2.5148878205128207,3.0340720820512823,2.0322399346746423,4.596478424854866,4.171332447509071
1997-05-31,PREMON,3.5500000000000003,3.1685300116550117,2.879887820512821,3.2404432492307693,2.316122954843417,2.414649314817395,2.0899995561676414
1997-08-31,MONSOON,2.791666666666666,3.2557102272727265,3.109919871794872,3.060932616205128,2.3602833758710338,2.4647060016137354,1.8715380640985915
1997-11-30,POMKH,2.9427272727272724,3.2443844696969695,3.227140151515152,3.013650478813986,2.470656294338638,3.2234403869246355,2.473845628500234
1998-02-28,POMRB,3.852727272727273,3.1238257575757578,3.284280303030303,3.3492811963793008,2.8898922132194933,4.777306719997827,3.870646173693875
1998-05-31,PREMON,3.230833333333333,3.1215719696969697,3.204488636363636,3.301902051160914,3.065247617658053,3.2749995749617007,2.892319636470557
1998-08-31,MONSOON,2.1463636363636365,3.238617424242424,3.0431628787878786,2.8396866852420026,2.848667859097248,2.860537119471619,2.3771801393596266
1998-11-30,POMKH,3.57,3.368399621212121,3.199981060606061,3.1318120111452012,3.1138661958830327,3.214030097980458,2.731512097053716
1999-02-28,POMRB,4.161818181818181,3.3857954545454545,3.2772537878787875,3.5438144794143933,3.5524419858196956,4.632017280150973,3.8628540443921477
1999-05-31,PREMON,3.96,3.2596704545454545,3.459545454545454,3.710288687648636,3.867290562139472,3.4577258277553327,3.0395241163254654
1999-08-31,MONSOON,1.5563636363636362,3.269681818181818,3.312045454545454,2.8487186671346363,3.311239718912472,2.9098315758594273,2.276808356532691
1999-11-30,POMKH,3.151,3.0816931818181814,3.207295454545454,2.969631200280782,3.3048347969916185,3.4762546242252004,3.0961330171575057
2000-02-29,POMRB,4.66090909090909,2.8840643939393935,3.3320681818181814,3.6461423565321054,3.8007985550172587,4.484732411812893,3.981151134002431
2000-05-31,PREMON,1.957,2.974498106060606,2.8313181818181814,2.970485413919263,3.336084953711067,3.694659593067839,3.4037471265923456
2000-08-31,MONSOON,1.9783333333333333,2.9464469696969697,2.9368106060606056,2.573624581684891,2.9136384996190126,2.1262870180127673,1.991735657329162
2000-11-30,POMKH,3.4525,3.0679583333333333,3.012185606060606,2.9251747490109348,3.0212671484654345,3.1570269900890477,3.117843328105989
2001-02-28,POMRB,4.135000000000002,3.23349358974359,2.8807083333333336,3.4091048494065617,3.357927499711127,4.3866099616815575,4.2401663290263585
2001-05-31,PREMON,3.455,3.19754967948718,3.2552083333333335,3.427462909643937,3.437380721072282,2.878706324053698,2.8524781265943377
2001-08-31,MONSOON,1.8046153846153847,3.193320512820513,3.2117788461538463,2.778323899632516,2.961408655112439,2.1894795585430873,1.9866288313946032
2001-11-30,POMKH,3.3386666666666662,3.194400058275058,3.1833205128205124,3.0024610064461763,3.034472215034663,3.3287081130248657,3.245361016212417
2002-02-28,POMRB,4.215,3.220152680652681,3.203320512820512,3.4874766038677056,3.4020812925709842,4.339194741340152,4.200689354324598
2002-05-31,PREMON,3.383636363636364,3.2123257575757576,3.1854796037296027,3.445940507775169,3.4569505533956626,3.1147770374461374,3.078650714093626
2002-08-31,MONSOON,2.082,3.161034090909091,3.254825757575756,2.900364304665101,3.067925990077484,2.0677443934295563,1.9183052500696087
2002-11-30,POMKH,2.998666666666667,3.130627164502165,3.1698257575757567,2.939685249465727,3.0150243199091484,3.398882995381913,3.2803857702055943
2003-02-28,POMRB,4.144666666666667,3.0887619047619053,3.1522424242424236,3.421677816346103,3.3548105258587264,4.296225276999285,4.206029500109172
2003-05-31,PREMON,3.210714285714286,3.0829754464285712,3.109011904761904,3.3372924040933762,3.3529580187058805,3.1849114044329916,3.1924588446073057
2003-08-31,MONSOON,1.92,3.0788199404761905,3.0685119047619036,2.770375442456026,2.9242120451748264,2.0063427785404295,1.9793894141685213
2003-11-30,POMKH,3.114375,2.8556885302197803,3.0974389880952367,2.907975265473616,2.9314487725621534,3.1754460838150815,3.1752597600086387
2004-02-29,POMRB,3.995714285714286,2.672137706043956,3.060200892857142,3.343070873569884,3.2410966203461653,4.198050782419343,4.183184951811863
2004-05-31,PREMON,1.5746153846153847,2.7488985233516487,2.651176167582417,2.6356886779880844,2.7360948514938186,3.126651988026855,3.1992550970399423
2004-08-31,MONSOON,2.087692307692308,2.8043406593406597,2.6930992445054938,2.416490129869774,2.462186187097147,1.6161234216650038,1.9572795430265233
2004-11-30,POMKH,3.560769230769232,2.9338232600732606,2.8046978021978015,2.874201770229557,2.7159848712721995,2.847794761282902,3.152593191948501
2005-02-28,POMRB,3.9928571428571433,2.9930586080586083,2.803983516483516,3.3216639192805912,3.108851253074079,3.9338007667217827,4.113456662926709
2005-05-31,PREMON,2.6133333333333333,2.8990544871794874,3.0636630036630033,3.038331684901688,3.0055874011094987,2.4697638829705983,2.5949827084025126
2005-08-31,MONSOON,1.522857142857143,2.886964285714286,2.922454212454212,2.4321418680838702,2.553441646317529,1.9005790659141657,2.0057855792945887
