Date,Season,Sonhat,Manendragarh,Baikunthpur,Khadgawan,Bharatpur (janakpur),Sonhat_Trend,Sonhat_SMA,Sonhat_EWMA,Sonhat_DES,Sonhat_TES,Sonhat_ARIMA,Manendragarh_Trend,Manendragarh_SMA,Manendragarh_EWMA,Manendragarh_DES,Manendragarh_TES,Manendragarh_ARIMA,Baikunthpur_Trend,Baikunthpur_SMA,Baikunthpur_EWMA,Baikunthpur_DES,Baikunthpur_TES,Baikunthpur_ARIMA,Khadgawan_Trend,Khadgawan_SMA,Khadgawan_EWMA,Khadgawan_DES,Khadgawan_TES,Khadgawan_ARIMA,Bharatpur (janakpur)_Trend,Bharatpur (janakpur)_SMA,Bharatpur (janakpur)_EWMA,Bharatpur (janakpur)_DES,Bharatpur (janakpur)_TES,Bharatpur (janakpur)_ARIMA
1996-02-29,POMRB,4.36,3.766666666666667,6.622000000000001,9.36,3.8575,,,4.36,9.089851089641815,4.707741771921787,0.0,,,3.766666666666667,3.4593915078168798,4.130982972830816,0.0,,,6.622000000000001,5.745856314638218,6.162400220159841,0.0,,,9.36,7.918861315003368,8.811651437600739,0.0,,,3.8575,3.286423790415114,4.358936848409122,0.0
1996-05-31,PREMON,7.35,5.08,8.175999999999998,11.8,7.49,,,5.556,12.118490778275497,6.896611107392926,2.271833931266632,,,4.292,3.553594160104003,5.126141902151448,3.7666605473643857,,,7.2436,6.049998495846528,8.09903606634581,3.6509787404805145,,,10.336,8.495659967599686,12.848274014126916,5.819311708005517,,,5.3105,3.2957130823471457,6.228556586521266,3.8574890666878128
1996-08-31,MONSOON,3.88,1.6333333333333335,3.634,9.0,2.52,4.9225,,4.8856,10.208259556164336,3.045523619987063,3.907472560551807,3.554880952380953,,3.228533333333333,3.395510892228536,1.9677425912157798,4.581160055717463,5.67375,,5.799759999999999,5.733150486883616,4.192756182436215,4.811054472936531,9.16375,,9.8016,8.242686974368702,7.947658383954818,7.720673682245369,4.7678125,,4.1943,3.305028594889844,3.3321195020846197,5.616192107124481
1996-11-30,POMKH,3.93,3.4314285714285715,3.8760000000000003,7.41,4.27,4.851249999999999,4.88,4.503360000000001,7.748141657430069,4.018878998119239,2.9743975759316474,3.814092261904762,3.477857142857143,3.3096914285714285,3.372719755580866,2.9306457960584105,2.9409261312331685,5.75275,5.577,5.030256,5.488260683756603,4.103349572348117,3.5693240222881917,9.055000000000001,9.3925,8.84496,7.6168434276029515,7.709013673063954,7.417930674002948,5.05125,4.534375,4.22458,3.3143704508702507,4.094384967285441,4.791255909647307
1997-02-28,POMRB,4.7,4.382857142857144,7.395999999999999,7.53,5.725,4.49125,4.965,4.582016,6.156020764133862,5.075307252250591,4.104752341506914,4.158184523809524,3.6319047619047624,3.738957714285715,3.4216760567869184,4.20718520119425,3.6321313307072116,5.671749999999999,5.7705,5.976553599999999,5.725818749310826,6.106385622118664,5.519657316414066,9.1475,8.935,8.318976,7.201246823138292,8.986573031166545,8.932531862002916,5.04625,5.001249999999999,4.824748,3.323738722610929,4.293384751481236,3.7796550855115902
1997-05-31,PREMON,6.44,6.537499999999999,8.033999999999999,12.76,7.8900000000000015,3.9650000000000003,4.737500000000001,5.325209600000001,6.206175628817708,7.252273875176073,6.845719919013552,4.293660714285715,3.9962797619047623,4.858374628571429,3.630390844622111,5.295432006589983,4.733672317980242,5.63,5.735,6.799532159999998,6.014366605712467,8.258357736930126,7.495702307942773,8.963125,9.175,10.0953856,8.624781566915296,12.145162681485024,10.389870324190955,4.836874999999999,5.1012499999999985,6.050848800000001,3.3331334899240996,7.31076753533927,7.697864557969404
1997-08-31,MONSOON,1.91,2.9285714285714284,3.128,8.78,2.08,3.42375,4.245000000000001,3.95912576,3.4760201427751425,2.854676023906621,3.4185686041668757,4.245625,4.320089285714286,4.086453348571429,3.5725451319577872,2.359105534460224,3.0748204101074217,5.35275,5.6085,5.3309192959999985,5.637325273773445,4.273903945788378,3.698610342543743,8.794166666666667,9.120000000000001,9.56923136,8.655119567149246,8.116114073275154,9.498143849062565,4.215625,4.991249999999998,4.46250928,3.3425547698901124,3.6810005605096445,3.285157226298989
1997-11-30,POMKH,1.69,3.22,4.048,6.155,3.035,2.895,3.6850000000000014,3.051475456,1.9390396798180949,3.0597973562402805,2.8293550486497394,4.080111607142857,4.267232142857143,3.7398720091428577,3.537221387562249,3.4778266084413367,3.7542486299660656,4.867249999999999,5.6514999999999995,4.817751577599999,5.426852145912726,4.032169643165601,3.3027699714467262,8.670520833333335,8.806250000000002,8.203538816,7.84059168776352,7.515074601374735,7.500105450038559,3.17125,4.682499999999998,3.8915055680000004,3.3520026864876837,4.36096949093606,4.042535375307966
1998-02-28,POMRB,2.61,4.21,5.005999999999999,7.433333333333334,1.99,2.52,3.1625000000000014,2.8748852736,1.7931155228207913,3.563127915954758,3.5626288339674157,3.794241071428572,4.224017857142857,3.9279232054857145,3.575754663651783,4.6235903224510615,3.98652790592876,4.575749999999999,5.054,4.893050946559999,5.366277278506021,6.098295497227879,6.4935992463519785,8.111458333333333,8.782083333333336,7.895456622933334,7.548750201379419,8.27027554830622,7.484248322057876,2.515625,3.748749999999998,3.1309033407999998,3.36147730050858,4.2621740211776125,4.403324274598091
1998-05-31,PREMON,4.3,5.38625,6.54,11.8675,3.27,2.3075,2.6275000000000013,3.44493116416,3.110989550116306,5.490592862706782,5.7189866511868654,3.5824553571428575,3.9362053571428577,4.511253923291429,3.701414853636621,5.610254967793786,5.463718212669603,4.18575,4.6805,5.551830567935999,5.509984441263396,7.63231271590027,6.569624212781035,7.507083333333333,8.558958333333337,9.48427397376,8.788723462127972,11.991397423834151,11.519458443542433,2.400625,2.5937499999999982,3.1865420044799997,3.3709787042682717,5.651560420663193,6.160557861741628
1998-08-31,MONSOON,1.05,1.792857142857143,2.29,5.2,1.455,2.05875,2.4125000000000014,2.4869586984959997,1.8969235162873632,0.9296377147715675,1.7791805794515385,3.4679910714285715,3.6522767857142866,3.4238952111177143,3.561723506556111,2.421194072871022,2.5646323965079714,3.5769999999999995,4.471,4.2470983407616,5.090839457321334,3.422679527902967,2.750426903163918,7.097291666666667,7.663958333333337,7.770564384256001,7.744104390969626,7.756432648159462,8.66065624689088,2.52875,2.4374999999999982,2.4939252026879997,3.3805069510536474,0.38138999898486214,0.33559237510789286
1998-11-30,POMKH,0.85,2.6614285714285715,1.7659999999999996,4.9,2.74,2.0875,2.2025000000000015,1.8321752190976,1.0907733815145495,1.5946402161836881,1.9918608634196362,3.4975669642857143,3.512633928571429,3.118908555242057,3.487545665620891,3.333427466234479,3.2299291848047047,3.3694375,3.9004999999999996,3.2546590044569594,4.658782178182774,3.1843761248495785,3.281214719656214,6.857187499999999,7.350208333333336,6.6223386305536005,6.733968565703293,5.844834100195369,4.956037248830809,2.791875,2.3637499999999982,2.5923551216128,3.390062139209697,2.1599710567750043,2.519270203233602
