Date,Season,Sabour,Kahalgaon,Jagdishpur,Piroainti,Rangra Chowk,Naugachhia,Bihpur,Sultanganj,Shahkund,Sabour_Trend,Sabour_SMA,Sabour_EWMA,Sabour_DES,Sabour_TES,Sabour_ARIMA,Kahalgaon_Trend,Kahalgaon_SMA,Kahalgaon_EWMA,Kahalgaon_DES,Kahalgaon_TES,Kahalgaon_ARIMA,Jagdishpur_Trend,Jagdishpur_SMA,Jagdishpur_EWMA,Jagdishpur_DES,Jagdishpur_TES,Jagdishpur_ARIMA,Piroainti_Trend,Piroainti_SMA,Piroainti_EWMA,Piroainti_DES,Piroainti_TES,Piroainti_ARIMA,Rangra Chowk_Trend,Rangra Chowk_SMA,Rangra Chowk_EWMA,Rangra Chowk_DES,Rangra Chowk_TES,Rangra Chowk_ARIMA,Naugachhia_Trend,Naugachhia_SMA,Naugachhia_EWMA,Naugachhia_DES,Naugachhia_TES,Naugachhia_ARIMA,Bihpur_Trend,Bihpur_SMA,Bihpur_EWMA,Bihpur_DES,Bihpur_TES,Bihpur_ARIMA,Sultanganj_Trend,Sultanganj_SMA,Sultanganj_EWMA,Sultanganj_DES,Sultanganj_TES,Sultanganj_ARIMA,Shahkund_Trend,Shahkund_SMA,Shahkund_EWMA,Shahkund_DES,Shahkund_TES,Shahkund_ARIMA
1997-05-31,PREMON,5.34,6.04,5.567142857142856,5.24,4.760000000000002,4.760000000000002,6.7,6.823333333333332,4.93,3.47375,3.4675000000000002,4.0238592,7.235067331835912,4.955415431064678,4.97498268908579,3.79,3.5149999999999997,4.465139200000001,4.051860471072747,6.159735349338919,4.331735986960007,3.7055654761904755,4.1133928571428555,4.536526457142857,4.283667556215174,4.9424415542525075,5.017239681019357,3.6975,3.6099999999999994,4.183510399999999,2.6227050977026005,5.284659435323651,4.8175049678182,2.9675000000000002,3.0549999999999997,3.7614656000000006,1.1097928779912059,4.7562316447045125,4.826962489925705,2.9675000000000002,3.0549999999999997,3.7614656000000006,1.0408911399032337,5.068647704251848,4.7999980419250265,4.34375,4.3,5.308739200000001,7.176019492296034,6.7991455843596444,6.6115176119263666,4.9624999999999995,4.733333333333333,5.538728533333332,6.971660036369796,6.3398483565821895,6.479178870980955,3.6674999999999995,3.5149999999999997,4.1743264,3.0817773639567863,5.3267718897522895,4.649915396745637
1997-08-31,MONSOON,2.38,2.42,2.7342857142857144,2.62,1.0,1.0,2.0,3.2000000000000006,2.41,3.51,3.45,3.36631552,5.993647715068005,2.4307450126487233,2.7965347540546848,3.88625,3.732499999999999,3.6470835200000007,4.0659799298065105,1.9198359568518328,2.4337058116802552,3.9763988095238094,3.699107142857141,3.81563016,4.304626287662808,2.977878321280898,4.358019804604251,3.7212500000000004,3.7024999999999997,3.5581062399999994,2.587572991074644,2.401281367380421,2.6881288297657586,2.9687500000000004,2.965,2.65687936,0.8796028426732772,1.1645327066065807,1.3238077990474189,2.9687500000000004,2.965,2.65687936,0.8162280174671798,1.1282922329721337,1.359999445212091,4.37875,4.3575,3.98524352,5.41244482876975,2.1063449435712793,1.7887749792489704,4.9275,4.9,4.603237119999999,5.065813219693208,3.015948689558777,2.455948139652462,3.5162500000000003,3.6024999999999996,3.46859584,2.8458692150585594,2.445938108215512,2.5939830095969123
1997-11-30,POMKH,2.86,3.37,3.806666666666666,3.25,2.54,2.54,3.65,4.673333333333333,3.04,3.4875,3.4975,3.1637893119999996,5.022649648928778,2.6870060509837637,2.6782307818824176,3.9575,3.8474999999999993,3.5362501120000003,4.080148598424282,2.883447880653276,3.2352461091648914,4.404672619047619,3.7120238095238074,3.812044762666667,4.325687572111559,3.334388887652248,3.4003213528549314,3.73625,3.6925,3.4348637439999994,2.709409998118806,3.149159040475112,3.4185413983644892,2.9575,2.9699999999999998,2.6101276159999998,0.938268336743121,2.40412780736604,2.4304216240800947,2.9575,2.9699999999999998,2.6101276159999998,0.8718860990225471,1.8656799728959217,2.519998972010639,4.17125,4.33,3.851146112,4.588795108377882,3.2687798068823426,3.817055977438299,4.808333333333334,5.025,4.631275605333332,4.5479534558383365,3.875652560275732,4.045851370778676,3.3024999999999998,3.7325,3.297157504,2.7894292909596676,2.9619212878832193,2.8216941273801206
1998-02-28,POMRB,3.51,3.87,4.855,3.89,3.57,3.57,5.36,4.623333333333334,2.82,3.42875,3.5225,3.3022735871999993,4.483699422355322,3.755154286971904,3.1968283981430163,3.95375,3.9249999999999994,3.6697500672000003,4.094366644576991,4.1829752482874,4.1199155107132714,4.654464285714286,4.240773809523807,4.2292268576000005,4.34685191113965,4.1140830226882255,3.7415947411716317,3.7075000000000005,3.75,3.6169182463999996,2.98278245335673,3.7473136957380344,3.57528497416833,2.86,2.9675,2.9940765696,1.171759195778029,3.5692486029521047,3.6367678119429336,2.86,2.9675,2.9940765696,1.095361296990595,3.5455968829960134,3.5247404100061055,3.7212500000000004,4.4275,4.4546876672,4.64307449017875,4.804590110435636,4.99602834849691,4.706666666666667,4.830000000000001,4.628098696533333,4.262662994407597,4.914763223544629,4.853057133257121,3.2954166666666667,3.3,3.1062945024,2.704950494772066,4.571598334303637,4.287054301413593
1998-05-31,PREMON,5.06,6.3,6.878333333333333,5.13,4.68,4.68,4.65,6.65,4.95,3.40875,3.4524999999999997,4.005364152319999,4.783769708379091,5.14534949997313,5.109308963887722,3.9656249999999997,3.9899999999999993,4.72185004032,4.108634256755061,6.245730633763727,5.026833747129653,4.806190476190476,4.568571428571427,5.288869447893333,4.368119816386015,5.897056393297935,6.311215339242978,3.68125,3.7224999999999997,4.2221509478399994,3.5505465296657786,5.3817341619869605,5.047423096093682,2.68,2.947499999999999,3.66844594176,1.5869719307623615,4.8097158908225985,4.728022963588906,2.68,2.947499999999999,3.66844594176,1.4923810877359476,5.12024490527971,4.778418745002308,3.43,3.915,4.53281260032,4.463993085305265,6.874900043944936,6.752833397131341,4.504583333333334,4.786666666666669,5.43685921792,5.390027626487045,6.339848356582194,6.64848568313548,3.300833333333333,3.3049999999999997,3.8437767014400004,3.140657689919579,5.189793490056614,4.295903447313739
1998-08-31,MONSOON,2.19,2.13,3.4214285714285717,2.5,0.3,0.3,0.45,2.56,2.333333333333333,3.4074999999999998,3.4049999999999994,3.2792184913919993,3.6657834315550417,2.5197463128677238,2.571795617376048,4.075625,3.917499999999999,3.6851100241919994,4.122951551510131,2.0058362039526836,2.463925487742117,4.800357142857142,4.740357142857141,4.541893097307429,4.389491752843396,4.136519445148733,4.323144496598326,3.6537499999999996,3.6925,3.5332905687039995,3.44350524021597,2.524474166241659,2.7420571545412464,2.565,2.772499999999999,2.321067565056,1.2964789136930954,1.1671711216375864,1.1457134978553534,2.565,2.772499999999999,2.321067565056,1.2117288402727435,1.1802472050948807,1.165776564631905,3.31,3.5275,2.899687560192,2.79624628238597,1.978367837722157,1.460982146331916,4.37,4.626666666666669,4.286115530752,3.8959371779663963,3.0159486895587806,2.82304726871454,3.359583333333333,3.2858333333333327,3.2395993541973334,2.948479866491443,2.3041407324747425,2.4906618008252908
1998-11-30,POMKH,2.89,3.755,4.333333333333333,3.16,1.8,1.8,2.87,3.6966666666666654,3.16,3.22875,3.4124999999999996,3.1235310948351995,3.1632625725090264,2.7160832563942092,2.7485837348531335,4.025625,4.013749999999999,3.7130660145151992,4.137318751289155,2.9694471070951423,3.310668494685032,4.63046130952381,4.8720238095238075,4.458469191717791,4.4109682627692,4.223247026828558,3.8719414978666076,3.58125,3.67,3.3839743412224,3.4781497265694123,3.220425535199132,3.3787803505697918,2.5575,2.5874999999999995,2.1126405390336,1.279708582135582,2.4975166552557586,2.241574627919663,2.5575,2.5874999999999995,2.1126405390336,1.1975070094169062,1.9192270087619856,2.5307897032807114,3.5437499999999997,3.3325,2.8878125361152,2.4730374245333437,3.0045165231999444,3.469216293266633,4.339583333333334,4.382500000000002,4.050335985117867,3.50529817051558,3.875652560275733,4.3552557582661855,3.399583333333333,3.315833333333333,3.2077596125184002,2.9642040092982858,2.7894360600678607,2.856269542416884
1999-02-28,POMRB,3.47,4.365,4.281666666666667,3.76,3.39,3.39,5.18,4.523333333333333,3.17,3.0775,3.4024999999999994,3.26211865690112,3.0997149047646793,3.7844296908510286,3.3708631486960443,3.9496875,4.137499999999998,3.9738396087091195,4.151736021356902,4.268969356214654,4.079360281609201,4.654136904761905,4.728690476190474,4.387748181697342,4.432549850473757,4.795701595174589,4.373122482556407,3.6275,3.6374999999999993,3.53438460473344,3.6399023096142984,3.8073516877854594,3.69953047391817,2.7600000000000002,2.5424999999999995,2.62358432342016,1.5349015160424662,3.6218114657394302,3.6350775854403268,2.7600000000000002,2.5424999999999995,2.62358432342016,1.4460099764273309,3.59785408466444,3.5435494734655575,3.98125,3.2874999999999996,3.80468752166912,3.237512950070785,4.490898799873837,5.081842469629955,4.607916666666667,4.357500000000002,4.239534924404054,3.803653976290635,4.914763223544626,4.776094818892736,3.36875,3.4033333333333324,3.19265576751104,2.9866349678698567,4.309315534608395,3.544535263384456
1999-05-31,PREMON,3.67,5.404999999999999,6.092499999999999,4.68,4.8,4.8,6.7,6.506666666666668,4.92,2.9675000000000002,3.0549999999999997,3.425271194140672,3.1946262118150837,5.15974588405309,4.962249231867999,3.759375,3.9137499999999976,4.546303765225471,4.166203539851884,6.331728431096726,5.411818816644368,4.694910714285714,4.532232142857141,5.0696489090184045,4.454237044252246,5.860613639263409,6.183618770186936,3.63625,3.5249999999999995,3.9926307628400637,4.005021181639003,5.342742943191563,5.029803564141281,2.93,2.5725,3.494150594052096,2.03241522742993,4.82286220490791,4.757694591685577,2.93,2.5725,3.494150594052096,1.9280178590697765,5.171580117033303,4.7375177023592405,4.105,3.7999999999999994,4.962812513001472,4.662705353908867,6.574021661923796,5.707250613603226,4.796666666666666,4.321666666666669,5.146387621309099,5.380065190900132,6.339848356582191,6.648378409632308,3.1479166666666667,3.395833333333333,3.883593460506624,3.4290627731764585,5.079339608002518,4.553156204161313
1999-08-31,MONSOON,2.37,2.4175,4.3966666666666665,3.32,1.8,1.8,1.9,4.85,2.1166666666666667,2.8525,3.1,3.003162716484403,2.7102777912960945,2.2325054572560585,2.0322015760029277,3.470625,3.985624999999998,3.694782259135283,4.180721447597271,2.091832109725563,2.387441937325121,4.574642857142857,4.776041666666664,4.800456012077709,4.476030334104378,3.671288630712345,3.6459251717105956,3.4675,3.7299999999999995,3.723578457704038,4.003358064983128,2.480186435220128,2.6066663708228304,2.8925,2.9475,2.816490356431258,2.014895877574532,0.957527212497757,0.7850964633313269,2.8925,2.9475,2.816490356431258,1.9137123239281282,1.230709466120636,0.8059755512319933,4.0325,4.1625,3.7376875078008833,3.8395177113163377,1.9027968192845544,1.3922606159385928,4.765625,4.89416666666667,5.027832572785459,5.516196287375842,3.015948689558778,2.735172415919492,2.9179166666666663,3.341666666666667,3.176822742970641,3.1836622800532277,2.19813704318544,2.4229742977137496
