Date,Season,Sheikhpura,Barbhiga,Shekhopur Sarai,Sheikhpura_Trend,Sheikhpura_SMA,Sheikhpura_EWMA,Sheikhpura_DES,Sheikhpura_TES,Sheikhpura_ARIMA,Barbhiga_Trend,Barbhiga_SMA,Barbhiga_EWMA,Barbhiga_DES,Barbhiga_TES,Barbhiga_ARIMA,Shekhopur Sarai_Trend,Shekhopur Sarai_SMA,Shekhopur Sarai_EWMA,Shekhopur Sarai_DES,Shekhopur Sarai_TES,Shekhopur Sarai_ARIMA
1996-02-29,POMRB,6.2,4.3638095238095245,4.348,,,6.2,4.707004058339177,6.249772271155692,0.0,,,4.3638095238095245,3.8298929983382664,4.349220626253855,0.0,,,4.348,4.078840346649976,4.379726301694658,0.0
1996-05-31,PREMON,8.03,5.62,5.795,,,6.9319999999999995,5.073156340588329,7.912474799943949,6.199979687792525,,,4.8662857142857145,4.124368694945825,5.620206208771293,1.847935947828634,,,4.9268,4.5290439815831975,5.810550803274834,1.3863821284359356e-06
1996-08-31,MONSOON,3.24,3.6141666666666654,3.622,5.2275,,5.4552,4.233687696589833,2.9672492279262905,7.343745410793205,4.180084325396825,,4.365438095238095,3.840748120497194,3.6281114969866524,2.6099767779338787,4.535625,,4.40488,4.344576389347506,3.4563548464261733,1.8477650672105956e-06
1996-11-30,POMKH,3.44,3.1223611111111107,4.3775,5.175,5.2275,4.64912,3.6504341711316335,3.7761596706077225,5.022562609509211,4.180084325396825,4.180084325396825,3.868207301587301,3.4811050419175906,3.1162175188338392,2.575030019421722,4.5356250000000005,4.5356250000000005,4.393928000000001,4.372740388181021,4.344684536356166,6.779471338881193e-07
1997-02-28,POMRB,6.2,4.3638095238095245,4.348,4.97875,5.2275,5.269472,3.9560487468666574,6.224727846550426,5.751515164311279,4.180084325396825,4.180084325396825,4.066448190476191,3.5612205667580885,4.420230571032279,4.165854961101519,4.535625,4.5356250000000005,4.3755568,4.386792968388857,4.502787975632897,4.3479997884794646
1997-05-31,PREMON,7.61,5.62,5.795,4.835,5.1225000000000005,6.205683200000001,4.695660039178742,7.984452358042999,7.5505040891060204,4.180084325396825,4.180084325396825,4.687868914285715,4.047012537793548,5.671471584341791,5.362749486074078,4.535625,4.535625,4.94333408,4.800083268256752,5.880841609547003,5.794997934580167
1997-08-31,MONSOON,2.09,3.6141666666666654,3.622,4.821250000000001,4.835000000000001,4.55940992,3.8965864827023378,2.9623709055884984,3.6863377920000078,4.180084325396825,4.180084325396825,4.258388015238095,3.9034323055828857,3.6632969206375954,3.524146888176066,4.535625,4.535625,4.414800447999999,4.5725987802531245,3.49650380010049,3.6219994104309072
1997-11-30,POMKH,3.44,3.1223611111111107,4.3775,4.82125,4.835000000000001,4.111645952,3.5833055793176407,3.0767738863176257,3.273056014289934,4.180084325396825,4.180084325396825,3.803977253587301,3.634140442011351,3.157990632827269,3.025618689358235,4.5356250000000005,4.535625,4.3998802688000005,4.555754324480674,4.367616959050174,4.37749935606809
1998-02-28,POMRB,6.09,4.3638095238095245,4.348,4.77375,4.807500000000001,4.9029875712,4.074170125593318,5.917381819909334,5.9261145718537165,4.180084325396825,4.180084325396825,4.02791016167619,3.773742509380816,4.418230018441122,4.201350517691944,4.535625,4.535625,4.379128161280001,4.525545887480476,4.515886598694529,4.348000408429886
1998-05-31,PREMON,7.72,5.62,5.795,4.7124999999999995,4.835000000000001,6.029792542719999,5.037527336237647,7.555165365278544,7.36447929017381,4.180084325396825,4.180084325396825,4.664746097005715,4.300999364759156,5.672733568342466,5.409600950838955,4.535625,4.535625,4.9454768967680005,4.895933873528511,5.888323327825648,5.7949997088741725
