Date,Season,Kundahit,Jamtara,Narayanpur,Kundahit_Trend,Kundahit_SMA,Kundahit_EWMA,Kundahit_DES,Kundahit_TES,Kundahit_ARIMA,Jamtara_Trend,Jamtara_SMA,Jamtara_EWMA,Jamtara_DES,Jamtara_TES,Jamtara_ARIMA,Narayanpur_Trend,Narayanpur_SMA,Narayanpur_EWMA,Narayanpur_DES,Narayanpur_TES,Narayanpur_ARIMA
1996-02-29,POMRB,5.29,4.496666666666667,3.186666666666666,,,5.29,3.6205768206787963,4.417282958292688,0.0,,,4.496666666666667,7.901429648992756,4.435229750936181,0.0,,,3.186666666666666,6.632833831818156,3.227552083333333,0.0
1996-05-31,PREMON,6.99,6.460000000000001,5.08,,,5.970000000000001,3.796780232191017,6.855047585601989,5.227148012533686e-07,,,5.282,9.900259722815017,6.695305601620634,4.496655094670316,,,3.9439999999999995,8.881418259270646,5.159505713296399,0.0
1996-08-31,MONSOON,2.39,2.936666666666666,1.435,4.15125,,4.538,2.9894656454459683,2.4980573529200187,4.938328856899551e-07,4.29875,,4.343866666666667,8.911746428511256,2.600920136884355,5.692114534493673,2.9441666666666664,,2.9403999999999995,7.971023127809925,1.550873125302139,0.0
1996-11-30,POMKH,2.57,3.3,2.013333333333333,3.9924999999999997,4.3100000000000005,3.7508,2.4657180143171167,3.433665762573738,-2.828505143064684e-07,4.41,4.298333333333333,3.9263200000000005,7.605057481381866,3.44093272832811,4.087942826281302,2.9058333333333337,2.92875,2.569573333333333,6.740045821213273,2.1633388181386883,0.0
1997-02-28,POMRB,4.02,4.5,3.31,4.0175,3.9925000000000006,3.85848,2.4574512016759034,4.423459313384664,5.289998342237646,4.50375,4.299166666666666,4.155792,6.781425975238677,4.4486358355376225,4.319793572617431,2.9580208333333333,2.9595833333333337,2.865744,5.948868741830244,3.340618310886503,3.1866658248302286
1997-05-31,PREMON,6.99,7.346666666666668,4.65,4.1274999999999995,3.9925,5.1110880000000005,3.2832893064815463,6.641949931408442,6.767949624965639,4.449166666666667,4.520833333333333,5.432141866666667,7.419215558823037,6.706468207591103,5.943408915674521,3.078125,2.852083333333334,3.5794464,5.7662365177701265,5.2456463428107565,5.07999865799296
1997-08-31,MONSOON,2.59,2.8000000000000003,2.2825,4.2125,4.0425,4.1026528,2.955153727263957,2.3215743626608623,2.5163103375800624,4.3775,4.486666666666666,4.3792851200000005,5.555896123674045,2.8070815668119513,3.701235808227442,3.056979166666667,3.0639583333333342,3.0606678400000003,4.337739218917386,1.582494181437009,1.4349996209094287
1997-11-30,POMKH,3.25,3.0,2.1266666666666665,4.2125,4.2125,3.7615916800000004,2.8622123733217513,3.3218704711625198,2.6820920048300363,4.225833333333334,4.411666666666666,3.8275710720000005,4.203923440175826,3.5707369160039093,3.439909288985395,3.0679166666666666,3.0922916666666675,2.687067370666667,3.173289706418612,2.214335893155008,2.0133328014617766
1998-02-28,POMRB,4.02,4.226666666666667,3.0275,4.2,4.2125,3.864955008,3.009067253763588,4.4477111501360715,4.730673933875257,4.10125,4.343333333333333,3.9872093098666666,3.84053749131347,4.482710814303411,4.324326295660684,3.0151041666666663,3.0216666666666674,2.8232404224000005,2.7922846369766803,3.47654362081794,3.2745478870642866
1998-05-31,PREMON,6.99,6.406666666666666,5.02,4.0175,4.2125,5.1149730047999995,3.9805827860547867,6.662034805348764,6.786224736853997,4.0675,4.1083333333333325,4.954992252586667,4.759305576013983,6.672074903884688,6.50684132409852,2.903958333333333,3.114166666666667,3.70194425344,3.584164522424541,4.971753486134045,4.773605263276817
1998-08-31,MONSOON,2.49,2.7433333333333336,1.49,3.68875,4.187500000000001,4.06498380288,3.6871490804579437,2.3382082304590526,2.6313770306731104,4.042083333333333,4.094166666666665,4.070328684885333,3.76456761251711,2.5709847546093303,3.0789097536985186,3.1696874999999998,2.916041666666667,2.817166552064,2.5688858554187575,2.2295752516890937,2.038884028881945
1998-11-30,POMKH,1.89,2.786666666666666,2.03,3.4482291666666667,3.847500000000001,3.194990281728,3.2468957513916785,3.3184641759003974,2.8546361175179795,3.9618750000000005,4.040833333333332,3.5568638775978663,3.078193465680142,3.374604130162263,3.2148881752097065,3.3829166666666666,2.891875,2.5022999312384,2.103289755577816,2.243312204272471,2.094088939140317
1999-02-28,POMRB,2.75,4.236666666666667,5.25,3.3152083333333326,3.530000000000001,3.0169941690368,3.0698212251559927,4.2112134570332245,3.830959301277275,3.7524999999999995,4.043333333333332,3.8287849932253866,3.33115361004593,4.28274699365203,4.167675473279645,3.1845833333333338,3.4475000000000007,3.60137995874304,3.4829097097492068,3.2479011603558385,3.1147259518635657
1999-05-31,PREMON,6.3358333333333325,5.755,4.503333333333334,3.348958333333333,3.3664583333333344,4.344529834755413,3.8854612836069875,6.24795964687185,6.890101183828613,3.6475000000000004,3.8804166666666653,4.599270995935232,4.4111364184512905,6.518875798484706,6.157299770588508,3.0275000000000003,3.3183333333333342,3.962161308579158,4.283241172164072,5.215409717952417,4.867392892764976
1999-08-31,MONSOON,2.08,1.72,0.42,3.433958333333333,3.2639583333333344,3.4387179008532476,3.508871708895079,1.88288028723331,2.5698601150821143,3.675416666666667,3.6245833333333315,3.4475625975611393,3.275328508107156,2.306763219284429,2.9019880737850614,2.593541666666667,3.050833333333334,2.5452967851474946,2.7858372926343917,1.8951124359610683,1.8063635598007786
1999-11-30,POMKH,2.57,2.97,1.843333333333333,3.4339583333333334,3.4339583333333343,3.0912307405119486,3.2780288379271507,2.870924499472475,2.5345905788397936,3.884791666666667,3.6704166666666653,3.256537558536684,2.991011561528353,2.941307527673386,2.7655365280938815,2.275625,3.0041666666666678,2.26451140442183,2.26632944186252,2.2291080146539475,2.070012230354316
2000-02-29,POMRB,2.75,4.276666666666667,1.965,3.3502083333333332,3.433958333333335,2.954738444307169,3.1138340066539447,3.9574088614485508,3.454801483481305,4.279583333333334,3.680416666666665,3.664589201788677,3.467609403868976,3.9867908304586703,4.238785210173409,2.425520833333333,2.1829166666666677,2.1447068426530977,1.966906536145091,4.7388462120703805,4.634538328145088
2000-05-31,PREMON,6.3358333333333325,7.3900000000000015,5.244999999999999,3.1814583333333335,3.433958333333335,4.307176399917634,3.9412240070872477,6.037764058866582,6.502275869102348,4.499583333333334,4.0891666666666655,5.154753521073207,5.671777240839855,6.297746309047996,5.843567144766818,2.5472916666666663,2.368333333333334,3.3848241055918584,3.552493794363695,4.583110874682003,4.655859109282851
2000-08-31,MONSOON,1.41,3.2433333333333336,0.8775,3.119583333333333,3.266458333333335,3.1483058399505803,3.394190221621108,1.7088007335383553,2.3450586347806612,4.538333333333334,4.469999999999999,4.390185445977258,5.194686445301276,2.499044796454404,2.8509883258882684,2.7187499999999996,2.482708333333334,2.381894463355115,2.578921380776474,0.8020451600128151,0.6543527435702758
2000-11-30,POMKH,1.89,3.206666666666667,2.36,3.0382291666666665,3.096458333333335,2.644983503970348,3.0059083370087047,2.6116353514283372,2.0538867541645907,4.148750000000001,4.529166666666666,3.9167779342530213,4.6002773674671165,3.430050924645559,3.3963067844555512,2.87375,2.6118750000000004,2.373136678013069,2.480978090965684,1.9562759927531252,1.8876288961756318
2001-02-28,POMRB,2.935,4.3500000000000005,2.8200000000000003,2.95375,3.142708333333335,2.760990102382209,2.9281628759856377,3.6258327049968138,2.84458088710356,3.6908333333333334,4.547499999999999,4.090066760551813,4.613186222386214,4.419389809418834,4.316911969454783,2.8484375,2.8256250000000005,2.5518820068078414,2.6358471941406707,2.869100142380284,3.1684416501416006
