Date,Season,Roorkee,Luksar,Gurukul Narsen,Bhagwanpur,Bahadrabad,Roorkee_Trend,Roorkee_SMA,Roorkee_EWMA,Roorkee_DES,Roorkee_TES,Roorkee_ARIMA,Luksar_Trend,Luksar_SMA,Luksar_EWMA,Luksar_DES,Luksar_TES,Luksar_ARIMA,Gurukul Narsen_Trend,Gurukul Narsen_SMA,Gurukul Narsen_EWMA,Gurukul Narsen_DES,Gurukul Narsen_TES,Gurukul Narsen_ARIMA,Bhagwanpur_Trend,Bhagwanpur_SMA,Bhagwanpur_EWMA,Bhagwanpur_DES,Bhagwanpur_TES,Bhagwanpur_ARIMA,Bahadrabad_Trend,Bahadrabad_SMA,Bahadrabad_EWMA,Bahadrabad_DES,Bahadrabad_TES,Bahadrabad_ARIMA
2000-08-31,MONSOON,5.551,2.0895454545454544,4.2,2.62,4.467954545454545,6.189520833333333,6.189520833333333,6.168940112686715,6.235768566636582,5.592876538150368,5.5509996149735485,2.790661525974026,2.790661525974026,2.739847566611173,2.8360696991433523,2.3229394643993873,2.629712734797774,5.8325000000000005,5.844999999999998,5.725643313933295,6.267574256257116,6.565249065999906,6.912841774284461,3.61140625,3.5690625000000007,3.5600816747046413,3.5066661522829645,2.9984747120262893,2.0975435130670843,5.089144886363637,5.089144886363637,5.015542910546049,5.1026905997007,4.538332266451716,4.809516335927122
2000-11-30,POMKH,5.893750000000002,2.6962500000000005,5.85,2.895,5.00325,6.189520833333333,6.189520833333333,6.05886406761203,6.08748255881352,5.955207231842839,5.893749708060709,2.790661525974026,2.790661525974026,2.722408539966704,2.7794794463037324,2.7082295392424633,2.537119520696421,5.83,5.8649999999999975,5.775385988359977,6.044948656083505,5.268359838535053,5.660876001673252,3.9506249999999996,3.487812500000001,3.294049004822785,3.2341305305506793,3.1793381172363024,3.435732205546028,5.089144886363636,5.089144886363637,5.01062574632763,5.090271728191761,5.0862419528415135,4.932577013513286
2001-02-28,POMRB,5.784999999999998,2.2336363636363634,5.82,4.25,4.8585,6.189520833333333,6.189520833333333,5.949318440567217,5.921100680138248,5.756823609248688,5.784999819174497,2.7906615259740257,2.790661525974026,2.5268996694345676,2.5405728071908764,1.950801465797564,2.4662544481086237,5.96625,5.799999999999997,5.793231593015987,5.862433057785489,6.0231643240607715,5.823308548116491,4.11875,3.7350000000000003,3.676429402893671,3.666024872024065,2.995062853716408,3.2057233232891815,5.089144886363637,5.089144886363637,4.949775447796578,5.053517923324975,4.789984574631743,4.940788921026427
2001-05-31,PREMON,7.528333333333332,4.1432142857142855,7.57,6.9,6.026875,6.189520833333334,6.189520833333334,6.580924397673663,6.562872985461834,7.559358639832219,7.528333000049888,2.7906615259740257,2.790661525974026,3.173425515946455,3.2150334211258733,4.181959372557515,3.4580862296210673,6.0975,5.859999999999998,6.503938955809593,6.3783796362926894,7.618890978703591,6.2844665846447185,4.04875,4.166250000000001,4.965857641736203,5.056120427442724,5.686643770472495,5.650277600139814,5.089144886363637,5.089144886363637,5.380615268677947,5.238208371223864,6.138660045735216,5.576860923600373
2001-08-31,MONSOON,5.551,2.0895454545454544,5.05,2.24,4.467954545454545,6.189520833333333,6.189520833333333,6.168954638604198,6.23576697030944,5.593617769757747,5.550999685618541,2.790661525974026,2.790661525974026,2.7398734913860547,2.803804929330929,2.3226237706078883,2.5291142973862173,6.126250000000001,6.072499999999998,5.922363373485755,5.916045008940692,5.530748437196859,5.452933754359661,3.79375,4.07125,3.8755145850417216,3.8267504947848363,4.356379394522712,3.561364443665994,5.089144886363637,5.089144886363637,5.015550979388586,5.102658615607699,4.538511429240132,4.811450741412407
2001-11-30,POMKH,5.893750000000002,2.6962500000000005,6.05,2.715,5.00325,6.189520833333333,6.189520833333333,6.05887278316252,6.0922309208745125,5.955824809229412,5.893749756590847,2.790661525974026,2.790661525974026,2.722424094831633,2.7642127020592797,2.7079914801182063,2.599423626038979,6.0825,6.122499999999999,5.973418024091453,5.88589493893897,5.744370158812322,5.960805416379248,3.3725000000000005,4.02625,3.4113087510250333,3.3372272415823625,3.3500501100223707,3.518295385457359,5.089144886363636,5.089144886363637,5.010630587633152,5.0902455856321955,5.0863747848712855,4.9357221483604645
2002-02-28,POMRB,5.784999999999998,2.2336363636363634,5.85,2.39,4.8585,6.189520833333333,6.189520833333333,5.949323669897511,5.928401124383774,5.757338160736289,5.784999840673654,2.7906615259740257,2.790661525974026,2.5269090023535252,2.53639057968544,1.9506219496076105,2.479550510155155,5.981875,6.129999999999999,5.924050814454871,5.804872449538049,6.147603333909011,5.972288151031175,3.2550000000000003,3.5612500000000002,3.0027852506150197,2.9199706669921013,2.9261974299946267,3.331871982675896,5.089144886363637,5.089144886363637,4.949778352579891,5.0534965554087234,4.790083056845913,4.94359769321052
2002-05-31,PREMON,7.528333333333332,4.1432142857142855,7.19,5.3900000000000015,6.026875,6.189520833333334,6.189520833333334,6.58092753527184,6.571383713123263,7.559787352471863,7.528333047906355,2.7906615259740257,2.790661525974026,3.1734311156978294,3.2195580962583725,4.181824002562535,3.3849510647839267,5.91625,6.034999999999999,6.430430488672923,6.249520892107709,7.779060644085899,6.588136596835909,3.7331250000000007,3.1837500000000003,3.9576711503690123,3.9814162502182078,4.394223397697974,4.557584921551884,5.089144886363637,5.089144886363637,5.380617011547935,5.238190905916238,6.138733060854385,5.579862144379425
2002-08-31,MONSOON,5.551,2.0895454545454544,4.625,2.81,4.467954545454545,6.216395833333333,6.189520833333333,6.1689565211631034,6.244084097006079,5.593974963411466,5.550999732834818,2.7708319805194805,2.790661525974026,2.7398768512368794,2.8127965064096587,2.322521690480489,2.584083414517017,5.926874999999999,5.928749999999999,5.7082582932037536,5.700171491903978,5.4102935403904,5.809055211055169,4.482500000000001,3.3262500000000004,3.4986026902214076,3.465737221062793,2.915326622281498,1.9336172674278629,5.108707386363637,5.089144886363637,5.015552025110579,5.1026443401413,4.538565562949998,4.8129749465929335
2002-11-30,POMKH,5.893750000000002,2.6962500000000005,5.949999999999998,5.9700000000000015,5.00325,6.245979166666666,6.189520833333333,6.058873912697862,6.099492744594599,5.956122414882249,5.893749789542995,2.968725649350649,2.790661525974026,2.722426110742128,2.775386440216512,2.7079145032932352,2.5856895659004095,6.3225,5.903749999999999,5.804954975922252,5.710724598575459,5.845742679682676,5.879027179792974,4.6762500000000005,4.140000000000001,4.487161614132845,4.5407370234573206,3.282782202932512,3.3058389936064327,5.524598011363636,5.089144886363637,5.010631215066347,5.090233917418541,5.086414919826398,4.938212944038479
