Date,Season,Nawjan Forest Area,Nawjan Forest Area_Trend,Nawjan Forest Area_SMA,Nawjan Forest Area_EWMA,Nawjan Forest Area_DES,Nawjan Forest Area_TES,Nawjan Forest Area_ARIMA
1996-02-29,POMRB,5.115000000000001,,,5.115000000000001,4.681911977212522,5.1249998585833065,0.0
1996-05-31,PREMON,4.871428571428573,,,5.017571428571429,4.497590518816248,4.890872643085339,-1.6977011715697852e-11
1996-08-31,MONSOON,5.888,5.045794642857143,,5.365742857142857,4.5373459361661785,5.91628693752711,-1.845843827627361e-11
1996-11-30,POMKH,3.85125,5.331553571428572,4.9314196428571435,4.759945714285714,4.244152750065404,3.887947667814011,-1.9539921703660747e-11
1997-02-28,POMRB,6.029999999999999,5.1279375,5.160169642857143,5.267967428571428,4.382711704633065,5.155814619577353,4.9647330317766025
1997-05-31,PREMON,6.2425000000000015,4.80753125,5.5029375,5.657780457142858,4.576090101399626,4.966931592210245,4.72831717311996
1997-08-31,MONSOON,2.8880000000000003,4.720875,4.7529375,4.549868274285714,4.178358335591938,6.06302171858034,5.715024064730975
1997-11-30,POMKH,4.288,4.339625000000001,4.862125,4.445120964571428,4.070606885383492,3.863025283612133,3.738109108238456
1998-02-28,POMRB,4.9,4.16878125,4.579625,4.627072578742857,4.097031164330952,5.489120571738532,5.418779573440737
1998-05-31,PREMON,4.3225,4.33678125,4.099625,4.505243547245714,4.0353428570380006,5.365384915114441,5.36040609859687
1998-08-31,MONSOON,3.44125,4.5093749999999995,4.237937499999999,4.079646128347428,3.8346223861838915,4.687598390113161,4.61794626545948
1998-11-30,POMKH,5.078749999999999,4.720062499999999,4.435624999999999,4.479287677008457,3.9534403704392074,3.9086458586596544,3.979199877733328
1999-02-28,POMRB,5.4899999999999975,4.794135416666666,4.583124999999999,4.883572606205073,4.155130222358537,5.195606387623152,5.505504582068718
1999-05-31,PREMON,5.418000000000001,4.697052083333333,4.856999999999999,5.097343563723044,4.344733627085721,4.9489075942709,5.399740329116815
1999-08-31,MONSOON,2.938333333333334,4.644083333333334,4.731270833333332,4.23373947156716,4.080199313757193,4.277640913615823,3.074155298569883
