Date,Season,Sinapali,Nuapada,Komana,Boden,Khariar,Sinapali_Trend,Sinapali_SMA,Sinapali_EWMA,Sinapali_DES,Sinapali_TES,Sinapali_ARIMA,Nuapada_Trend,Nuapada_SMA,Nuapada_EWMA,Nuapada_DES,Nuapada_TES,Nuapada_ARIMA,Komana_Trend,Komana_SMA,Komana_EWMA,Komana_DES,Komana_TES,Komana_ARIMA,Boden_Trend,Boden_SMA,Boden_EWMA,Boden_DES,Boden_TES,Boden_ARIMA,Khariar_Trend,Khariar_SMA,Khariar_EWMA,Khariar_DES,Khariar_TES,Khariar_ARIMA
1996-02-29,POMRB,3.715,4.5525,3.67,3.93,3.625,,,3.715,3.9340151903035903,4.082878124701202,0.0,,,4.5525,8.221859159298006,4.6628125,0.0,,,3.67,2.6129074442899287,3.6799999999999997,0.0,,,3.93,3.726211260505139,3.94,0.0,,,3.625,7.1988130339699685,4.611060953596191,0.0
1996-05-31,PREMON,6.04,9.13,5.585,7.18,5.916,,,4.645,4.238649295943477,5.284631514346765,3.7149918867354303,,,6.383500000000001,13.565260979837385,9.337790858725763,0.9591873484761431,,,4.436,3.3472811001897456,5.6044459833795015,0.933244815556892,,,5.23,3.1539643699678965,7.1981717451523535,3.929988879211941,,,4.541399999999999,9.42939154402336,5.873784307068289,3.62499542458071
1996-08-31,MONSOON,1.755,1.2425,2.935,1.6,4.694000000000001,4.033125,,3.4889999999999994,3.9296833832805813,2.3570728009067494,4.9173536313633015,4.915937500000001,,4.327100000000001,11.278416895285604,1.5352059457992189,1.393663549477051,4.041250000000001,,3.8356000000000003,3.2477930001001787,2.9633409427490585,1.5352460132589218,3.925,,3.7780000000000005,1.9209982620605974,1.6246001795566323,5.17295402372099,4.956125,,4.60244,9.122363937819571,2.988125492661807,5.089001559657511
1996-11-30,POMKH,4.49,3.4275,3.245,3.63,4.832,3.9525,3.9999999999999996,3.8893999999999997,4.027067355598657,3.501535470468153,3.7462105737085087,5.2858333333333345,4.588125,3.9672600000000005,9.541732669367288,3.7929393234765874,-0.7848947562084723,4.3374999999999995,3.8587499999999997,3.5993600000000003,3.246186063787527,3.281689239595705,1.4540936775033297,3.43,4.085,3.7188000000000003,1.6449115995953358,3.659400297126967,5.097327178839092,5.234750000000001,4.76675,4.6942639999999995,8.050447242579883,3.820168263424286,4.401191260894818
1997-02-28,POMRB,3.98,7.1750000000000025,5.13,2.65,5.14,3.710625,4.066249999999999,3.92564,4.043571916681548,4.428011550911005,3.765505098548894,5.310520833333334,5.24375,5.250356000000002,9.824702389798015,4.949937761692331,4.396180390477557,4.240625,4.223749999999999,4.211616,3.818852432945373,3.7123912569972486,3.4902234378095875,3.145,3.7649999999999997,3.29128,1.3760521799456629,3.9579726878949426,3.9234383359865816,4.943999999999999,5.1455,4.872558399999999,6.961008394068573,5.034900114895256,3.9588040719589843
1997-05-31,PREMON,5.13,9.466666666666667,6.494999999999999,4.5,6.63,3.5725000000000002,3.838749999999999,4.407384,4.212136144423272,5.608267692238518,5.351420820047825,5.161250000000001,5.327916666666667,6.936880266666668,11.058993009867644,9.860152409664543,9.392409623172192,3.9037499999999996,4.451249999999998,5.1249696,4.79096986114051,5.713678802585859,5.589909196677532,2.8725,3.0949999999999998,3.774768,1.6982368380340394,6.972922505571833,6.021465210980448,4.374,5.324,5.57553504,7.023403525054712,6.5583410312296,6.092181795427302
1997-08-31,MONSOON,0.73,1.1033333333333333,1.25,2.0,1.654,3.7424999999999997,3.5824999999999996,2.9364304,3.769154277331778,2.3497636427657507,2.484288669785263,4.6303125000000005,5.293125,4.603461493333334,6.7149978611787775,2.0286765993136706,1.0134463979541892,3.6362499999999995,4.0299999999999985,3.57498176,4.057082598545692,3.118757859686898,3.0113604790016635,2.515,3.195,3.0648608,1.4593416217057,0.913106849509643,2.051017803638222,4.053,4.564,4.006921024,3.831080107165645,3.679717284455289,5.031334682461863
1997-11-30,POMKH,4.41,2.3725,2.235,1.05,3.312,4.06125,3.5624999999999996,3.52585824,3.8764252188886394,3.221212239989082,3.835760716756919,3.9457291666666667,5.029375,3.7110768960000007,4.285307860616317,4.2066683885621705,2.779715927921265,3.495625,3.777499999999998,3.038989056,3.629707085599603,3.3392975439545145,2.5397205146141104,2.34125,2.55,2.25891648,1.1150295648956234,3.0532357167952706,3.0811869733727275,3.8095,4.184,3.7289526144,2.972682288230209,3.620148605061409,3.4397426205136794
1998-02-28,POMRB,5.42,3.9825,4.0,2.37,4.0920000000000005,4.366250000000001,3.9224999999999994,4.283514944,4.105331523255095,4.201428669043354,3.531980004147088,3.8763541666666668,4.231249999999999,3.8196461376000004,3.606529130158002,5.880492874587669,5.711511427266177,3.666875,3.4949999999999983,3.4233934336000003,3.7492282251242597,4.017833255071961,4.1173599261939495,2.64625,2.48,2.303349888,1.2005228074182808,2.3174046793627965,2.625965926012925,3.8032500000000002,3.9220000000000006,3.8741715686400005,3.149813370106194,4.519489688191257,3.9592419733545965
1998-05-31,PREMON,6.24,7.1825,6.5,3.39,5.73,4.539375,4.2,5.0661089664,4.414781778346784,5.828775971535871,5.202769294707626,4.1628125,3.660208333333333,5.16478768256,5.139712790340535,9.611643495959985,8.574342340864272,3.79625,3.4962499999999985,4.65403606016,4.630957637739065,5.8034952635706745,5.753710311781228,3.0500000000000003,2.2025,2.7380099328,1.585260946515443,4.912177017545028,4.223376858317041,3.9015000000000004,3.697000000000001,4.616502941184001,4.653908740980689,5.915675806062359,5.911955280254119
1998-08-31,MONSOON,2.06,2.8325,2.615,5.55,2.504,4.5268749999999995,4.5325,3.8636653798399996,4.124090810361092,2.8088942492588287,2.2440620104783218,4.1209375,4.0925,4.2318726095359995,3.887256311332579,1.347403000300928,0.8610535361618274,3.62,3.8374999999999986,3.838421636096,4.249749456884235,2.63984328183328,2.154435733901234,3.1100000000000003,3.09,3.86280595968,2.606287427373623,0.6292246624115017,1.04910821427424,3.9200000000000004,3.9095000000000013,3.7715017647104006,3.468815821993668,2.975565516229972,3.3369747893412356
1998-11-30,POMKH,4.465,2.9350000000000005,1.905,0.73,3.248,4.3875,4.54625,4.104199227903999,4.193160522574783,3.9139693968966798,4.689713226751518,4.032500000000001,4.233125,3.7131235657215997,3.1243410977315644,3.488146901496522,3.4492067087216727,3.3868750000000003,3.754999999999999,3.0650529816576,3.659305727635628,3.117122278096601,2.724229511657266,3.205,3.01,2.609683575808,2.2264883837067093,1.9470567697905377,1.2975406050523661,3.8525,3.8935000000000017,3.56210105882624,3.16409693476701,3.287339582964614,3.726380434237134
1999-02-28,POMRB,5.265,3.085,2.92,3.17,4.3039999999999985,4.291875,4.5075,4.568519536742399,4.360616350561545,4.72309587241971,4.899220429295474,3.8103124999999998,4.008750000000001,3.4618741394329597,2.779878861685744,5.242400044715073,4.811342698616766,3.138125,3.4849999999999994,3.00703178899456,3.414932841800908,4.017165806188569,4.00805255047085,2.745,3.21,2.8338101454848,2.532159823882583,2.364872655400263,2.6325189424561657,3.7979999999999996,3.9465000000000017,3.8588606352957435,3.7653178113150725,4.250908805461332,4.056676276715686
1999-05-31,PREMON,5.279999999999999,7.3725,5.715,3.35,4.978,4.32734375,4.2675,4.853111722045439,4.508581335815335,6.168914893690856,6.048535244964411,3.6216927083333337,4.05625,5.026124483659776,5.333189823920497,8.765974058704838,7.548626638794375,3.1065625000000003,3.2887499999999994,4.090219073396736,4.03874881744692,5.891871422036846,5.741663643244335,2.3940625,3.2,3.04028608729088,2.8659569028764884,4.406980937046143,4.019860411267011,3.8793749999999996,3.7585000000000015,4.306516381177446,4.73032322010999,5.761922976560058,5.969751303048491
1999-08-31,MONSOON,2.255,0.865,1.41,1.91,2.82,4.1003125,4.31625,3.8138670332272633,4.23198957983395,2.800247265082271,2.4517733234839634,3.951197916666666,3.564375,3.361674690195865,3.3782078929196757,1.6117961383433892,1.9300725056125876,3.498125,2.9874999999999994,3.018131444038042,3.34294760728134,2.523433846983744,2.1249978303182244,2.439375,2.29,2.5881716523745277,2.754297501036969,3.3354629699858385,2.67215617090121,3.8892499999999997,3.8375000000000017,3.7119098287064674,3.791888188941395,2.6788699262569216,2.62711971654492
1999-11-30,POMKH,4.55375,3.3935416666666667,2.8575000000000004,1.5625,3.583,3.8459375,4.3384375,4.109820219936358,4.299103329241714,3.959954419454373,4.572508601930914,3.974739583333333,3.679010416666667,3.3744214807841857,3.317102240425891,2.9274752793388874,2.587370284894581,3.925,3.2256249999999995,2.9538788664228255,3.137574682161971,2.6834939573546093,2.174019027127647,2.415625,2.498125,2.1779029914247166,2.528170925445767,0.671704401787153,1.2741330404072,3.9245,3.9212500000000015,3.6603458972238805,3.6153115455458833,3.137039001028233,3.7130261876889263
2000-02-29,POMRB,3.36,5.2625,5.1,2.7,4.048,3.8090625,3.8621875,3.8098921319618144,4.197555047611934,4.780553377760013,4.829406408336554,3.852135416666667,4.223385416666667,4.1296528884705115,4.434988006161312,4.324386707742533,4.516623391500879,4.2768749999999995,3.7706249999999994,3.8123273198536953,3.633271640356009,3.674561488013182,3.93353775980393,2.593125,2.3806249999999998,2.3867417948548297,2.616190271458784,2.360607212213929,2.0594400129299717,4.1915000000000004,3.8572500000000014,3.815407538334328,3.8403956547840097,4.21656398173876,4.22347012958699
2000-05-31,PREMON,5.15,5.383333333333333,6.9499999999999975,3.63,5.516,3.63296875,3.829687500000001,4.345935279177088,4.349028713729383,5.699907489891048,5.12839615193014,4.219401041666666,3.7260937500000004,4.63112506641564,5.3600119666268995,8.366681257483204,8.01931253067768,4.6659375,4.079374999999999,5.067396391912217,4.691966137882474,5.876638279835075,6.256084177538041,2.8715624999999996,2.450625,2.884045076912898,2.9531383455894566,3.4159075005381414,3.45042413182773,4.523625,3.991750000000002,4.495644523000596,5.114575909306073,5.674616756649908,5.683469358954383
2000-08-31,MONSOON,2.09,1.8733333333333333,2.99,3.05,4.418000000000001,3.58625,3.7884375000000015,3.4435611675062527,4.0708027111148555,2.4221847615445595,2.045452977103056,4.650729166666666,3.978177083333334,3.5280083731827174,3.864000093292311,1.1895541349494394,0.5460885529534956,4.856249999999999,4.474374999999999,4.23643783514733,4.446310107836811,2.3811510034902357,2.2289427527522996,3.0762500000000004,2.7356249999999998,2.9504270461477384,3.0958118577048244,2.371010363083218,2.0882055164044706,4.7253125,4.391250000000002,4.464586713800358,5.119325710649483,2.7409718503727607,2.819685248040531
2000-11-30,POMKH,3.31,5.323333333333333,4.3900000000000015,2.65,4.642,3.75,3.477500000000001,3.390136700503752,3.9918655393144795,3.6390498068752866,4.27951720075623,5.123749999999999,4.460625,4.246138357242964,4.717902205632352,2.9650732940880813,3.505955609613104,4.885,4.857499999999999,4.297862701088398,4.596931129462751,2.9119880138874104,2.72453970130098,3.2225,3.0075,2.8302562276886434,3.096021537015732,1.1896436188646509,1.117213187065974,4.991375,4.656000000000002,4.535552028280215,5.125996472676313,3.566122199678009,4.254159701084508
