Date,Season,Porbandar,Ranavav,Kutiyana,Porbandar_Trend,Porbandar_SMA,Porbandar_EWMA,Porbandar_DES,Porbandar_TES,Porbandar_ARIMA,Ranavav_Trend,Ranavav_SMA,Ranavav_EWMA,Ranavav_DES,Ranavav_TES,Ranavav_ARIMA,Kutiyana_Trend,Kutiyana_SMA,Kutiyana_EWMA,Kutiyana_DES,Kutiyana_TES,Kutiyana_ARIMA
1996-02-29,POMRB,5.3888888888888875,20.08,11.32,,,5.3888888888888875,6.068366450109048,5.566623323594862,0.0,,,20.08,19.10114266646022,18.77883920146942,0.0,,,11.32,9.967091135130731,10.77639673067766,0.0
1996-05-31,PREMON,6.738888888888887,20.9475,12.5,,,5.9288888888888875,6.173763047311168,6.572077239325991,5.388843862254049,,,20.427,19.431859571602654,24.307117014441843,20.07974785905784,,,11.792,9.897852964080823,12.99533310601632,11.319915930549856
1996-08-31,MONSOON,5.08,15.27,4.635,5.762574404761904,,5.589333333333332,6.081832224965266,4.4076558274338415,5.918125546742741,17.757708333333333,,18.3642,18.326282466648014,14.248914911621524,20.68898495127946,9.502500000000001,,8.9292,9.767778948374415,6.461934416790362,12.111510967452917
1996-11-30,POMKH,5.4262500000000005,16.17,9.105,5.7073164682539685,5.658506944444444,5.524099999999999,6.029065216721454,5.459021071741628,6.134985175693441,17.245729166666667,18.116875,17.486520000000002,17.70588365150647,15.058787188972957,17.19453052561351,9.725,9.39,8.99952,9.675132386951445,7.532844426378391,7.7161586579505705
1997-02-28,POMRB,6.221428571428571,17.206666666666667,12.22,5.584397321428572,5.866641865079364,5.803031428571428,6.067632999570414,6.287167993838081,4.90709567789481,18.002916666666668,17.398541666666667,17.374578666666668,17.484664207978298,18.818339083005192,17.75430395700539,10.358125000000001,9.615,10.287712,9.608601523535624,10.711885920766957,10.284118954030314
1997-05-31,PREMON,5.4642857142857135,19.725,13.38,5.507522321428572,5.547991071428571,5.667533142857142,6.016107770388991,7.389686225251228,6.6535528910168695,18.5125,17.092916666666664,18.3147472,17.918754267928477,22.78846489486368,17.86330483363811,10.36625,9.835,11.524627200000001,9.55233509674706,13.232123788887147,12.025474735904154
1997-08-31,MONSOON,5.37125,22.55,8.82,5.27875,5.620803571428571,5.549019885714285,5.953458018789568,4.3033155915566805,5.201092348125994,18.1775,18.912916666666664,20.00884832,18.92114313571266,12.888682441819434,17.12917674311489,9.580625000000001,10.881250000000001,10.44277632,9.461068435675244,6.899655898394233,7.821517032984401
1997-11-30,POMKH,4.5200000000000005,12.966666666666667,4.985,5.527167658730159,5.394241071428571,5.137411931428572,5.793156285354958,5.450739398871251,5.227307924995611,19.176458333333333,18.11208333333333,17.191975658666664,17.390543942217967,18.32044499568423,20.36822381862358,9.210833333333333,9.85125,8.259665792,9.341106024510955,9.141170322012064,10.366194847138134
1998-02-28,POMRB,5.2975,17.73,10.055,5.79267013888889,5.163258928571428,5.201447158857143,5.7265324160838444,5.85109834478259,5.304701210567813,18.411250000000003,18.242916666666666,17.4071853952,17.371364680320543,18.62170108664032,16.165921377115808,8.464583333333332,9.31,8.977799475200001,9.263130775139501,10.530752200439114,9.459699153516983
1998-05-31,PREMON,8.375555555555557,27.19333333333334,12.586666666666664,5.85026388888889,5.891076388888889,6.47109051753651,6.01895850735092,6.484729486048422,5.218812020052489,16.534791666666667,20.11,21.321644570453337,19.616129559487028,22.976958722177137,18.969218203024194,7.695208333333333,9.111666666666666,10.421346351786667,9.206425726852858,12.431254275655636,11.524043584709975
1998-08-31,MONSOON,4.5840000000000005,8.959999999999997,3.643333333333333,6.160881944444444,5.694263888888889,5.716254310521906,5.866757698332102,5.582734328533797,6.156983205018555,15.943958333333333,16.7125,16.376986742272,16.959063191848752,16.971356147400694,22.0257911425075,7.077708333333333,7.817499999999999,7.710141144405334,9.080173147004192,6.101140596468451,7.790088851108216
1998-11-30,POMKH,5.767999999999999,11.545,4.006666666666667,6.230083333333333,6.006263888888889,5.7369525863131425,5.854133127478016,5.498727117577392,6.0868711926956,14.984166666666669,16.357083333333332,14.444192045363199,15.568788342746123,12.949535242104243,11.652815831890571,6.097916666666666,7.572916666666666,6.2287513533098675,8.958910031589884,6.974973571350554,6.037062977026261
1999-02-28,POMRB,6.5344444444444445,14.425,6.093333333333334,6.220595238095238,6.3155,6.055949329565664,5.93061845721076,6.513532968478174,5.580392962359534,16.681250000000002,15.53083333333333,14.436515227217921,15.20600129036977,15.36334655501641,15.19242749781122,6.315416666666667,6.5825,6.174584145319254,8.856137768270045,8.735629591387996,9.191259007704662
1999-05-31,PREMON,7.692222222222222,22.820000000000004,8.71,6.379829365079365,6.144666666666666,6.710458486628287,6.139950421443318,7.732004108545859,7.492716791196484,20.298125000000002,14.437499999999996,17.789909136330756,16.936119224525466,19.69365228821944,16.612715362300786,7.989791666666667,5.613333333333333,7.188750487191553,8.77572319112502,9.959329548858467,9.919757879189053
1999-08-31,MONSOON,5.191428571428571,26.91,9.26,6.635436507936508,6.2965238095238085,6.1028465205484,6.054073442128061,5.548368971803688,6.0396022037251775,22.503125000000004,18.924999999999997,21.437945481798454,19.219659543003385,13.104965317857767,18.035008698846294,9.767291666666665,7.017499999999999,8.017250292314932,8.700998007831592,3.190391504919274,4.81166350958463
