Date,Season,Bhawanathpur,Bhandaria,Untari,Ranka,Garhwa,Majhiaon,Bhawanathpur_Trend,Bhawanathpur_SMA,Bhawanathpur_EWMA,Bhawanathpur_DES,Bhawanathpur_TES,Bhawanathpur_ARIMA,Bhandaria_Trend,Bhandaria_SMA,Bhandaria_EWMA,Bhandaria_DES,Bhandaria_TES,Bhandaria_ARIMA,Untari_Trend,Untari_SMA,Untari_EWMA,Untari_DES,Untari_TES,Untari_ARIMA,Ranka_Trend,Ranka_SMA,Ranka_EWMA,Ranka_DES,Ranka_TES,Ranka_ARIMA,Garhwa_Trend,Garhwa_SMA,Garhwa_EWMA,Garhwa_DES,Garhwa_TES,Garhwa_ARIMA,Majhiaon_Trend,Majhiaon_SMA,Majhiaon_EWMA,Majhiaon_DES,Majhiaon_TES,Majhiaon_ARIMA
1996-02-29,POMRB,5.46,4.68,6.17,6.305,7.48,3.39,,,5.46,6.143111625216888,5.308630842061548,0.0,,,4.68,6.808977175163208,4.690000344705197,0.0,,,6.17,4.796288739250201,5.678624376478905,0.0,,,6.305,8.184153523927476,6.1545156083030115,0.0,,,7.48,6.229034909567925,7.482500000000001,0.0,,,3.39,5.955380180036048,3.4,0.0
1996-05-31,PREMON,5.84,5.9,7.18,7.415,7.8,4.97,,,5.612,6.469468582443495,6.592378879000646,5.459989761611383,,,5.168,7.945347015235817,5.919444697322204,-1.0003540443909075e-06,,,6.574,5.04242014709231,7.332877207308759,6.169978293371837,,,6.749,9.113687002768707,7.476593459643116,-3.596333925763291e-11,,,7.6080000000000005,6.248352762992263,7.804861495844876,7.479937763895729,,,4.022,7.440129166171421,4.988836565096953,3.3899938614611416
1996-08-31,MONSOON,4.08,1.96,3.39,3.435,5.13,3.57,5.54875,,4.9992,6.245410031930709,3.8928058512760595,5.649994803456649,4.045,,3.8848000000000003,6.822630801468111,1.9883401879164908,-1.2611303125226006e-06,5.3125,,5.3004,4.303864311438016,3.989472561719336,6.563362283499757,6.023750000000001,,5.423399999999999,7.879158897385155,2.9510394814347074,-5.5074857021241846e-11,5.937499999999999,,6.6168,6.267383851296972,5.137085235687265,7.626531635847201,4.139375,,3.8412,7.083293670031633,3.596534250044122,4.181775587651491
1996-11-30,POMKH,5.58,3.45,4.45,6.16,3.81,4.46,5.887499999999999,5.24,5.23152,6.360627694896637,4.750934013661624,5.126655679025413,3.9874999999999994,3.9974999999999996,3.7108800000000004,6.167464860005938,3.4866893612229504,-1.9590374083882357e-07,5.1987499999999995,5.297499999999999,4.960240000000001,4.018507684436134,4.596311103105963,5.977169092692999,6.24125,5.828749999999999,5.71804,7.724406954194547,5.112173239273293,-7.089628008417367e-11,5.7775,6.055,5.494079999999999,6.286301011158851,3.8191723098989274,6.93499781195829,3.975,4.0975,4.08872,6.8097411234435725,4.493127644054535,3.9763191862737877
1997-02-28,POMRB,7.93,5.06,6.29,7.865,6.54,3.725,5.793750000000001,5.8575,6.310912,7.0470471685065315,5.374255938677059,5.398476079197603,3.8687499999999995,4.092499999999999,4.250528,6.1203029785052,4.717128117300741,4.679999009352412,5.0475,5.327499999999999,5.492144,4.347004460592213,5.770319253390208,5.680390716139474,6.150625,6.21875,6.576824,8.194676406329133,6.269189822394577,6.157797386477622,5.67125,5.819999999999999,5.9124479999999995,6.305625058112935,7.490334656354577,7.026392850394819,3.71875,4.18125,3.9432320000000005,5.772783336835934,3.4244494049662952,3.7791036326089222
1997-05-31,PREMON,6.08,5.06,6.15,7.595,7.46,3.32,5.626249999999999,5.9174999999999995,6.2185472,7.1637573653828115,6.980569949375347,5.771085630075749,3.9074999999999998,3.882499999999999,4.5743168,5.981206015985343,5.958901480874814,5.741394672150042,5.095,5.0699999999999985,5.7552864,4.659751801819705,7.199965352066432,6.728455203957937,6.0,6.26375,6.9840944,8.382519042710815,7.5526080354221286,7.241882255469357,5.836250000000001,5.734999999999999,6.531468799999999,6.325124314045845,7.759373374651424,7.106581365496923,3.66875,3.7687500000000007,3.6939392,4.591264637673514,5.0447152588718245,4.49096123730803
1997-08-31,MONSOON,3.09,1.85,3.21,2.53,4.62,3.17,5.338333333333334,5.67,4.96712832,6.434896502714757,4.261115913555677,4.514883004427308,3.8474999999999997,3.8549999999999986,3.4845900800000003,4.50181913141747,1.9732349211984106,2.304397132371564,4.6275,5.024999999999999,4.73717184,4.147787885750645,3.5116399079964653,3.7953461378030227,5.484374999999999,6.0375000000000005,5.202456639999999,6.365866960675548,3.252507599663785,3.35480317566165,6.0525,5.6075,5.766881279999999,6.34431545483415,5.071887425806975,5.461244673729746,3.710625,3.668750000000001,3.4843635199999996,3.6552704534530007,3.4531643435221464,3.746541279184711
1997-11-30,POMKH,5.23,3.87,5.01,5.859999999999999,5.64,4.46,5.142916666666666,5.5825,5.072276992,6.255111068446039,4.9370160019044596,5.5437819378491024,3.98,3.959999999999999,3.638754048,4.08352865610004,3.4584542584247946,3.682369448464305,4.16625,5.164999999999998,4.846303104,4.224615051524488,4.342051887730635,4.465065054613876,4.991875,5.9625,5.465473983999999,5.998182352695922,5.603343859302707,6.016182696384021,6.0024999999999995,6.065,5.716128767999999,6.3636942499464855,3.7251658134836902,4.6838931190291575,3.8556249999999994,3.668750000000001,3.8746181119999994,3.79914189018908,4.300683039340296,4.099261835274544
1998-02-28,POMRB,5.9766666666666675,4.16,1.99,4.04,6.44,4.06,5.162916666666667,5.094166666666666,5.434032861866667,6.258179044571484,5.488418273995197,6.659070465159696,4.1725,3.7349999999999994,3.8472524288,3.9060861121737136,4.991418023482891,4.880951463120424,4.22125,4.089999999999998,3.7037818624000005,3.4892839943841096,5.922361772483502,6.015026074720777,4.8774999999999995,5.00625,4.8952843904,5.030281605312426,6.957290790942888,7.1432549519861475,5.90125,6.040000000000001,6.0056772608,6.383232956973208,7.20097318671399,6.655189736022519,3.75,3.752500000000001,3.9487708671999995,3.763430745997721,3.37560573968073,3.674579340188826
1998-05-31,PREMON,6.47,7.02,6.76,7.48,7.16,4.145,5.07875,5.191666666666666,5.8484197171200005,6.375068057156462,6.817361333656339,5.863929673427045,3.99,4.225,5.11635145728,5.019097109870547,5.252405338422657,5.628104706230639,3.9912499999999995,4.242499999999998,4.92626911744,4.220350989789161,5.871571327192479,5.610935453416784,4.4087499999999995,4.9775,5.92917063424,5.690347594773853,7.459721025443504,7.416632080860336,5.93375,5.965000000000001,6.46740635648,6.402921764191526,7.686660254696916,7.2166600104975425,3.54125,3.95875,4.027262520319999,3.845890764224497,4.170633299850944,4.008205686543103
