Date,Season,Paparahandi,Raighar,Nabarangapur,Kosagumuda,Dabugan,Umarkote,Nandahandi,Jharigan,Chandahandi,Tentulikhunti,Paparahandi_Trend,Paparahandi_SMA,Paparahandi_EWMA,Paparahandi_DES,Paparahandi_TES,Paparahandi_ARIMA,Raighar_Trend,Raighar_SMA,Raighar_EWMA,Raighar_DES,Raighar_TES,Raighar_ARIMA,Nabarangapur_Trend,Nabarangapur_SMA,Nabarangapur_EWMA,Nabarangapur_DES,Nabarangapur_TES,Nabarangapur_ARIMA,Kosagumuda_Trend,Kosagumuda_SMA,Kosagumuda_EWMA,Kosagumuda_DES,Kosagumuda_TES,Kosagumuda_ARIMA,Dabugan_Trend,Dabugan_SMA,Dabugan_EWMA,Dabugan_DES,Dabugan_TES,Dabugan_ARIMA,Umarkote_Trend,Umarkote_SMA,Umarkote_EWMA,Umarkote_DES,Umarkote_TES,Umarkote_ARIMA,Nandahandi_Trend,Nandahandi_SMA,Nandahandi_EWMA,Nandahandi_DES,Nandahandi_TES,Nandahandi_ARIMA,Jharigan_Trend,Jharigan_SMA,Jharigan_EWMA,Jharigan_DES,Jharigan_TES,Jharigan_ARIMA,Chandahandi_Trend,Chandahandi_SMA,Chandahandi_EWMA,Chandahandi_DES,Chandahandi_TES,Chandahandi_ARIMA,Tentulikhunti_Trend,Tentulikhunti_SMA,Tentulikhunti_EWMA,Tentulikhunti_DES,Tentulikhunti_TES,Tentulikhunti_ARIMA
2011-11-30,POMKH,2.433333333333333,3.21,2.25,3.546666666666667,2.72,1.37,2.75,1.711666666666667,5.125,3.1533333333333338,3.3141666666666665,2.9749999999999983,2.6589737734929115,2.399739546312805,2.6224170279076393,3.0481623223359433,4.269270833333333,3.9750000000000014,3.5745133420373856,3.864415412154189,3.4874991160079922,3.6200271195744196,2.7375,2.5374999999999988,2.271861921989535,2.085448325933736,1.8213417794031477,2.3234097917282215,3.91,3.3799999999999994,3.12208044886241,2.7478906082426224,2.591034751967529,2.693501753859182,2.8637500000000005,2.355000000000001,2.406946213600585,2.3620503560923245,2.0390437381087168,1.9468234694897772,2.22125,2.1249999999999982,1.8153696286436072,1.9479027170638974,1.0981709418629277,1.2264267596344296,3.9771875000000003,3.9891666666666667,3.34918739705883,3.358145534484867,3.0457314007956002,3.0537044166466334,2.589166666666667,2.550416666666668,2.1547111809341564,1.9800359400889644,1.7769582797488217,2.0106866666175045,4.08375,4.083750000000004,4.293878754600688,4.345282946907234,5.120416325849203,5.125,4.277916666666667,3.6483333333333348,3.4448622660661155,3.7171063386332897,2.8269396183696722,3.1971552519049085
2012-02-29,POMRB,3.8866666666666654,4.886666666666667,3.35,4.6000000000000005,3.4,2.54,5.0375,2.31,3.58,4.92,3.5716666666666668,3.0608333333333313,3.150050930762413,2.850495083103235,4.5896924428354975,4.380919167504499,4.44,4.147916666666668,4.099374671889098,4.070691549820511,4.797750074314494,5.004633210253734,2.7642447916666666,2.7624999999999984,2.703117153193721,2.274351412045028,3.2340707458422684,3.748114482595131,4.394713541666667,3.4474999999999993,3.7132482693174462,3.739610654871852,4.760510540209842,4.967927027484662,3.1190625,2.602500000000001,2.804167728160351,2.4823714240691133,2.848938459837344,3.017398731898594,2.389479166666667,2.032499999999998,2.1052217771861645,2.1293275197003907,2.8644765399459597,3.7013603124285623,4.058020833333333,3.923541666666666,4.024512438235298,4.01107389899891,4.500609285255239,4.485448840940652,2.6466666666666665,2.562916666666668,2.216826708560494,1.9530226414192289,2.8897126767530237,3.0971982737766304,4.08375,4.083750000000004,4.008327252760413,4.055022638656394,3.5757993130951777,3.58,4.302500000000001,4.145833333333335,4.034917359639669,3.9285416452747777,4.137543160743727,4.06172501120337
2012-05-31,PREMON,6.416666666666668,7.4558333333333335,4.45,8.313333333333333,4.9,4.31,6.2958333333333325,5.69,4.72,6.936666666666667,3.6826041666666667,3.567499999999998,4.456697225124115,4.443477203169297,5.945858502988457,5.782010112318188,4.636875000000001,4.390625000000002,5.441958136466792,5.085945585928235,6.813751067938563,7.1545561777358095,2.765989583333334,2.712499999999998,3.401870291916233,2.7622932765890402,5.1226896652254865,4.98169224703372,4.456927083333333,4.3725,5.5532822949238,7.3078660275580045,7.437563417213027,7.031400120689401,3.0231250000000003,3.125000000000001,3.642500636896211,2.8333374670153106,4.642132061304572,4.913865501043688,2.4539583333333335,2.4099999999999975,2.9871330663116984,3.0433887539214077,4.587977979060226,4.554676248810448,4.146927083333333,4.030833333333332,4.933040796274512,5.273012519821796,6.283119397705656,6.369226917134372,2.7514583333333333,2.6154166666666683,3.6060960251362966,4.352894832353983,5.609514974134067,5.8024467441292025,4.08375,4.083750000000004,4.292996351656248,4.386733550501635,4.71604449069214,4.72,4.167916666666667,4.410000000000002,5.195617082450468,4.621396270468589,6.826415467187711,7.030661405951564
2012-08-31,MONSOON,1.5666666666666669,2.405,1.2139583333333333,1.2077083333333332,1.4325,1.2558333333333334,2.2575000000000003,1.0,2.91,1.77,3.9004166666666666,3.5758333333333314,3.3006850017411358,3.6949654210300773,1.2147065308279745,1.7614697421218521,4.7411458333333325,4.489375000000003,4.227174881880075,4.457393314677301,2.1190396111207908,2.555018610232862,2.843072916666667,2.815989583333331,2.526705508483073,2.3841026505947602,1.1907151496680175,1.4935140437993795,4.5490104166666665,4.4169270833333325,3.8150527102876133,5.208690433141009,1.2369492975130791,1.6182751542761,2.820625,3.113125000000001,2.7585003821377265,2.6486881419551866,1.494706528054138,1.6159210627653695,2.725625,2.368958333333331,2.2946131731203523,2.464572113220067,0.5888400392627666,0.9946759771934814,4.241458333333333,4.085208333333332,3.862824477764707,4.171363198828339,2.3091302628825643,2.245092501586907,2.94875,2.6779166666666683,2.5636576150817776,3.134632399760658,0.6255334884855079,0.9203354408645233,4.08375,4.083750000000004,3.739797810993749,3.741045440455176,2.9064371573308136,2.91,3.9925000000000006,4.195000000000002,3.825370249470281,4.059022057895847,2.049639661917146,2.2636235265000124
2012-11-30,POMKH,3.2875,4.39,1.85,3.8666666666666663,2.0,2.05,3.24375,2.3,5.125,2.936666666666667,4.121875,3.789374999999998,3.2954110010446813,3.686669037725638,2.539728260136127,2.7966081287929176,4.5765625000000005,4.7843750000000025,4.292304929128045,4.463048295887064,3.607953941291937,3.803897258323534,3.1764062500000003,2.715989583333331,2.256023305089844,2.2039264501764353,1.8399416896147334,2.5142181182494996,4.305677083333333,4.496927083333333,3.8356982928392345,4.870343697685055,2.647247694193256,2.890647457187612,2.4831250000000002,2.933125000000001,2.455100229282636,2.5532756686438183,2.138782366846375,2.058923681038752,2.9172916666666664,2.5389583333333308,2.196767903872211,2.331233826792645,1.2196673597462964,1.4203119300361327,4.220625,4.208645833333332,3.6151946866588247,3.722342494947103,3.083433335788439,3.0588649744043406,3.07375,2.825000000000002,2.4581945690490663,2.826278755855456,1.750661095676913,2.103564490197163,4.08375,4.083750000000004,4.2938786865962495,4.346305093880336,5.121711120859873,5.125,3.7145833333333336,4.140833333333336,3.469888816348835,3.794632165583216,3.029822215822474,2.8636162914342274
2013-02-28,POMRB,4.775,4.5408333333333335,4.366666666666666,5.016666666666667,2.5,4.033333333333333,5.3,3.3,3.58,3.733333333333333,4.263541666666668,4.011458333333331,3.887246600626809,4.2890475307756475,4.504615775941951,4.781885900362504,4.405833333333333,4.697916666666669,4.391716290810161,4.509038300098729,5.090800182185904,5.487779296056252,3.411328125,2.9701562499999974,3.100280649720573,2.7092979594641426,3.130431248400727,3.773633174705029,4.049921875,4.601093749999999,4.308085642370207,5.200297796080055,4.756517598572123,4.922263707931046,2.2540625,2.708125000000001,2.4730601375695818,2.5365616600461265,2.8914095973721055,2.8349488751387426,2.898645833333333,2.912291666666664,2.9313940756566597,3.07121192188037,3.15502532000135,3.664365669365625,4.1397916666666665,4.274270833333333,4.289116811995295,4.423685380089676,4.623327243702787,4.63616306115225,3.0875000000000004,3.072500000000002,2.79491674142944,3.1638663464190975,2.9848930216593073,3.2062978668533564,4.08375,4.083750000000004,4.0083272119577495,4.055729720124968,3.576981624280808,3.58,3.511666666666667,3.8441666666666694,3.575266623142634,3.7362171062969387,4.354145879995258,4.257092807350683
2013-05-31,PREMON,7.3,6.485,6.1,5.95,3.1,4.35,5.866666666666667,5.7,4.72,5.900000000000001,4.188020833333333,4.232291666666664,5.252347960376085,5.96657545741128,6.040674921917452,6.416332980291359,4.282708333333334,4.455208333333335,5.229029774486097,5.152798813354767,7.002729854365711,7.364630961901726,3.3858333333333333,3.3826562499999975,4.3001683898323435,3.691758018004126,4.830626007666394,4.901143915222235,4.010416666666666,4.010260416666665,4.964851385422124,5.964731476143829,7.521526661030985,7.339114382188974,2.24,2.2581250000000006,2.723836082541749,2.6123660284571217,4.618761532135312,4.52858988234418,2.725,2.9222916666666636,3.4988364453939957,3.7980735769095864,5.242595274425145,5.403478231587607,4.050885416666667,4.166979166666666,4.920136753863844,5.319121078107375,6.4318953843212565,6.401269737390763,3.0656249999999994,3.075000000000002,3.956950044857664,5.053715480735764,5.881550319753159,6.109540962168692,4.08375,4.083750000000004,4.29299632717465,4.387138892365362,4.717204146706452,4.72,3.256666666666667,3.5850000000000026,4.505159973885581,4.199654754802143,6.698956161435424,6.559654416253932
2013-08-31,MONSOON,1.8166666666666669,2.01,1.4433333333333334,1.525,1.4,1.0666666666666669,2.04,1.1,2.91,1.1833333333333331,4.103125,4.294791666666664,3.8780754428923174,4.934080449165809,1.345797291844569,1.8521636101192478,4.2521875,4.356458333333334,3.9414178646916582,4.3624478730462934,2.1190900675402444,2.377284033209535,3.265520833333333,3.4399999999999977,3.157434367232739,3.3482422665869365,1.2276695772664756,1.74668402290372,3.865104166666667,4.089583333333332,3.588910831253274,3.84417527465047,1.1661375267772272,1.2261551657510994,2.18,2.250000000000001,2.194301649525049,2.430439258241398,1.3472194707321377,1.2461011800047515,2.3791666666666664,2.874999999999997,2.525968533903064,2.942535538307488,1.0574200218320362,1.1326489143111538,3.923541666666667,4.1126041666666655,3.768082052318306,4.043594454615356,2.3501667590021684,2.1284772704614245,2.9875,3.100000000000002,2.8141700269145984,3.4859509814818703,0.8457793355545014,0.970282745305139,4.08375,4.083750000000004,3.73979779630479,3.741219215439103,2.9074401480783543,2.91,2.979166666666667,3.438333333333336,3.176429317664682,3.5439798530762046,1.7058892833828931,1.7198943297464973
2013-11-30,POMKH,2.433333333333333,3.8,1.4166666666666667,3.233333333333333,1.92,0.85,2.75,2.025,5.125,1.4833333333333334,4.0375000000000005,4.081249999999997,3.3001785990687234,4.169845933700226,2.7263549405722998,3.061812529739268,4.435104166666666,4.208958333333334,3.8848507188149948,4.170696708748536,3.5436524045135345,4.114172980937131,3.2014583333333335,3.3316666666666643,2.46112728700631,2.9794029726955262,1.8904265402732827,2.3385765206137115,3.786458333333333,3.9312499999999986,3.446679832085297,3.2721161025202674,2.673970249893141,3.116206111325429,2.2175000000000002,2.230000000000001,2.0845809897150294,2.334262789084514,1.99932838258301,2.1025988051971414,2.0583333333333336,2.5749999999999966,1.8555811203418386,2.180680917079325,1.4891552893210669,1.317342002786039,3.965208333333334,3.9891666666666654,3.3608492313909837,3.356151166927016,3.076273717278715,3.043844953719742,3.1,3.0312500000000018,2.498502016148759,2.733543528789461,1.9471411713475497,2.257187732211846,4.08375,4.083750000000004,4.293878677782875,4.346293899906251,5.122644643101406,5.125,2.791666666666667,3.075000000000003,2.4991909239321424,3.0151706618463816,2.6776707072759387,2.669172754078519
2014-02-28,POMRB,4.95,4.886666666666667,3.8375,4.4875,2.1,2.466666666666667,4.775,2.95,3.58,2.966666666666667,3.927083333333334,4.1249999999999964,3.9601071594412343,4.5262587966023045,4.590942616694324,4.6160566969837635,4.673736979166666,4.295416666666668,4.285577097955663,4.33346385596828,4.940864658949393,5.085671586565095,3.1934375000000004,3.199374999999997,3.0116763722037865,3.25661233758093,3.5488973985713175,4.015464087096507,3.747395833333333,3.7989583333333323,3.863007899251178,3.6790084852524423,4.693959179405235,4.831031384431551,2.26125,2.130000000000001,2.0907485938290176,2.2716238584005444,2.756109108383231,2.821838466096185,1.9333333333333333,2.18333333333333,2.1000153388717697,2.257038935601012,2.9797168084216614,3.253383892038606,4.126875,3.8579166666666653,3.92650953883459,3.859017823663231,4.525457933694352,4.555320391424864,3.23125,2.9437500000000014,2.6791012096892555,2.7273765904495613,3.0881882766316138,3.32037813702682,4.08375,4.083750000000004,4.008327206669724,4.055608705622612,3.5778359228734784,3.58,2.6895833333333337,2.8833333333333364,2.686181221025952,2.883716509141139,3.7291624023335754,3.5489042381941855
2014-05-31,PREMON,6.6000000000000005,7.602499999999997,6.116666666666667,5.85,3.8,3.35,6.725,6.95,4.72,5.166666666666667,3.953125,3.9499999999999966,5.016064295664741,5.552852524058014,6.2407435153224755,6.771130294693095,4.846432291666666,4.574791666666668,5.612346258773397,5.347629225841785,6.93355291286015,7.09279346605812,3.3484375000000006,3.203541666666664,4.253672489988939,4.1463312642574826,5.213283134767199,5.292474665387047,3.7041666666666666,3.773958333333332,4.6578047395507065,4.933038348868799,7.319178586094091,6.9354477035641615,2.2525,2.305000000000001,2.7744491562974103,2.4716112682855074,4.464968957514724,4.336197713226084,1.9529166666666666,1.93333333333333,2.600009203323062,2.691485633774322,4.646139271002175,4.491125941853185,4.3046875,4.072499999999998,5.045905723300754,5.382645974052162,6.254400798940997,6.268926894321408,3.2156250000000006,3.2562500000000014,4.387460725813553,5.5441403221748775,5.8952548597844405,5.934408370089681,4.08375,4.083750000000004,4.292996324001834,4.3869578807558725,4.718005786762167,4.72,2.739583333333333,2.700000000000003,3.6783753992822383,3.2921272216974407,6.016151055716451,6.062856977416466
